Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ADIPOSE (BULK TISSUE)	15/2316	0.000000019132210190242011400425274571419909097613754056510515511035919189453125	0.0000006504951464682284074667940367009411062326762476004660129547119140625	0.0000000013071909583212855925476871029179519456686620060281711630523204803466796875	0.00000004444449258292370890585044266966885384562147010001353919506072998046875	-1.6552227995332403	29.41644169801984	CADM3;PCOLCE2;SCARA5;ANXA3;CRIP2;TMEM100;CLEC3B;EFEMP1;LRRN4CL;MUSTN1;ACKR3;EFHD1;CD248;PI16;LIMS2
SUBCUTANEOUS ADIPOSE TISSUE	15/2316	0.000000019132210190242011400425274571419909097613754056510515511035919189453125	0.0000006504951464682284074667940367009411062326762476004660129547119140625	0.0000000013071909583212855925476871029179519456686620060281711630523204803466796875	0.00000004444449258292370890585044266966885384562147010001353919506072998046875	-1.564920572825365	27.811600230211003	CADM3;PCOLCE2;SCARA5;ANXA3;CRIP2;TMEM100;CLEC3B;EFEMP1;LRRN4CL;MUSTN1;ACKR3;EFHD1;CD248;PI16;LIMS2
OMENTUM	15/2316	0.000000019132210190242011400425274571419909097613754056510515511035919189453125	0.0000006504951464682284074667940367009411062326762476004660129547119140625	0.0000000013071909583212855925476871029179519456686620060281711630523204803466796875	0.00000004444449258292370890585044266966885384562147010001353919506072998046875	-1.5502787693321118	27.551387672158633	CADM3;PCOLCE2;SCARA5;CRIP2;TMEM100;CLEC3B;EFEMP1;LRRN4CL;MUSTN1;DUOXA1;ACKR3;EFHD1;CD248;PI16;LIMS2
VALVE	14/2316	0.00000018652672973020821391298301218653055144613972515799105167388916015625	0.0000038051452864962473308907929536726300057125627063214778900146484375	0.00000001662095551742540443459315445580426473526358677190728485584259033203125	0.0000003390674925554782637005901517468497985419162432663142681121826171875	-1.6252053708066299	25.182055495668656	CADM3;PCOLCE2;SCARA5;CRIP2;TMEM100;CLEC3B;EFEMP1;LRRN4CL;MUSTN1;DUOXA1;ACKR3;CD248;PI16;LIMS2
LUNG (BULK TISSUE)	14/2316	0.00000018652672973020821391298301218653055144613972515799105167388916015625	0.0000038051452864962473308907929536726300057125627063214778900146484375	0.00000001662095551742540443459315445580426473526358677190728485584259033203125	0.0000003390674925554782637005901517468497985419162432663142681121826171875	-1.5134557592291897	23.45052976303721	PCOLCE2;SCARA5;ANXA3;CRIP2;TMEM100;DPP4;CLEC3B;EFEMP1;DUOXA1;ACKR3;CD248;PI16;LIMS2;CD55
VENTRICLE	13/2316	0.00000156983089118553973320539275670970624787514680065214633941650390625	0.00002668712515015417673504109774551551481636124663054943084716796875	0.000000179761841320658613401175965167133607991445387597195804119110107421875	0.000003055951302451196454289771009538156931739649735391139984130859375	-1.531953417893231	20.4738568020111	PCOLCE2;SCARA5;CRIP2;PCSK6;TMEM100;CLEC3B;EFEMP1;MUSTN1;ACKR3;EFHD1;CD248;PI16;LIMS2
HEART (BULK TISSUE)	12/2316	0.000011421541639303195228029828844906745644038892351090908050537109375	0.00014562465590111574212199563316261219370062462985515594482421875	0.00000165982116129551219178080330440838707772854832001030445098876953125	0.0000211627198065177809746008341651446471587405540049076080322265625	-1.6219271386985035	18.45754603286569	TMEM100;CLEC3B;EFEMP1;PCOLCE2;SCARA5;MUSTN1;ACKR3;EFHD1;CD248;CRIP2;PI16;LIMS2
BREAST (BULK TISSUE)	12/2316	0.000011421541639303195228029828844906745644038892351090908050537109375	0.00014562465590111574212199563316261219370062462985515594482421875	0.00000165982116129551219178080330440838707772854832001030445098876953125	0.0000211627198065177809746008341651446471587405540049076080322265625	-1.4359756323920174	16.341416149073982	TMEM100;CLEC3B;EFEMP1;PCOLCE2;SCARA5;DUOXA1;ACKR3;EFHD1;CD248;CRIP2;PI16;LIMS2
OSTEOBLAST	11/2316	0.000071839668811072565092999686608976617208099924027919769287109375	0.000610637184894116864276869538485925659188069403171539306640625	0.00001310651308760790574006911690663201852657948620617389678955078125	0.000111405361244667190320258021163368766792700625956058502197265625	-1.5300044406517177	14.59788519701539	TMEM100;CLEC3B;UCHL1;EFEMP1;PCOLCE2;ACKR3;EFHD1;CD248;CRIP2;PI16;LIMS2
ATRIUM	11/2316	0.000071839668811072565092999686608976617208099924027919769287109375	0.000610637184894116864276869538485925659188069403171539306640625	0.00001310651308760790574006911690663201852657948620617389678955078125	0.000111405361244667190320258021163368766792700625956058502197265625	-1.5288433774750425	14.586807407625205	TMEM100;CADM3;CLEC3B;EFEMP1;PCOLCE2;SCARA5;ACKR3;CD248;CRIP2;PI16;LIMS2
