Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CHONDROCYTE	4/2316	0.00081405960922057742090718335248311632312834262847900390625	0.01031142171679398124306548112372183823026716709136962890625	0.000584010119356734823392596211988347931765019893646240234375	0.007397461511851974140518972689051224733702838420867919921875	-1.920656089869904	13.662542852289342	ENPP2;G0S2;COL6A6;ANGPTL1
ADRENAL GLAND	4/2316	0.00081405960922057742090718335248311632312834262847900390625	0.01031142171679398124306548112372183823026716709136962890625	0.000584010119356734823392596211988347931765019893646240234375	0.007397461511851974140518972689051224733702838420867919921875	-1.6820132376460024	11.964962420218102	ENPP2;G0S2;COL6A6;ANGPTL1
ADIPOSE (BULK TISSUE)	4/2316	0.00081405960922057742090718335248311632312834262847900390625	0.01031142171679398124306548112372183823026716709136962890625	0.000584010119356734823392596211988347931765019893646240234375	0.007397461511851974140518972689051224733702838420867919921875	-1.6552227995332403	11.774389255830295	ENPP2;G0S2;COL6A6;ANGPTL1
LUNG (BULK TISSUE)	4/2316	0.00081405960922057742090718335248311632312834262847900390625	0.01031142171679398124306548112372183823026716709136962890625	0.000584010119356734823392596211988347931765019893646240234375	0.007397461511851974140518972689051224733702838420867919921875	-1.5134557592291897	10.765932680281928	ENPP2;G0S2;COL6A6;ANGPTL1
SUBCUTANEOUS ADIPOSE TISSUE	4/2316	0.00081405960922057742090718335248311632312834262847900390625	0.01031142171679398124306548112372183823026716709136962890625	0.000584010119356734823392596211988347931765019893646240234375	0.007397461511851974140518972689051224733702838420867919921875	-1.46236783645113	10.40251991842878	ENPP2;G0S2;COL6A6;ANGPTL1
OMENTUM	4/2316	0.00081405960922057742090718335248311632312834262847900390625	0.01031142171679398124306548112372183823026716709136962890625	0.000584010119356734823392596211988347931765019893646240234375	0.007397461511851974140518972689051224733702838420867919921875	-1.446795772914509	10.29174840316908	ENPP2;G0S2;COL6A6;ANGPTL1
ALPHA CELL	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.7409474343576503	7.568120468229313	ENPP2;COL6A6;ANGPTL1
HAIR FOLLICLE	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.6175199957746138	7.031565655690673	ENPP2;COL6A6;ANGPTL1
ATRIUM	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.5628410954023935	6.793869504204079	G0S2;COL6A6;ANGPTL1
HEART (BULK TISSUE)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.5209877876748439	6.6119278392089855	G0S2;COL6A6;ANGPTL1
TRACHEA (BULK TISSUE)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.4852613594774182	6.4566205007094615	G0S2;COL6A6;ANGPTL1
PERICARDIUM	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.4172617687938756	6.161017610049402	G0S2;COL6A6;ANGPTL1
BREAST (BULK TISSUE)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.3691705320248615	5.951958872174111	G0S2;COL6A6;ANGPTL1
THYROID (BULK TISSUE)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.2568716743152588	5.463781419588131	G0S2;COL6A6;ANGPTL1
SKELETAL MUSCLE (BULK TISSUE)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.2406799405022668	5.393393888254401	G0S2;COL6A6;ANGPTL1
ILEUM (BULK)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.2051215236058064	5.238816916301641	ENPP2;G0S2;ANGPTL1
VALVE	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.1965217993247146	5.201432818385512	G0S2;COL6A6;ANGPTL1
SKIN (BULK TISSUE)	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.1709302589045365	5.090183129253497	G0S2;COL6A6;ANGPTL1
VENTRICLE	3/2316	0.01294394069727622907650665950995971797965466976165771484375	0.051775762789104916306026638039838871918618679046630859375	0.0101701203369602873050059343995599192567169666290283203125	0.04068048134784114922002373759823967702686786651611328125	-1.090380183760684	4.740021682455692	G0S2;COL6A6;ANGPTL1
