Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
OMENTUM	18/2316	0.000000000054839328878745599122915273219646911141700318381708711967803537845611572265625	0.00000000537425423011706854602463485069165083363174062469624914228916168212890625	0.00000000000006216502111380176401696737674890236150827826921982932617538608610630035400390625	0.00000000000609217206915257246976601944823438705700624495875672437250614166259765625	-1.584773101471313	37.4428215522562	SRPX;SDC4;MYOC;GPX3;UAP1;CXCL1;CXCL14;C3;PROCR;BMPER;LOX;CILP;ADAMTS1;HAS1;MYC;PIM1;PTX3;TRIB1
CHONDROCYTE	12/2316	0.0000288022335348223665167644025331128432299010455608367919921875	0.000940872962137530711827781981781981812673620879650115966796875	0.00000091979150129185711158943429543999315001201466657221317291259765625	0.000030046522375533999825621134238673448635381646454334259033203125	-1.920656089869904	20.080570088825198	SRPX;PROCR;SDC4;BMPER;LOX;MYOC;CILP;ADAMTS1;GPX3;UAP1;PTX3;CXCL1
LUNG (BULK TISSUE)	13/2316	0.000004515876310756806227201913539470723435442778281867504119873046875	0.0002212779392270835068269596579426661264733411371707916259765625	0.0000000913938615089690911196692560576615438350245312904007732868194580078125	0.000004478299213939485292810226135795659274663194082677364349365234375	-1.5804154211793806	19.451612822872168	SRPX;ACE;SDC4;MYOC;GPX3;CXCL1;C3;BMPER;LOX;CILP;ADAMTS1;HAS1;TRIB1
ADIPOSE (BULK TISSUE)	11/2316	0.000160207013762948672665198390774321524077095091342926025390625	0.0026167145581281613282709219703292546910233795642852783203125	0.0000078601126207490938820054982016927169752307236194610595703125	0.00012838183947223519103773836658177742719999514520168304443359375	-1.5519971806038209	13.562971250304143	C3;SRPX;ACE;BMPER;LOX;MYOC;CILP;ADAMTS1;GPX3;CXCL14;HK2
SKIN (BULK TISSUE)	11/2316	0.000160207013762948672665198390774321524077095091342926025390625	0.0026167145581281613282709219703292546910233795642852783203125	0.0000078601126207490938820054982016927169752307236194610595703125	0.00012838183947223519103773836658177742719999514520168304443359375	-1.4691045035962953	12.83856851996129	C3;SRPX;SDC4;LOX;CILP;ADAMTS1;UAP1;CXCL1;TRIB1;CXCL14;HK2
LIVER (BULK TISSUE)	11/2316	0.000160207013762948672665198390774321524077095091342926025390625	0.0026167145581281613282709219703292546910233795642852783203125	0.0000078601126207490938820054982016927169752307236194610595703125	0.00012838183947223519103773836658177742719999514520168304443359375	-1.4114424989792622	12.334657739304168	C3;SRPX;PROCR;SDC4;BMPER;LOX;ADAMTS1;GPX3;UAP1;CXCL1;TRIB1
PREADIPOCYTE	10/2316	0.000775433253910337160104415676897815501433797180652618408203125	0.006332704906934420556463560814108859631232917308807373046875	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00046618837048839211097128742977702131611295044422149658203125	-1.6858850784220765	12.074458381173946	SRPX;PROCR;ACE;BMPER;LOX;ADAMTS1;HAS1;MYC;PTX3;CXCL1
KUPFFER CELL	10/2316	0.000775433253910337160104415676897815501433797180652618408203125	0.006332704906934420556463560814108859631232917308807373046875	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00046618837048839211097128742977702131611295044422149658203125	-1.6264247341622644	11.648598124573684	C3;SRPX;PROCR;BMPER;LOX;ADAMTS1;GPX3;HAS1;PTX3;CXCL1
SKELETAL MUSCLE SATELLITE CELL	10/2316	0.000775433253910337160104415676897815501433797180652618408203125	0.006332704906934420556463560814108859631232917308807373046875	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00046618837048839211097128742977702131611295044422149658203125	-1.6100419616386337	11.531263255467444	SRPX;PROCR;BMPER;LOX;ADAMTS1;HAS1;MYC;UAP1;PTX3;CXCL1
WHARTONS JELLY	10/2316	0.000775433253910337160104415676897815501433797180652618408203125	0.006332704906934420556463560814108859631232917308807373046875	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00046618837048839211097128742977702131611295044422149658203125	-1.4976559982912359	10.726345023237526	SRPX;PROCR;SDC4;BMPER;LOX;ADAMTS1;HAS1;UAP1;PTX3;CXCL1
MACROPHAGE	10/2316	0.000775433253910337160104415676897815501433797180652618408203125	0.006332704906934420556463560814108859631232917308807373046875	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00046618837048839211097128742977702131611295044422149658203125	-1.3180777007649043	9.44018933718494	C3;ACE;SDC4;HAS1;PTX3;CXCL1;TRIB1;IER5;HK2;NFKB1
SUBCUTANEOUS ADIPOSE TISSUE	10/2316	0.000775433253910337160104415676897815501433797180652618408203125	0.006332704906934420556463560814108859631232917308807373046875	0.0000570842902638847503565648622281258894872735254466533660888671875	0.00046618837048839211097128742977702131611295044422149658203125	-1.2914466091607388	9.249455098335938	C3;SRPX;ACE;BMPER;LOX;MYOC;CILP;GPX3;CXCL14;HK2
ATRIUM	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.392852505765639	7.977660063792248	C3;SRPX;BMPER;LOX;MYOC;CILP;ADAMTS1;GPX3;HAS1
PERICARDIUM	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.3151462151665338	7.532591854019992	C3;SRPX;ACE;BMPER;LOX;CILP;ADAMTS1;HAS1;PTX3
BASAL CELL	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.3022315480365239	7.458622195514321	PROCR;SDC4;ADAMTS1;GPX3;MYC;UAP1;CXCL1;TRIB1;HK2
STROMAL CELL	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.2205393135697746	6.990724213689536	SRPX;PROCR;BMPER;LOX;CILP;ADAMTS1;HAS1;UAP1;PTX3
RESPIRATORY SMOOTH MUSCLE	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.2105125238076995	6.933295074622885	C3;SRPX;SDC4;BMPER;LOX;MYOC;CILP;ADAMTS1;PTX3
VALVE	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.1305704806351893	6.475421435744859	C3;SRPX;PROCR;BMPER;LOX;MYOC;CILP;GPX3;HAS1
SMALL INTESTINE (BULK TISSUE)	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.0962084454581675	6.278610477938766	C3;SRPX;ACE;LOX;CILP;ADAMTS1;CXCL1;TRIB1;CXCL14
COLON (BULK TISSUE)	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.0932648398612466	6.2617507711737606	C3;SRPX;ACE;CILP;UAP1;CXCL1;TRIB1;CXCL14;HK2
VASCULAR SMOOTH MUSCLE	9/2316	0.00325497760600433616584581386632635258138179779052734375	0.01518989549468690268552162336845867685042321681976318359375	0.000351939593399575359998487922297272234573028981685638427734375	0.0016423847691980184189397551364208993618376553058624267578125	-1.0849446021044415	6.2140960279766455	SRPX;PROCR;BMPER;LOX;ADAMTS1;HAS1;UAP1;PTX3;CXCL1
FIBROBLAST	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.9462668336019613	4.2014949481422965	SRPX;PROCR;SDC4;BMPER;LOX;ADAMTS1;UAP1;PTX3
BREAST (BULK TISSUE)	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.9349373796383478	4.151191331970797	C3;SRPX;ACE;MYOC;CILP;ADAMTS1;GPX3;CXCL14
GRANULOSA CELL	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.9329061761865104	4.142172637942329	SRPX;CILP;ADAMTS1;UAP1;PTX3;CXCL1;TRIB1;HK2
HEPATIC STELLATE CELL	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.903528254961313	4.0117324880485095	SRPX;BMPER;LOX;ADAMTS1;MYC;UAP1;PTX3;CXCL1
PODOCYTE	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.8147859665858702	3.6177101435510743	C3;SRPX;PROCR;SDC4;LOX;ADAMTS1;HAS1;CXCL1
MYOFIBROBLAST	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.8083779536759104	3.589258090797261	SRPX;PROCR;LOX;ADAMTS1;PTX3;CXCL1;CXCL14;HK2
KERATINOCYTE	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.7955881592313814	3.5324704545425694	SRPX;PROCR;SDC4;ADAMTS1;MYC;UAP1;CXCL1;IER5
GASTRIC TISSUE (BULK)	8/2316	0.01179506336899029637910185641658245003782212734222412109375	0.039859179660725822802458395699432003311812877655029296875	0.00183626021231057291738242298606564872898161411285400390625	0.0062052931312564195420744539433144382201135158538818359375	-0.7661996432139793	3.4019832629852957	C3;SRPX;SDC4;BMPER;MYOC;CILP;ADAMTS1;TRIB1
TRACHEA (BULK TISSUE)	7/2316	0.036683524655486722532149457265404635109007358551025390625	0.1057348651834617292433193824763293378055095672607421875	0.00806606370473615490179764009326390805654227733612060546875	0.0232492424430630340026482372195459902286529541015625	-0.9068223062801006	2.9974354288597476	SRPX;SDC4;LOX;MYOC;CILP;ADAMTS1;PTX3
HAIR FOLLICLE	7/2316	0.036683524655486722532149457265404635109007358551025390625	0.1057348651834617292433193824763293378055095672607421875	0.00806606370473615490179764009326390805654227733612060546875	0.0232492424430630340026482372195459902286529541015625	-0.8896674276732965	2.940731220595665	SRPX;BMPER;LOX;CILP;ADAMTS1;PTX3;CXCL1
