Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ASTROCYTE	18/2316	0.00000000061053194593620192087028008889339723841427343131726956926286220550537109375	0.0000000616637265395563883210315776761678563389068585820496082305908203125	0.00000000001423015148614774665756406231077298911273654180575931604835204780101776123046875	0.0000000014372453001009223687931176782870031083394479765047435648739337921142578125	-1.7855716061506681	37.88392012659251	LGALS3BP;LRRC15;MARCKSL1;COL16A1;SDC3;COL12A1;TNC;PLOD2;PTN;THBS2;SRPX2;MDK;P4HA3;ADAM12;FIBIN;SDC1;MEST;CTHRC1
FIBROBLAST	16/2316	0.00000005402812714656345080589875513009390228802431010990403592586517333984375	0.00000272842042090145434841594838937250955268609686754643917083740234375	0.000000002357265847827262044261853644552297259995299327783868648111820220947265625	0.000000119041925315276734682789681017689442654727827175520360469818115234375	-1.660276517251172	27.782670521430294	FBLN7;LRRC15;COL16A1;COL12A1;TNC;ARID5B;PLOD2;PTN;THBS2;SRPX2;P4HA3;ADAM12;FIBIN;SDC1;PHLDB2;CTHRC1
KUPFFER CELL	15/2316	0.00000042195624278667700679979098155047978480070014484226703643798828125	0.0000085235161042908751138393042001695221188128925859928131103515625	0.00000002459903611266624684066287183890897605209602261311374604701995849609375	0.000000496900529475858208680702672588314072754656081087887287139892578125	-1.7299197856520678	25.39239268235792	LGALS3BP;LRRC15;COL16A1;COL12A1;TNC;PLOD2;THBS2;SLC7A2;SRPX2;P4HA3;ADAM12;FIBIN;SDC1;PHLDB2;CTHRC1
VALVE	15/2316	0.00000042195624278667700679979098155047978480070014484226703643798828125	0.0000085235161042908751138393042001695221188128925859928131103515625	0.00000002459903611266624684066287183890897605209602261311374604701995849609375	0.000000496900529475858208680702672588314072754656081087887287139892578125	-1.6252053708066299	23.855356362343553	FBLN7;LRRC15;CXCL9;COL16A1;TTYH2;SDC3;COL12A1;TNC;PTN;THBS2;THBS4;SRPX2;P4HA3;FIBIN;CTHRC1
ADIPOSE (BULK TISSUE)	15/2316	0.00000042195624278667700679979098155047978480070014484226703643798828125	0.0000085235161042908751138393042001695221188128925859928131103515625	0.00000002459903611266624684066287183890897605209602261311374604701995849609375	0.000000496900529475858208680702672588314072754656081087887287139892578125	-1.5864057202469606	23.285840959883416	LGALS3BP;CXCL9;COL16A1;COL12A1;PLOD2;THBS2;SLC7A2;THBS4;PLA2G16;SRPX2;ADAM12;FIBIN;PHLDB2;MEST;CTHRC1
FETAL LUNG	14/2316	0.00000291360823869620641201065754100074656207652878947556018829345703125	0.00002675222110075607871129861614623024479442392475903034210205078125	0.000000224014356374980113663128553254388908300143157248385250568389892578125	0.00000205685909035209019951454846586447189338286989368498325347900390625	-1.5451114399461032	19.694173200712473	LRRC15;COL16A1;SDC3;COL12A1;TNC;ARID5B;PTN;THBS2;SLC7A2;SRPX2;P4HA3;FIBIN;SDC1;CTHRC1
WHARTONS JELLY	14/2316	0.00000291360823869620641201065754100074656207652878947556018829345703125	0.00002675222110075607871129861614623024479442392475903034210205078125	0.000000224014356374980113663128553254388908300143157248385250568389892578125	0.00000205685909035209019951454846586447189338286989368498325347900390625	-1.5317812745300134	19.52426533535632	LRRC15;COL16A1;COL12A1;TNC;PLOD2;THBS2;SLC7A2;SRPX2;P4HA3;ADAM12;FIBIN;SDC1;PHLDB2;CTHRC1
BREAST (BULK TISSUE)	14/2316	0.00000291360823869620641201065754100074656207652878947556018829345703125	0.00002675222110075607871129861614623024479442392475903034210205078125	0.000000224014356374980113663128553254388908300143157248385250568389892578125	0.00000205685909035209019951454846586447189338286989368498325347900390625	-1.4693781825755954	18.728868143000298	LGALS3BP;LRRC15;CXCL9;COL16A1;SDC3;COL12A1;TNC;THBS2;SLC7A2;THBS4;SRPX2;ADAM12;FIBIN;SDC1
FORESKIN FIBROBLAST	14/2316	0.00000291360823869620641201065754100074656207652878947556018829345703125	0.00002675222110075607871129861614623024479442392475903034210205078125	0.000000224014356374980113663128553254388908300143157248385250568389892578125	0.00000205685909035209019951454846586447189338286989368498325347900390625	-1.4583650146005918	18.588493001129738	FBLN7;LRRC15;COL16A1;COL12A1;TNC;ARID5B;PTN;THBS2;SRPX2;P4HA3;ADAM12;SDC1;PHLDB2;CTHRC1
CHONDROCYTE	13/2316	0.000017780212700857262082820842152841578354127705097198486328125	0.000094515867515083341258812221763463412571582011878490447998046875	0.000001782238251540720222078199343196391879473594599403440952301025390625	0.000009474003337137511544644753735955333695528679527342319488525390625	-1.6137603098640605	17.650381332412977	LRRC15;COL16A1;COL12A1;TNC;PLOD2;THBS2;SLC7A2;SRPX2;P4HA3;ADAM12;FIBIN;SDC1;CTHRC1
SUBCUTANEOUS ADIPOSE TISSUE	14/2316	0.00000291360823869620641201065754100074656207652878947556018829345703125	0.00002675222110075607871129861614623024479442392475903034210205078125	0.000000224014356374980113663128553254388908300143157248385250568389892578125	0.00000205685909035209019951454846586447189338286989368498325347900390625	-1.3256308546188171	16.896647695510012	LGALS3BP;CXCL9;COL16A1;COL12A1;PLOD2;THBS2;THBS4;PLA2G16;SRPX2;ADAM12;FIBIN;PHLDB2;MEST;CTHRC1
OMENTUM	14/2316	0.00000291360823869620641201065754100074656207652878947556018829345703125	0.00002675222110075607871129861614623024479442392475903034210205078125	0.000000224014356374980113663128553254388908300143157248385250568389892578125	0.00000205685909035209019951454846586447189338286989368498325347900390625	-1.3088184443577047	16.68235472540856	LGALS3BP;LRRC15;CXCL9;COL16A1;COL12A1;THBS2;SLC7A2;THBS4;PLA2G16;SRPX2;ADAM12;FIBIN;PHLDB2;CTHRC1
OSTEOBLAST	13/2316	0.000017780212700857262082820842152841578354127705097198486328125	0.000094515867515083341258812221763463412571582011878490447998046875	0.000001782238251540720222078199343196391879473594599403440952301025390625	0.000009474003337137511544644753735955333695528679527342319488525390625	-1.3577842199570174	14.850662209800564	LRRC15;COL16A1;COL12A1;TNC;PLOD2;THBS2;SRPX2;P4HA3;ADAM12;GRB10;FIBIN;PHLDB2;CTHRC1
STROMAL CELL	13/2316	0.000017780212700857262082820842152841578354127705097198486328125	0.000094515867515083341258812221763463412571582011878490447998046875	0.000001782238251540720222078199343196391879473594599403440952301025390625	0.000009474003337137511544644753735955333695528679527342319488525390625	-1.2536225356869724	13.711401666363622	LRRC15;COL16A1;COL12A1;TNC;PLOD2;THBS2;SRPX2;P4HA3;ADAM12;FIBIN;SDC1;PHLDB2;CTHRC1
PODOCYTE	13/2316	0.000017780212700857262082820842152841578354127705097198486328125	0.000094515867515083341258812221763463412571582011878490447998046875	0.000001782238251540720222078199343196391879473594599403440952301025390625	0.000009474003337137511544644753735955333695528679527342319488525390625	-1.2351621052379442	13.509492104581625	LGALS3BP;LRRC15;COL16A1;SDC3;COL12A1;TNC;PLOD2;PLA2G16;P4HA3;ADAM12;SDC1;PHLDB2;CTHRC1
