Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of complement activation (GO:0045916)	1/7	0.00906594147580630504990040208213031291961669921875	0.10821670998718226075485659976038732565939426422119140625	0.00827752815981474925066674330764726619236171245574951171875	0.08993773773495382373166506795314489863812923431396484375	-3.3519273691828744	15.764887310824859	CD55
regulation of response to biotic stimulus (GO:0002831)	1/8	0.01035460678445748565479345160156299243681132793426513671875	0.10821670998718226075485659976038732565939426422119140625	0.00930771078335219069488370990939074545167386531829833984375	0.08993773773495382373166506795314489863812923431396484375	-2.8686224844090984	13.110533494234124	CD55
regulation of endothelial cell differentiation (GO:0045601)	1/10	0.01292710490781633081436297061372897587716579437255859375	0.10821670998718226075485659976038732565939426422119140625	0.01136508034486451330924428049229391035623848438262939453125	0.08993773773495382373166506795314489863812923431396484375	-2.8653153581967925	12.45962044446196	TMEM100
regulation of sensory perception (GO:0051931)	1/9	0.0116416606177944144395741687958434340544044971466064453125	0.10821670998718226075485659976038732565939426422119140625	0.01033689454471887168851562677218680619262158870697021484375	0.08993773773495382373166506795314489863812923431396484375	-2.794612963654454	12.444873147178798	TMEM100
positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002860)	1/10	0.01292710490781633081436297061372897587716579437255859375	0.10821670998718226075485659976038732565939426422119140625	0.01136508034486451330924428049229391035623848438262939453125	0.08993773773495382373166506795314489863812923431396484375	-2.794199978943974	12.150380265813105	CADM3
iron ion transport (GO:0006826)	1/13	0.016773799845305033262565785889819380827248096466064453125	0.10821670998718226075485659976038732565939426422119140625	0.01444365895726227970452537618939459207467734813690185546875	0.08993773773495382373166506795314489863812923431396484375	-2.9074054830687728	11.88529086378911	SCARA5
negative regulation of cartilage development (GO:0061037)	1/14	0.0180528252715801591776756396257042069919407367706298828125	0.10821670998718226075485659976038732565939426422119140625	0.01546786188873164845369867492763660266064107418060302734375	0.08993773773495382373166506795314489863812923431396484375	-2.906463574031677	11.667861651651311	EFEMP1
positive regulation of natural killer cell mediated immune response to tumor cell (GO:0002857)	1/10	0.01292710490781633081436297061372897587716579437255859375	0.10821670998718226075485659976038732565939426422119140625	0.01136508034486451330924428049229391035623848438262939453125	0.08993773773495382373166506795314489863812923431396484375	-2.655658153169369	11.547940970642232	CADM3
regulation of sensory perception of pain (GO:0051930)	1/10	0.01292710490781633081436297061372897587716579437255859375	0.10821670998718226075485659976038732565939426422119140625	0.01136508034486451330924428049229391035623848438262939453125	0.08993773773495382373166506795314489863812923431396484375	-2.615202388377972	11.372021949146303	TMEM100
positive regulation of vasculogenesis (GO:2001214)	1/9	0.0116416606177944144395741687958434340544044971466064453125	0.10821670998718226075485659976038732565939426422119140625	0.01033689454471887168851562677218680619262158870697021484375	0.08993773773495382373166506795314489863812923431396484375	-2.5073564658050853	11.165672512625292	TMEM100
