Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of lamellipodium morphogenesis (GO:2000394)	1/8	0.0019986003500778331577747426450741841108538210391998291015625	0.026749987593001567365291748501476831734180450439453125	0.001869287807525870682978652581596179516054689884185791015625	0.0230210192308940263250516267135026282630860805511474609375	-2.626978604067091	16.32748157600473	ENPP2
regulation of lamellipodium morphogenesis (GO:2000392)	1/12	0.00299670148493003628276110106298801838420331478118896484375	0.026749987593001567365291748501476831734180450439453125	0.002699334097885359821933359825152365374378859996795654296875	0.0230210192308940263250516267135026282630860805511474609375	-2.2781547025395414	13.236632641701549	ENPP2
glycerophospholipid catabolic process (GO:0046475)	1/16	0.003994003899080438881041832388518741936422884464263916015625	0.026749987593001567365291748501476831734180450439453125	0.00352892008263634184006551919310368248261511325836181640625	0.0230210192308940263250516267135026282630860805511474609375	-2.236620219250193	12.352766394271413	ENPP2
organophosphate catabolic process (GO:0046434)	1/9	0.002248200539947395500128823897512120311148464679718017578125	0.026749987593001567365291748501476831734180450439453125	0.0020768425406974821978423051405115984380245208740234375	0.0230210192308940263250516267135026282630860805511474609375	-2.0089144565495034	12.249607299926065	ENPP2
negative regulation of T cell apoptotic process (GO:0070233)	1/10	0.0024977507874931761076842118285412652767263352870941162109375	0.026749987593001567365291748501476831734180450439453125	0.0022843684988724057872977457606111784116365015506744384765625	0.0230210192308940263250516267135026282630860805511474609375	-1.9466973830584369	11.665320557316425	TSC22D3
positive regulation of lamellipodium organization (GO:1902745)	1/22	0.005488460968926761433805960876952667604200541973114013671875	0.026749987593001567365291748501476831734180450439453125	0.004772436265825884434133019595947189372964203357696533203125	0.0230210192308940263250516267135026282630860805511474609375	-2.0797761975610816	10.825458468553721	ENPP2
phospholipid catabolic process (GO:0009395)	1/18	0.004492355736034617762209020241925827576778829097747802734375	0.026749987593001567365291748501476831734180450439453125	0.003943540500205756742235774225946443038992583751678466796875	0.0230210192308940263250516267135026282630860805511474609375	-1.8805142302836364	10.164890346851548	ENPP2
cellular lipid catabolic process (GO:0044242)	1/25	0.006235016492829923047402918001580474083311855792999267578125	0.026749987593001567365291748501476831734180450439453125	0.00539380621673792026715688052718178369104862213134765625	0.0230210192308940263250516267135026282630860805511474609375	-1.8183601213764151	9.23285817431541	ENPP2
regulation of epithelial cell migration (GO:0010632)	1/49	0.01219133510128455645527001394157196045853197574615478515625	0.037202994419789393865105608938392833806574344635009765625	0.0103554575608631564687112103229083004407584667205810546875	0.03139773760329662988244336929710698314011096954345703125	-1.9145882865987778	8.437647666665843	ENPP2
negative regulation of immune system process (GO:0002683)	1/45	0.01120060385365038123361980382242109044454991817474365234375	0.037202994419789393865105608938392833806574344635009765625	0.0095296642265347182576551432475753244943916797637939453125	0.03139773760329662988244336929710698314011096954345703125	-1.8355286709164074	8.244804898925741	TSC22D3
negative regulation of homeostatic process (GO:0032845)	1/29	0.007229726376486910778551564504823545576073229312896728515625	0.026749987593001567365291748501476831734180450439453125	0.006221897089430818324207184133456394192762672901153564453125	0.0230210192308940263250516267135026282630860805511474609375	-1.596051867302764	7.8678240088835105	TSC22D3
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	1/29	0.007229726376486910778551564504823545576073229312896728515625	0.026749987593001567365291748501476831734180450439453125	0.006221897089430818324207184133456394192762672901153564453125	0.0230210192308940263250516267135026282630860805511474609375	-1.557192798090908	7.676266125351453	G0S2
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	1/86	0.0213180069357516606409763681995173101313412189483642578125	0.039438312831140569236776372008534963242709636688232421875	0.0179722971585742907763005860033445060253143310546875	0.03324874974336243516059852254329598508775234222412109375	-1.884084742970041	7.250340875487115	ENPP2
positive regulation of apoptotic signaling pathway (GO:2001235)	1/77	0.01910424037772968930415373733922024257481098175048828125	0.037202994419789393865105608938392833806574344635009765625	0.0161231625530442145011189580827704048715531826019287109375	0.03139773760329662988244336929710698314011096954345703125	-1.813806449433853	7.178764712973674	G0S2
phosphatidylcholine metabolic process (GO:0046470)	1/72	0.0178726402057770746012455020945708383806049823760986328125	0.037202994419789393865105608938392833806574344635009765625	0.01509486326290878678568763149314690963365137577056884765625	0.03139773760329662988244336929710698314011096954345703125	-1.6041343967531538	6.455813559397248	ENPP2
organonitrogen compound catabolic process (GO:1901565)	1/57	0.0141704151965653911415810028984196833334863185882568359375	0.037202994419789393865105608938392833806574344635009765625	0.01200566698148668350054624198719466221518814563751220703125	0.03139773760329662988244336929710698314011096954345703125	-1.4515563695936584	6.178693281823658	ENPP2
regulation of cell motility (GO:2000145)	1/110	0.0272018495759092475416718315273101325146853923797607421875	0.0445736359852791086400003450762596912682056427001953125	0.022891992611101585897159793603350408375263214111328125	0.037499195246693130256776527176043600775301456451416015625	-1.6136810170049702	5.8164653137940014	ENPP2
positive regulation of epithelial cell migration (GO:0010634)	1/75	0.018611748664806644637526034102847916074097156524658203125	0.037202994419789393865105608938392833806574344635009765625	0.0157119287697126998326613289691522368229925632476806640625	0.03139773760329662988244336929710698314011096954345703125	-1.37920873717374	5.494715542423559	ENPP2
