Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of lipid storage (GO:0010884)	2/20	0.0003535595816666552517783250753069523852900601923465728759765625	0.035797907643748842765329953863329137675464153289794921875	0.000501459628958910558736705720406234831898473203182220458984375	0.05077278743208969713496259146268130280077457427978515625	-2.4684337310200757	19.617774733490624	C3;NFKB1
regulation of extracellular exosome assembly (GO:1903551)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-4.05909250441107	18.79125424747117	SDC4
extracellular matrix assembly (GO:0085029)	2/17	0.0002537326756402876978303828625627147630439139902591705322265625	0.035797907643748842765329953863329137675464153289794921875	0.0003722384452637356546701730142245878596440888941287994384765625	0.05077278743208969713496259146268130280077457427978515625	-2.2468626930543105	18.602291448776864	LOX;HAS1
regulation of smooth muscle cell migration (GO:0014910)	2/19	0.0003184793322679301138221352740487191113061271607875823974609375	0.035797907643748842765329953863329137675464153289794921875	0.000456292822547785703775347077026935949106700718402862548828125	0.05077278743208969713496259146268130280077457427978515625	-2.2180378756090433	17.85953667316046	ACE;TRIB1
positive regulation of lipid localization (GO:1905954)	2/11	0.000103147300764098041382134385290925138178863562643527984619140625	0.035797907643748842765329953863329137675464153289794921875	0.00017073503715063192000093994504794636668520979583263397216796875	0.05077278743208969713496259146268130280077457427978515625	-1.7990267014435464	16.51390022581324	C3;NFKB1
oxygen transport (GO:0015671)	1/8	0.0111472147520225196848375759373084292747080326080322265625	0.0949555281024774544551547705850680358707904815673828125	0.013618334358163487751713915940854349173605442047119140625	0.1089636014892315374336106970076798461377620697021484375	-3.3005674294611764	14.841217997809942	MYC
positive regulation of metanephros development (GO:0072216)	1/9	0.012532162629386445207302358539891429245471954345703125	0.0949555281024774544551547705850680358707904815673828125	0.0151205077379491896472085699087983812205493450164794921875	0.1089636014892315374336106970076798461377620697021484375	-3.383718393469019	14.818848963544696	MYC
neutrophil mediated immunity (GO:0002446)	5/488	0.00052341704097773572405827291476043683360330760478973388671875	0.04239678031919659473292227858109981752932071685791015625	0.000735737675586909203352681263510248754755593836307525634765625	0.059594751722539640592657406159560196101665496826171875	-1.940248648351849	14.658834670848139	C3;ACE;PTX3;CXCL1;NFKB1
blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-2.9779884675557438	13.78636687364587	BMPER
negative regulation of cellular metabolic process (GO:0031324)	2/35	0.00109291709824137456101567078547986966441385447978973388671875	0.0737719041312927814590949537887354381382465362548828125	0.00142592314879692459890503375419257281464524567127227783203125	0.09624981254379240402929696074352250434458255767822265625	-2.0174387689095945	13.75672314826213	PTX3;NFKB1
hematopoietic stem cell differentiation (GO:0060218)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-2.967778729709325	13.739101683344444	ACE
response to hydroperoxide (GO:0033194)	1/9	0.012532162629386445207302358539891429245471954345703125	0.0949555281024774544551547705850680358707904815673828125	0.0151205077379491896472085699087983812205493450164794921875	0.1089636014892315374336106970076798461377620697021484375	-3.0833014257496623	13.503185792722974	GPX3
regulation of hyaluronan biosynthetic process (GO:1900125)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-2.908727393991014	13.465728099980751	NFKB1
positive regulation of autophagy of mitochondrion (GO:1903599)	1/8	0.0111472147520225196848375759373084292747080326080322265625	0.0949555281024774544551547705850680358707904815673828125	0.013618334358163487751713915940854349173605442047119140625	0.1089636014892315374336106970076798461377620697021484375	-2.9863363424499303	13.428257298266221	HK2
negative regulation of sterol transport (GO:0032372)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-2.874883120678862	13.309048658963226	NFKB1
regulation of tube diameter (GO:0035296)	1/8	0.0111472147520225196848375759373084292747080326080322265625	0.0949555281024774544551547705850680358707904815673828125	0.013618334358163487751713915940854349173605442047119140625	0.1089636014892315374336106970076798461377620697021484375	-2.9588109177035093	13.304487419942408	ACE
negative regulation by host of viral process (GO:0044793)	1/11	0.0152964492547281553924687358403389225713908672332763671875	0.0949555281024774544551547705850680358707904815673828125	0.018118305986654259509549547146889381110668182373046875	0.1089636014892315374336106970076798461377620697021484375	-3.0855468813234213	12.898001131582626	PTX3
regulation of vitamin D biosynthetic process (GO:0060556)	1/8	0.0111472147520225196848375759373084292747080326080322265625	0.0949555281024774544551547705850680358707904815673828125	0.013618334358163487751713915940854349173605442047119140625	0.1089636014892315374336106970076798461377620697021484375	-2.8427072739272017	12.78241976810669	NFKB1
negative regulation of monooxygenase activity (GO:0032769)	1/9	0.012532162629386445207302358539891429245471954345703125	0.0949555281024774544551547705850680358707904815673828125	0.0151205077379491896472085699087983812205493450164794921875	0.1089636014892315374336106970076798461377620697021484375	-2.855636636648149	12.506137654637877	NFKB1
positive regulation of apoptotic cell clearance (GO:2000427)	1/8	0.0111472147520225196848375759373084292747080326080322265625	0.0949555281024774544551547705850680358707904815673828125	0.013618334358163487751713915940854349173605442047119140625	0.1089636014892315374336106970076798461377620697021484375	-2.768022751008705	12.446595910729297	C3
negative regulation of protein metabolic process (GO:0051248)	2/44	0.00172417390395978730073534013200742265325970947742462158203125	0.0775878256781904196426324915591976605355739593505859375	0.0021976766366520830188469037835830022231675684452056884765625	0.09889544864934372847553589735980494879186153411865234375	-1.9522599796256386	12.422244383668792	PTX3;NFKB1
striated muscle hypertrophy (GO:0014897)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-2.667208821319274	12.347636580847094	MYOC
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.0949555281024774544551547705850680358707904815673828125	0.01211397410566612299620548043321832665242254734039306640625	0.1089636014892315374336106970076798461377620697021484375	-2.6043646781768865	12.056704489383362	MYC
