Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of extracellular exosome assembly (GO:1903551)	1/7	0.0108012904052580162306274047523402259685099124908447265625	0.09110791400822552954519295553836855106055736541748046875	0.01211397410566612299620548043321832665242254734039306640625	0.092762630585878358413509658930706791579723358154296875	-4.075528216132304	18.454357215347923	SDC1
regulation of wound healing, spreading of epidermal cells (GO:1903689)	1/7	0.0108012904052580162306274047523402259685099124908447265625	0.09110791400822552954519295553836855106055736541748046875	0.01211397410566612299620548043321832665242254734039306640625	0.092762630585878358413509658930706791579723358154296875	-3.608956046222599	16.34167659246049	PHLDB2
aminoglycan catabolic process (GO:0006026)	2/33	0.0011914423484010064173410636811922813649289309978485107421875	0.074856366511932836971254801028408110141754150390625	0.0012762589446438763092495083384392273728735744953155517578125	0.07201678171530147276602207284668111242353916168212890625	-2.0827710925989043	14.022445180638295	SDC3;SDC1
positive regulation of extracellular matrix assembly (GO:1901203)	1/9	0.013866578448356224606552444811313762329518795013427734375	0.09110791400822552954519295553836855106055736541748046875	0.0151205077379491896472085699087983812205493450164794921875	0.092762630585878358413509658930706791579723358154296875	-3.246229569420728	13.88825879325725	PHLDB2
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1/7	0.0108012904052580162306274047523402259685099124908447265625	0.09110791400822552954519295553836855106055736541748046875	0.01211397410566612299620548043321832665242254734039306640625	0.092762630585878358413509658930706791579723358154296875	-2.957175095710775	13.390354003331412	PTN
peptidyl-lysine hydroxylation (GO:0017185)	1/9	0.013866578448356224606552444811313762329518795013427734375	0.09110791400822552954519295553836855106055736541748046875	0.0151205077379491896472085699087983812205493450164794921875	0.092762630585878358413509658930706791579723358154296875	-3.022815259593559	12.932431213401165	PLOD2
extracellular matrix organization (GO:0030198)	4/230	0.000420084394016795466784974788509998688823543488979339599609375	0.074856366511932836971254801028408110141754150390625	0.0003892587601415826189903135468028949617291800677776336669921875	0.07201678171530147276602207284668111242353916168212890625	-1.6465105679027403	12.80171010618975	COL16A1;ADAM12;COL12A1;TNC
aminoglycan metabolic process (GO:0006022)	2/31	0.00105130832692807850599348018505452273529954254627227783203125	0.074856366511932836971254801028408110141754150390625	0.0011346340243586707126344226281844385084696114063262939453125	0.07201678171530147276602207284668111242353916168212890625	-1.8249466814945843	12.514973109909283	SDC3;SDC1
regulation of multicellular organismal development (GO:2000026)	2/44	0.00211214421849816209875161376885444042272865772247314453125	0.074856366511932836971254801028408110141754150390625	0.0021976766366520830188469037835830022231675684452056884765625	0.07201678171530147276602207284668111242353916168212890625	-2.0002126348739937	12.321413102193588	PLA2G16;PHLDB2
virion attachment to host cell (GO:0019062)	1/10	0.0153957733889487358158731922230799682438373565673828125	0.09110791400822552954519295553836855106055736541748046875	0.0166204972728886402055792359533370472490787506103515625	0.092762630585878358413509658930706791579723358154296875	-2.9174118147753076	12.176291595485807	LRRC15
negative regulation of glucose import (GO:0046325)	1/9	0.013866578448356224606552444811313762329518795013427734375	0.09110791400822552954519295553836855106055736541748046875	0.0151205077379491896472085699087983812205493450164794921875	0.092762630585878358413509658930706791579723358154296875	-2.8195333655806505	12.062735619894955	GRB10
regulation of focal adhesion assembly (GO:0051893)	2/45	0.002208254136280707845274573486449298798106610774993896484375	0.074856366511932836971254801028408110141754150390625	0.0022932396324122764942610164240477388375438749790191650390625	0.07201678171530147276602207284668111242353916168212890625	-1.9426170536995162	11.880177665678685	COL16A1;PHLDB2
myoblast fusion (GO:0007520)	1/8	0.01233508523291303171642852021250291727483272552490234375	0.09110791400822552954519295553836855106055736541748046875	0.013618334358163487751713915940854349173605442047119140625	0.092762630585878358413509658930706791579723358154296875	-2.6187851634640986	11.510366381973798	ADAM12
positive regulation of cAMP-mediated signaling (GO:0043950)	1/9	0.013866578448356224606552444811313762329518795013427734375	0.09110791400822552954519295553836855106055736541748046875	0.0151205077379491896472085699087983812205493450164794921875	0.092762630585878358413509658930706791579723358154296875	-2.6891135924651506	11.504764126489707	CXCL9
T cell chemotaxis (GO:0010818)	1/11	0.0169226733913822834087792301716035581193864345550537109375	0.09110791400822552954519295553836855106055736541748046875	0.018118305986654259509549547146889381110668182373046875	0.092762630585878358413509658930706791579723358154296875	-2.709481627484277	11.052249041202307	CXCL9
glycosaminoglycan catabolic process (GO:0006027)	2/57	0.00351905984040651147182199309781935880891978740692138671875	0.0786224531089773914782625752195599488914012908935546875	0.00358987600955374373812301058705998002551496028900146484375	0.07969952515603202780614111588874948211014270782470703125	-1.9373744306621055	10.945315831505235	SDC3;SDC1
cellular defense response (GO:0006968)	2/57	0.00351905984040651147182199309781935880891978740692138671875	0.0786224531089773914782625752195599488914012908935546875	0.00358987600955374373812301058705998002551496028900146484375	0.07969952515603202780614111588874948211014270782470703125	-1.9238611983411762	10.86897199558162	LGALS3BP;CXCL9
positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)	1/13	0.0199696018873504431423437921466756961308419704437255859375	0.09110791400822552954519295553836855106055736541748046875	0.021107393026284539117032323929379344917833805084228515625	0.092762630585878358413509658930706791579723358154296875	-2.7738325925187755	10.85551608610447	GRB10
ornithine transport (GO:0015822)	1/8	0.01233508523291303171642852021250291727483272552490234375	0.09110791400822552954519295553836855106055736541748046875	0.013618334358163487751713915940854349173605442047119140625	0.092762630585878358413509658930706791579723358154296875	-2.409409614412153	10.590096435955425	SLC7A2
regulation of angiogenesis (GO:0045765)	3/178	0.002594032502888761471115941503740032203495502471923828125	0.074856366511932836971254801028408110141754150390625	0.0024956310495401500849921294644673253060318529605865478515625	0.07201678171530147276602207284668111242353916168212890625	-1.7707785847821083	10.544174859280933	ADAM12;THBS2;THBS4
adipose tissue development (GO:0060612)	1/10	0.0153957733889487358158731922230799682438373565673828125	0.09110791400822552954519295553836855106055736541748046875	0.0166204972728886402055792359533370472490787506103515625	0.092762630585878358413509658930706791579723358154296875	-2.4912734439541646	10.397733958588349	ARID5B
amino acid import across plasma membrane (GO:0089718)	1/8	0.01233508523291303171642852021250291727483272552490234375	0.09110791400822552954519295553836855106055736541748046875	0.013618334358163487751713915940854349173605442047119140625	0.092762630585878358413509658930706791579723358154296875	-2.3315040796404958	10.247677645397134	SLC7A2
phosphatidylinositol acyl-chain remodeling (GO:0036149)	1/17	0.0260360657850735414953202706556112389080226421356201171875	0.09110791400822552954519295553836855106055736541748046875	0.0270595298615970945854680707043371512554585933685302734375	0.092762630585878358413509658930706791579723358154296875	-2.8045993248623025	10.231942749093882	PLA2G16
negative regulation of morphogenesis of an epithelium (GO:1905331)	1/12	0.018447281781014346346836418888415209949016571044921875	0.09110791400822552954519295553836855106055736541748046875	0.0196139368993822234277235594390731421299278736114501953125	0.092762630585878358413509658930706791579723358154296875	-2.557317456154806	10.210954951959422	PHLDB2
adrenal gland development (GO:0030325)	1/11	0.0169226733913822834087792301716035581193864345550537109375	0.09110791400822552954519295553836855106055736541748046875	0.018118305986654259509549547146889381110668182373046875	0.092762630585878358413509658930706791579723358154296875	-2.4922529707822534	10.166151424446818	MDK
integrin activation (GO:0033622)	1/9	0.013866578448356224606552444811313762329518795013427734375	0.09110791400822552954519295553836855106055736541748046875	0.0151205077379491896472085699087983812205493450164794921875	0.092762630585878358413509658930706791579723358154296875	-2.365848621877594	10.121748084554072	COL16A1
negative regulation of glucose transport (GO:0010829)	1/11	0.0169226733913822834087792301716035581193864345550537109375	0.09110791400822552954519295553836855106055736541748046875	0.018118305986654259509549547146889381110668182373046875	0.092762630585878358413509658930706791579723358154296875	-2.451321977951986	9.999189773304785	GRB10
negative regulation of focal adhesion assembly (GO:0051895)	1/15	0.0230073905176291747254335717798312543891370296478271484375	0.09110791400822552954519295553836855106055736541748046875	0.02408779296777784073579908863393939100205898284912109375	0.092762630585878358413509658930706791579723358154296875	-2.6367172960744334	9.945538878280402	PHLDB2
phosphatidylserine acyl-chain remodeling (GO:0036150)	1/22	0.033568056278410286774604998072391026653349399566650390625	0.09110791400822552954519295553836855106055736541748046875	0.034451128500020834766193189580008038319647312164306640625	0.092762630585878358413509658930706791579723358154296875	-2.8349156588456186	9.62221508048382	PLA2G16
negative regulation of adherens junction organization (GO:1903392)	1/16	0.0245228656672462179411109417515035602264106273651123046875	0.09110791400822552954519295553836855106055736541748046875	0.0255747427958564789440831788169816718436777591705322265625	0.092762630585878358413509658930706791579723358154296875	-2.5355441778544394	9.402176378720803	PHLDB2
muscle cell migration (GO:0014812)	1/11	0.0169226733913822834087792301716035581193864345550537109375	0.09110791400822552954519295553836855106055736541748046875	0.018118305986654259509549547146889381110668182373046875	0.092762630585878358413509658930706791579723358154296875	-2.278381241703978	9.293747054301532	THBS4
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	1/17	0.0260360657850735414953202706556112389080226421356201171875	0.09110791400822552954519295553836855106055736541748046875	0.0270595298615970945854680707043371512554585933685302734375	0.092762630585878358413509658930706791579723358154296875	-2.4121443516997623	8.800160040812214	SRPX2
regulation of exosomal secretion (GO:1903541)	1/17	0.0260360657850735414953202706556112389080226421356201171875	0.09110791400822552954519295553836855106055736541748046875	0.0270595298615970945854680707043371512554585933685302734375	0.092762630585878358413509658930706791579723358154296875	-2.2930358972211966	8.365619935081575	SDC1
aminoglycan biosynthetic process (GO:0006023)	2/47	0.0024065922327846261431771868188889129669405519962310791015625	0.074856366511932836971254801028408110141754150390625	0.0024901857990081142403548941643975922488607466220855712890625	0.07201678171530147276602207284668111242353916168212890625	-1.3762845523822893	8.298367636738574	SDC3;SDC1
regulation of gastrulation (GO:0010470)	1/15	0.0230073905176291747254335717798312543891370296478271484375	0.09110791400822552954519295553836855106055736541748046875	0.02408779296777784073579908863393939100205898284912109375	0.092762630585878358413509658930706791579723358154296875	-2.1913692896171026	8.265713013300367	PHLDB2
myotube differentiation (GO:0014902)	1/16	0.0245228656672462179411109417515035602264106273651123046875	0.09110791400822552954519295553836855106055736541748046875	0.0255747427958564789440831788169816718436777591705322265625	0.092762630585878358413509658930706791579723358154296875	-2.2287729538050147	8.264622877732522	ADAM12
positive regulation of embryonic development (GO:0040019)	1/26	0.03955303361718114085743280838869395665824413299560546875	0.09110791400822552954519295553836855106055736541748046875	0.040325782264794364506688140181722701527178287506103515625	0.092762630585878358413509658930706791579723358154296875	-2.5384721342359513	8.199551547404422	PHLDB2
regulation of cAMP metabolic process (GO:0030814)	1/14	0.0214896370258662351704348481007400550879538059234619140625	0.09110791400822552954519295553836855106055736541748046875	0.0225986773794398833337115917174742207862436771392822265625	0.092762630585878358413509658930706791579723358154296875	-2.1274458375444083	8.169784442370817	CXCL9
negative regulation of cell junction assembly (GO:1901889)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.09110791400822552954519295553836855106055736541748046875	0.031500944434194093346501830410488764755427837371826171875	0.092762630585878358413509658930706791579723358154296875	-2.3154202376240582	8.07617715358803	PHLDB2
regulation of phosphate metabolic process (GO:0019220)	1/15	0.0230073905176291747254335717798312543891370296478271484375	0.09110791400822552954519295553836855106055736541748046875	0.02408779296777784073579908863393939100205898284912109375	0.092762630585878358413509658930706791579723358154296875	-2.111597565519198	7.964818873232962	SRPX2
negative regulation of stress fiber assembly (GO:0051497)	1/18	0.027546994173544003814413372310809791088104248046875	0.09110791400822552954519295553836855106055736541748046875	0.028542157162771399081524492657990776933729648590087890625	0.092762630585878358413509658930706791579723358154296875	-2.1913186824894626	7.870913985030677	PHLDB2
T cell migration (GO:0072678)	1/17	0.0260360657850735414953202706556112389080226421356201171875	0.09110791400822552954519295553836855106055736541748046875	0.0270595298615970945854680707043371512554585933685302734375	0.092762630585878358413509658930706791579723358154296875	-2.152984566848928	7.854674509972111	CXCL9
positive regulation of focal adhesion assembly (GO:0051894)	1/18	0.027546994173544003814413372310809791088104248046875	0.09110791400822552954519295553836855106055736541748046875	0.028542157162771399081524492657990776933729648590087890625	0.092762630585878358413509658930706791579723358154296875	-2.173562847184412	7.807137477517103	COL16A1
muscle cell development (GO:0055001)	1/14	0.0214896370258662351704348481007400550879538059234619140625	0.09110791400822552954519295553836855106055736541748046875	0.0225986773794398833337115917174742207862436771392822265625	0.092762630585878358413509658930706791579723358154296875	-2.0327273800798253	7.806048094049631	SDC1
diterpenoid metabolic process (GO:0016101)	2/63	0.004281420713855204306097501643080249777995049953460693359375	0.0786224531089773914782625752195599488914012908935546875	0.00434007315206114997752084860849208780564367771148681640625	0.07969952515603202780614111588874948211014270782470703125	-1.4152240122982451	7.717882234934837	SDC3;SDC1
retinoid metabolic process (GO:0001523)	2/76	0.006170221715194578078478304661302900058217346668243408203125	0.0830923190979536430145202530184178613126277923583984375	0.006191581578655167873714848525423803948797285556793212890625	0.083379965259222921236670345024322159588336944580078125	-1.4955420899094067	7.609348823017962	SDC3;SDC1
hepaticobiliary system development (GO:0061008)	1/22	0.033568056278410286774604998072391026653349399566650390625	0.09110791400822552954519295553836855106055736541748046875	0.034451128500020834766193189580008038319647312164306640625	0.092762630585878358413509658930706791579723358154296875	-2.2331319475256937	7.579652620403437	ARID5B
negative regulation of angiogenesis (GO:0016525)	2/70	0.0052586991208404230968564974091350450180470943450927734375	0.08171209403152042416440536953814444132149219512939453125	0.00529908349223691226004273602256944286637008190155029296875	0.0823396050332197149135282643328537233173847198486328125	-1.4284890762359819	7.496527251588617	THBS2;THBS4
regulation of tissue remodeling (GO:0034103)	1/18	0.027546994173544003814413372310809791088104248046875	0.09110791400822552954519295553836855106055736541748046875	0.028542157162771399081524492657990776933729648590087890625	0.092762630585878358413509658930706791579723358154296875	-2.0803528329944223	7.472339983161133	THBS4
positive regulation of cyclic nucleotide metabolic process (GO:0030801)	1/17	0.0260360657850735414953202706556112389080226421356201171875	0.09110791400822552954519295553836855106055736541748046875	0.0270595298615970945854680707043371512554585933685302734375	0.092762630585878358413509658930706791579723358154296875	-2.0353681259135445	7.42557767630511	CXCL9
ether lipid metabolic process (GO:0046485)	1/10	0.0153957733889487358158731922230799682438373565673828125	0.09110791400822552954519295553836855106055736541748046875	0.0166204972728886402055792359533370472490787506103515625	0.092762630585878358413509658930706791579723358154296875	-1.7730032245929201	7.399916649766057	PLA2G16
myoblast differentiation (GO:0045445)	1/17	0.0260360657850735414953202706556112389080226421356201171875	0.09110791400822552954519295553836855106055736541748046875	0.0270595298615970945854680707043371512554585933685302734375	0.092762630585878358413509658930706791579723358154296875	-2.023333631392634	7.381672560212176	SDC1
negative regulation of protein localization to plasma membrane (GO:1903077)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.09110791400822552954519295553836855106055736541748046875	0.031500944434194093346501830410488764755427837371826171875	0.092762630585878358413509658930706791579723358154296875	-2.108857749291345	7.355687964648059	LRRC15
positive regulation of calcium ion transmembrane transport (GO:1904427)	1/26	0.03955303361718114085743280838869395665824413299560546875	0.09110791400822552954519295553836855106055736541748046875	0.040325782264794364506688140181722701527178287506103515625	0.092762630585878358413509658930706791579723358154296875	-2.269506970076161	7.330763705205756	CXCL9
phosphatidylcholine acyl-chain remodeling (GO:0036151)	1/28	0.042532055882250896505780701772891916334629058837890625	0.09139867327887958581289495896271546371281147003173828125	0.04325029942969320362333718321679043583571910858154296875	0.0929421328170002836177587823840440250933170318603515625	-2.2861438028358627	7.218492727823775	PLA2G16
glycosaminoglycan metabolic process (GO:0030203)	2/62	0.00414949378304785287951972350128926336765289306640625	0.0786224531089773914782625752195599488914012908935546875	0.004210401032301671654656249899062459007836878299713134765625	0.07969952515603202780614111588874948211014270782470703125	-1.3090663785213013	7.1799266030595215	SDC3;SDC1
liver development (GO:0001889)	1/32	0.048463297746908211294236679123059730045497417449951171875	0.09413063600841788114426123001976520754396915435791015625	0.0490738325244686190984566565020941197872161865234375	0.0953164824032948221343986006104387342929840087890625	-2.3461245489648803	7.101598219501431	ARID5B
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	1/23	0.035067675374454675141233650492722517810761928558349609375	0.09110791400822552954519295553836855106055736541748046875	0.035923001780519193959495538592818775214254856109619140625	0.092762630585878358413509658930706791579723358154296875	-2.1080758486689697	7.0630564880170885	GRB10
positive regulation of neutrophil chemotaxis (GO:0090023)	1/25	0.0380601607770208183456617234696750529110431671142578125	0.09110791400822552954519295553836855106055736541748046875	0.038860325694574045229945369328561355359852313995361328125	0.092762630585878358413509658930706791579723358154296875	-2.1217076216251076	6.934986358949817	THBS4
aspartate family amino acid biosynthetic process (GO:0009067)	1/12	0.018447281781014346346836418888415209949016571044921875	0.09110791400822552954519295553836855106055736541748046875	0.0196139368993822234277235594390731421299278736114501953125	0.092762630585878358413509658930706791579723358154296875	-1.7362404887562013	6.9325274317387615	PLOD2
negative regulation of protein localization to cell periphery (GO:1904376)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.09110791400822552954519295553836855106055736541748046875	0.031500944434194093346501830410488764755427837371826171875	0.092762630585878358413509658930706791579723358154296875	-1.9785151462325221	6.9010534512851445	LRRC15
positive regulation of adherens junction organization (GO:1903393)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.09110791400822552954519295553836855106055736541748046875	0.031500944434194093346501830410488764755427837371826171875	0.092762630585878358413509658930706791579723358154296875	-1.975656964988377	6.891084125765011	COL16A1
L-alpha-amino acid transmembrane transport (GO:1902475)	1/16	0.0245228656672462179411109417515035602264106273651123046875	0.09110791400822552954519295553836855106055736541748046875	0.0255747427958564789440831788169816718436777591705322265625	0.092762630585878358413509658930706791579723358154296875	-1.8504911635509145	6.861897520433897	SLC7A2
negative regulation of actin filament bundle assembly (GO:0032232)	1/21	0.032066181894427503440425653025158680975437164306640625	0.09110791400822552954519295553836855106055736541748046875	0.032977110376699571292480328565943636931478977203369140625	0.092762630585878358413509658930706791579723358154296875	-1.954131167244527	6.7221200115842175	PHLDB2
positive regulation of cell junction assembly (GO:1901890)	1/24	0.03656504244815490800579738106534932740032672882080078125	0.09110791400822552954519295553836855106055736541748046875	0.037392733188761732854299424388955230824649333953857421875	0.092762630585878358413509658930706791579723358154296875	-2.030860745639929	6.719433034232731	COL16A1
