Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nerve growth factor binding (GO:0048406)	1/7	0.00906594147580630504990040208213031291961669921875	0.0803400733405983391577365182456560432910919189453125	0.00903242183063039660861903712429921142756938934326171875	0.06809465203843280411977190169636742211878299713134765625	-4.495890256580432	21.14520854731535	PCSK6
neurotrophin binding (GO:0043121)	1/10	0.01292710490781633081436297061372897587716579437255859375	0.0803400733405983391577365182456560432910919189453125	0.01240011986348524448964258937166960095055401325225830078125	0.06809465203843280411977190169636742211878299713134765625	-4.088636015570158	17.77914348723587	PCSK6
omega peptidase activity (GO:0008242)	1/8	0.01035460678445748565479345160156299243681132793426513671875	0.0803400733405983391577365182456560432910919189453125	0.01015616385016411722663765004881497588939964771270751953125	0.06809465203843280411977190169636742211878299713134765625	-3.278835301191127	14.985338876753023	UCHL1
dipeptidyl-peptidase activity (GO:0008239)	1/9	0.0116416606177944144395741687958434340544044971466064453125	0.0803400733405983391577365182456560432910919189453125	0.0112787294849760778847613806874505826272070407867431640625	0.06809465203843280411977190169636742211878299713134765625	-2.925921887845033	13.029613476482705	DPP4
transferase activity, transferring amino-acyl groups (GO:0016755)	1/17	0.02188030982483291086992949203704483807086944580078125	0.0803400733405983391577365182456560432910919189453125	0.020217039962043992229467903598560951650142669677734375	0.06809465203843280411977190169636742211878299713134765625	-2.59125003697751	9.904193337592655	QPCT
adrenergic receptor binding (GO:0031690)	1/16	0.0206060783409345756045372155540462699718773365020751953125	0.0803400733405983391577365182456560432910919189453125	0.019103844848926833377422696003122837282717227935791015625	0.06809465203843280411977190169636742211878299713134765625	-2.2747397127302453	8.830924408959014	UCHL1
scavenger receptor activity (GO:0005044)	1/22	0.028227593335885904635151888442123890854418277740478515625	0.0803400733405983391577365182456560432910919189453125	0.0257655440145421431308303539253756753169000148773193359375	0.06809465203843280411977190169636742211878299713134765625	-2.3024996065303402	8.21406440696509	ACKR3
chemokine binding (GO:0019956)	1/18	0.0231529471650368245949636047953390516340732574462890625	0.0803400733405983391577365182456560432910919189453125	0.0213290688144965913386474909430035040713846683502197265625	0.06809465203843280411977190169636742211878299713134765625	-2.1568266593282175	8.12181807330275	ACKR3
peptidase activator activity (GO:0016504)	1/17	0.02188030982483291086992949203704483807086944580078125	0.0803400733405983391577365182456560432910919189453125	0.020217039962043992229467903598560951650142669677734375	0.06809465203843280411977190169636742211878299713134765625	-2.0736313497336973	7.9257676818449	PCOLCE2
peptidase activity, acting on L-amino acid peptides (GO:0070011)	2/186	0.0241516705931085866321250676946874591521918773651123046875	0.0803400733405983391577365182456560432910919189453125	0.01850413830422803496134065426304005086421966552734375	0.06809465203843280411977190169636742211878299713134765625	-2.1115093154020945	7.8619974285421925	DPP4;PCSK6
chemokine receptor activity (GO:0004950)	1/22	0.028227593335885904635151888442123890854418277740478515625	0.0803400733405983391577365182456560432910919189453125	0.0257655440145421431308303539253756753169000148773193359375	0.06809465203843280411977190169636742211878299713134765625	-2.135138420752517	7.6170108590269585	ACKR3
epidermal growth factor receptor binding (GO:0005154)	1/26	0.0332768859780730175135232684624497778713703155517578125	0.08208298541258012004373512127131107263267040252685546875	0.0301834484905027060352988854674549656920135021209716796875	0.07445250627657333530873273730321670882403850555419921875	-2.1185273855338833	7.209120395752337	EFEMP1
glutathione transferase activity (GO:0004364)	1/31	0.03955303361718114085743280838869395665824413299560546875	0.0914663902397313821612812034800299443304538726806640625	0.035679822574144474944812799321880447678267955780029296875	0.0789414558635754826099173442344181239604949951171875	-1.911340958657772	6.173847056980559	GSTM1
endopeptidase activity (GO:0004175)	3/355	0.01065335501133339579649117467852192930877208709716796875	0.0803400733405983391577365182456560432910919189453125	0.00682761407090192416757812310379449627362191677093505859375	0.06809465203843280411977190169636742211878299713134765625	-1.322715640815574	6.007616259531587	DPP4;UCHL1;PCSK6
protein homodimerization activity (GO:0042803)	3/665	0.05396850832296885835948074827683740295469760894775390625	0.10677179561008409702793642281903885304927825927734375	0.03627039864002117031116512180233257822692394256591796875	0.0789414558635754826099173442344181239604949951171875	-2.0574368927416797	6.006387819460729	DPP4;CADM3;GSTM1
serine-type peptidase activity (GO:0008236)	2/221	0.033194941661050726688930723184967064298689365386962890625	0.08208298541258012004373512127131107263267040252685546875	0.025482380828010180173759380295450682751834392547607421875	0.06809465203843280411977190169636742211878299713134765625	-1.6972820739629249	5.7798527057064	DPP4;PCSK6
aminopeptidase activity (GO:0004177)	1/35	0.0445457246607632584289859778436948545277118682861328125	0.096952459555778858213415105637977831065654754638671875	0.040056203167755245753145487697111093439161777496337890625	0.0823377509559413411910355762302060611546039581298828125	-1.5918127574710788	4.95251008595824	DPP4
serine-type endopeptidase activity (GO:0004252)	2/197	0.0268663378504537357638337624621271970681846141815185546875	0.0803400733405983391577365182456560432910919189453125	0.0205940792621725453359626811788984923623502254486083984375	0.06809465203843280411977190169636742211878299713134765625	-1.2942705279413895	4.681222684609728	DPP4;PCSK6
exopeptidase activity (GO:0008238)	1/46	0.058147283646628487863150525072342134080827236175537109375	0.10677179561008409702793642281903885304927825927734375	0.0519968961926183526056632899781106971204280853271484375	0.09541268291469005846661133318775682710111141204833984375	-1.6447855462404293	4.679046634561387	UCHL1
calcium-dependent phospholipid binding (GO:0005544)	1/48	0.060600208319236924248141207272055908106267452239990234375	0.10677179561008409702793642281903885304927825927734375	0.05415314435698624639936582525479025207459926605224609375	0.09541268291469005846661133318775682710111141204833984375	-1.4471967653940518	4.057153827503564	ANXA3
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	1/62	0.07759949588284471844179535082730581052601337432861328125	0.12148694912114356425636430003578425385057926177978515625	0.0691205860229331670030461509668384678661823272705078125	0.10537904199210378075601823866236372850835323333740234375	-1.5628831816332507	3.995033155739549	EFEMP1
growth factor receptor binding (GO:0070851)	1/93	0.1141945608921099142296640138738439418375492095947265625	0.136296733968002181658363269889377988874912261962890625	0.101488020935263489885613807928166352212429046630859375	0.12113086369692738220038563667912967503070831298828125	-1.8401841209263758	3.9929264789780627	EFEMP1
thiol-dependent ubiquitin-specific protease activity (GO:0004843)	1/77	0.0954846886686612494887782531804987229406833648681640625	0.1261761957407309397982686505201854743063449859619140625	0.08491429866303064344368323190792580135166645050048828125	0.11220818037614764539622314032385475002229213714599609375	-1.496140091703648	3.5141179470543156	UCHL1
collagen binding (GO:0005518)	1/53	0.066705675752659565613811309958691708743572235107421875	0.11218681831129108383837689189022057689726352691650390625	0.0595239740523171578789884961224743165075778961181640625	0.1001085018152606809227478379398235119879245758056640625	-1.286037055729014	3.481900620514114	PCOLCE2
cysteine-type endopeptidase activity (GO:0004197)	1/82	0.10137196606278582600157989190847729332745075225830078125	0.1293366463559681156514358235654071904718875885009765625	0.09012365378812674243658165096348966471850872039794921875	0.1149853513848513586470545533302356489002704620361328125	-1.4861253708208735	3.401679589190131	UCHL1
ubiquitin binding (GO:0043130)	1/63	0.0788023453758769087951208121012314222753047943115234375	0.12148694912114356425636430003578425385057926177978515625	0.070181277791834306700735623962827958166599273681640625	0.10537904199210378075601823866236372850835323333740234375	-1.338231025626657	3.400194143103265	UCHL1
ubiquitin-like protein-specific protease activity (GO:0019783)	1/75	0.0931194086319927227801684921359992586076259613037109375	0.1261761957407309397982686505201854743063449859619140625	0.08282285874310864326464098894575727172195911407470703125	0.11220818037614764539622314032385475002229213714599609375	-1.2678301342288179	3.0096672749393187	UCHL1
zinc ion binding (GO:0008270)	2/303	0.0585727777690502049434684295192710123956203460693359375	0.10677179561008409702793642281903885304927825927734375	0.04529890883755073593963658140637562610208988189697265625	0.0882136645783882789029206605846411548554897308349609375	-1.0551964497914568	2.9941043447492106	QPCT;CRIP2
protease binding (GO:0002020)	1/119	0.1438069610815288779104292871124926023185253143310546875	0.166276798750517762481848649258608929812908172607421875	0.1278304163163996587382342795535805635154247283935546875	0.1478039188658371028139981717686168849468231201171875	-1.5431809317135983	2.992665205409656	DPP4
thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)	1/93	0.1141945608921099142296640138738439418375492095947265625	0.136296733968002181658363269889377988874912261962890625	0.101488020935263489885613807928166352212429046630859375	0.12113086369692738220038563667912967503070831298828125	-1.3056794520335568	2.8331306621958094	UCHL1
cysteine-type peptidase activity (GO:0008234)	1/66	0.08240185122475555956622628173136035911738872528076171875	0.121954739812638213170004064522800035774707794189453125	0.073356662989978060895879252711893059313297271728515625	0.10537904199210378075601823866236372850835323333740234375	-1.1116612711971756	2.774870365098794	UCHL1
transition metal ion binding (GO:0046914)	2/400	0.09470267100111885716362536413726047612726688385009765625	0.1261761957407309397982686505201854743063449859619140625	0.074050137616072930768496007658541202545166015625	0.10537904199210378075601823866236372850835323333740234375	-1.0388848652990652	2.448665210221609	QPCT;CRIP2
calcium ion binding (GO:0005509)	1/285	0.311610366165369578883570511607103981077671051025390625	0.3294166728033907087791476442362181842327117919921875	0.279907572533641069156828962150029838085174560546875	0.295902290964134839779120511593646369874477386474609375	-1.8208773110273144	2.1231460365060646	CLEC3B
ubiquitin-like protein ligase binding (GO:0044389)	1/298	0.32332292979768195717582557335845194756984710693359375	0.332304122292062020793679266716935671865940093994140625	0.29071707198159224549982582175289280712604522705078125	0.298792546203303144292107162982574664056301116943359375	-1.6317217514331435	1.8423830221292947	UCHL1
ubiquitin protein ligase binding (GO:0031625)	1/285	0.311610366165369578883570511607103981077671051025390625	0.3294166728033907087791476442362181842327117919921875	0.279907572533641069156828962150029838085174560546875	0.295902290964134839779120511593646369874477386474609375	-1.3988841464364201	1.6311012900490263	UCHL1
tubulin binding (GO:0015631)	1/256	0.284775749877520578667855488674831576645374298095703125	0.31929402258994732388686088597751222550868988037109375	0.255243849474659223464101387435221113264560699462890625	0.286182497895830056933164087240584194660186767578125	-0.9832655506182686	1.2350338914224261	STMN4
metal ion binding (GO:0046872)	1/443	0.441634925990272708684614144658553414046764373779296875	0.441634925990272708684614144658553414046764373779296875	0.401546962575142718510079475890961475670337677001953125	0.401546962575142718510079475890961475670337677001953125	-1.023542583862247	0.8365123849712994	CLEC3B
