Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
uridylyltransferase activity (GO:0070569)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.10228547997385646628476507657978800125420093536376953125	0.010413861983327450666525493261360679753124713897705078125	0.096200924333744219918429507742985151708126068115234375	-4.368645670216571	20.224306644143446	UAP1
protein-lysine 6-oxidase activity (GO:0004720)	1/7	0.00976039391519139577779728966788752586580812931060791015625	0.10228547997385646628476507657978800125420093536376953125	0.010413861983327450666525493261360679753124713897705078125	0.096200924333744219918429507742985151708126068115234375	-4.0414364421818005	18.70951687538644	LOX
chloride ion binding (GO:0031404)	1/8	0.0111472147520225196848375759373084292747080326080322265625	0.10228547997385646628476507657978800125420093536376953125	0.0117084540007972130737368132713527302257716655731201171875	0.096200924333744219918429507742985151708126068115234375	-3.127407337016856	14.06259228104747	ACE
complement component C1q binding (GO:0001849)	1/10	0.01391523998649627121004801466597200487740337848663330078125	0.10228547997385646628476507657978800125420093536376953125	0.0142928973188769514734985932591371238231658935546875	0.096200924333744219918429507742985151708126068115234375	-2.8087765942355998	12.00687571247291	PTX3
dipeptidase activity (GO:0016805)	1/11	0.0152964492547281553924687358403389225713908672332763671875	0.10228547997385646628476507657978800125420093536376953125	0.015582752203549453395847734782364568673074245452880859375	0.096200924333744219918429507742985151708126068115234375	-2.8267796358288235	11.816319227668622	ACE
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	1/16	0.0221745592101864584522186163439982919953763484954833984375	0.10228547997385646628476507657978800125420093536376953125	0.0220084303770313426118487853955230093561112880706787109375	0.096200924333744219918429507742985151708126068115234375	-2.6314095496400496	10.022538029895706	LOX
histone demethylase activity (H3-K9 specific) (GO:0032454)	1/14	0.019428892814468960714702205905268783681094646453857421875	0.10228547997385646628476507657978800125420093536376953125	0.0194428712183072650854231966377483331598341464996337890625	0.096200924333744219918429507742985151708126068115234375	-2.451697575601725	9.662125436528516	JMJD1C
carbohydrate kinase activity (GO:0019200)	1/14	0.019428892814468960714702205905268783681094646453857421875	0.10228547997385646628476507657978800125420093536376953125	0.0194428712183072650854231966377483331598341464996337890625	0.096200924333744219918429507742985151708126068115234375	-2.3200994133367123	9.143497868563037	HK2
CXCR chemokine receptor binding (GO:0045236)	1/18	0.0249128113826534054731087763912000809796154499053955078125	0.10228547997385646628476507657978800125420093536376953125	0.02456772334302041727038812268801848404109477996826171875	0.096200924333744219918429507742985151708126068115234375	-2.4572113205890336	9.072940967566398	CXCL1
ribosomal small subunit binding (GO:0043024)	1/15	0.02080265399761450917370808610940002836287021636962890625	0.10228547997385646628476507657978800125420093536376953125	0.020726434960986604705279745530788204632699489593505859375	0.096200924333744219918429507742985151708126068115234375	-2.1775228381183585	8.43283761338067	PIM1
