Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
L-ornithine transmembrane transporter activity (GO:0000064)	1/7	0.0108012904052580162306274047523402259685099124908447265625	0.1036923878904769669162533318740315735340118408203125	0.00972341290762090103283465936101492843590676784515380859375	0.0868694116195370125144137318784487433731555938720703125	-3.19690721773731	14.475882548651985	SLC7A2
L-lysine transmembrane transporter activity (GO:0015189)	1/7	0.0108012904052580162306274047523402259685099124908447265625	0.1036923878904769669162533318740315735340118408203125	0.00972341290762090103283465936101492843590676784515380859375	0.0868694116195370125144137318784487433731555938720703125	-3.069958116317401	13.901045633894043	SLC7A2
arginine transmembrane transporter activity (GO:0015181)	1/7	0.0108012904052580162306274047523402259685099124908447265625	0.1036923878904769669162533318740315735340118408203125	0.00972341290762090103283465936101492843590676784515380859375	0.0868694116195370125144137318784487433731555938720703125	-3.0103227569297344	13.631011379082759	SLC7A2
basic amino acid transmembrane transporter activity (GO:0015174)	1/13	0.0199696018873504431423437921466756961308419704437255859375	0.1128444883843283952362668287605629302561283111572265625	0.0169582791058439201481444769115114468149840831756591796875	0.0868694116195370125144137318784487433731555938720703125	-2.5872677721568693	10.125386440212312	SLC7A2
phosphatidylcholine 1-acylhydrolase activity (GO:0008970)	1/11	0.0169226733913822834087792301716035581193864345550537109375	0.1128444883843283952362668287605629302561283111572265625	0.0145521286668537121189448413360878475941717624664306640625	0.0868694116195370125144137318784487433731555938720703125	-2.35150375962194	9.592021185541709	PLA2G16
volume-sensitive anion channel activity (GO:0005225)	1/11	0.0169226733913822834087792301716035581193864345550537109375	0.1128444883843283952362668287605629302561283111572265625	0.0145521286668537121189448413360878475941717624664306640625	0.0868694116195370125144137318784487433731555938720703125	-2.333230397578619	9.51748229733734	TTYH2
CXCR chemokine receptor binding (GO:0045236)	1/18	0.027546994173544003814413372310809791088104248046875	0.1128444883843283952362668287605629302561283111572265625	0.0229498086118860682158793196094848099164664745330810546875	0.0868694116195370125144137318784487433731555938720703125	-2.4809248351843274	8.911139277504951	CXCL9
intracellular chloride channel activity (GO:0061778)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.1128444883843283952362668287605629302561283111572265625	0.025336911722364963139852989115752279758453369140625	0.0868694116195370125144137318784487433731555938720703125	-2.3750353929323564	8.284114592971616	TTYH2
phosphatase inhibitor activity (GO:0019212)	1/19	0.029055654125732792436576090722155640833079814910888671875	0.1128444883843283952362668287605629302561283111572265625	0.0241440379362198864754418536904267966747283935546875	0.0868694116195370125144137318784487433731555938720703125	-2.3278794011898287	8.237299451869948	PTN
growth factor activity (GO:0008083)	2/70	0.0052586991208404230968564974091350450180470943450927734375	0.1036923878904769669162533318740315735340118408203125	0.0033660728266899126066846736904381032218225300312042236328125	0.0868694116195370125144137318784487433731555938720703125	-1.4734656925591607	7.732558758976396	MDK;PTN
intracellular calcium activated chloride channel activity (GO:0005229)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.1128444883843283952362668287605629302561283111572265625	0.025336911722364963139852989115752279758453369140625	0.0868694116195370125144137318784487433731555938720703125	-2.167995354920839	7.561959712532973	TTYH2
insulin receptor binding (GO:0005158)	1/20	0.03056204893742227313158110746371676214039325714111328125	0.1128444883843283952362668287605629302561283111572265625	0.025336911722364963139852989115752279758453369140625	0.0868694116195370125144137318784487433731555938720703125	-2.05112421394132	7.154313608661522	GRB10
protein phosphatase inhibitor activity (GO:0004864)	1/24	0.03656504244815490800579738106534932740032672882080078125	0.11865910085154342257229842516608186997473239898681640625	0.030094879869142436568107967787000234238803386688232421875	0.09630361558125578869127281222972669638693332672119140625	-2.0483165424337377	6.777188376575621	PTN
integrin binding (GO:0005178)	2/95	0.00949188896988278039967834587287143222056329250335693359375	0.1036923878904769669162533318740315735340118408203125	0.006025808342098635563000019743640223168767988681793212890625	0.0868694116195370125144137318784487433731555938720703125	-1.448527085935005	6.746250746023005	COL16A1;THBS4
ion gated channel activity (GO:0022839)	1/26	0.03955303361718114085743280838869395665824413299560546875	0.11865910085154342257229842516608186997473239898681640625	0.032465767577554503764414306488106376491487026214599609375	0.097397302732663504354349015557090751826763153076171875	-2.0842374471202074	6.732322232025036	TTYH2
RNA polymerase II regulatory region DNA binding (GO:0001012)	2/202	0.03896465956659515839088925304167787544429302215576171875	0.11865910085154342257229842516608186997473239898681640625	0.0248768431046382243465586725506000220775604248046875	0.0868694116195370125144137318784487433731555938720703125	-1.9977621482189196	6.482938363972844	PLAGL1;ARID5B
phospholipase A2 activity (GO:0004623)	1/31	0.046983829506843523271530926876948797143995761871337890625	0.1326602244899111326947860334257711656391620635986328125	0.038369463094353954690785002412667381577193737030029296875	0.1083373075605288116118885000105365179479122161865234375	-1.8212495895973775	5.569293441667839	PLA2G16
protein phosphatase regulator activity (GO:0019888)	1/48	0.071834678918326899665913742865086533129215240478515625	0.1626929923399970390196500602542073465883731842041015625	0.05819275874950911864313951582516892813146114349365234375	0.13158368223302563393417585757561028003692626953125	-1.93645119528992	5.099427197429904	PTN
amino acid transmembrane transporter activity (GO:0015171)	1/57	0.08473593351041512622412454902587342076003551483154296875	0.1626929923399970390196500602542073465883731842041015625	0.06853316782970085563331252842544927261769771575927734375	0.13158368223302563393417585757561028003692626953125	-1.9621213732683997	4.84293843107055	SLC7A2
chemokine activity (GO:0008009)	1/47	0.07039038994549300098935162850466440431773662567138671875	0.1626929923399970390196500602542073465883731842041015625	0.057037268313578949607833834534176276065409183502197265625	0.13158368223302563393417585757561028003692626953125	-1.6492996818830106	4.376744143968197	CXCL9
chloride channel activity (GO:0005254)	1/62	0.09182813203404756319248036788849276490509510040283203125	0.163250012504973451843426346385967917740345001220703125	0.074232187441683639139711203824845142662525177001953125	0.1319683332296598121669006786760292015969753265380859375	-1.7775728251444083	4.244553413945527	TTYH2
L-amino acid transmembrane transporter activity (GO:0015179)	1/50	0.07471674508844948492392035177545039914548397064208984375	0.1626929923399970390196500602542073465883731842041015625	0.06049979631838342530869567781337536871433258056640625	0.13158368223302563393417585757561028003692626953125	-1.467947637207126	3.8079311059142595	SLC7A2
chemokine receptor binding (GO:0042379)	1/50	0.07471674508844948492392035177545039914548397064208984375	0.1626929923399970390196500602542073465883731842041015625	0.06049979631838342530869567781337536871433258056640625	0.13158368223302563393417585757561028003692626953125	-1.424504031487174	3.6952361749909586	CXCL9
carboxylic acid transmembrane transporter activity (GO:0046943)	1/65	0.0960578920421584492306266156447236426174640655517578125	0.164670672072271651042996154501452110707759857177734375	0.077636040138574113900205020399880595505237579345703125	0.1330903545232699214384552988121868111193180084228515625	-1.4925045253147373	3.496645910970716	SLC7A2
