Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-X585-1026-SM-46MW6_lung_male_50-59_years	11/1215	0.0000003268764655202009047061696700442467999891960062086582183837890625	0.00080215484638657304217179699890039046294987201690673828125	0.0000003331126731672848295806176228961437146836033207364380359649658203125	0.0008174584999525169592970996745862066745758056640625	-1.6743151100369629	25.00369196388657	GDF10;THBD;CCBE1;EDNRA;SPOCK2;COL4A4;SUSD2;COL4A3;CDH11;LTBP4;FMO2
GTEX-VUSG-0626-SM-4KL1Z_blood vessel_male_50-59_years	8/662	0.00000238679844214896453238211083969222414680189103819429874420166015625	0.0020949511122201436123801965294433102826587855815887451171875	0.0000025243661399648527042809294240743867021592450328171253204345703125	0.0021758222770483412987496674162457566126249730587005615234375	-1.804536457401998	23.360730748030054	EDNRA;PID1;CFH;UNC5B;COL4A4;CDH11;LTBP4;EPHA3
GTEX-O5YW-0526-SM-2YUMX_lung_male_50-59_years	9/911	0.00000256106492936447877791232737021420717837827396579086780548095703125	0.0020949511122201436123801965294433102826587855815887451171875	0.00000265992943404442685922700780054572788912992109544575214385986328125	0.0021758222770483412987496674162457566126249730587005615234375	-1.7680387308036267	22.76365318203755	THBD;CCBE1;UNC5B;DOCK9;SPOCK2;COL4A4;SUSD2;COL4A3;FMO2
GTEX-O5YW-0426-SM-3MJHJ_blood vessel_male_50-59_years	7/503	0.00000456942977645920562113253382552358061730046756565570831298828125	0.0028033451678577225689437124600544848362915217876434326171875	0.0000048838669080195907842953557953524779122744803316891193389892578125	0.0029962523480700190177394848234371238504536449909210205078125	-1.74653535046242	21.47561198453812	PID1;CFH;UNC5B;COL4A4;CDH11;LTBP4;FMO2
GTEX-WFON-0426-SM-3GIL4_lung_male_40-49_years	9/1073	0.0000097353840936895735445021082821170921306475065648555755615234375	0.004499623517213395713920665031082535278983414173126220703125	0.0000099977731380525473674734937556962677263072691857814788818359375	0.004675155136969150714010279301646733074449002742767333984375	-1.7411016609167338	20.091866513454043	GDF10;THBD;EDNRA;DOCK9;SPOCK2;COL4A4;SUSD2;COL4A3;FMO2
GTEX-O5YW-3026-SM-3MJHI_blood vessel_male_50-59_years	6/382	0.000012321648338871338257405341209960170090198516845703125	0.004499623517213395713920665031082535278983414173126220703125	0.000013239572720198012991169554675163766432888223789632320404052734375	0.004675155136969150714010279301646733074449002742767333984375	-1.7220522529369617	19.466341822733146	COL15A1;CFH;SUSD2;CDH11;FMO2;EPHA3
GTEX-WHSB-0326-SM-3LK6K_lung_male_50-59_years	8/832	0.000012835111907291674353064590829998081744633964262902736663818359375	0.004499623517213395713920665031082535278983414173126220703125	0.000013335813349137757527853621886126944673378602601587772369384765625	0.004675155136969150714010279301646733074449002742767333984375	-1.7151479616560912	19.31827067283993	GDF10;THBD;CCBE1;DOCK9;SPOCK2;SUSD2;COL4A3;FMO2
GTEX-N7MS-0626-SM-2YUN7_blood vessel_male_60-69_years	8/899	0.0000224881011564961150899812081238593464149744249880313873291015625	0.006131755582004607720014721650159117416478693485260009765625	0.00002324963936800844471254091916367912062924006022512912750244140625	0.00633940166767696898497685964457559748552739620208740234375	-1.7897713848245889	19.155071605313722	GDF10;COL15A1;CFH;UNC5B;LTBP4;CPE;MEOX2;EPHA3
GTEX-UJHI-0326-SM-4IHJE_blood vessel_female_50-59_years	7/676	0.0000311120439197585529358079659001390382400131784379482269287109375	0.007072342823817659614171748927446969901211559772491455078125	0.000032490926489430445116800283411606642403057776391506195068359375	0.007291237124060631451250014123388609732501208782196044921875	-1.7810902935825168	18.484004652736687	EDNRA;CFH;COL4A4;SUSD2;CDH11;LTBP4;EPHA3
GTEX-XOTO-0226-SM-4B66H_adipose tissue_male_50-59_years	7/723	0.00004775356237158247707692837469295454866369254887104034423828125	0.00837051728999024281796526025800631032325327396392822265625	0.0000496585048292331020648553152607718175204354338347911834716796875	0.0087044264893527158177821689832853735424578189849853515625	-1.8552882130019979	18.459110092266904	GDF10;THBD;COL15A1;ENTPD2;LTBP4;PIK3R1;MEOX2
GTEX-QEG4-0526-SM-48TZD_lung_male_30-39_years	10/1458	0.00001596011230793975568483834825972422777340398170053958892822265625	0.004895764450460519945362847238357062451541423797607421875	0.00001611722480910813575156505239593940359554835595190525054931640625	0.00494395871019392106615608639685888192616403102874755859375	-1.6611939046426258	18.348580938099534	GDF10;THBD;CCBE1;EDNRA;SPOCK2;COL4A4;SUSD2;COL4A3;LTBP4;FMO2
GTEX-WYJK-0826-SM-3NM8Y_lung_male_50-59_years	8/943	0.0000317016181996716635738305101188672097123344428837299346923828125	0.007072342823817659614171748927446969901211559772491455078125	0.0000326828069945668095073153247565045376177295111119747161865234375	0.007291237124060631451250014123388609732501208782196044921875	-1.711186015109166	17.726420341055036	GDF10;THBD;CCBE1;DOCK9;SPOCK2;SUSD2;COL4A3;FMO2
GTEX-WL46-0426-SM-3TW8J_nerve_male_50-59_years	7/698	0.0000381731913716253017467873454027227353435591794550418853759765625	0.00720592397122834550649006501998883322812616825103759765625	0.000039782679055450046617416204330908158226520754396915435791015625	0.0075097457232364932255830325402712333016097545623779296875	-1.7412537383214537	17.714430881098547	GDF10;COL15A1;ENTPD2;CLEC11A;LTBP4;PIK3R1;MEOX2
GTEX-QDVN-0126-SM-4GIC9_blood vessel_male_50-59_years	6/464	0.000036856123378051862241912284279266032172017730772495269775390625	0.00720592397122834550649006501998883322812616825103759765625	0.0000389756125331684931075749978024447273128316737711429595947265625	0.0075097457232364932255830325402712333016097545623779296875	-1.7243689041226231	17.603200615086187	THBD;COL15A1;PID1;CFH;COL4A4;SUSD2
GTEX-RN64-0726-SM-48FCV_blood vessel_male_50-59_years	8/1128	0.000112627218833552005168054110928466116092749871313571929931640625	0.0158363533721589851144262439675003406591713428497314453125	0.000115065385145416925849297384853997527898172847926616668701171875	0.0161760209191285364571655236431979574263095855712890625	-1.8868878352502378	17.15450327770924	EDNRA;CFH;UNC5B;COL4A4;COL4A3;CDH11;LTBP4;EPHA3
GTEX-S341-2026-SM-2XCAA_blood vessel_female_40-49_years	6/579	0.0001254871675249649557760955875806985204690136015415191650390625	0.016207658374013896029897097150751505978405475616455078125	0.00013080009596074977109257664320551839409745298326015472412109375	0.0168938650256673650318361978861503303050994873046875	-1.8306297920131556	16.445109526449244	PID1;CFH;SUSD2;PIK3R1;MEOX2;EPHA3
GTEX-WRHU-1126-SM-4E3I1_blood vessel_female_50-59_years	7/826	0.00011051827434930237836763211589641286991536617279052734375	0.0158363533721589851144262439675003406591713428497314453125	0.000114073518375566840374508992272950536062126047909259796142578125	0.0161760209191285364571655236431979574263095855712890625	-1.8032692623104227	16.428377466947985	COL15A1;CFH;COL4A4;COL4A3;CDH11;LTBP4;EPHA3
GTEX-PWCY-2126-SM-48TEC_nerve_female_20-29_years	6/588	0.00013653016512707463422406084507798595950589515268802642822265625	0.0167522512610920569497974241812698892317712306976318359375	0.0001421857522063902962324022372087028998066671192646026611328125	0.017446191795724090567443198551700334064662456512451171875	-1.8083378746755003	16.092335414788266	PID1;ENTPD2;CFH;SUSD2;PIK3R1;MEOX2
GTEX-OOBJ-3026-SM-3NB1D_blood vessel_male_60-69_years	6/608	0.00016385013389046715229051265350079802374239079654216766357421875	0.0182767376621457457164243720626473077572882175445556640625	0.0001703218911948797451537396252518874462111853063106536865234375	0.0189986327723743152195989836172884679399430751800537109375	-1.772851172662219	15.453160720151594	EDNRA;CFH;UNC5B;CDH11;LTBP4;EPHA3
GTEX-PSDG-1026-SM-48TCV_blood vessel_male_50-59_years	6/637	0.0002110098481079511760667710706940169984591193497180938720703125	0.0207127266902764894940247586418990977108478546142578125	0.00021880524129423031365164475925411124990205280482769012451171875	0.021477922485441648670079217708916985429823398590087890625	-1.8218309795123748	15.419259157518443	THBD;PID1;CFH;COL4A4;LTBP4;FMO2
GTEX-R53T-0726-SM-48FCS_blood vessel_female_50-59_years	6/624	0.00018869566770989321699385221631217746107722632586956024169921875	0.019294132023336581227557218198853661306202411651611328125	0.00019587663487766028363144810153784192152670584619045257568359375	0.0200283859162407630594149310354623594321310520172119140625	-1.7694080341231961	15.17333753468487	COL15A1;EDNRA;CFH;UNC5B;CDH11;EPHA3
GTEX-UPIC-0826-SM-3GADQ_lung_female_20-29_years	8/1119	0.0001064955489227176264714624931428943455102853477001190185546875	0.0158363533721589851144262439675003406591713428497314453125	0.00010883983431809007131306488158628553719609044492244720458984375	0.0161760209191285364571655236431979574263095855712890625	-1.6459352319450637	15.056040067683492	GDF10;THBD;EDNRA;SPOCK2;SUSD2;COL4A3;CDH11;FMO2
GTEX-X261-1026-SM-3NMDL_lung_male_50-59_years	8/1133	0.000116159071189430215787462274956709507023333571851253509521484375	0.0158363533721589851144262439675003406591713428497314453125	0.000118650520189206865333438056797632498273742385208606719970703125	0.0161760209191285364571655236431979574263095855712890625	-1.6520140416837648	14.968155830133187	GDF10;THBD;CCBE1;EDNRA;DOCK9;CDH11;FMO2;MEOX2
GTEX-U3ZH-0426-SM-4DXSE_blood vessel_male_30-39_years	5/431	0.0002963721153516665741088631502719863419770263135433197021484375	0.0258934262389460025099996443032068782486021518707275390625	0.000309625394867890668150478550302295843721367418766021728515625	0.0270410424088889066174257180819040513597428798675537109375	-1.8019405837024456	14.638775641857801	COL15A1;CFH;COL4A4;SUSD2;FHL1
GTEX-R55E-0326-SM-48FD2_blood vessel_male_20-29_years	6/673	0.0002838821906675914196090115826365263274055905640125274658203125	0.025801736885121086262362410934656509198248386383056640625	0.0002935659836426460938575699888275494231493212282657623291015625	0.0266818860688538307679440464426079415716230869293212890625	-1.7685987541678556	14.44405976623245	THBD;EDNRA;FHL1;LTBP4;MEOX2;EPHA3
