Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-PWCY-2126-SM-48TEC_nerve_female_20-29_years	3/588	0.00024189822377570471996499623656973199103958904743194580078125	0.10231741250740643278671626603681943379342555999755859375	0.0002747552840728175230743113299780588931753300130367279052734375	0.1160296576652501965298824870842508971691131591796875	-1.8314664760197008	15.250609410477376	TSC22D3;G0S2;ANGPTL1
GTEX-WFON-2226-SM-3TW8W_adipose tissue_male_40-49_years	3/625	0.0002897616796304864164070258514271927197114564478397369384765625	0.10231741250740643278671626603681943379342555999755859375	0.000328785395936094623943468651106059041921980679035186767578125	0.1160296576652501965298824870842508971691131591796875	-1.8141203336670708	14.778643798150936	TSC22D3;G0S2;ANGPTL1
GTEX-XUZC-1126-SM-4BOPZ_adipose tissue_female_30-39_years	3/648	0.0003224288209267009495777311922637409224989823997020721435546875	0.10231741250740643278671626603681943379342555999755859375	0.0003656396775165447255752371180648196968832053244113922119140625	0.1160296576652501965298824870842508971691131591796875	-1.7665047250761161	14.202041126123843	G0S2;COL6A6;ANGPTL1
GTEX-OXRK-0326-SM-3NB3R_adipose tissue_female_50-59_years	3/745	0.0004866330284490496898251732371676325783482752740383148193359375	0.10499347044978309118068438010595855303108692169189453125	0.00055069065305953716731035552101047869655303657054901123046875	0.118642150261455248116959637627587653696537017822265625	-1.7749766406068448	13.539522265293883	TSC22D3;G0S2;ANGPTL1
GTEX-XQ8I-0526-SM-4BOPS_adipose tissue_male_50-59_years	3/791	0.000580529678802158672322464294524024808197282254695892333984375	0.10499347044978309118068438010595855303108692169189453125	0.000656393533973746094549450713628857556614093482494354248046875	0.118642150261455248116959637627587653696537017822265625	-1.774446781130673	13.222413747623376	TSC22D3;G0S2;COL6A6
GTEX-QDVJ-1826-SM-2S1P3_adipose tissue_male_50-59_years	3/827	0.00066172355325493548323934067667551062186248600482940673828125	0.10499347044978309118068438010595855303108692169189453125	0.00074774464450497006573481684199578012339770793914794921875	0.118642150261455248116959637627587653696537017822265625	-1.747382424606636	12.791997307898821	TSC22D3;ENPP2;G0S2
GTEX-S32W-2226-SM-2XCAY_adipose tissue_female_50-59_years	3/889	0.00081826403976063832867993141917395405471324920654296875	0.11128390940744681270047067300765775144100189208984375	0.000923756377961154097333551504789284081198275089263916015625	0.125630867402716950298469100744114257395267486572265625	-1.7091822124690927	12.149423481885487	TSC22D3;ENPP2;G0S2
GTEX-XYKS-1326-SM-4BRUN_breast_female_60-69_years	3/1055	0.00135076359692486917644937971516583274933509528636932373046875	0.1607408680340594309132740136192296631634235382080078125	0.00152169219512910368352631707011823891662061214447021484375	0.181081371220363329666014351460034959018230438232421875	-1.740321113413533	11.498449904899408	G0S2;COL6A6;ANGPTL1
GTEX-P4QR-1026-SM-2I5GP_lung_male_60-69_years	3/1133	0.0016632412008947571914474483634194257319904863834381103515625	0.168310850267125611257057471448206342756748199462890625	0.0018721515277863205739539154137673904187977313995361328125	0.189405841370139771395741945525514893233776092529296875	-1.7188069961427124	10.99862370919004	TSC22D3;G0S2;COL6A6
GTEX-U3ZN-2626-SM-3DB7T_adipose tissue_female_30-39_years	3/1263	0.00228125998745641427045693916397794964723289012908935546875	0.1974326825507733140785404657435719855129718780517578125	0.002564639074423598862073614412793176597915589809417724609375	0.221957854441024171610052917458233423531055450439453125	-1.6862639252971756	10.257589598114226	ENPP2;G0S2;COL6A6
GTEX-WEY5-1926-SM-3GIL8_adipose tissue_female_40-49_years	3/1157	0.00176797111625131967739543714657202144735492765903472900390625	0.168310850267125611257057471448206342756748199462890625	0.00198955715724936747779150181258955853991210460662841796875	0.189405841370139771395741945525514893233776092529296875	-1.6051650557745387	10.173411966970873	ENPP2;G0S2;ANGPTL1
