Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-WOFM-0726-SM-3MJF8_adipose tissue_male_20-29_years	13/482	0.0000000000000212294205745097821498746068543330583512640519217029577703215181827545166015625	0.000000000040463275615015647201041701503307075442339435511485135066322982311248779296875	0.000000000000001640310190931254232715873667903497230019667883771372629553297883830964565277099609375	0.00000000000312643122391497040662883054593765741642485966877984537859447300434112548828125	-1.7645129897618075	55.552847815285325	SRPX;GPX3;JMJD1C;UAP1;C3;PROCR;CILP;ADAMTS1;MYC;HAS1;PIM1;PTX3;TRIB1
GTEX-WH7G-1126-SM-3NMBK_adipose tissue_male_40-49_years	14/758	0.0000000000002747628318939096209344386634188506281510806783519029750095796771347522735595703125	0.00000000026184897879489585395780035153375127354724583028655615635216236114501953125	0.000000000000014266853265944490238771001682743860830494993241490675472959992475807666778564453125	0.0000000000135963111624450988315173045811054216604196742679278031573630869388580322265625	-1.7286129399859578	49.99644405713953	SRPX;GPX3;JMJD1C;UAP1;NFKB1;HK2;PROCR;CILP;ADAMTS1;MYC;HAS1;PIM1;PTX3;TRIB1
GTEX-SE5C-0926-SM-4BRUF_fallopian tube_female_40-49_years	12/566	0.000000000004732891831484099067954331095098353975915428382137406515539623796939849853515625	0.000000002775660902488164437357839102959132515646700767319998703896999359130859375	0.000000000000473453768230964382330815892873507178656954097473175124832778237760066986083984375	0.000000000225600720562054521566823943581263194058106336115088197402656078338623046875	-1.754842454653189	45.76012245368037	C3;SRPX;PROCR;CILP;ADAMTS1;MYC;HAS1;PIM1;UAP1;CXCL1;TRIB1;NFKB1
GTEX-WFON-1226-SM-3TW8F_adipose tissue_male_40-49_years	13/750	0.0000000000058251015791986665922944284786463668701639306846118415705859661102294921875	0.000000002775660902488164437357839102959132515646700767319998703896999359130859375	0.0000000000004212014367950023391072627998494981238432506576163660838574287481606006622314453125	0.000000000225600720562054521566823943581263194058106336115088197402656078338623046875	-1.7416419590620926	45.054265323908375	SRPX;SDC4;JMJD1C;UAP1;NFKB1;C3;PROCR;CILP;ADAMTS1;MYC;HAS1;PIM1;TRIB1
GTEX-WEY5-1326-SM-3GILS_adipose tissue_female_40-49_years	12/759	0.000000000142421035191969304924871207282031058960480862651820643804967403411865234375	0.00000005429089861517869508757347927520309216475880020880140364170074462890625	0.00000000001392514398623755361159107031719518016675551930205756434588693082332611083984375	0.00000000530826488755375530038296190437664689998342737453640438616275787353515625	-1.747085311218061	39.610325961048645	C3;SRPX;PROCR;CILP;GPX3;ADAMTS1;MYC;HAS1;PIM1;CXCL1;TRIB1;HK2
GTEX-XUZC-1126-SM-4BOPZ_adipose tissue_female_30-39_years	11/648	0.0000000004936960274399150441991572651491936019052531037232256494462490081787109375	0.0000001568307713834130102370490421337390074540962814353406429290771484375	0.000000000064011328698856476213596431779941087203411598238744772970676422119140625	0.000000020334265416670075460350256175978689299199686502106487751007080078125	-1.7629085743039377	37.77754609914194	SRPX;PROCR;ACE;LOX;CILP;GPX3;HAS1;PIM1;UAP1;PTX3;CXCL14
GTEX-P4PQ-0226-SM-2S1NK_adipose tissue_male_60-69_years	10/609	0.0000000050942759253398221882817145981202366922246937974705360829830169677734375	0.0000009709689913697700736831645851321326290417346172034740447998046875	0.00000000085294301170072141179655406071908989307228665666116285137832164764404296875	0.000000162570938030157490190318633586918917188768318737857043743133544921875	-1.7772245575034586	33.936366479262425	C3;SRPX;PROCR;ACE;LOX;CILP;GPX3;HAS1;UAP1;PTX3
GTEX-XGQ4-1026-SM-4AT4L_adipose tissue_male_50-59_years	10/598	0.00000000427886647262648530732691458454246269393905777178588323295116424560546875	0.0000009709689913697700736831645851321326290417346172034740447998046875	0.00000000071693652820680163532146585741631171495580332475583418272435665130615234375	0.00000016179234139504652165476058893467392607590227271430194377899169921875	-1.7485237455017029	33.69331418346188	C3;SRPX;PROCR;GPX3;ADAMTS1;MYC;HAS1;PIM1;CXCL1;TRIB1
GTEX-XUJ4-1726-SM-4BONW_adipose tissue_female_60-69_years	11/805	0.00000000481273620418896100914592572970855666181222431987407617270946502685546875	0.0000009709689913697700736831645851321326290417346172034740447998046875	0.00000000062218939467935821365503556038619066559380854641858604736626148223876953125	0.00000016179234139504652165476058893467392607590227271430194377899169921875	-1.711281293360217	32.77445942822955	SRPX;PROCR;CILP;GPX3;HAS1;MYC;PIM1;UAP1;PTX3;TRIB1;NFKB1
GTEX-WXYG-0926-SM-3NB2O_adipose tissue_female_50-59_years	10/602	0.0000000045608469969179840755168437783396984119832495707669295370578765869140625	0.0000009709689913697700736831645851321326290417346172034740447998046875	0.00000000076397223114135291544729125024805471699806957985856570303440093994140625	0.00000016179234139504652165476058893467392607590227271430194377899169921875	-1.6756157232231121	32.181469219499874	C3;SRPX;PROCR;BMPER;CILP;GPX3;ADAMTS1;MYC;HAS1;PIM1
