Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-P4PQ-0226-SM-2S1NK_adipose tissue_male_60-69_years	9/609	0.0000002348593019569081873220849250583075473741700989194214344024658203125	0.000543699284030242494837603661750335959368385374546051025390625	0.000000190264190496282628917143800971467637594969346537254750728607177734375	0.000431708916424329808107784867132750150631181895732879638671875	-1.7881689786636676	27.295110577823024	H19;LRRC15;CXCL9;SRPX2;P4HA3;ADAM12;TNC;MEST;CTHRC1
GTEX-SSA3-0226-SM-32QPN_adipose tissue_male_60-69_years	11/1127	0.0000005161210555790433238823665222649861306081220391206443309783935546875	0.0005695164473946798429360161009071816806681454181671142578125	0.0000003729666664573043663338564220055548759091834654100239276885986328125	0.000431708916424329808107784867132750150631181895732879638671875	-1.7329467167563422	25.08773877259042	FBLN7;LRRC15;PLA2G16;H19;SRPX2;PLAGL1;P4HA3;ADAM12;PHLDB2;MEST;CTHRC1
GTEX-Q734-1826-SM-2I3EL_adipose tissue_female_40-49_years	9/698	0.000000738034273081658516411376023957924275009645498357713222503662109375	0.0005695164473946798429360161009071816806681454181671142578125	0.0000005907853778054334885629322697553345022924986551515758037567138671875	0.0004558893832065261477771989095941762570873834192752838134765625	-1.677886273041405	23.690538669115135	LRRC15;SRPX2;PLAGL1;P4HA3;COL12A1;ADAM12;TNC;MEST;CTHRC1
GTEX-XPVG-0008-SM-4GICH_skin_male_50-59_years	9/806	0.000002430610785942168849157844767727709722748841159045696258544921875	0.00112537279389122416191348907688052349840290844440460205078125	0.000001927263201049895301555404947269067861270741559565067291259765625	0.00089232286208610158730059058740380351082421839237213134765625	-1.7494642406909129	22.615968007185607	LRRC15;SRPX2;P4HA3;ADAM12;COL12A1;PLOD2;THBS2;MEST;CTHRC1
GTEX-X88G-0008-SM-47JWN_skin_male_30-39_years	9/789	0.0000020393535653097890874142598949259053142668562941253185272216796875	0.00112537279389122416191348907688052349840290844440460205078125	0.000001618995569268103290800665805537761343657621182501316070556640625	0.00089232286208610158730059058740380351082421839237213134765625	-1.7234052735055574	22.581568491939947	LRRC15;SRPX2;COL16A1;P4HA3;ADAM12;COL12A1;PLOD2;THBS2;CTHRC1
GTEX-X4LF-1726-SM-3NMBZ_adipose tissue_male_50-59_years	8/652	0.0000049605895166879111077219872971699743402496096678078174591064453125	0.0016405378187332162777389843455466689192689955234527587890625	0.000004103585970540172934788690495278018488534144125878810882568359375	0.00135711450311435722661246305875692996778525412082672119140625	-1.8345540314357114	22.407217201381187	LRRC15;PLA2G16;P4HA3;COL12A1;FIBIN;THBS2;THBS4;CTHRC1
GTEX-XV7Q-0008-SM-4BRWL_skin_female_40-49_years	9/829	0.000003062323881053128458583530158154673017634195275604724884033203125	0.00118154663077299861874414066420513336197473108768463134765625	0.00000242451114366069937059214832453246657451018108986318111419677734375	0.000935457216262419754583545827841817299486137926578521728515625	-1.7373999505117597	22.058614392837388	LRRC15;COL16A1;P4HA3;ADAM12;COL12A1;TNC;PLOD2;THBS2;CTHRC1
GTEX-WRHU-0726-SM-3MJFL_blood vessel_female_50-59_years	8/702	0.00000852901542464647337347775912785863283716025762259960174560546875	0.0019744670708056583606493372684553833096288144588470458984375	0.0000070251008846663846535234541901271398955941549502313137054443359375	0.0016263108548002680638078221164732894976623356342315673828125	-1.8455746615868358	21.54161504999904	FBLN7;COL16A1;P4HA3;TNC;ARID5B;THBS2;PHLDB2;CTHRC1
GTEX-XOT4-0008-SM-4B664_skin_female_60-69_years	9/919	0.00000709317588517545418694450198859868805811856873333454132080078125	0.0018245224637979083615046960176186985336244106292724609375	0.00000559037132547029973054543428023777096314006485044956207275390625	0.00143796773538486049280604728295429595164023339748382568359375	-1.7466396616731104	20.708818974002288	SRPX2;P4HA3;ADAM12;COL12A1;FIBIN;PLOD2;THBS2;MEST;CTHRC1
GTEX-XUZC-0008-SM-4BOQG_skin_female_30-39_years	9/910	0.0000065494027939143396638450866920067028331686742603778839111328125	0.0018245224637979083615046960176186985336244106292724609375	0.0000051637131759401356753159950674358924516127444803714752197265625	0.00143796773538486049280604728295429595164023339748382568359375	-1.7252758820436875	20.59312875426635	LRRC15;SRPX2;P4HA3;ADAM12;COL12A1;TNC;PLOD2;THBS2;CTHRC1
GTEX-XOTO-0008-SM-4GICE_skin_male_50-59_years	10/1252	0.0000117587187504450169268921388976423259009607136249542236328125	0.00226845282560668437543682784962584264576435089111328125	0.000008852578550913117681731533126221478369188844226300716400146484375	0.00170780994544698894697931645936250788508914411067962646484375	-1.73263645847263	19.667010155742776	FBLN7;LRRC15;P4HA3;ADAM12;COL12A1;TNC;PLOD2;THBS2;MEST;CTHRC1
GTEX-XXEK-0008-SM-4BRW7_skin_male_50-59_years	9/1004	0.00001446239568294677024936321918513471018741256557404994964599609375	0.002575418923540136184602289404210750944912433624267578125	0.00001136730639739444694773055910541614821340772323310375213623046875	0.00202425494692062661605813644882800872437655925750732421875	-1.743961589659262	19.434635891886856	FBLN7;LRRC15;SRPX2;P4HA3;ADAM12;COL12A1;PLOD2;THBS2;CTHRC1
GTEX-XBEC-0008-SM-4AT3X_skin_male_50-59_years	9/973	0.0000112449292099054681402965638614688259622198529541492462158203125	0.00226845282560668437543682784962584264576435089111328125	0.000008845860941932663702746454659209263127195299603044986724853515625	0.00170780994544698894697931645936250788508914411067962646484375	-1.665320916658163	18.9773198266355	LRRC15;SRPX2;P4HA3;ADAM12;COL12A1;FIBIN;PLOD2;THBS2;CTHRC1
GTEX-PW2O-0008-SM-48TEB_skin_male_20-29_years	9/1069	0.00002384507399299679798374516914716281235087080858647823333740234375	0.003942953306699113931454991899272499722428619861602783203125	0.000018717911250264716339908321884877295815385878086090087890625	0.003095140324597344359813799741232287487946450710296630859375	-1.7216822781555532	18.32547064920712	LGALS3BP;SRPX2;P4HA3;ADAM12;COL12A1;PLOD2;THBS2;MEST;CTHRC1
GTEX-XMD3-0008-SM-4AT4V_skin_female_50-59_years	9/1079	0.00002567219525432468251878621867678731405248981900513172149658203125	0.0039620754675841092506960450236874748952686786651611328125	0.0000201492276716480948027532260624639093293808400630950927734375	0.0031096974706576892798215450142151894397102296352386474609375	-1.668755314619224	17.63891396942633	FBLN7;LRRC15;PLAGL1;ADAM12;COL12A1;FIBIN;PLOD2;THBS2;CTHRC1
GTEX-XYKS-2726-SM-4E3IC_adipose tissue_female_60-69_years	7/623	0.000037702337942569421756940084566878113037091679871082305908203125	0.0054550570210655131841992471208868664689362049102783203125	0.000032087413166466730550518970943585372879169881343841552734375	0.0045331486423638329974483696105380658991634845733642578125	-1.710529840392886	17.423095093435478	LRRC15;SRPX2;P4HA3;COL12A1;TNC;THBS4;CTHRC1
GTEX-X88G-0226-SM-4GIE4_adipose tissue_male_30-39_years	8/872	0.0000407693446118952490466076643560455750048276968300342559814453125	0.005551825457443382468014636543784945388324558734893798828125	0.000033288780527077822704411225185339162635500542819499969482421875	0.0045331486423638329974483696105380658991634845733642578125	-1.7013305893229111	17.196335236261213	LRRC15;PLA2G16;CXCL9;SRPX2;PLAGL1;ADAM12;MEST;CTHRC1
GTEX-O5YW-0008-SM-4E3IE_skin_male_50-59_years	8/937	0.000067825567071889576449376935141089006719994358718395233154296875	0.0074792008039284187115303126347498618997633457183837890625	0.000055289642786696582940804411965274312024121172726154327392578125	0.006094816212666393472063841585395493893884122371673583984375	-1.7294028864003816	16.59979697837255	LRRC15;SRPX2;P4HA3;ADAM12;COL12A1;PLOD2;THBS2;CTHRC1
GTEX-W5X1-2626-SM-4LMI8_adipose tissue_female_40-49_years	8/941	0.00006989075352055519369139091612197489666868932545185089111328125	0.0074792008039284187115303126347498618997633457183837890625	0.000056968664188151229101943207044911332559422589838504791259765625	0.006094816212666393472063841585395493893884122371673583984375	-1.7272952058626927	16.52775752277982	LRRC15;MDK;PLAGL1;P4HA3;ADAM12;MEST;THBS4;CTHRC1
GTEX-Q734-2226-SM-3GAD9_blood vessel_female_40-49_years	7/676	0.000063260247672363521657425133870589206708245910704135894775390625	0.0074792008039284187115303126347498618997633457183837890625	0.0000536518381314154922385843693444229529632139019668102264404296875	0.006094816212666393472063841585395493893884122371673583984375	-1.703659781275196	16.471414515254686	LRRC15;SDC3;TNC;ARID5B;PLOD2;THBS2;PHLDB2
