Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glutathione metabolism_Homo sapiens_hsa00480	1/52	0.06548764280278375482513553151875385083258152008056640625	0.1522331869843211171744457033128128387033939361572265625	0.044493121716290072453769965932224295102059841156005859375	0.10363083335941514206979263690300285816192626953125	-1.8937836183035999	5.162253049504394	GSTM1
Viral myocarditis_Homo sapiens_hsa05416	1/59	0.07398187934535176146777502026452566497027873992919921875	0.1522331869843211171744457033128128387033939361572265625	0.0502442213364072409742533409371390007436275482177734375	0.10363083335941514206979263690300285816192626953125	-1.8907540705006474	4.923400869746012	CD55
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982	1/69	0.085987831211533916064837512749363668262958526611328125	0.1522331869843211171744457033128128387033939361572265625	0.05841001733849889021588097648418624885380268096923828125	0.10363083335941514206979263690300285816192626953125	-1.81716977306468	4.458515970456258	GSTM1
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980	1/73	0.09074818195459359582155656198665383271872997283935546875	0.1522331869843211171744457033128128387033939361572265625	0.0616599115049954182854463624607888050377368927001953125	0.10363083335941514206979263690300285816192626953125	-1.7302827468345416	4.152102130704014	GSTM1
Complement and coagulation cascades_Homo sapiens_hsa04610	1/79	0.09784403638163656491411046545181307010352611541748046875	0.1522331869843211171744457033128128387033939361572265625	0.06651722284327714340701476203321362845599651336669921875	0.10363083335941514206979263690300285816192626953125	-1.6937037836355822	3.9368121042511697	CD55
Hematopoietic cell lineage_Homo sapiens_hsa04640	1/88	0.108388070724064811134468300224398262798786163330078125	0.1522331869843211171744457033128128387033939361572265625	0.07376389132310949559023782740041497163474559783935546875	0.10363083335941514206979263690300285816192626953125	-1.6115018368097433	3.5808171012991568	CD55
Chemical carcinogenesis_Homo sapiens_hsa05204	1/82	0.10137196606278582600157989190847729332745075225830078125	0.1522331869843211171744457033128128387033939361572265625	0.0689380097397237767697930621579871512949466705322265625	0.10363083335941514206979263690300285816192626953125	-1.542324433015691	3.530316921243848	GSTM1
Protein digestion and absorption_Homo sapiens_hsa04974	1/90	0.11071504507950626072787514431183808483183383941650390625	0.1522331869843211171744457033128128387033939361572265625	0.07536787880684737983560950169703573919832706451416015625	0.10363083335941514206979263690300285816192626953125	-1.5104841312069108	3.3242667390876393	DPP4
Parkinson's disease_Homo sapiens_hsa05012	1/142	0.169207112250650215656833097455091774463653564453125	0.1861278234757152427736315303263836540281772613525390625	0.1162666338202835991655348379936185665428638458251953125	0.127893297202311961857645883355871774256229400634765625	-1.5528758441561845	2.7588886032527546	UCHL1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	1/142	0.169207112250650215656833097455091774463653564453125	0.1861278234757152427736315303263836540281772613525390625	0.1162666338202835991655348379936185665428638458251953125	0.127893297202311961857645883355871774256229400634765625	-1.5332088516512388	2.723947598995176	CADM3
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	1/265	0.29320956116368801502858332241885364055633544921875	0.29320956116368801502858332241885364055633544921875	0.2070449939875551870205327986695920117199420928955078125	0.2070449939875551870205327986695920117199420928955078125	-1.6362797713074744	2.0074987992574043	ACKR3
