Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	3/57	0.000068353104517217703269167661250804712835815735161304473876953125	0.0031100662555334055055233921649460171465761959552764892578125	0.000159559283976928325231303684716976931667886674404144287109375	0.0072599474209502391774950780245490022934973239898681640625	-2.000423531191855	19.185709162829152	MYC;PIM1;NFKB1
Legionellosis_Homo sapiens_hsa05134	3/55	0.000061401475418621195606801166366750521774520166218280792236328125	0.0031100662555334055055233921649460171465761959552764892578125	0.0001441824263147573905417819783991717486060224473476409912109375	0.0072599474209502391774950780245490022934973239898681640625	-1.9200566465351774	18.62085661392541	C3;CXCL1;NFKB1
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	3/104	0.000407089639861516979814359817879676484153605997562408447265625	0.012348385742466015668750145550802699290215969085693359375	0.000879991250001782403244998675972965429536998271942138671875	0.0266930679167207314528287298571740393526852130889892578125	-1.778937377700561	13.88723399281245	C3;ACE;NFKB1
Chemokine signaling pathway_Homo sapiens_hsa04062	3/187	0.0022184386484761331286008623209227152983658015727996826171875	0.033646319501888018177471195713224005885422229766845703125	0.00456263642452885143097063291861559264361858367919921875	0.0629573159602809795387656777165830135345458984375	-1.798475134570053	10.990394576759519	CXCL1;CXCL14;NFKB1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	3/180	0.0019902419312360698257224900231676656403578817844390869140625	0.033646319501888018177471195713224005885422229766845703125	0.004105035710426447638499158898639507242478430271148681640625	0.0629573159602809795387656777165830135345458984375	-1.6790750891289983	10.443005962265682	MYC;JMJD1C;NFKB1
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.0020487896590421022201267131634949691942892968654632568359375	0.033646319501888018177471195713224005885422229766845703125	0.0036855739503084748547034887877771325292997062206268310546875	0.0629573159602809795387656777165830135345458984375	-1.6692995987474206	10.33380929938879	UAP1;HK2
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	2/57	0.0028763652401040027371814655765547286137007176876068115234375	0.037341065012234130049417757390983751974999904632568359375	0.005099643934438936009045928443583761691115796566009521484375	0.0629573159602809795387656777165830135345458984375	-1.5703109795763892	9.18824733893556	CXCL1;NFKB1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	2/68	0.0040666826496295917225953786555692204274237155914306640625	0.037341065012234130049417757390983751974999904632568359375	0.00711578291743277836778336364886854426003992557525634765625	0.0629573159602809795387656777165830135345458984375	-1.6632686852464567	9.156173834141077	CXCL1;NFKB1
Central carbon metabolism in cancer_Homo sapiens_hsa05230	2/67	0.003950482387505176336273127191134335589595139026641845703125	0.037341065012234130049417757390983751974999904632568359375	0.006919689637949679762718435682700146571733057498931884765625	0.0629573159602809795387656777165830135345458984375	-1.6487459892632281	9.1240244217089	MYC;HK2
Chronic myeloid leukemia_Homo sapiens_hsa05220	2/73	0.0046713049200527538562521812082195538096129894256591796875	0.037341065012234130049417757390983751974999904632568359375	0.00813398702591469104083987673448064015246927738189697265625	0.0629573159602809795387656777165830135345458984375	-1.6429405028425506	8.816539254988621	MYC;NFKB1
Leishmaniasis_Homo sapiens_hsa05140	2/73	0.0046713049200527538562521812082195538096129894256591796875	0.037341065012234130049417757390983751974999904632568359375	0.00813398702591469104083987673448064015246927738189697265625	0.0629573159602809795387656777165830135345458984375	-1.5451724318445308	8.29188481111363	C3;NFKB1
Complement and coagulation cascades_Homo sapiens_hsa04610	2/79	0.005448249890159478740769838367441479931585490703582763671875	0.038137749231116353787474082537301001138985157012939453125	0.00943773660725437911478419295008279732428491115570068359375	0.0629573159602809795387656777165830135345458984375	-1.4328346441444058	7.468594477023553	C3;PROCR
Pertussis_Homo sapiens_hsa05133	2/75	0.0049240964851297759630188721757804160006344318389892578125	0.037341065012234130049417757390983751974999904632568359375	0.008558721107085921764312530513052479363977909088134765625	0.0629573159602809795387656777165830135345458984375	-1.3831435550891964	7.349491616685871	C3;NFKB1
MicroRNAs in cancer_Homo sapiens_hsa05206	3/297	0.00806952108017352197355531728817368275485932826995849609375	0.04140034803590179890431244302817503921687602996826171875	0.0160438674288063513884150523836069623939692974090576171875	0.0729995968010689055827100446549593470990657806396484375	-1.5221349112438032	7.336174487898358	MYC;PIM1;NFKB1
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	2/101	0.00876242475742758895884687575517091318033635616302490234375	0.04140034803590179890431244302817503921687602996826171875	0.01495442508172506630714782005497909267432987689971923828125	0.0729995968010689055827100446549593470990657806396484375	-1.5472454362789163	7.329738904167015	PIM1;NFKB1
Small cell lung cancer_Homo sapiens_hsa05222	2/86	0.006424389142863335712407835131898536928929388523101806640625	0.038974627466704235556615998348206630907952785491943359375	0.01106941819081863447038482917150759021751582622528076171875	0.0629573159602809795387656777165830135345458984375	-1.4480794761701683	7.309403765985267	MYC;NFKB1
Salmonella infection_Homo sapiens_hsa05132	2/86	0.006424389142863335712407835131898536928929388523101806640625	0.038974627466704235556615998348206630907952785491943359375	0.01106941819081863447038482917150759021751582622528076171875	0.0629573159602809795387656777165830135345458984375	-1.3378396129232937	6.7529511093192625	CXCL1;NFKB1
Amoebiasis_Homo sapiens_hsa05146	2/100	0.00859630921757346955214273975798278115689754486083984375	0.04140034803590179890431244302817503921687602996826171875	0.01467933818267255600964471540237354929558932781219482421875	0.0729995968010689055827100446549593470990657806396484375	-1.396297477353947	6.641380498634304	CXCL1;NFKB1
TNF signaling pathway_Homo sapiens_hsa04668	2/110	0.0103218659672895396450797989018610678613185882568359375	0.044728085858254669482381160605655168183147907257080078125	0.017530750819960243258588405979025992564857006072998046875	0.07596658688649438051498918866855092346668243408203125	-1.3761622566338976	6.293865316107188	CXCL1;NFKB1
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.00909897759030808828129011089913547039031982421875	0.04140034803590179890431244302817503921687602996826171875	0.01551135704872694774658636873709838255308568477630615234375	0.0729995968010689055827100446549593470990657806396484375	-1.3322211199045024	6.26089734861871	NFKB1;HK2
Hepatitis B_Homo sapiens_hsa05161	2/146	0.0176696200709470056799954562620769138447940349578857421875	0.07308797392982625817925423916676663793623447418212890625	0.029550120214320747813463441389103536494076251983642578125	0.1222300427046903725791793249300098977982997894287109375	-1.4010971190005241	5.654699763833503	MYC;NFKB1
Jak-STAT signaling pathway_Homo sapiens_hsa04630	2/158	0.020492443665635858007778580258673173375427722930908203125	0.08107879885099404659865029998400132171809673309326171875	0.034125207111419884886682751812259084545075893402099609375	0.1350171237886612918277506878439453430473804473876953125	-1.3714630662898513	5.331835677019565	MYC;PIM1
Tuberculosis_Homo sapiens_hsa05152	2/178	0.0255853051236185867478578614964135340414941310882568359375	0.09701094859372046130818745268697966821491718292236328125	0.042330383234328784747280138844871544279158115386962890625	0.1585669297591625614973764868409489281475543975830078125	-1.2439727593713834	4.5600771089975325	C3;NFKB1
Proteoglycans in cancer_Homo sapiens_hsa05205	2/203	0.0325957893141603227693536837250576354563236236572265625	0.10413570211941271248523577241940074600279331207275390625	0.053534127826485609913387264668926945887506008148193359375	0.1641933684777268365184710319226724095642566680908203125	-1.3144918409879134	4.500257672791348	SDC4;MYC
Epstein-Barr virus infection_Homo sapiens_hsa05169	2/202	0.03230222959644828140124417359402286820113658905029296875	0.10413570211941271248523577241940074600279331207275390625	0.05306692212065099167883630570941022597253322601318359375	0.1641933684777268365184710319226724095642566680908203125	-1.3058214304307905	4.482387483236646	MYC;NFKB1
Herpes simplex infection_Homo sapiens_hsa05168	2/185	0.0274780390854540944312045525066423579119145870208740234375	0.10002006227105290914192181617181631736457347869873046875	0.045365087041055456029692294350752490572631359100341796875	0.1587778046436940926344760782740195281803607940673828125	-1.2052336795661258	4.332053577720266	C3;NFKB1
Viral carcinogenesis_Homo sapiens_hsa05203	2/205	0.033186102873219436304452756303362548351287841796875	0.10413570211941271248523577241940074600279331207275390625	0.054473131212692406377673393080840469337999820709228515625	0.1641933684777268365184710319226724095642566680908203125	-1.2700739118314532	4.325394296050139	C3;NFKB1
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.04925359685565296186116057697290671057999134063720703125	0.1346081154614996167051543807247071526944637298583984375	0.07979824511498030681355686510869418270885944366455078125	0.2071382193217710387944663352755014784634113311767578125	-1.1830760939386473	3.5619734202970714	MYC;NFKB1
HTLV-I infection_Homo sapiens_hsa05166	2/258	0.050293142040560290251249853099579922854900360107421875	0.1346081154614996167051543807247071526944637298583984375	0.0814223051411539222588231723420904017984867095947265625	0.2071382193217710387944663352755014784634113311767578125	-1.118660247723902	3.34466723127759	MYC;NFKB1
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	2/265	0.05274984579072723722692472847484168596565723419189453125	0.1371495990558908306677921018490451388061046600341796875	0.08525383687656702680346398892652359791100025177001953125	0.2071382193217710387944663352755014784634113311767578125	-1.0581152315023419	3.113180740454793	CXCL1;CXCL14
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	2/341	0.0819672173767963252455359679515822790563106536865234375	0.1554701169774457547578805360899423249065876007080078125	0.13017107081857914874234438684652559459209442138671875	0.207816972710363201404248911785543896257877349853515625	-0.9521911632548204	2.381845159182986	MYC;NFKB1
Pathways in cancer_Homo sapiens_hsa05200	2/397	0.1060235335311006943381784140001400373876094818115234375	0.1659473953733598128312820563223795033991336822509765625	0.16633613332595109657319198959157802164554595947265625	0.2293422444342659016758290135840070433914661407470703125	-0.5882551607384472	1.320099991431521	MYC;NFKB1
Endometrial cancer_Homo sapiens_hsa05213	1/52	0.0703472203167474774421208394414861686527729034423828125	0.1554701169774457547578805360899423249065876007080078125	0.0938612463765625404388259767074487172067165374755859375	0.207816972710363201404248911785543896257877349853515625	-0.33171016418827376	0.8804622721139733	MYC
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.08331707877794013172856324445092468522489070892333984375	0.1554701169774457547578805360899423249065876007080078125	0.11063156213728538024287928465128061361610889434814453125	0.207816972710363201404248911785543896257877349853515625	-0.23210340181941638	0.5768005638866206	MYC
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.0651098845207480902974594982879352755844593048095703125	0.154984385439982663701385945387301035225391387939453125	0.08707176359479441851707548494232469238340854644775390625	0.2071382193217710387944663352755014784634113311767578125	-0.2056396335471954	0.5617414490621732	HK2
Starch and sucrose metabolism_Homo sapiens_hsa00500	1/56	0.07555625828862323756229812943274737335741519927978515625	0.1554701169774457547578805360899423249065876007080078125	0.10060409294163887017337088991553173400461673736572265625	0.207816972710363201404248911785543896257877349853515625	-0.18935706097973096	0.48908614099463654	HK2
Staphylococcus aureus infection_Homo sapiens_hsa05150	1/56	0.07555625828862323756229812943274737335741519927978515625	0.1554701169774457547578805360899423249065876007080078125	0.10060409294163887017337088991553173400461673736572265625	0.207816972710363201404248911785543896257877349853515625	-0.17026592015990963	0.439776058009397	C3
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.08845601487363495551985437259645550511777400970458984375	0.1554701169774457547578805360899423249065876007080078125	0.11725909990967990637056317382302950136363506317138671875	0.207816972710363201404248911785543896257877349853515625	-0.16341595982043614	0.39632453328322703	NFKB1
Arachidonic acid metabolism_Homo sapiens_hsa00590	1/62	0.08331707877794013172856324445092468522489070892333984375	0.1554701169774457547578805360899423249065876007080078125	0.11063156213728538024287928465128061361610889434814453125	0.207816972710363201404248911785543896257877349853515625	-0.14688607329212958	0.36502683389323903	GPX3
Renin secretion_Homo sapiens_hsa04924	1/64	0.08589002909755914794143194512798800133168697357177734375	0.1554701169774457547578805360899423249065876007080078125	0.113951050987684265880517386904102750122547149658203125	0.207816972710363201404248911785543896257877349853515625	-0.14474487351546636	0.3553034364011428	ACE
Cocaine addiction_Homo sapiens_hsa05030	1/49	0.06642187947427828642599223485376569442451000213623046875	0.154984385439982663701385945387301035225391387939453125	0.08877352256647330630556780306505970656871795654296875	0.2071382193217710387944663352755014784634113311767578125	-0.1291097712902767	0.35011068085976643	NFKB1
Bladder cancer_Homo sapiens_hsa05219	1/41	0.055876009678440259620391117323379148729145526885986328125	0.1412421355760573316029393708959105424582958221435546875	0.0750770605448110028845576380263082683086395263671875	0.2070306821084182125058958945373888127505779266357421875	-0.11966732067221353	0.3451947652140963	MYC
Carbohydrate digestion and absorption_Homo sapiens_hsa04973	1/45	0.06116322323252722237274525696193450130522251129150390625	0.1504284679502696508990311485831625759601593017578125	0.08194886879022382497606002971224370412528514862060546875	0.2071382193217710387944663352755014784634113311767578125	-0.11550673224121621	0.3227499736207829	HK2
Prolactin signaling pathway_Homo sapiens_hsa04917	1/72	0.096112366222735889920159024768508970737457275390625	0.1554701169774457547578805360899423249065876007080078125	0.12711496808030686711532553090364672243595123291015625	0.207816972710363201404248911785543896257877349853515625	-0.11338804418904179	0.26558170539721365	NFKB1
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	1/65	0.0871738914276023180160990477816085331141948699951171875	0.1554701169774457547578805360899423249065876007080078125	0.1156065031770557027801515914688934572041034698486328125	0.207816972710363201404248911785543896257877349853515625	-0.10782858712601189	0.2630856217686958	NFKB1
B cell receptor signaling pathway_Homo sapiens_hsa04662	1/73	0.0973823809638945936395515445838100276887416839599609375	0.1554701169774457547578805360899423249065876007080078125	0.128747702672005692736689752564416266977787017822265625	0.207816972710363201404248911785543896257877349853515625	-0.11179170286781574	0.2603751706396146	NFKB1
Thyroid cancer_Homo sapiens_hsa05216	1/29	0.039841528323889936757939977951537002809345722198486328125	0.120852635915799477839271958146127872169017791748046875	0.05417571554473003814234033370667020790278911590576171875	0.1641933684777268365184710319226724095642566680908203125	-0.06761640861148469	0.2179172372364138	MYC
Prostate cancer_Homo sapiens_hsa05215	1/89	0.11747010803983824744900488212806521914899349212646484375	0.16879244858596742506762211633031256496906280517578125	0.154491022159652102718752075816155411303043365478515625	0.2254437289214047124286111056790105067193508148193359375	-0.09456535804370256	0.20251846408224178	NFKB1
ErbB signaling pathway_Homo sapiens_hsa04012	1/87	0.11498292103588540757908020850663888268172740936279296875	0.1687652550687995522959994332268252037465572357177734375	0.1513119600973050482561887974952696822583675384521484375	0.2254437289214047124286111056790105067193508148193359375	-0.08827573507564998	0.19093791450365324	MYC
Adipocytokine signaling pathway_Homo sapiens_hsa04920	1/70	0.0935671653427092298027645256297546438872814178466796875	0.1554701169774457547578805360899423249065876007080078125	0.12384102246168267325021616898084175772964954376220703125	0.207816972710363201404248911785543896257877349853515625	-0.07291040267806673	0.17273026724733126	NFKB1
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	1/106	0.13834080457685071774420748624834232032299041748046875	0.18513254730137373993414939832291565835475921630859375	0.18107261171750421713255718714208342134952545166015625	0.2423177597984247366724730454734526574611663818359375	-0.08064402754487504	0.15951671224151223	NFKB1
TGF-beta signaling pathway_Homo sapiens_hsa04350	1/84	0.1112394628326917322969080714756273664534091949462890625	0.1659473953733598128312820563223795033991336822509765625	0.146522674008354503172313343384303152561187744140625	0.222226055579337666845418652883381582796573638916015625	-0.05642123817422723	0.12390499294816354	MYC
Insulin resistance_Homo sapiens_hsa04931	1/109	0.1419741200183526619316154437910881824791431427001953125	0.1872412307488419414003288920866907574236392974853515625	0.18568261365345117841485489407205022871494293212890625	0.24488576583281240761635899616521783173084259033203125	-0.05899863707644008	0.1151718584142124	NFKB1
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	1/67	0.0897364017317956730312999980014865286648273468017578125	0.1554701169774457547578805360899423249065876007080078125	0.1189088456966793383440261777650448493659496307373046875	0.207816972710363201404248911785543896257877349853515625	-0.04602003507067548	0.1109487258148721	HK2
T cell receptor signaling pathway_Homo sapiens_hsa04660	1/104	0.13591035699956244275909966745530255138874053955078125	0.18459466398448032276036201437818817794322967529296875	0.1779859063915989469961687063914723694324493408203125	0.24174205196470899270622112453565932810306549072265625	-0.05507250424580649	0.10991148732108497	NFKB1
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	1/64	0.08589002909755914794143194512798800133168697357177734375	0.1554701169774457547578805360899423249065876007080078125	0.113951050987684265880517386904102750122547149658203125	0.207816972710363201404248911785543896257877349853515625	-0.04256513042383048	0.10448409496750717	NFKB1
Glutathione metabolism_Homo sapiens_hsa00480	1/52	0.0703472203167474774421208394414861686527729034423828125	0.1554701169774457547578805360899423249065876007080078125	0.0938612463765625404388259767074487172067165374755859375	0.207816972710363201404248911785543896257877349853515625	-0.03876806943611066	0.10290255224683564	GPX3
