Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ECM-receptor interaction_Homo sapiens_hsa04512	4/82	0.000007590096789920357700683084534176714441855438053607940673828125	0.000182162322958088584816394028820241146604530513286590576171875	0.000006486843385634347660035660398936130377478548325598239898681640625	0.000155684241255224357393383005643272554152645170688629150390625	-1.7125238551632878	20.188372112619657	TNC;SDC1;THBS2;THBS4
Malaria_Homo sapiens_hsa05144	3/49	0.0000591921130860330560355224427393494579519028775393962860107421875	0.000710305357032396645321215000734582645236514508724212646484375	0.0000606443027838892670562664921618534208391793072223663330078125	0.00072773163340667120467519790594224105007015168666839599609375	-1.9164767688484095	18.656369043024704	SDC1;THBS2;THBS4
Focal adhesion_Homo sapiens_hsa04510	3/202	0.003704776423497847803734117633212008513510227203369140625	0.029638211387982782429872941065696068108081817626953125	0.00340328002103649530918350052388632320798933506011962890625	0.02722624016829196247346800419109058566391468048095703125	-1.871716607747798	10.478117322916772	TNC;THBS2;THBS4
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	3/341	0.015515498892830471844295203709407360292971134185791015625	0.09309299335698283106577122225644416175782680511474609375	0.01433844607469977709690578393519899691455066204071044921875	0.08603067644819865911198775165757979266345500946044921875	-1.989259037480927	8.287085706420008	TNC;THBS2;THBS4
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	2/142	0.0203452289191056630290876938715882715769112110137939453125	0.09467820140355658053987752964530955068767070770263671875	0.0203514299896839397086001355319240246899425983428955078125	0.09461464073165061494652405826855101622641086578369140625	-1.6295014238546277	6.34675950990281	SDC3;SDC1
Phagosome_Homo sapiens_hsa04145	2/154	0.0236695503508891451349693824113273876719176769256591796875	0.09467820140355658053987752964530955068767070770263671875	0.0236536601829126537366310145671377540566027164459228515625	0.09461464073165061494652405826855101622641086578369140625	-1.5865621349165446	5.939399830697745	THBS2;THBS4
alpha-Linolenic acid metabolism_Homo sapiens_hsa00592	1/25	0.0380601607770208183456617234696750529110431671142578125	0.1304919798069285319375154585941345430910587310791015625	0.04001699268750015525686336559374467469751834869384765625	0.137201117785714810093367077570292167365550994873046875	-1.229416093479413	4.018453697792102	PLA2G16
Linoleic acid metabolism_Homo sapiens_hsa00591	1/29	0.0440182118144443190743686500354669988155364990234375	0.1320546354433329572231059501064009964466094970703125	0.04604254518060819922897763945002225227653980255126953125	0.1381276355418246115647207261645235121250152587890625	-1.280856115706661	4.000308116388548	PLA2G16
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.07471674508844948492392035177545039914548397064208984375	0.1666221521628788171387469674300518818199634552001953125	0.0771163812662882808268705048249103128910064697265625	0.1716480251687186597830958589838701300323009490966796875	-1.4869328942745097	3.8571798318962123	P4HA3
Lysine degradation_Homo sapiens_hsa00310	1/52	0.0775901499066424527040197745009209029376506805419921875	0.1666221521628788171387469674300518818199634552001953125	0.080027266866082025220663354048156179487705230712890625	0.1716480251687186597830958589838701300323009490966796875	-1.501858265971965	3.839222503859214	PLOD2
Ether lipid metabolism_Homo sapiens_hsa00565	1/45	0.0674952844107393479244905165614909492433071136474609375	0.1666221521628788171387469674300518818199634552001953125	0.06980249839904288655656472428745473735034465789794921875	0.1716480251687186597830958589838701300323009490966796875	-1.4081112910280746	3.795842149079988	PLA2G16
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.08331107608143940856937348371502594090998172760009765625	0.1666221521628788171387469674300518818199634552001953125	0.08582401258435932989154792949193506501615047454833984375	0.1716480251687186597830958589838701300323009490966796875	-1.5174187035904745	3.771049164040962	PLA2G16
Arachidonic acid metabolism_Homo sapiens_hsa00590	1/62	0.09182813203404756319248036788849276490509510040283203125	0.1695288591397801358784391823064652271568775177001953125	0.09445689007795003699907709915351006202399730682373046875	0.174381950913138517034184360454673878848552703857421875	-1.507300589190119	3.5991874826108865	PLA2G16
Leishmaniasis_Homo sapiens_hsa05140	1/73	0.10724425989732899733297699640388600528240203857421875	0.183847302681135416069224675084115006029605865478515625	0.1100915955325441064616143194143660366535186767578125	0.1887284494843613213976851739062112756073474884033203125	-1.4456271260049203	3.2275739721989525	MARCKSL1
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	1/93	0.134627232436522970004943999811075627803802490234375	0.1938640795717855025426246129427454434335231781005859375	0.137891062742349912451089721798780374228954315185546875	0.1985324120047946561129492692998610436916351318359375	-1.434722312848831	2.8769705491269644	MARCKSL1
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	1/106	0.151988385990484975440750758934882469475269317626953125	0.2026511813206466339210010119131766259670257568359375	0.15553487150264200256088997775805182754993438720703125	0.207379828670189336747853303677402436733245849609375	-1.4403096112318379	2.713472975820064	CXCL9
Protein digestion and absorption_Homo sapiens_hsa04974	1/90	0.1305722348623860884497815959548461250960826873779296875	0.1938640795717855025426246129427454434335231781005859375	0.133772118578728449467263317274046130478382110595703125	0.1985324120047946561129492692998610436916351318359375	-1.3011837743115706	2.6489872476556844	COL12A1
Glycerophospholipid metabolism_Homo sapiens_hsa00564	1/95	0.1373203896966813941649121488808305002748966217041015625	0.1938640795717855025426246129427454434335231781005859375	0.1406271251700628999170561428400105796754360198974609375	0.1985324120047946561129492692998610436916351318359375	-1.2877402753336458	2.5567290852660123	PLA2G16
Chemokine signaling pathway_Homo sapiens_hsa04062	1/187	0.25280808952001787570651458736392669379711151123046875	0.319336534130548910237479276474914513528347015380859375	0.2582744729511408099398295235005207359790802001953125	0.32624143951723050260937952771200798451900482177734375	-1.4612765073704883	2.009437298314813	CXCL9
Proteoglycans in cancer_Homo sapiens_hsa05205	1/203	0.271302356599555150040714579517953097820281982421875	0.325562827919466168946627249169978313148021697998046875	0.27717091584223652045437802371452562510967254638671875	0.33260509901068380234079313595429994165897369384765625	-1.52155703367374	1.984903670713827	SDC1
Ras signaling pathway_Homo sapiens_hsa04014	1/227	0.298215693249583801982538489028229378163814544677734375	0.3408179351423814562593861410277895629405975341796875	0.3046959596835232542133553579333238303661346435546875	0.348223953924026552453341309956158511340618133544921875	-1.4912667308517205	1.8043406607644363	PLA2G16
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	1/265	0.338872135367114857285031348510528914630413055419921875	0.369678693127761637260420002348837442696094512939453125	0.346333725783909140982785856976988725364208221435546875	0.377818609946082684114543326359125785529613494873046875	-1.3712876905634552	1.4839148733594794	CXCL9
MicroRNAs in cancer_Homo sapiens_hsa05206	1/297	0.3713327305639120279323606155230663716793060302734375	0.387477631892777785171944060493842698633670806884765625	0.379624602292061463781891461621853522956371307373046875	0.3961300197830206482052517458214424550533294677734375	-1.3771850886830157	1.3643177322270938	TNC
Metabolic pathways_Homo sapiens_hsa01100	2/1239	0.5805141160606590577941688025020994246006011962890625	0.5805141160606590577941688025020994246006011962890625	0.60446762740808523961533182955463416874408721923828125	0.60446762740808523961533182955463416874408721923828125	-1.4404315634231573	0.7833659738899218	PLA2G16;P4HA3
