Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	4/305	0.000813342035709088673721411932859837179421447217464447021484375	0.057831597178800701886114410399386542849242687225341796875	0.004632218272401285134864945547406023251824080944061279296875	0.16321872558086270021959762743790633976459503173828125	-2.1628647751760206	15.387396108687653	CFH;COL4A4;COL4A3;PIK3R1
Complement and Coagulation Cascades_Mus musculus_WP449	2/55	0.0026809448474564762966709796643272056826390326023101806640625	0.057831597178800701886114410399386542849242687225341796875	0.007547893731089892581376243896329469862394034862518310546875	0.16321872558086270021959762743790633976459503173828125	-1.8768771211685449	11.114089268612169	THBD;CFH
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	5/808	0.004819299764900058201388954870481029502116143703460693359375	0.057831597178800701886114410399386542849242687225341796875	0.031901444672154999349089621318853460252285003662109375	0.2481805288786402829970256789238192141056060791015625	-2.067609578591376	11.030958940688329	EDNRA;CFH;COL4A4;COL4A3;PIK3R1
Notch Signaling Pathway_Homo sapiens_WP61	2/62	0.00339334058153834168536366888702104915864765644073486328125	0.057831597178800701886114410399386542849242687225341796875	0.00944545915433514342296472676707708160392940044403076171875	0.16321872558086270021959762743790633976459503173828125	-1.913355693230189	10.879226474963641	FHL1;PIK3R1
Complement and Coagulation Cascades_Homo sapiens_WP558	2/59	0.0030783002868943567555126694657019470469094812870025634765625	0.057831597178800701886114410399386542849242687225341796875	0.00860842328332346411190467705409901100210845470428466796875	0.16321872558086270021959762743790633976459503173828125	-1.8703052152562674	10.816681453961825	THBD;CFH
Primary Focal Segmental Glomerulosclerosis FSGS_Mus musculus_WP2573	2/68	0.0040666826496295917225953786555692204274237155914306640625	0.057831597178800701886114410399386542849242687225341796875	0.01122459034934931813853875581799002247862517833709716796875	0.16321872558086270021959762743790633976459503173828125	-1.7594735593657442	9.685774709177894	COL4A4;COL4A3
Primary Focal Segmental Glomerulosclerosis FSGS_Homo sapiens_WP2572	2/72	0.004547245392457037460598456846128101460635662078857421875	0.057831597178800701886114410399386542849242687225341796875	0.012487027640736191036463509362874901853501796722412109375	0.16321872558086270021959762743790633976459503173828125	-1.7745519647503085	9.570573347967724	COL4A4;COL4A3
Delta-Notch Signaling Pathway_Mus musculus_WP265	2/81	0.00571954358667703215146627115927913109771907329559326171875	0.060055207660108834988310633207220234908163547515869140625	0.0155446405315107331890356334724856424145400524139404296875	0.16321872558086270021959762743790633976459503173828125	-1.7846608239511912	9.215749830965912	FHL1;PIK3R1
Adipogenesis genes_Mus musculus_WP447	2/128	0.01377944682595491458776404414265925879590213298797607421875	0.10836562784613569532243815274341613985598087310791015625	0.035976953870504112253936312981750234030187129974365234375	0.2481805288786402829970256789238192141056060791015625	-1.6582558275373716	7.104925039886157	GDF10;KLF5
Adipogenesis_Homo sapiens_WP236	2/130	0.01419073697985110370234362875407896353863179683685302734375	0.10836562784613569532243815274341613985598087310791015625	0.03699821629840906178632309320164495147764682769775390625	0.2481805288786402829970256789238192141056060791015625	-1.6324919223116878	6.9465238824566935	GDF10;KLF5
Focal Adhesion_Homo sapiens_WP306	2/191	0.0291443743478362431165162860224882024340331554412841796875	0.1478501366071868494689312001355574466288089752197265625	0.07311554319137951452045598443874041549861431121826171875	0.2481805288786402829970256789238192141056060791015625	-1.805367796854006	6.382865884481248	COL4A4;PIK3R1
Focal Adhesion_Mus musculus_WP85	2/185	0.0274780390854540944312045525066423579119145870208740234375	0.1478501366071868494689312001355574466288089752197265625	0.0691768133014283581605496920019504614174365997314453125	0.2481805288786402829970256789238192141056060791015625	-1.7732155474019569	6.373589525773278	COL4A4;PIK3R1
IL-7 Signaling Pathway_Homo sapiens_WP205	1/25	0.034438584927309383310056745131078059785068035125732421875	0.1478501366071868494689312001355574466288089752197265625	0.059241512088775309663457591113910893909633159637451171875	0.2481805288786402829970256789238192141056060791015625	-1.3089936141570966	4.4094466828081424	PIK3R1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	2/303	0.0668061632762936563612043983084731735289096832275390625	0.155881047644685188924285057510132901370525360107421875	0.1577972521186060406161999480900703929364681243896484375	0.267580754778231177937186657800339162349700927734375	-1.3923524888060912	3.7676500543959333	COL4A4;PIK3R1
IL-9 Signaling Pathway_Mus musculus_WP10	1/24	0.033083275141865452206868525308891548775136470794677734375	0.1478501366071868494689312001355574466288089752197265625	0.05702460940641100595183132782040047459304332733154296875	0.2481805288786402829970256789238192141056060791015625	-1.0918193065146733	3.721714393630738	PIK3R1
Alpha 6 Beta 4 signaling pathway_Homo sapiens_WP244	1/33	0.045215312658411423163418163539972738362848758697509765625	0.1478501366071868494689312001355574466288089752197265625	0.0768032965216113583384327512249001301825046539306640625	0.2481805288786402829970256789238192141056060791015625	-1.1120547487253152	3.4432767745065815	PIK3R1
IL-9 Signaling Pathway_Homo sapiens_WP22	1/17	0.023544610868233874223509616285809897817671298980712890625	0.1478501366071868494689312001355574466288089752197265625	0.041369936060076557826636900472294655628502368927001953125	0.2481805288786402829970256789238192141056060791015625	-0.9126939904850117	3.421560462193027	PIK3R1
Bladder Cancer_Homo sapiens_WP2828	1/31	0.042532055882250896505780701772891916334629058837890625	0.1478501366071868494689312001355574466288089752197265625	0.0724416206728990819119218258492765016853809356689453125	0.2481805288786402829970256789238192141056060791015625	-1.044616724334269	3.2983744148623884	PIK3R1
