Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Oxidative Stress_Homo sapiens_WP408	2/31	0.00085708970813071238582792066296178745687939226627349853515625	0.034982774923115807219620165824380819685757160186767578125	0.00157618313935368038573858751050238424795679748058319091796875	0.06116557425136781578345335219637490808963775634765625	-2.1115605361918566	14.911772868895573	GPX3;NFKB1
Oxidative Stress_Mus musculus_WP412	2/26	0.00060163921887542944934301747395011261687614023685455322265625	0.034982774923115807219620165824380819685757160186767578125	0.00113408639914991198581473152984244734398089349269866943359375	0.06116557425136781578345335219637490808963775634765625	-1.9693410763873742	14.604343134728568	GPX3;NFKB1
Hair Follicle Development: Induction (Part 1 of 3)_Homo sapiens_WP2804	2/42	0.0015719693537680941297640657694500987417995929718017578125	0.034982774923115807219620165824380819685757160186767578125	0.0027929585441581468267802090821305682766251266002655029296875	0.06116557425136781578345335219637490808963775634765625	-1.9122760885553824	12.344556934648425	MYC;NFKB1
TSLP Signaling Pathway_Homo sapiens_WP2203	2/47	0.001965121201094164986311607634661413612775504589080810546875	0.034982774923115807219620165824380819685757160186767578125	0.003454611210400328029368477444904783624224364757537841796875	0.06116557425136781578345335219637490808963775634765625	-1.8731698442845415	11.673971642850821	MYC;NFKB1
Aryl Hydrocarbon Receptor_Homo sapiens_WP2586	2/46	0.00188312607820915046789866931220558399218134582042694091796875	0.034982774923115807219620165824380819685757160186767578125	0.00331693722637951306231318682193887070752680301666259765625	0.06116557425136781578345335219637490808963775634765625	-1.8566827426656864	11.650353860908432	MYC;NFKB1
Selenium Metabolism and Selenoproteins_Homo sapiens_WP28	2/47	0.001965121201094164986311607634661413612775504589080810546875	0.034982774923115807219620165824380819685757160186767578125	0.003454611210400328029368477444904783624224364757537841796875	0.06116557425136781578345335219637490808963775634765625	-1.703641329684051	10.617435804341923	GPX3;NFKB1
Selenium metabolism/Selenoproteins_Mus musculus_WP108	2/46	0.00188312607820915046789866931220558399218134582042694091796875	0.034982774923115807219620165824380819685757160186767578125	0.00331693722637951306231318682193887070752680301666259765625	0.06116557425136781578345335219637490808963775634765625	-1.6869421428449953	10.585261798042215	GPX3;NFKB1
Notch Signaling Pathway_Homo sapiens_WP61	2/62	0.00339334058153834168536366888702104915864765644073486328125	0.042700167821110711352527999906669720076024532318115234375	0.00583361986292277485965929173516997252590954303741455078125	0.07293507652272428198880760419342550449073314666748046875	-1.759795846261474	10.006094334115838	MYC;NFKB1
IL-5 Signaling Pathway_Mus musculus_WP151	2/68	0.0040666826496295917225953786555692204274237155914306640625	0.042700167821110711352527999906669720076024532318115234375	0.0069461977640689794022410552543078665621578693389892578125	0.07293507652272428198880760419342550449073314666748046875	-1.756594510422728	9.66992575294305	PIM1;NFKB1
Rac1/Pak1/p38/MMP-2 pathway_Homo sapiens_WP3303	2/67	0.003950482387505176336273127191134335589595139026641845703125	0.042700167821110711352527999906669720076024532318115234375	0.006754516647264720459464815149885907885618507862091064453125	0.07293507652272428198880760419342550449073314666748046875	-1.718950132840135	9.512528366326285	MYC;NFKB1
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	2/50	0.0022211285665470355786543787957043605274520814418792724609375	0.034982774923115807219620165824380819685757160186767578125	0.0038835285238963692354408063778237192309461534023284912109375	0.06116557425136781578345335219637490808963775634765625	-1.5474601116247464	9.454578708671853	MYC;PIM1
PluriNetWork_Mus musculus_WP1763	3/284	0.007138195089439708200529377535303865442983806133270263671875	0.056213286329337704139152975812976364977657794952392578125	0.01356044749184773766381706394668071880005300045013427734375	0.10050684611604794593819889314545434899628162384033203125	-1.793426080909112	8.863641332147836	MYC;PIM1;NFKB1
Apoptosis_Mus musculus_WP1254	2/79	0.005448249890159478740769838367441479931585490703582763671875	0.05280611432000725802282659060438163578510284423828125	0.00921671812418051010495911867792528937570750713348388671875	0.08933126797282649189657632859962177462875843048095703125	-1.6755352838553534	8.733662058075554	MYC;NFKB1
Folate Metabolism_Homo sapiens_WP176	2/68	0.0040666826496295917225953786555692204274237155914306640625	0.042700167821110711352527999906669720076024532318115234375	0.0069461977640689794022410552543078665621578693389892578125	0.07293507652272428198880760419342550449073314666748046875	-1.5404990351528427	8.480335788379254	GPX3;NFKB1
Apoptosis_Homo sapiens_WP254	2/86	0.006424389142863335712407835131898536928929388523101806640625	0.056213286329337704139152975812976364977657794952392578125	0.01081308577755822099286664439432570361532270908355712890625	0.09731777199802398026218241966489586047828197479248046875	-1.6530842422882421	8.344196837890037	MYC;NFKB1
Selenium Micronutrient Network_Homo sapiens_WP15	2/90	0.007015359886012782764108663968727341853082180023193359375	0.056213286329337704139152975812976364977657794952392578125	0.0117769301648945647065236386197284446097910404205322265625	0.0989262133851143421470197836242732591927051544189453125	-1.6245566343797786	8.057237614887628	GPX3;NFKB1
DNA Damage Response (only ATM dependent)_Homo sapiens_WP710	2/111	0.01050221900793153750885977615325828082859516143798828125	0.06616397974996868214248024742119014263153076171875	0.0174316979634299949741826907256836420856416225433349609375	0.10459018778057997678399004826133023016154766082763671875	-1.7463700480128275	7.9567565689382596	MYC;NFKB1
B Cell Receptor Signaling Pathway_Homo sapiens_WP23	2/97	0.0081066549751960502445680134542271844111382961273193359375	0.06008461922792367182477590858979965560138225555419921875	0.01355223058754327115915661039480255567468702793121337890625	0.10050684611604794593819889314545434899628162384033203125	-1.6313787150608086	7.855202632457854	MYC;NFKB1
Neural Crest Differentiation_Homo sapiens_WP2064	2/101	0.00876242475742758895884687575517091318033635616302490234375	0.061336973301993120977204654309389297850430011749267578125	0.01461645964908988605535089533304926590062677860260009765625	0.102315217543629211061073647215380333364009857177734375	-1.4741838153057685	6.983625357413693	MYC;NFKB1
Senescence and Autophagy in Cancer_Homo sapiens_WP615	2/105	0.00944126571563401462139353270686115138232707977294921875	0.06261049895630978190386173309889272786676883697509765625	0.0157162805086346925309559452443863847292959690093994140625	0.10365399771564191844230862216136301867663860321044921875	-1.448661954796661	6.7546257234188944	CXCL1;CXCL14
Spinal Cord Injury_Homo sapiens_WP2431	2/119	0.01199516940869597460272988342921962612308561801910400390625	0.06869960661344058638899667812438565306365489959716796875	0.0198390481913249712431213112040495616383850574493408203125	0.113623639641224849494705040342523716390132904052734375	-1.4307318675171765	6.328486535022429	MYC;CXCL1
Integrated Breast Cancer Pathway_Homo sapiens_WP1984	2/155	0.0197699867107977884927993983410487999208271503448486328125	0.08476059912564194720463461862891563214361667633056640625	0.0322761014572295057423190201006946153938770294189453125	0.1240775275936548960320493506515049375593662261962890625	-1.443486444697826	5.6636494327924485	MYC;NFKB1
MAPK signaling pathway_Mus musculus_WP493	2/155	0.0197699867107977884927993983410487999208271503448486328125	0.08476059912564194720463461862891563214361667633056640625	0.0322761014572295057423190201006946153938770294189453125	0.1240775275936548960320493506515049375593662261962890625	-1.3570512818438465	5.324513265030415	MYC;NFKB1
Ectoderm Differentiation_Homo sapiens_WP2858	2/139	0.0161067998745773426072513956341936136595904827117919921875	0.08476059912564194720463461862891563214361667633056640625	0.0264350359383203302454656835607238463126122951507568359375	0.1240775275936548960320493506515049375593662261962890625	-1.2850213157632122	5.305228163074843	MYC;PIM1
Chemokine signaling pathway_Mus musculus_WP2292	2/165	0.022220795347383089091142238657994312234222888946533203125	0.08476059912564194720463461862891563214361667633056640625	0.036167795698866696263440445591186289675533771514892578125	0.1240775275936548960320493506515049375593662261962890625	-1.3183203236705578	5.018485176850799	CXCL14;NFKB1
MAPK Signaling Pathway_Homo sapiens_WP382	2/168	0.0229795477663972784465595822211980703286826610565185546875	0.08476059912564194720463461862891563214361667633056640625	0.037370198518453419389562242258762125857174396514892578125	0.1240775275936548960320493506515049375593662261962890625	-1.3166893059721891	4.968067158338906	MYC;NFKB1
Integrated Pancreatic Cancer Pathway_Homo sapiens_WP2377	2/192	0.029425988694387457400569729770722915418446063995361328125	0.0888331668266937601874388974465546198189258575439453125	0.04754326182184979987521700195429730229079723358154296875	0.1250305438813235081596531017567031085491180419921875	-1.2663420573204136	4.464966366851331	MYC;NFKB1
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	1/808	0.68509409418668132385477065326995216310024261474609375	0.68509409418668132385477065326995216310024261474609375	0.79834668789649254616591633748612366616725921630859375	0.79834668789649254616591633748612366616725921630859375	1.1436625988123426	-0.43253214999468714	MYOC
Osteopontin Signaling_Homo sapiens_WP1434	1/13	0.0180532732441747272023047088396197068504989147186279296875	0.08476059912564194720463461862891563214361667633056640625	0.025486869952944989081711213430025964044034481048583984375	0.1240775275936548960320493506515049375593662261962890625	0.1707934523663913	-0.6856380630795179	NFKB1
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	1/47	0.06379611171405173697390722509226179681718349456787109375	0.1141016719496074360851167739383527077734470367431640625	0.0849438423201007708485121838748455047607421875	0.1512698163826443342738770070354803465306758880615234375	0.38833618767559785	-1.0687256674138317	NFKB1
Estrogen signaling pathway_Homo sapiens_WP712	1/23	0.03172613100953348974631040846361429430544376373291015625	0.0888331668266937601874388974465546198189258575439453125	0.043328660429530284348142998851471929810941219329833984375	0.1240775275936548960320493506515049375593662261962890625	0.312216827347954	-1.0773399476826246	NFKB1
Cardiac Hypertrophic Response_Homo sapiens_WP2795	1/55	0.0742566436497445192532751434555393643677234649658203125	0.1141016719496074360851167739383527077734470367431640625	0.09844543605854631784790598203471745364367961883544921875	0.1512698163826443342738770070354803465306758880615234375	0.42595735855750827	-1.1075862626832007	NFKB1
TWEAK Signaling Pathway_Homo sapiens_WP2036	1/42	0.057200498467897271936966063776708324439823627471923828125	0.11261348135867275954691280048791668377816677093505859375	0.07641227033042981287014328017903608269989490509033203125	0.1504366572130337031953928317307145334780216217041015625	0.39220263525109406	-1.1221673036293018	NFKB1
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	1/305	0.349869598676257831382230278904899023473262786865234375	0.3526685554656678878160391832352615892887115478515625	0.43930793731274320190749449466238729655742645263671875	0.44282240081124513153554289601743221282958984375	1.1084021688540737	-1.1640381598259517	MYOC
IL-2 Signaling Pathway_Homo sapiens_WP49	1/42	0.057200498467897271936966063776708324439823627471923828125	0.11261348135867275954691280048791668377816677093505859375	0.07641227033042981287014328017903608269989490509033203125	0.1504366572130337031953928317307145334780216217041015625	0.4252291099132622	-1.216662410721837	MYC
IL-4 Signaling Pathway_Homo sapiens_WP395	1/54	0.07295526730847778917876667037489823997020721435546875	0.1141016719496074360851167739383527077734470367431640625	0.09676769960003660242531253743436536751687526702880859375	0.1512698163826443342738770070354803465306758880615234375	0.4816696504400229	-1.260967217665665	NFKB1
IL-1 signaling pathway_Homo sapiens_WP195	1/55	0.0742566436497445192532751434555393643677234649658203125	0.1141016719496074360851167739383527077734470367431640625	0.09844543605854631784790598203471745364367961883544921875	0.1512698163826443342738770070354803465306758880615234375	0.48823717568743835	-1.2695279887966597	NFKB1
IL-5 Signaling Pathway_Homo sapiens_WP127	1/40	0.054549726726829138312435674151856801472604274749755859375	0.11085912205774954564230228015730972401797771453857421875	0.07297944169566326910736364652620977722108364105224609375	0.14831305892989632422285239954362623393535614013671875	0.4599214732348395	-1.3377471788083597	MYC
ErbB signaling pathway_Mus musculus_WP1261	1/46	0.062480558727399569673988111162543646059930324554443359375	0.1141016719496074360851167739383527077734470367431640625	0.083243281798315471586846570062334649264812469482421875	0.1512698163826443342738770070354803465306758880615234375	0.4909393276680564	-1.3613255787174403	MYC
EBV LMP1 signaling_Homo sapiens_WP262	1/23	0.03172613100953348974631040846361429430544376373291015625	0.0888331668266937601874388974465546198189258575439453125	0.043328660429530284348142998851471929810941219329833984375	0.1240775275936548960320493506515049375593662261962890625	0.4005683719625911	-1.3822070788405891	NFKB1
