Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Focal Adhesion_Homo sapiens_WP306	3/191	0.0031653454458516389925792910986501738079823553562164306640625	0.0284881090126647522342562268704568850807845592498779296875	0.00167379308046875668360142785928701414377428591251373291015625	0.01506413772421880993557241623648224049247801303863525390625	-2.1491666954735162	12.369514051587588	TNC;THBS2;THBS4
Focal Adhesion_Mus musculus_WP85	3/185	0.0028929065212329220513343130960492999292910099029541015625	0.0284881090126647522342562268704568850807845592498779296875	0.0015283375436925691025213946971916811889968812465667724609375	0.01506413772421880993557241623648224049247801303863525390625	-2.1119600523800193	12.345448896912245	TNC;THBS2;THBS4
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	3/303	0.01131092476909466293388817348386510275304317474365234375	0.055507883548108642723928340956263127736747264862060546875	0.00614726960564492171112949137068426352925598621368408203125	0.036883617633869526797329996270491392351686954498291015625	-2.321204460825117	10.403606422500507	TNC;THBS2;THBS4
Type II interferon signaling (IFNG)_Homo sapiens_WP619	1/37	0.0558273620646948798285080783898592926561832427978515625	0.1772843815588289739793026456027291715145111083984375	0.049797102503040029108927200240941601805388927459716796875	0.1575468734765800016273118444587453268468379974365234375	-1.7278721502606231	4.985759832810649	CXCL9
miRNA targets in ECM and membrane receptors_Homo sapiens_WP2911	1/41	0.061678874214394295572017057338598533533513545989990234375	0.1772843815588289739793026456027291715145111083984375	0.054910433844051718954570873165721422992646694183349609375	0.1575468734765800016273118444587453268468379974365234375	-1.7086195340517805	4.759895880208728	THBS2
Aryl Hydrocarbon Receptor_Homo sapiens_WP2586	1/46	0.06894392616176682475614967415822320617735385894775390625	0.1772843815588289739793026456027291715145111083984375	0.061268228574225556959387262168093002401292324066162109375	0.1575468734765800016273118444587453268468379974365234375	-1.7434526770457306	4.6627975309899465	PLAGL1
Kit receptor signaling pathway_Homo sapiens_WP304	1/59	0.08757922131652116914946049064383259974420070648193359375	0.1970532479621726340557330559022375382483005523681640625	0.0776236760979366058332828970378614030778408050537109375	0.1746532712203573700637804222424165345728397369384765625	-1.9013582482152285	4.630209488327867	GRB10
FTO Obesity Variant Mechanism_Homo sapiens_WP3407	1/8	0.01233508523291303171642852021250291727483272552490234375	0.055507883548108642723928340956263127736747264862060546875	0.01199586063092685124520375694601170835085213184356689453125	0.05398137283917082973605516826864914037287235260009765625	-1.0465658518288785	4.599978862518877	ARID5B
Kit Receptor Signaling Pathway_Mus musculus_WP407	1/67	0.09886713398244091621780427203702856786549091339111328125	0.1977342679648818324356085440740571357309818267822265625	0.08756415401161991851619603721701423637568950653076171875	0.1751283080232398370323920744340284727513790130615234375	-1.7075782261978398	3.9512991509086755	GRB10
Allograft Rejection_Homo sapiens_WP2328	1/78	0.114167583656522075852279840546543709933757781982421875	0.2055016505817397476363339592353440821170806884765625	0.1010792037641118079616120439823134802281856536865234375	0.181942566775401270984247048545512370765209197998046875	-1.7628832894827333	3.8256116567511422	CXCL9
Toll-like Receptor Signaling Pathway_Homo sapiens_WP75	1/102	0.1466827136695896260931704091490246355533599853515625	0.24002625873205574169588771837879903614521026611328125	0.1299601283070261903418440851964987814426422119140625	0.2126620281387701372199927618567016907036304473876953125	-1.8715209516273585	3.592353465539276	CXCL9
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	1/141	0.197071229928285240884378026748890988528728485107421875	0.2476164198785970882443763230185140855610370635986328125	0.17516178751869737606483568015391938388347625732421875	0.2207864418485086799304184523862204514443874359130859375	-1.783125071131103	2.8961339848064243	CXCL9
TGF-beta Signaling Pathway_Homo sapiens_WP366	1/132	0.185705180801218283637155082033132202923297882080078125	0.2476164198785970882443763230185140855610370635986328125	0.16491724488658021652298657500068657100200653076171875	0.2207864418485086799304184523862204514443874359130859375	-1.7183937605632431	2.8930789925172045	TNC
EGFR1 Signaling Pathway_Mus musculus_WP572	1/171	0.2338599521075639120493150358015554957091808319091796875	0.2476164198785970882443763230185140855610370635986328125	0.208520528412480421476260517010814510285854339599609375	0.2207864418485086799304184523862204514443874359130859375	-1.771290263035008	2.5737429179276448	GRB10
Insulin Signaling_Mus musculus_WP65	1/154	0.213218211056525441815523436162038706243038177490234375	0.2476164198785970882443763230185140855610370635986328125	0.1897652879895464772541657794135971926152706146240234375	0.2207864418485086799304184523862204514443874359130859375	-1.6582474202726722	2.5627205211934054	GRB10
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	1/163	0.224212329550025069035967817399068735539913177490234375	0.2476164198785970882443763230185140855610370635986328125	0.1997424007226167586015463939475012011826038360595703125	0.2207864418485086799304184523862204514443874359130859375	-1.6932317776857329	2.531655432451988	GRB10
Insulin Signaling_Homo sapiens_WP481	1/160	0.220564246655953255515925093277473933994770050048828125	0.2476164198785970882443763230185140855610370635986328125	0.19642870879320317722971367402351461350917816162109375	0.2207864418485086799304184523862204514443874359130859375	-1.6587414876557525	2.5072976642821088	GRB10
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	2/808	0.358123392886984692751184411463327705860137939453125	0.358123392886984692751184411463327705860137939453125	0.297101763106100980049717463771230541169643402099609375	0.297101763106100980049717463771230541169643402099609375	-1.77076929328515	1.8183634621080986	ADAM12;GRB10
