"","feature_symbol","ensembl_gene_id","sc3_5_markers_auroc","sc3_5_markers_clusts","sc3_5_de_padj"
"1","1700019D03Rik","ENSMUSG00000043629",0.847115384615384,4,1.71185952131192e-09
"2","Stmn4","ENSMUSG00000022044",0.855384615384615,4,3.1491804383948e-09
"3","Ly6c1","ENSMUSG00000079018",0.912692307692308,4,6.24554586296610e-09
"4","Efhd1","ENSMUSG00000026255",0.862307692307692,4,6.10773163698935e-08
"5","Ptx3","ENSMUSG00000027832",0.905763790664781,3,6.78277153661873e-08
"6","Fmo2","ENSMUSG00000040170",0.842151675485009,5,7.2511292619298e-08
"7","Klf5","ENSMUSG00000005148",0.777336860670194,5,1.5037988226778e-07
"8","Myoc","ENSMUSG00000026697",0.731258840169731,3,2.04996965683469e-07
"9","H19","ENSMUSG00000000031",0.879124579124579,1,2.88092523977098e-07
"10","Thbs4","ENSMUSG00000021702",0.846127946127946,1,2.91392914429751e-07
"11","Fibin","ENSMUSG00000074971",0.875084175084175,1,5.59355581530065e-07
"12","Pcolce2","ENSMUSG00000015354",0.877692307692308,4,7.33657162482462e-07
"13","Cthrc1","ENSMUSG00000054196",0.884175084175084,1,7.62361999397128e-07
"14","Cd248","ENSMUSG00000056481",0.916538461538462,4,1.09034278247816e-06
"15","Dpp4","ENSMUSG00000035000",0.846153846153846,4,1.17385085457872e-06
"16","Cpe","ENSMUSG00000037852",0.931657848324515,5,1.24691405761948e-06
"17","Ier5","ENSMUSG00000056708",0.862800565770863,3,1.54683584019415e-06
"18","Plagl1","ENSMUSG00000019817",0.854545454545455,1,2.17919074730244e-06
"19","Gdf10","ENSMUSG00000021943",0.932539682539682,5,2.51654462783195e-06
"20","Col4a4","ENSMUSG00000067158",0.832671957671958,5,2.53697382481724e-06
"21","Srpx2","ENSMUSG00000031253",0.75976430976431,1,6.92546874345225e-06
"22","Anxa3","ENSMUSG00000029484",0.872307692307692,4,1.06673598972266e-05
"23","Pi16","ENSMUSG00000024011",0.814615384615385,4,1.08846358713665e-05
"24","Tsc22d3","ENSMUSG00000031431",0.766538461538462,2,1.42637314998991e-05
"25","Has1","ENSMUSG00000003665",0.835572842998585,3,1.63999930082112e-05
"26","Crip2","ENSMUSG00000006356",0.861346153846154,4,1.64249540718681e-05
"27","Meox2","ENSMUSG00000036144",0.896825396825397,5,2.10322381099995e-05
"28","Lims2","ENSMUSG00000024395",0.8275,4,2.48390172505761e-05
"29","Lrrc15","ENSMUSG00000052316",0.754208754208754,1,2.64429277013354e-05
"30","Tnc","ENSMUSG00000028364",0.830639730639731,1,2.88946664970128e-05
"31","Bmper","ENSMUSG00000031963",0.741867043847242,3,4.85887705478263e-05
"32","D630003M21Rik","ENSMUSG00000037813",0.784391534391534,5,5.10881230047054e-05
"33","Ednra","ENSMUSG00000031616",0.74294532627866,5,5.60524126962511e-05
"34","Tmem100","ENSMUSG00000069763",0.835384615384616,4,6.91476102458535e-05
"35","Fbln7","ENSMUSG00000027386",0.72962962962963,1,7.03365924688036e-05
"36","Lgals3bp","ENSMUSG00000033880",0.79057239057239,1,7.78731553972585e-05
"37","Col4a3","ENSMUSG00000079465",0.801587301587301,5,0.000105602353480412
"38","Cxcl14","ENSMUSG00000021508",0.73974540311174,3,0.000109395471279324
"39","Hk2","ENSMUSG00000000628",0.826025459688826,3,0.00011046209287648
"40","Thbs2","ENSMUSG00000023885",0.737373737373737,1,0.000115752688723898
"41","Cfh","ENSMUSG00000026365",0.893959435626102,5,0.000130153674308019
"42","Adam12","ENSMUSG00000054555",0.747138047138047,1,0.000134995420519179
"43","Clec3b","ENSMUSG00000025784",0.664615384615385,4,0.000164975633016353
"44","Ace","ENSMUSG00000020681",0.759193776520509,3,0.000397878897688132
"45","Clec11a","ENSMUSG00000004473",0.875,5,0.000636759069023979
"46","Mest","ENSMUSG00000051855",0.802525252525253,1,0.000641344748031524
"47","Gstm1","ENSMUSG00000058135",0.742692307692308,4,0.000771637809192211
"48","Cd55","ENSMUSG00000026399",0.847307692307692,4,0.000783135919468968
"49","Mustn1","ENSMUSG00000042485",0.757115384615385,4,0.00104213988307267
"50","Thbd","ENSMUSG00000074743",0.831128747795415,5,0.00111319952848135
"51","Serpina3n","ENSMUSG00000021091",0.827439886845827,3,0.0011732580227954
"52","Marcksl1","ENSMUSG00000047945",0.796464646464646,1,0.00118547068243913
"53","Angptl1","ENSMUSG00000033544",0.620576923076923,2,0.00145508061516777
