Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ADIPOSE (BULK TISSUE)	77/2316	0.00000000000000000000000000000121901018638125004851186944826341712853035301782147709777764774692508053601612137868681617902666403097100555896759033203125	0.000000000000000000000000000131653100129175011545124989874125869038061250729342117321164695112229670796548386402236019421252422034740447998046875	0.00000000000000000000000000000000000583473543181882439809214791113362810920938328901508847737333392541850103497697127638037785054593575839732011445448733866214752197265625	0.000000000000000000000000000000000630151426636433048357775524863410066497295730971038949632304464470441601587200358651074012794612855259401840157806873321533203125	-1.6552227995332403	114.0109413033657	ACVRL1;ECM1;CSF1;HSPB8;ITSN1;FHL1;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;PALM;EFHD1;LBP;CD34;OSR2;ANXA1;MYOC;SCARA5;ANXA3;HEG1;RAB3IL1;RNASE4;DCN;DKK2;ASPN;TGFBR2;TGFBR3;SFRP4;FNDC1;NOV;RAB7B;PLPP3;NBL1;RAMP2;TNXB;PCOLCE2;SEMA3C;NPR1;SDC2;HTRA3;GLT8D2;PRELP;SLC1A5;PCDH19;LIMA1;CLEC3B;ARHGAP20;RRAS;S100A16;S100A13;TRIM47;NDN;IGFBP6;CADM3;ACE;RARRES2;GFPT2;AHNAK2;KLF4;VASN;KLF2;MFAP5;SPSB1;TPPP3;LRRN4CL;FGF18;ACKR3;CD248;TEK;PI16;EFCC1;LIMS2;FBN1;ENGASE
SUBCUTANEOUS ADIPOSE TISSUE	75/2316	0.00000000000000000000000000006215804387573345940199389467043445762290195492833615564506607955741317929235049966063542115080053918063640594482421875	0.00000000000000000000000000223768957952640440394712763295320166574643038158815300031723244392136036584606273436293122358620166778564453125	0.00000000000000000000000000000000046238821336775204094665189667557372065918334527585304645918132346058536988598699311457836114147568196131032891571521759033203125	0.000000000000000000000000000000016645975681239072105623936713116483119775929248371987719149725030796139959383535766000716815682380911312066018581390380859375	-1.564920572825365	101.6382619201146	ACVRL1;ECM1;CSF1;HSPB8;ITSN1;FHL1;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;PALM;EFHD1;LBP;CD34;OSR2;ANXA1;MYOC;SCARA5;ANXA3;RAB3IL1;RNASE4;DCN;DKK2;ASPN;TGFBR2;TGFBR3;SFRP4;FNDC1;NOV;RAB7B;PLPP3;NBL1;RAMP2;TNXB;PCOLCE2;SEMA3C;NPR1;SDC2;HTRA3;GLT8D2;PRELP;PCDH19;LIMA1;CLEC3B;ARHGAP20;RRAS;S100A16;S100A13;TRIM47;NDN;IGFBP6;CYB5A;CADM3;ACE;RARRES2;GFPT2;AHNAK2;VASN;KLF2;MFAP5;SPSB1;TPPP3;LRRN4CL;FGF18;ACKR3;CD248;TEK;PI16;EFCC1;LIMS2;FBN1;ENGASE
OMENTUM	75/2316	0.00000000000000000000000000006215804387573345940199389467043445762290195492833615564506607955741317929235049966063542115080053918063640594482421875	0.00000000000000000000000000223768957952640440394712763295320166574643038158815300031723244392136036584606273436293122358620166778564453125	0.00000000000000000000000000000000046238821336775204094665189667557372065918334527585304645918132346058536988598699311457836114147568196131032891571521759033203125	0.000000000000000000000000000000016645975681239072105623936713116483119775929248371987719149725030796139959383535766000716815682380911312066018581390380859375	-1.5502787693321118	100.68730793288232	ACVRL1;ECM1;CSF1;HSPB8;FHL1;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;PALM;EFHD1;LBP;CD34;OSR2;MYOC;SCARA5;HEG1;RAB3IL1;RNASE4;DCN;DKK2;ASPN;TGFBR2;TGFBR3;SFRP4;FNDC1;NOV;RAB7B;PLPP3;NBL1;RAMP2;TNXB;PCOLCE2;SEMA3C;NPR1;SDC2;HTRA3;GLT8D2;UAP1;PRELP;PCDH19;CLEC3B;ARHGAP20;RRAS;S100A16;S100A13;TRIM47;ARSI;NDN;IGFBP6;CADM3;RARRES2;GFPT2;AHNAK2;SULF1;KLF4;VASN;KLF2;MFAP5;ADGRD1;SPSB1;TPPP3;LRRN4CL;FGF18;ACKR3;CD248;TEK;PI16;RECK;EFCC1;LIMS2;FBN1
FIBROBLAST	73/2316	0.00000000000000000000000000286421383613664719726551539922165895235125264811652340902418130199886918407781166706627118401229381561279296875	0.000000000000000000000000077333773575689468586450405904534069209887448343649658319699981227760866853149224198205047287046909332275390625	0.0000000000000000000000000000000329359331529490141829568685368657485948524374893928266446266484207019924637738767631521541456862678387551568448543548583984375	0.00000000000000000000000000000088927019512962342125659033437709199513174660529725053409958198054493193050423056021658307912503005354665219783782958984375	-1.5922755949988663	97.31590941124303	ACVRL1;ECM1;CSF1;HSPB8;FHL1;TRIOBP;MEDAG;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;OSR2;ANXA1;HEG1;SSR3;RAB3IL1;NAV1;RNASE4;DCN;DKK2;ASPN;TGFBR2;TGFBR3;UGDH;IGDCC4;FNDC1;NOV;S100A6;ITGA5;RAB7B;PLPP3;NBL1;TNXB;PCOLCE2;SEMA3C;SDC2;HTRA3;GLT8D2;UAP1;SLC1A5;DPP4;LIMA1;CLEC3B;ARHGAP20;RRAS;S100A16;S100A13;ARSI;NDN;SNX9;IGFBP6;S100A11;S100A10;GFPT2;AHNAK2;SULF1;KLF4;VASN;MFAP5;ADGRD1;SNX18;SPSB1;LRRN4CL;AXL;ITGA11;ZYX;CD248;TEK;SEC24D;RECK;LIMS2;FBN1
RESPIRATORY SMOOTH MUSCLE	70/2316	0.0000000000000000000000007404260477452946519455818599453499346667339621180843968081377988129689049490167462863610126078128814697265625	0.00000000000000000000001599320263129836573098731592350003580558402438038665565338793052470311994994744964060373604297637939453125	0.0000000000000000000000000000162145606243767355205522607407047351967961503385990047412793934936506405291678327429405470638812403194606304168701171875	0.000000000000000000000000000350234509486537493970161460758344220684698847105335932556892220470129539863952949918513013471965678036212921142578125	-1.620219202292889	90.02354567831998	ACVRL1;ECM1;CSF1;HSPB8;FHL1;TRIOBP;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;PALM;OSR2;MYOC;SCARA5;HEG1;RAB3IL1;RNASE4;DCN;DKK2;ASPN;TGFBR2;TGFBR3;SFRP4;FNDC1;NOV;ATF5;RAB7B;PLPP3;NBL1;TNXB;PCOLCE2;SEMA3C;NPR1;HTRA3;GLT8D2;PRELP;SLC1A5;DPP4;CLEC3B;ARHGAP20;RRAS;S100A16;S100A13;ARSI;NDN;SNX9;IGFBP6;RARRES2;GFPT2;AHNAK2;SULF1;KLF4;VASN;MFAP5;ADGRD1;SNX18;SPSB1;LRRN4CL;FGF18;ITGA11;ACKR3;CD248;TEK;PI16;RECK;LIMS2;FBN1
OSTEOBLAST	66/2316	0.0000000000000000000008519805585091709088031215082237156271240382638386431547066791891698045446901232935488224029541015625	0.00000000000000000001314484290271292259296244612688018396134230464208192295833162177576269868950475938618183135986328125	0.000000000000000000000000043384792881184699543981100134415171160703515681650229101534563917199303906269136632545269094407558441162109375	0.0000000000000000000000006693653758811353906315644472141802293530090906563017003046037355280285796599315517596551217138767242431640625	-1.6333365730685379	79.24047209649825	ECM1;CSF1;HSPB8;FHL1;LAMC2;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;PALM;EFHD1;OSR2;HEG1;RAB3IL1;NAV1;DCN;DKK2;ASPN;UGDH;SFRP4;VCAN;IGDCC4;FNDC1;NOV;ITGA5;RAB7B;PLPP3;NBL1;TNXB;PCOLCE2;SEMA3C;SDC2;HTRA3;GLT8D2;UAP1;SLC1A5;PCDH19;LIMA1;CLEC3B;RRAS;S100A16;S100A13;TRIM47;ARSI;SNX9;IGFBP6;GFPT2;AHNAK2;SULF1;KLF4;VASN;KLF2;MFAP5;SPSB1;AXL;FGF18;ITGA11;ACKR3;CD248;TEK;PI16;SEC24D;RECK;LIMS2;FBN1
ATRIUM	66/2316	0.0000000000000000000008519805585091709088031215082237156271240382638386431547066791891698045446901232935488224029541015625	0.00000000000000000001314484290271292259296244612688018396134230464208192295833162177576269868950475938618183135986328125	0.000000000000000000000000043384792881184699543981100134415171160703515681650229101534563917199303906269136632545269094407558441162109375	0.0000000000000000000000006693653758811353906315644472141802293530090906563017003046037355280285796599315517596551217138767242431640625	-1.6308365312570952	79.11918387172807	ACVRL1;ECM1;CSF1;HSPB8;FHL1;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;PALM;CD34;OSR2;MYOC;SCARA5;HEG1;RAB3IL1;DCN;DKK2;ASPN;TGFBR2;TGFBR3;SFRP4;VCAN;FNDC1;NOV;ITGA5;RAB7B;PLPP3;NBL1;RAMP2;NDRG4;TNXB;PCOLCE2;SEMA3C;NPR1;HTRA3;GLT8D2;CLEC3B;RRAS;S100A16;TRIM47;ARSI;NDN;IGFBP6;CADM3;RARRES2;GFPT2;AHNAK2;SULF1;KLF4;VASN;KLF2;MFAP5;ADGRD1;SPSB1;FGF18;ITGA11;ACKR3;CD248;TEK;PI16;LIMS2;FBN1
PERICARDIUM	63/2316	0.0000000000000000001282479940095663256278461308854285938734453196316708163161879330260717324563302099704742431640625	0.000000000000000001731347919129145311716487700011717446092476826936985834226589986428734846413135528564453125	0.00000000000000000000001217816904957344662311594765010906643441853454594701715386407571417581863215673365630209445953369140625	0.0000000000000000000001644052821692415411670088014993474765520155885927415097638205898622487666216329671442508697509765625	-1.5874543581727785	69.0547743282981	ACVRL1;ECM1;CSF1;HSPB8;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;PALM;OSR2;SCARA5;HEG1;RAB3IL1;RNASE4;DCN;ASPN;TGFBR2;TGFBR3;TMEFF2;IGDCC4;FNDC1;ITGA5;RAB7B;PLPP3;NBL1;RAMP2;TNXB;SEMA3C;NPR1;HTRA3;GLT8D2;SLC1A5;DPP4;CLEC3B;ARHGAP20;RRAS;S100A16;TRIM47;ARSI;NDN;IGFBP6;CADM3;ACE;RARRES2;GFPT2;AHNAK2;SULF1;KLF4;VASN;KLF2;MFAP5;ADGRD1;SNX18;SPSB1;LRRN4CL;CD248;TEK;RECK;LIMS2;FBN1
VALVE	62/2316	0.00000000000000000064740478220446954568834497894616679548495721901077665054458076809851263533346354961395263671875	0.0000000000000000077688573864536341630741508699068309346238981111438560989146395741045125760138034820556640625	0.00000000000000000000007554341999914355497698746627670042112181354248174295334188293842003769640314203570596873760223388671875	0.00000000000000000000090652103998972275376339766110340569096068548756056966559583980280745407753784093074500560760498046875	-1.493302733427579	62.541482504475056	ACVRL1;ECM1;CSF1;CPQ;HSPB8;MEDAG;TMEM100;ISLR;EFEMP1;C1QTNF1;ADAMTSL4;LBP;CD34;OSR2;MYOC;SCARA5;HEG1;RAB3IL1;RNASE4;DCN;DKK2;ASPN;SFRP4;FNDC1;NOV;PLPP3;NBL1;RAMP2;TNXB;PCOLCE2;NPR1;SDC2;HTRA3;GLT8D2;PRELP;CLEC3B;RRAS;S100A16;S100A13;TRIM47;ARSI;IGFBP6;CADM3;RARRES2;GFPT2;AHNAK2;SULF1;KLF4;VASN;KLF2;ADGRD1;SPSB1;TPPP3;LRRN4CL;FGF18;ITGA11;ACKR3;CD248;TEK;PI16;LIMS2;FBN1
CHONDROCYTE	60/2316	0.00000000000000001523912515750759773510830823817478528750438720898267852543739309112424962222576141357421875	0.00000000000000012660196284698620605009336388507472358715862646195982055274953381740488111972808837890625	0.000000000000000000002678991645877235630877803492142198308860213782905434736348986024534468697311240248382091522216796875	0.0000000000000000000222562382888262666300304619832071953658997154067292740631071878976143807449261657893657684326171875	-1.6137603098640605	62.489100723882345	ECM1;CSF1;HSPB8;MEDAG;TMEM100;ADAMTS5;ISLR;EFEMP1;C1QTNF1;PHACTR2;LBP;SMIM14;OSR2;ANXA1;MYOC;HEG1;RNASE4;DCN;ASPN;TGFBR3;UGDH;SFRP4;FNDC1;NOV;S100A6;ITGA5;RAB7B;PLPP3;NBL1;TNXB;PCOLCE2;SEMA3C;SDC2;HTRA3;GLT8D2;UAP1;PRELP;DPP4;LIMA1;CLEC3B;ARHGAP20;S100A16;S100A13;TRIM47;ARSI;SNX9;IGFBP6;GFPT2;AHNAK2;PLXDC2;SULF1;KLF4;VASN;SPSB1;LRRN4CL;FGF18;ITGA11;ACKR3;RECK;FBN1
