Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
VENTRICLE	49/2316	0.0000000000000000000003342101470781642228147873054265244611174968472781674108291224793709783824624537373892962932586669921875	0.000000000000000000018047347942220869442591735479777330462828674419715853567171282012537858463474549353122711181640625	0.00000000000000000000000225695139233900391896238840217225024337718623790205035259236814276610771923259335380862466990947723388671875	0.00000000000000000000012187537518630620795054912739765305074006637802719297585665801479659631212371095898561179637908935546875	-1.66782210531863	82.47425717901922	TINAGL1;STEAP4;RASL11A;ATP2A2;HSPB1;FRY;TSPAN12;RGS5;EDNRA;MPRIP;TIMP3;TNS1;PDGFRB;TPM2;TPM1;EBF1;ABCC9;SEPT4;TM4SF1;ACTA2;PRKAR1A;SPARCL1;MFGE8;MYL9;RASL12;NOTCH3;TAGLN;ENPEP;EPAS1;NDUFA4L2;VTN;FOXS1;PDLIM3;MUSTN1;IGFBP7;S1PR3;MYH11;FILIP1L;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;CAV1;NR2F2;BMP5;HEYL;CXCL12;PDE3A
OMENTUM	50/2316	0.000000000000000000000037593866453846093195283811398817282022332233004709858980468308031763768894961685873568058013916015625	0.000000000000000000004060137577015378441248843894204269008407573075627281671863555434498493923456408083438873291015625	0.00000000000000000000000022312267642458828834728374882723911689657984334282747405495637226077905446164351133120362646877765655517578125	0.0000000000000000000000240972490538555338558096986614648627840250354941941570837698354846934112316603204817511141300201416015625	-1.584773101471313	81.83007814256932	ERRFI1;TINAGL1;STEAP4;RASL11A;TSPAN12;RGS4;RGS5;EDNRA;TIMP3;TNS1;PDGFRB;TPM2;ITGA1;EBF1;TM4SF1;ACTA2;PROCR;MYADM;SPARCL1;MFGE8;MYL9;TNFRSF21;RASL12;NOTCH3;TAGLN;ENPEP;EPAS1;NDUFA4L2;VTN;FOXS1;PDLIM3;SOCS1;EPB41L1;MUSTN1;IGFBP7;MYH11;FILIP1L;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;IL34;CAV1;NR2F2;GNG11;HEYL;CXCL12;PDE3A;CPE
KUPFFER CELL	45/2316	0.0000000000000000013599925746852911152373063793170014046590898996896856244787077372393468976952135562896728515625	0.00000000000000004895973268867048554114687393967243912446547562662517438791809354370343498885631561279296875	0.000000000000000000015298129950311892863989120303257919655615837512224568228713650341887841932475566864013671875	0.0000000000000000005507326782112281431036083309172851076021701504400844562336914123079623095691204071044921875	-1.764418136148669	72.58649021843242	ERRFI1;NOTCH3;TAGLN;ENPEP;TINAGL1;SERPINE2;EPAS1;RASL11A;NDUFA4L2;PRSS23;MYLK;RGS4;RGS5;VTN;FOXS1;PDLIM3;EDNRA;TIMP3;IGFBP7;S1PR3;FILIP1L;PDLIM7;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;IL34;CAV1;TPM2;ITGA1;TPM1;NR2F2;GNG11;TM4SF1;ACTA2;PROCR;MYO1B;CXCL12;PDE3A;MYH9;MFGE8;MYL9
ATRIUM	43/2316	0.0000000000000000671156700851624622829139068630008589026435871318677917063411086928681470453739166259765625	0.000000000000001208082061532924296440547035377396541131066903286550573426438859314657747745513916015625	0.00000000000000000097157944427684347740512765168204057819205552448964431644373718199858558364212512969970703125	0.000000000000000017488429996983184134036253240065412852239353508755452526468587848285096697509288787841796875	-1.6648342491844461	61.99861743695441	RASL12;NOTCH3;TAGLN;HACD1;ENPEP;TINAGL1;EPAS1;RASL11A;NDUFA4L2;ATP2A2;HSPB1;TSPAN12;RGS4;RGS5;VTN;FOXS1;PDLIM3;EDNRA;TIMP3;IGFBP7;S1PR3;FILIP1L;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;CAV1;TPM2;TPM1;NR2F2;GNG11;TM4SF1;BMP5;ACTA2;HEYL;CXCL12;PDE3A;SPARCL1;MFGE8;MYL9
ADIPOSE (BULK TISSUE)	44/2316	0.000000000000000009760640905815003301455150776762502421684661023403885293792114907773793675005435943603515625	0.0000000000000002635373044570050798948253379138554707167917232242537739494991910760290920734405517578125	0.0000000000000000001245777398013709172739952703796276974075709420010813432110052811907507930300198495388031005859375	0.00000000000000000336359897463701493491674243413308497240248541021033663878103681099673849530518054962158203125	-1.5519971806038209	60.78889501063785	RASL12;ERRFI1;NOTCH3;TAGLN;ENPEP;TINAGL1;STEAP4;EPAS1;RASL11A;NDUFA4L2;TSPAN12;RGS5;FOXS1;EDNRA;EPB41L1;MUSTN1;TIMP3;IGFBP7;FILIP1L;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;IL34;CAV1;ITGA1;EBF1;NR2F2;SEPT4;GNG11;TM4SF1;BMP5;ACTA2;HEYL;CXCL12;PDE3A;CPE;SPARCL1;MFGE8;MYL9;TNFRSF21
HEART (BULK TISSUE)	40/2316	0.0000000000000168585352160479256646352613713215503241072378004528076189671992324292659759521484375	0.0000000000001820721803333176249459646865898882939932036661989656067817122675478458404541015625	0.0000000000000003554209416442702083753469089099820844702593719034722230531997411162592470645904541015625	0.000000000000003838546169758118605441153965683118947556655593811303361917453003115952014923095703125	-1.6219271386985035	51.43766642827874	RASL12;NOTCH3;TAGLN;HACD1;ENPEP;TINAGL1;EPAS1;NDUFA4L2;TSPAN12;RGS5;VTN;FOXS1;PDLIM3;EDNRA;MUSTN1;TIMP3;FILIP1L;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;IL34;CAV1;TPM2;TPM1;EBF1;NR2F2;SEPT4;GNG11;TM4SF1;BMP5;ACTA2;HEYL;CXCL12;PDE3A;SPARCL1;MFGE8;MYL9
GASTRIC TISSUE (BULK)	43/2316	0.0000000000000000671156700851624622829139068630008589026435871318677917063411086928681470453739166259765625	0.000000000000001208082061532924296440547035377396541131066903286550573426438859314657747745513916015625	0.00000000000000000097157944427684347740512765168204057819205552448964431644373718199858558364212512969970703125	0.000000000000000017488429996983184134036253240065412852239353508755452526468587848285096697509288787841796875	-1.3695328414226333	51.00155931096535	RASL12;ERRFI1;TAGLN;ENPEP;TINAGL1;EPAS1;NDUFA4L2;TSPAN12;MYLK;RGS5;FOXS1;PDLIM3;EDNRA;EPB41L1;BTBD3;TIMP3;IGFBP7;MYH11;FILIP1L;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;PCP4L1;IL34;CAV1;TPM2;ITGA1;TPM1;NR2F2;TM4SF1;BMP5;ACTA2;HEYL;CXCL12;PDE3A;SPARCL1;CYSTM1;MYL9;TNFRSF21
LUNG (BULK TISSUE)	42/2316	0.00000000000000044211471414723188384661455268570182797886023600732186000783485724241472780704498291015625	0.0000000000000068211984468430062360927997136155355392355781156410454713068247656337916851043701171875	0.0000000000000000072566205293026885812096470118178078838520933381106385595682439770826022140681743621826171875	0.000000000000000111959288166384337229666579319595503096699523463454506444492153605096973478794097900390625	-1.4130162663039034	49.95713681205295	RASL12;ERRFI1;NOTCH3;TAGLN;ENPEP;TINAGL1;STEAP4;EPAS1;RASL11A;NDUFA4L2;TSPAN12;MYLK;RGS5;FOXS1;PDLIM3;EDNRA;EPB41L1;TIMP3;IGFBP7;MYH11;FILIP1L;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;PCP4L1;IL34;CAV1;ITGA1;NR2F2;GNG11;TM4SF1;BMP5;ACTA2;HEYL;MYO1B;CXCL12;SPARCL1;MYL9
VALVE	40/2316	0.0000000000000168585352160479256646352613713215503241072378004528076189671992324292659759521484375	0.0000000000001820721803333176249459646865898882939932036661989656067817122675478458404541015625	0.0000000000000003554209416442702083753469089099820844702593719034722230531997411162592470645904541015625	0.000000000000003838546169758118605441153965683118947556655593811303361917453003115952014923095703125	-1.4603270740828163	46.31269501608562	RASL12;NOTCH3;TAGLN;TINAGL1;EPAS1;RASL11A;NDUFA4L2;HSPB1;TSPAN12;VTN;FOXS1;PDLIM3;MUSTN1;TIMP3;IGFBP7;MYH11;FILIP1L;PDLIM7;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;CAVIN1;IL34;CAV1;TPM2;EBF1;NR2F2;SEPT4;GNG11;TM4SF1;ACTA2;HEYL;PROCR;CXCL12;PDE3A;SPARCL1;MFGE8;MYL9
SUBCUTANEOUS ADIPOSE TISSUE	40/2316	0.0000000000000168585352160479256646352613713215503241072378004528076189671992324292659759521484375	0.0000000000001820721803333176249459646865898882939932036661989656067817122675478458404541015625	0.0000000000000003554209416442702083753469089099820844702593719034722230531997411162592470645904541015625	0.000000000000003838546169758118605441153965683118947556655593811303361917453003115952014923095703125	-1.3598151000768954	43.125066381230255	RASL12;NOTCH3;TAGLN;ENPEP;TINAGL1;STEAP4;EPAS1;RASL11A;NDUFA4L2;TSPAN12;RGS5;FOXS1;EDNRA;EPB41L1;MUSTN1;TIMP3;IGFBP7;FILIP1L;TNS1;PDGFRB;PPP1R14A;KCNJ8;PRRX1;RBPMS;CAVIN1;IL34;CAV1;ITGA1;EBF1;NR2F2;SEPT4;GNG11;TM4SF1;BMP5;HEYL;CXCL12;SPARCL1;MFGE8;MYL9;TNFRSF21
