Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FIBROBLAST	110/2316	0.0000000000000000000000000000000000000000000000000000007761478039541902127877486912060528943182931562601330552411236860565110792029442710883553867264654074992137577215378468393520980914924100278751151194001067779026925563812255859375	0.000000000000000000000000000000000000000000000000000083823962827052549356274930144259219312795641661099783566543321584056482020078863792135310055821224786545228014440589474232543858883172360751956375679583288729190826416015625	0.00000000000000000000000000000000000000000000000000000000000081591038394440494009680370366990506091695375432905967045399125774320338978749428795648569060380085591528384748519749385129009701635716195960233479401134404351836337809800170361995697021484375	0.00000000000000000000000000000000000000000000000000000000008811832146599573242502522494426083452957796702908729930618300918842194881401533891772070378041982901849769508394843633618927685265941655122167949255873597991239876137115061283111572265625	-1.6942769783773248	211.09506398534057	VIT;SPON2;OLFML2B;COL16A1;COL12A1;LOXL3;TNC;PLOD1;CCDC102A;ANTXR1;LOXL2;CTGF;POFUT2;CDH2;EVA1B;DPYSL3;PLS3;SLC16A2;PAMR1;POSTN;TPM4;ACTN1;CLEC11A;F2R;P3H2;PCOLCE;P3H3;DKK3;LOX;DAAM2;CD109;COL8A2;FKBP9;MXRA7;JCAD;PLPP1;PPIC;FBN2;SMIM3;NNMT;FAM114A1;SHC1;MAGED1;HTRA1;AEBP1;LTBP1;NPAS2;DSEL;TXNDC5;SOCS5;CRTAP;SURF4;FN1;PYCR1;SSC5D;COL1A1;DAP;P4HA1;ITGBL1;DCHS1;FAT4;TGFBI;FKBP10;ECM2;MTMR11;FKBP14;CPXM2;PKD2;WISP1;CTSK;BOC;DSE;TIMP2;SDF4;EMILIN1;TIMP1;IKBIP;PTGIS;SPHK1;COPZ2;SLC39A13;RHOC;RCN3;BACE2;TUBB2A;PALLD;CDH11;FIBIN;GAS1;ANGPTL2;GARS;GAS6;RHOQ;COL11A1;GBA;SEMA3B;ASAP1;THBS2;THBS1;EGFR;SRPX2;TMEM204;OLFML3;MARVELD1;MSX1;CTHRC1;YIPF5;RFLNB;KAZALD1;FMOD
OSTEOBLAST	94/2316	0.000000000000000000000000000000000000003754066273869003781843302842353345731326116225055592987897904169262705978609919662214082262607513207873510818757267770706675946712493896484375	0.0000000000000000000000000000000000002027195787889262081347210342861953855177867417069305547671853799815660515001175350413943889392974495589072603252134285867214202880859375	0.000000000000000000000000000000000000000000047640508186023004915516706320452678137358281970842183156310477077076452170735266826546916885763211097200588140486432475739775327383540570735931396484375	0.0000000000000000000000000000000000000000025725874420452422256106043629931376936953372822326827506631518823466587653725580739794609740047593756715848915817002051653616945259273052215576171875	-1.8055567937632382	159.75201614428883	VIT;FKBP10;OLFML2B;ECM2;COL16A1;MTMR11;FKBP14;CTSZ;COL12A1;LOXL3;TNC;PLOD1;PKD2;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;CDH2;EVA1B;CTSK;DPYSL3;BOC;DSE;TIMP2;PLS3;EMILIN1;TIMP1;PAMR1;IKBIP;POSTN;PTGIS;TPM4;SPHK1;ACTN1;CLEC11A;P3H2;COPZ2;GPX7;SLC39A13;PCOLCE;P3H3;RHOC;DKK3;RCN3;MN1;BACE2;ADAM15;CRISPLD1;LOX;DAAM2;PALLD;CD109;CDH11;FIBIN;COL8A2;GAS1;ANGPTL2;GARS;FKBP9;MXRA7;GAS6;JCAD;PPIC;FBN2;NNMT;FAM114A1;SHC1;COL11A1;SEMA3B;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;SRPX2;OLFML3;MARVELD1;TXNDC5;CTHRC1;SOCS5;TGFB3;FN1;PYCR1;SSC5D;KAZALD1;COL1A1;P4HA1;ITGBL1;FAT4;TGFBI;FMOD
STROMAL CELL	91/2316	0.000000000000000000000000000000000001759138195299694716486668817033241717705899848528305546660572794475258150398689736208145007064461429191482011447078548371791839599609375	0.0000000000000000000000000000000000633289750307890164754318526436858171887535624257236967177728208637310383191965609044898227221465081271389863104559481143951416015625	0.000000000000000000000000000000000000000034979483815479844931914046753674925303090749743548895697189957501883465405846322442064664432530578493996988032055384110208251513540744781494140625	0.00000000000000000000000000000000000000125926141735727437676575275814151901897192880791433802196656185713676383111898976122855764083681190564079077631731706787832081317901611328125	-1.749870867444938	144.06378755483883	VIT;SPON2;FKBP10;OLFML2B;ECM2;COL16A1;CTSZ;COL12A1;LOXL3;TNC;PLOD1;PKD2;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;EVA1B;CTSK;BOC;DSE;TIMP2;EMILIN1;PAMR1;IKBIP;POSTN;PTGIS;TPM4;SPHK1;SERPINF1;CLEC11A;COPZ2;GPX7;SLC39A13;PCOLCE;P3H3;RHOC;DKK3;RCN3;MN1;BACE2;LOX;PALLD;CD109;CDH11;FIBIN;COL8A2;GAS1;ANGPTL2;FKBP9;MXRA7;GAS6;JCAD;PLPP1;PPIC;FBN2;NNMT;FAM114A1;SHC1;COL11A1;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;NPAS2;EGFLAM;SRPX2;TMEM204;OLFML3;MARVELD1;DSEL;UBTD2;MSX1;TXNDC5;CTHRC1;SOCS5;TGFB3;FN1;PYCR1;SSC5D;KAZALD1;COL1A1;CILP;OGN;ITGBL1;FAT4;TGFBI;FMOD
KUPFFER CELL	89/2316	0.000000000000000000000000000000000095209451800099922370989353693726844870651462584933410817660481878018649778542962923788095346011584041434616665355861186981201171875	0.00000000000000000000000000000000257065519860269796816306559194332031888046470142876718364155813322767229510715981079184595803344137721069273538887500762939453125	0.0000000000000000000000000000000000000025490619978157379282335029842602403497634046080666444812222340712796851080087382587332560794777779338178558266037043722462840378284454345703125	0.0000000000000000000000000000000000000688246739410249256936306975746576211211854517319362899182913844417931348558950468532287252952715610188061390317670884542167186737060546875	-1.7299197856520678	135.51669879013193	SPON2;FKBP10;ECM2;COL16A1;CTSZ;COL12A1;LOXL3;TNC;PLOD1;PKD2;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;CDH2;EVA1B;CTSK;DPYSL3;DSE;TIMP2;SDF4;PLS3;EMILIN1;TIMP1;SLC16A2;PAMR1;IKBIP;POSTN;PTGIS;TPM4;SPHK1;ACTN1;CLEC11A;F2R;COPZ2;SLC39A13;PCOLCE;P3H3;RHOC;DKK3;RCN3;MN1;BACE2;ADAM15;LOX;DAAM2;PALLD;CDH11;FIBIN;GAS1;ANGPTL2;FKBP9;MXRA7;GAS6;JCAD;PLPP1;PPIC;NNMT;FAM114A1;SHC1;GBA;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;EGFLAM;SRPX2;TMEM204;OLFML3;MARVELD1;TXNDC5;CTHRC1;SOCS5;TGFB3;FN1;PYCR1;SSC5D;KAZALD1;COL1A1;P4HA1;ITGBL1;FAT4;CCDC3;TGFBI;FMOD
RESPIRATORY SMOOTH MUSCLE	88/2316	0.000000000000000000000000000000000677969393819931930142751715020773981430659434826925400465768906369043668099702094195974956536421274222448118962347507476806640625	0.00000000000000000000000000000001464413890651052873316456494740579842213397396517048328269404654792188988139516804434618613139917897569830529391765594482421875	0.000000000000000000000000000000000000021051786519797457031404437512556003426443748548381904086377616111890055222691038854992763699436569661826990085273791919462382793426513671875	0.00000000000000000000000000000000000045471858882762510111169986690459955367330257811438217780697238416579532676881775977220383170456820265403763414724380709230899810791015625	-1.620219202292889	123.74255849582339	VIT;SPON2;FKBP10;OLFML2B;ECM2;COL16A1;MTMR11;CPXM2;COL12A1;LOXL3;TNC;PLOD1;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;EVA1B;CTSK;DPYSL3;BOC;DSE;TIMP2;SDF4;EMILIN1;TIMP1;SLC16A2;PAMR1;POSTN;PTGIS;SERPINF1;CLEC11A;F2R;COPZ2;SLC39A13;PCOLCE;P3H3;DKK3;RCN3;MN1;BACE2;LOX;DAAM2;PALLD;CD109;CDH11;FIBIN;COL8A2;GAS1;ANGPTL2;FKBP9;NUPR1;MXRA7;GAS6;JCAD;PLPP1;PPIC;FBN2;NNMT;FAM114A1;SEMA3B;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;SRPX2;TMEM204;OLFML3;MARVELD1;DSEL;CTHRC1;SOCS5;TGFB3;FN1;PYCR1;SSC5D;KAZALD1;COL1A1;CILP;OGN;ITGBL1;DCHS1;FAT4;TGFBI;FMOD
ASTROCYTE	84/2316	0.00000000000000000000000000000140183942462959495647632485754316785595135298100418828158611155661787977757363489982045390291887088096700608730316162109375	0.0000000000000000000000000000252331096433327095668984635169812891380567494805544218886154934882507789355924991692159409240048262290656566619873046875	0.0000000000000000000000000000000000785454472760477896130759644305041928652029826280024054551362175130991849790274354441071209993741053523308437434025108814239501953125	0.0000000000000000000000000000000014138180509688601061247789560612496259521950012447681455845767110338374111449941515779825385035195495220250450074672698974609375	-1.6101337309565527	110.68021837562343	FKBP10;OLFML2B;COL16A1;MTMR11;COL12A1;LOXL3;TNC;PLOD1;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;CDH2;EVA1B;BASP1;DPYSL3;BOC;TIMP2;SDF4;PLS3;EMILIN1;PAMR1;IKBIP;POSTN;TPM4;SPHK1;ACTN1;F2R;P3H2;COPZ2;SLC39A13;PCOLCE;P3H3;RHOC;DKK3;RCN3;MN1;BACE2;TUBB2A;CRISPLD1;LOX;PALLD;CDH11;FIBIN;COL8A2;GAS1;ANGPTL2;FKBP9;MXRA7;GAS6;JCAD;PPIC;CHODL;FBN2;NNMT;FAM114A1;SHC1;MAGED1;COL11A1;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;EGFLAM;SRPX2;MARVELD1;UBTD2;TXNDC5;CTHRC1;TGFB3;FN1;PYCR1;SSC5D;KAZALD1;COL1A1;ITGBL1;DCHS1;FAT4;CCDC3;TGFBI
CHONDROCYTE	80/2316	0.00000000000000000000000000204185328697799443797352085586304856063223112587445673587575697329401396874770657774433857412077486515045166015625	0.000000000000000000000000022052015499362338495184397774708243828929002870570014316469946830023200583237308336492787930183112621307373046875	0.000000000000000000000000000000205783263670865615002956200433627151022510632134722757091596854003429308486758484049439221763577734236605465412139892578125	0.000000000000000000000000000002222459247645348396804695707840185819390437751319682802543406194846776474170041947020504125021034269593656063079833984375	-1.7160589031993418	105.46201237608359	VIT;FKBP10;OLFML2B;ECM2;COL16A1;MTMR11;CPXM2;COL12A1;LOXL3;TNC;CCDC102A;PCSK5;ANTXR1;WISP1;CTGF;EVA1B;CTSK;BOC;DSE;PLS3;EMILIN1;PAMR1;IKBIP;POSTN;PTGIS;P3H2;COPZ2;PCOLCE;P3H3;DKK3;RCN3;BACE2;CRISPLD1;LOX;DAAM2;CD109;CDH11;FIBIN;COL8A2;GAS1;ANGPTL2;FKBP9;GAS6;JCAD;PLPP1;RHOQ;PPIC;FBN2;NNMT;FAM114A1;COL11A1;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;EGFLAM;SRPX2;OLFML3;MARVELD1;UBTD2;CTHRC1;SOCS5;TGFB3;FAM46A;FN1;SSC5D;MCC;KAZALD1;COL1A1;P4HA1;CILP;OGN;ITGBL1;DCHS1;FAT4;CCDC3;TGFBI;FMOD
VASCULAR SMOOTH MUSCLE	82/2316	0.00000000000000000000000000005590606983236070672917956699705223683204533171955471607003706158887183425335552777735159679650678299367427825927734375	0.0000000000000000000000000008625507916992793663492898061401649993360003594282191313002151815390826090738929377010890675592236220836639404296875	0.0000000000000000000000000000000042023983288139260083094820400824828517419461347075212839308079662267832054336247867075242179435434763945522718131542205810546875	0.00000000000000000000000000000006483700278741486115082878603853807707478508272717634371597978527792595045399991725287858201909330091439187526702880859375	-1.552866860490264	101.02001413710566	VIT;FKBP10;COL16A1;MTMR11;CPXM2;COL12A1;LOXL3;PLOD1;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;CDH2;EVA1B;DPYSL3;TIMP2;SDF4;PLS3;EMILIN1;TIMP1;SLC16A2;PAMR1;IKBIP;POSTN;PTGIS;SPHK1;ACTN1;CLEC11A;F2R;P3H2;COPZ2;SLC39A13;PCOLCE;P3H3;RHOC;DKK3;RCN3;MN1;BACE2;ADAM15;LOX;TNMD;CDH11;FIBIN;COL8A2;ANGPTL2;FKBP9;GAS6;PLPP1;PPIC;NNMT;FAM114A1;SHC1;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;NPAS2;EGFLAM;SRPX2;TMEM204;OLFML3;MARVELD1;MSX1;TXNDC5;CTHRC1;NPDC1;FN1;PYCR1;SSC5D;MCC;KAZALD1;COL1A1;P4HA1;ITGBL1;FAT4;TGFBI;FMOD
FORESKIN FIBROBLAST	81/2316	0.0000000000000000000000000003416077201452142719721366294554520438792135214792448124489787367479262159865316395013223882415331900119781494140625	0.0000000000000000000000000046117042219603924025745393472837249750133025483059077622509201058059757384610666264279643655754625797271728515625	0.00000000000000000000000000000002973504256187306319340470959299877450841608416291062970061562142948836835937815952467244695611725546768866479396820068359375	0.000000000000000000000000000000401423074585286342163319326967850089271979766746823725331264468387813505999509185694085200424296999699436128139495849609375	-1.4583650146005918	92.23267616687279	SPON2;FKBP10;COL16A1;FKBP14;CPXM2;COL12A1;LOXL3;TNC;PLOD1;PKD2;ANTXR1;LOXL2;CTGF;CDH2;EVA1B;CTSK;BOC;DSE;TIMP2;PLS3;TIMP1;SLC16A2;PAMR1;FADS1;IKBIP;PTGIS;TPM4;LIMCH1;P3H2;COPZ2;PCOLCE;P3H3;RHOC;DKK3;RCN3;LOX;DAAM2;PALLD;CD109;CDH11;ANGPTL2;FKBP9;NUPR1;GAS6;JCAD;RHOQ;PPIC;FBN2;OAT;NNMT;SAR1A;FAM114A1;SHC1;COL11A1;GBA;HTRA1;ARL1;ASAP1;AEBP1;THBS2;THBS1;LTBP1;EGFR;NPAS2;ADGRG2;SRPX2;OLFML3;DSEL;CTHRC1;SOCS5;YIPF5;FAM46A;FN1;RFLNB;PYCR1;SSC5D;COL1A1;P4HA1;ITGBL1;FAT4;TGFBI
FETAL LUNG	80/2316	0.00000000000000000000000000204185328697799443797352085586304856063223112587445673587575697329401396874770657774433857412077486515045166015625	0.000000000000000000000000022052015499362338495184397774708243828929002870570014316469946830023200583237308336492787930183112621307373046875	0.000000000000000000000000000000205783263670865615002956200433627151022510632134722757091596854003429308486758484049439221763577734236605465412139892578125	0.000000000000000000000000000002222459247645348396804695707840185819390437751319682802543406194846776474170041947020504125021034269593656063079833984375	-1.444424290048449	88.76845198577081	SPON2;FKBP10;OLFML2B;COL16A1;FKBP14;COL12A1;LOXL3;TNC;PLOD1;CCDC102A;ANTXR1;WISP1;LOXL2;CTGF;POFUT2;EVA1B;DPYSL3;BOC;DSE;TIMP2;EMILIN1;SLC16A2;PAMR1;IKBIP;POSTN;TPM4;CLEC11A;F2R;COPZ2;SLC39A13;PCOLCE;P3H3;RHOC;DKK3;RCN3;LOX;DAAM2;PALLD;CD109;CDH11;FIBIN;GAS1;ANGPTL2;FKBP9;GAS6;JCAD;PPIC;FBN2;NNMT;FAM114A1;SHC1;MAGED1;COL11A1;SEMA3B;HTRA1;AEBP1;THBS2;THBS1;LTBP1;EGFR;EGFLAM;SRPX2;OLFML3;MARVELD1;DSEL;CTHRC1;SOCS5;TGFB3;FN1;PYCR1;SSC5D;MCC;KAZALD1;COL1A1;CILP;ITGBL1;DCHS1;FAT4;TGFBI;FMOD
