Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MYOBLAST	37/2316	0.00000008290786183741792125809016121562589063387349597178399562835693359375	0.000008871141216603716886401377605952944804812432266771793365478515625	0.000000000054499041635747865584830201460993779651043045220148997032083570957183837890625	0.00000000583139745502502167573796837646109281205752949972520582377910614013671875	-1.5650558047075243	25.5190736781961	BCAR3;CHRNA1;NOTCH2;MEGF10;CD82;PRUNE2;SIX1;CRIP2;OLFML2A;CFL2;GPC1;RACK1;ANKRD10;FLNC;MSC;PDLIM4;CHRNB1;PPP1R14B;SLF2;MUSK;CAVIN2;PLK2;IGF2;TANC2;ARHGAP24;SYTL2;DES;ITGA7;CDH13;SPATS2L;RPL22L1;TLN2;CDH15;ASB5;SLC25A5;GAPDH;RAPSN
KIDNEY (BULK TISSUE)	30/2316	0.00011519342080222309712515815771638472142512910068035125732421875	0.006162848012918935303172673911831225268542766571044921875	0.0000006513533235100138930268932370426515632289010682143270969390869140625	0.000034847402807785743329878347385175629824516363441944122314453125	-1.5033088316166126	13.633354339811348	SIX1;ATP2A1;RPL10A;UQCRH;LMNB2;EEF1B2;NPPC;RPL36AL;CFL2;RACK1;CCT8;HMGN2;CCT5;BTF3;PPP1R14B;NPM1;RPS8;RPL35A;RPSA;MIF;ANK3;RPS25;RPS28;LSM6;NACA;FSCN1;EIF3F;SNRPF;SLC25A5;RPS21
SKELETAL MUSCLE (BULK TISSUE)	28/2316	0.000634935115194892895663925092009094441891647875308990478515625	0.0226460191086178437569476074031626922078430652618408203125	0.000006494914721735189653347049276721492105934885330498218536376953125	0.00023165195840855510949450601909660463206819258630275726318359375	-1.5910555238127067	11.71333126806346	CHRNA1;RTN2;MEGF10;SIX1;ATP2A1;C1QTNF3;CAPN6;CFL2;GPC1;PDK4;FLNC;CHRNB1;ACTN3;DMPK;MUSK;CAVIN2;PDE4D;IGF2;ANK1;ARHGAP24;DES;ITGA7;CDH13;SPRY1;TLN2;CDH15;ASB5;RAPSN
CD34+ CELL	27/2316	0.00139899985186574108732282528677615118795074522495269775390625	0.0299385968299268612202723716109176166355609893798828125	0.0000191722663773251781921432013167105878892471082508563995361328125	0.0004102865004747588526141932607771423136000521481037139892578125	-1.6309712388410982	10.718739212790268	CD82;RPL10A;EEF1B2;CCND3;RPL36AL;RACK1;ANKRD10;HMGN2;MEST;BTF3;DARS;NPM1;CAVIN2;RPS8;RPL35A;RPSA;MIF;PNRC1;SYTL2;EEF1G;RPS25;RPS28;NACA;EIF3F;SLC25A5;GAPDH;RPS21
FETAL LUNG	27/2316	0.00139899985186574108732282528677615118795074522495269775390625	0.0299385968299268612202723716109176166355609893798828125	0.0000191722663773251781921432013167105878892471082508563995361328125	0.0004102865004747588526141932607771423136000521481037139892578125	-1.6122362065445395	10.595612623830485	BCAR3;CHRNA1;NOTCH2;SIX1;OLFML2A;LMNB2;DRP2;GPC1;FLNC;SOX9;MSC;PDLIM4;BOK;CCDC134;ACTN3;DMPK;MUSK;PLK2;IGF2;TANC2;ARHGAP24;FSCN1;CDH13;SPATS2L;ARHGEF2;TLN2;FGFR4
ATRIUM	26/2316	0.0029519275733149406837352302090948796831071376800537109375	0.049057794148578769133361987542230053804814815521240234375	0.0000540449800955351998738886154516336546294041909277439117431640625	0.000963802145037044480195553841639366510207764804363250732421875	-1.6308365312570952	9.500107001892424	DDR1;NOTCH1;CRIP2;OLFML2A;NPPC;GPC1;PDK4;FLNC;MSC;PDLIM4;BOK;VCAM1;DMPK;PEG3;MUSK;CAVIN2;PLK2;IGF2;ANK3;ANK1;ARHGAP24;DES;ITGA7;CDH13;SPRY1;TLN2
ASTROCYTE	25/2316	0.005960292747023588667831806020558360614813864231109619140625	0.049057794148578769133361987542230053804814815521240234375	0.000145350257457603124731926325097219887538813054561614990234375	0.0011963444267664258106875774245736465672962367534637451171875	-1.5750461559177296	8.068387636711815	BCAR3;DDR1;TENM4;MEGF10;PRUNE2;SIX1;CRIP2;OLFML2A;LMNB2;DRP2;GPC1;FLNC;MSC;PDLIM4;MEST;BOK;PPP1R14B;VCAM1;DMPK;PLK2;IGF2;FSCN1;ITGA7;CDH13;TLN2
BLOOD DENDRITIC CELLS	25/2316	0.005960292747023588667831806020558360614813864231109619140625	0.049057794148578769133361987542230053804814815521240234375	0.000145350257457603124731926325097219887538813054561614990234375	0.0011963444267664258106875774245736465672962367534637451171875	-1.5062590578484365	7.716016393785169	NOTCH2;RPL10A;UQCRH;EEF1B2;RPL36AL;RACK1;CCT8;HMGN2;BTF3;NCOA1;NPM1;RPS8;RPL35A;RPSA;MIF;EEF1G;RPS25;RPS28;LSM6;NACA;RPL22L1;EIF3F;SNRPF;SLC25A5;RPS21
SPINAL CORD	25/2316	0.005960292747023588667831806020558360614813864231109619140625	0.049057794148578769133361987542230053804814815521240234375	0.000145350257457603124731926325097219887538813054561614990234375	0.0011963444267664258106875774245736465672962367534637451171875	-1.417561433816551	7.261650780145362	DDR1;NOTCH1;TENM4;MEGF10;PRUNE2;DRP2;C1QTNF3;NPPC;MAP2;GPC1;FLNC;BOK;VCAM1;SEMA6A;DMPK;EDN3;PEG3;IGF2;ANK1;LIX1;FSCN1;ITGA7;FXYD6;TLN2;TNIK
MYOFIBROBLAST	25/2316	0.005960292747023588667831806020558360614813864231109619140625	0.049057794148578769133361987542230053804814815521240234375	0.000145350257457603124731926325097219887538813054561614990234375	0.0011963444267664258106875774245736465672962367534637451171875	-1.4048201231367394	7.19638168744084	CHRNA1;SIX1;LMNB2;DRP2;NPPC;GPC1;ST3GAL5;FLNC;MSC;PDLIM4;BOK;CCDC134;PPP1R14B;VCAM1;ACTN3;DMPK;MUSK;CAVIN2;IGF2;MBOAT1;ANK1;FSCN1;SPRY1;TLN2;FGFR4
