Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
BRAIN (BULK)	60/2316	0.0000000000000000000024749305844096758584758440424013639165075943150459811432917422990840350394137203693389892578125	0.00000000000000000026481757253183534093103961737739410226603687402151146405848702869434418971650302410125732421875	0.0000000000000000000000003855295403116816925377165202084001510586053783214743432130743551662123425050054947860189713537693023681640625	0.000000000000000000000041251660813349942662739102348149412684248988978692795576714148590713460151846447843126952648162841796875	-1.6026126626133357	76.04088517691376	ATP8A1;PLEKHB1;SLC35F1;CLEC14A;C4B;CHL1;RASGEF1C;ENPP5;SHISA4;ETV1;GPR37L1;POU3F1;SOX10;AJAP1;PLSCR4;ACSBG1;CRYAB;GAS7;CDH19;NRN1;CNP;TTYH2;KCNA1;NRXN1;KCNA2;LPAR1;PPM1H;ATP1A2;PTN;NDRG2;NKAIN4;PTPRZ1;SLITRK1;ADAM23;TSPAN7;APOD;MBP;NCAM1;APOE;CKB;ATP6V0E2;RXRG;TRPM3;GPM6B;PRNP;AFAP1L2;LGI4;CMTM5;SORBS1;L1CAM;HSPA12A;S100B;IGSF11;TSPAN15;DBNDD2;RGCC;FABP7;FXYD1;PLP1;COL20A1
CEREBRAL CORTEX	56/2316	0.0000000000000000026113792193377141929445112433487244586262553138985599565646822384223924018442630767822265625	0.000000000000000139708788234567703929927507234896369979766420055776465769525884752511046826839447021484375	0.000000000000000000000909454453384212513411347560453966852845566542872395539363720995407192049242439679801464080810546875	0.000000000000000000048655813256055372100614440326211244477207653421503479669769920423760822814074344933032989501953125	-1.6267929792753864	65.86340310789389	ATP8A1;PLEKHB1;SLC35F1;CLEC14A;C4B;CHL1;RASGEF1C;GPT2;SHISA4;ETV1;GPR37L1;SOX10;AJAP1;MMP16;ACSBG1;CRYAB;GAS7;CDH19;NRN1;TTYH2;KCNA1;NRXN1;KCNA2;LPAR1;ATP1A2;PTN;NDRG2;NKAIN4;PTPRZ1;SLITRK1;ADAM23;TSPAN7;APOD;DMD;MBP;NCAM1;CKB;ATP6V0E2;RXRG;TRPM3;GPM6B;CADM1;LGI4;CMTM5;SORBS2;SORBS1;L1CAM;HSPA12A;S100B;SOD3;IGSF11;DBNDD2;FABP7;FXYD1;PLP1;COL20A1
SPINAL CORD	52/2316	0.000000000000001703399045644068054164608862086246660635761862589987458704854361712932586669921875	0.000000000000036452739576783051310412836234170123902542486049593861707762698642909526824951171875	0.00000000000000000130611740563770368411404543427149844096622563149553454542317609821111545898020267486572265625	0.0000000000000000279509124806468620756028788639662997707201720566823344160667375035700388252735137939453125	-1.6552364047558528	56.28821862665599	ATP8A1;PLEKHB1;SLC35F1;C4B;CHL1;RASGEF1C;SHISA4;POU3F1;SOX10;AJAP1;MMP16;MMP15;MATN4;KANK4;CDH19;NRN1;TTYH2;KCNA1;NRXN1;KCNA2;LPAR1;ATP1A2;PTN;NKAIN4;GJC3;PTPRZ1;FLRT3;SLITRK1;ADAM23;TSPAN7;GPC3;APOD;NCAM1;CKB;ATP6V0E2;RXRG;TRPM3;GPM6B;BCHE;AFAP1L2;LGI4;CMTM5;SORBS1;L1CAM;HSPA12A;S100B;IGSF11;FABP7;FXYD1;PLP1;COL20A1;AGRN
SPINAL CORD (BULK)	52/2316	0.000000000000001703399045644068054164608862086246660635761862589987458704854361712932586669921875	0.000000000000036452739576783051310412836234170123902542486049593861707762698642909526824951171875	0.00000000000000000130611740563770368411404543427149844096622563149553454542317609821111545898020267486572265625	0.0000000000000000279509124806468620756028788639662997707201720566823344160667375035700388252735137939453125	-1.6236998432425769	55.21578156322994	ATP8A1;PLEKHB1;SLC35F1;C4B;CHL1;RASGEF1C;SHISA4;POU3F1;SOX10;AJAP1;MMP16;MMP15;MATN4;KANK4;CDH19;NRN1;TTYH2;KCNA1;NRXN1;KCNA2;LPAR1;ATP1A2;PTN;NKAIN4;GJC3;PTPRZ1;FLRT3;SLITRK1;ADAM23;TSPAN7;GPC3;APOD;NCAM1;CKB;ATP6V0E2;RXRG;TRPM3;GPM6B;BCHE;AFAP1L2;LGI4;CMTM5;SORBS1;L1CAM;HSPA12A;S100B;IGSF11;FABP7;FXYD1;PLP1;COL20A1;AGRN
CINGULATE GYRUS	52/2316	0.000000000000001703399045644068054164608862086246660635761862589987458704854361712932586669921875	0.000000000000036452739576783051310412836234170123902542486049593861707762698642909526824951171875	0.00000000000000000130611740563770368411404543427149844096622563149553454542317609821111545898020267486572265625	0.0000000000000000279509124806468620756028788639662997707201720566823344160667375035700388252735137939453125	-1.6108295501769783	54.77811243766935	ATP8A1;PLEKHB1;SLC35F1;CLEC14A;CHL1;ENPP5;SHISA4;ETV1;GPR37L1;SOX10;AJAP1;MMP16;PLSCR4;ACSBG1;CRYAB;GAS7;NRN1;KCNA1;NRXN1;KCNA2;LPAR1;ATP1A2;PTN;NDRG2;NKAIN4;PTPRZ1;FLRT3;SLITRK1;ADAM23;TSPAN7;APOD;DMD;MBP;NCAM1;CKB;RXRG;TRPM3;GPM6B;PRNP;AFAP1L2;LGI4;CMTM5;SORBS2;SORBS1;L1CAM;HSPA12A;S100B;IGSF11;FABP7;FXYD1;PLP1;CD200
PREFRONTAL CORTEX	50/2316	0.000000000000036202878918116760732066547081342698354293647977630854484232258982956409454345703125	0.000000000000645618007373082251987848481588228117199722289054619750459096394479274749755859375	0.00000000000000004098691168085786423749539192313085944415772501523385906718743854071362875401973724365234375	0.0000000000000007309332583086318619043652759760700335579225298855698955691195806139148771762847900390625	-1.4162197204889353	43.83148732511984	ARL6IP1;SLC35F1;CHL1;RASGEF1C;STMN1;SOX6;ETV1;GPR37L1;SOX10;ZEB2;SFRP1;MMP16;ACSBG1;ASPA;CDH19;KCNA1;NRXN1;KCNA2;PDGFA;ATP1A2;PTN;NKAIN4;GNG2;PTPRZ1;SLITRK1;ADAM23;TSPAN7;APOD;DMD;NCAM1;CKB;TRPM3;GPM6B;CLASP2;BCHE;MARCKSL1;CADM1;LGI4;MBOAT2;SORBS2;SORBS1;L1CAM;S100B;PTK2;IGSF11;FABP7;PLP1;COL20A1;CD200;MEGF9
DORSAL STRIATUM	47/2316	0.0000000000028055807607987207942884598600934194646654151750198025183635763823986053466796875	0.0000000000375246426756828915828630113774998407205618633497579139657318592071533203125	0.000000000000005668063625898902450735131617381154653110609566157851446632776060141623020172119140625	0.0000000000000758103509963978220535194221297495056617436748336302798634278587996959686279296875	-1.56531670418848	41.636501661018315	TTYH2;ATP8A1;KCNA1;NRXN1;KCNA2;PLEKHB1;LPAR1;SLC35F1;ATP1A2;PTN;NDRG2;NKAIN4;PTPRZ1;FLRT3;SLITRK1;CHL1;ADAM23;TSPAN7;APOD;MBP;NCAM1;APOE;ENPP5;RXRG;TRPM3;GPM6B;LGI4;CMTM5;SHISA4;SORBS2;GPR37L1;SORBS1;L1CAM;HSPA12A;S100B;SOX10;AJAP1;IGSF11;DBNDD2;MMP16;PLSCR4;FXYD1;PLP1;ACSBG1;CRYAB;GAS7;CDH19
SUPERIOR FRONTAL GYRUS	48/2316	0.00000000000067918402191904104583021024159843922183600606334863414303981699049472808837890625	0.00000000001038181290647677110861940803026066287330364534824411748559214174747467041015625	0.000000000000001132030820227465307414885120670487179038728284448389604932572183315642178058624267578125	0.00000000000001730389968061982484158737717696894029985169895236030157548157148994505405426025390625	-1.3884195943502229	38.90057953359289	NRN1;TTYH2;KCNA1;NRXN1;KCNA2;PLEKHB1;SLC35F1;ATP1A2;CLEC14A;PTN;NDRG2;NKAIN4;PTPRZ1;SLITRK1;CHL1;RASGEF1C;ADAM23;TSPAN7;APOD;MBP;NCAM1;APOE;CKB;ATP6V0E2;RXRG;GPM6B;AFAP1L2;LGI4;CMTM5;SHISA4;GPR37L1;SORBS1;L1CAM;POU3F1;HSPA12A;S100B;SOD3;SOX10;AJAP1;IGSF11;DBNDD2;FABP7;FXYD1;PLP1;COL20A1;ACSBG1;CRYAB;GAS7
OLIGODENDROCYTE	44/2316	0.0000000001630491607057170251973173249058677268530370696453246637247502803802490234375	0.000000001938473355056857894430900023097219531109658419154584407806396484375	0.000000000000584402009428126929577241463065209750257257559358237131164059974253177642822265625	0.000000000006947890556534397772239099835959419654111968167597979117999784648418426513671875	-1.5483609999641506	34.895364416225966	TTYH2;PROS1;KCNA2;PLEKHB1;SLC35F1;ATP1A2;PTN;C4B;PREX1;NKAIN4;PTPRZ1;FLRT3;SLITRK1;CHL1;RASGEF1C;ADAM23;DAG1;GPC3;NCAM1;CKB;SOX6;GPM6B;BCHE;MARCKSL1;AFAP1L2;MCAM;CMTM5;MAMDC2;SHISA4;ETV1;SORBS2;L1CAM;POU3F1;HSPA12A;S100B;SOX10;IGSF11;RAB31;MMP16;MMP15;FABP7;PLP1;COL20A1;AGRN
FETAL BRAIN	43/2316	0.00000000059160130809884411216145371086613628797135078229985083453357219696044921875	0.00000000633013399665763277560937897473110347323910218619857914745807647705078125	0.0000000000025638856603861845892110029662728525501509679873635150215704925358295440673828125	0.000000000027433576566132174660271269918645673478729829497524406178854405879974365234375	-1.5062958575015475	32.006057825870286	NRN1;NRXN1;KCNA2;PLEKHB1;SLC35F1;ATP1A2;PTN;PREX1;NKAIN4;PTPRZ1;SLITRK1;CHL1;RASGEF1C;ADAM23;DAG1;NCAM1;CKB;ATP6V0E2;SOX6;GPM6B;BCHE;MARCKSL1;GAS2L3;GPT2;CMTM5;MAMDC2;SHISA4;ETV1;SORBS1;L1CAM;POU3F1;HSPA12A;S100B;AJAP1;IGSF11;SFRP1;RAB31;MMP16;MMP15;FABP7;COL20A1;AGRN;CRYAB
