Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
extracellular matrix organization (GO:0030198)	32/230	0.00000000000000000000293135807404299855911394425374593447457661270339662049262165199881025046124705113470554351806640625	0.00000000000000000523247416216675264919940754365811053651672051930071431768975998011228512041270732879638671875	0.0000000000000000001523837468668562087511922924247517013609884994457707957198067116877382431994192302227020263671875	0.0000000000000002720049881573383386153351938834533795660958178062871493096963604330085217952728271484375	-1.6465105679027403	77.84507862973464	ITGB5;LAMA2;COL14A1;LAMA4;DPT;NID1;NID2;LOXL1;ICAM1;ADAMTS4;HAS1;CSGALNACT1;LUM;MMP2;MMP3;LAMB1;HSPG2;ADAM19;MMP14;BMP1;COL5A1;COL5A3;COL6A2;ADAM12;COL5A2;COL6A1;MFAP2;PXDN;COL4A5;COL6A3;COL8A1;MMP19
neutrophil mediated immunity (GO:0002446)	23/488	0.00000280223889793497783740582052214307395843206904828548431396484375	0.00100039928656278707778948255935347333434037864208221435546875	0.0000065698983545346083839813582094802058009008760564029216766357421875	0.0023454537125688549974167340650410551461391150951385498046875	-1.940248648351849	24.80625718856946	VAT1;GRN;B4GALT1;MME;TNFAIP6;GAA;HEXB;FGL2;FUCA2;MGST1;CXCL1;CKAP4;BST2;C3;PLAC8;IL6;PRDX4;CRISPLD2;NPC2;PLAU;ANPEP;CTSH;PTX3
neutrophil degranulation (GO:0043312)	22/480	0.00000721114071907463661105334995493620908746379427611827850341796875	0.002004636089536320810167158157355515868403017520904541015625	0.00001594507463583324708192821839158881402909173630177974700927734375	0.00459506955390996847665707747410124284215271472930908203125	-2.009454684145734	23.791709169359297	VAT1;GRN;B4GALT1;MME;TNFAIP6;GAA;HEXB;FGL2;FUCA2;MGST1;CXCL1;CKAP4;BST2;C3;PLAC8;PRDX4;CRISPLD2;NPC2;PLAU;ANPEP;CTSH;PTX3
collagen fibril organization (GO:0030199)	7/30	0.000000314523872096091126719652475429711557808332145214080810546875	0.0002807125558457613102684991002178094277041964232921600341796875	0.00000155690124108002388779816750619122700527441338635981082916259765625	0.000921084062009887532922192132645022866199724376201629638671875	-1.5816723046927619	23.681123346976037	COL5A1;COL14A1;LUM;COL5A3;COL5A2;DPT;LOXL1
sensory organ morphogenesis (GO:0090596)	3/8	0.0001986849975186522304464176169602751542697660624980926513671875	0.0168882247890854396421556060658986098133027553558349609375	0.00058711396398710628645456477414654727908782660961151123046875	0.038814756508036472870681876656817621551454067230224609375	-2.6951317544672295	22.972736866799668	COL5A1;COL5A2;GLI3
protein complex subunit organization (GO:0071822)	8/46	0.0000004998100383655956781327471712128573955169485998339951038360595703125	0.00029738697282752943155947900066848887945525348186492919921875	0.0000019328235114733421243032006342499329321071854792535305023193359375	0.000921084062009887532922192132645022866199724376201629638671875	-1.446633143855521	20.989254871428994	COL5A1;COL14A1;LUM;COL5A3;COL5A2;DPT;NUP98;LOXL1
endodermal cell differentiation (GO:0035987)	6/33	0.000010668031633708231404092901806190951674579991959035396575927734375	0.002004636089536320810167158157355515868403017520904541015625	0.00003097345914062187423147765041875345559674315154552459716796875	0.00552876245660100483492183087719240575097501277923583984375	-1.7092401322140538	19.5678237034657	MMP14;ITGB5;MMP2;COL6A1;COL8A1;LAMB1
cytokine-mediated signaling pathway (GO:0019221)	28/634	0.0000008233551900653308083910639388058871901421298389323055744171142578125	0.0003674222535666539003230968152280411231913603842258453369140625	0.0000020640539204703362087035302396831326632309355773031711578369140625	0.000921084062009887532922192132645022866199724376201629638671875	-1.3428395745872614	18.81301881457165	CXCL9;NUMBL;SP100;CCL11;TWIST1;CXCL1;IRS2;IFI30;PTGS2;ICAM1;IL1RL2;CCL8;CCL7;MYC;PIM1;IL13RA1;JAK1;IL33;IL1R1;MMP2;MMP3;OSMR;MID1;BST2;IL6;SDC1;MYD88;BIRC3
positive regulation of fatty acid beta-oxidation (GO:0032000)	2/8	0.00638340194231199441199375854694153531454503536224365234375	0.1330115220167611134183260901409084908664226531982421875	0.0103138012720664189181274394968568230979144573211669921875	0.1960725177883490821795220426793093793094158172607421875	-3.6965373724787187	18.68249987773804	TWIST1;IRS2
endoderm formation (GO:0001706)	6/37	0.0000212479678330239102508614212894144657184369862079620361328125	0.003160635215162306554947946324318763799965381622314453125	0.00005490066528629470210716434497300042494316585361957550048828125	0.00764706630946942501891872012720341444946825504302978515625	-1.7260989374613156	18.571528782115344	MMP14;ITGB5;MMP2;COL6A1;COL8A1;LAMB1
