Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of endothelial cell proliferation (GO:0001937)	4/31	0.00001252058298763560954228353516715088744604145176708698272705078125	0.006177342079298305498047394479499416775070130825042724609375	0.0000321794503601792824631737388596519622296909801661968231201171875	0.0151671100554960081030486662712064571678638458251953125	-2.4461241854514895	27.612184016556764	MEF2C;CAV1;ATP5A1;NR2F2
glandular epithelial cell development (GO:0002068)	2/7	0.00044244455970930489895065473859858684591017663478851318359375	0.0280675767565590310315126743034852552227675914764404296875	0.00095189312871886313897895615099287169869057834148406982421875	0.05367619586942477816204899454533006064593791961669921875	-3.3089656665848257	25.55578838235941	CDK6;BMP5
positive regulation of smooth muscle cell migration (GO:0014911)	2/11	0.00114481704935855718545389958507030314649455249309539794921875	0.034176156032321637623372367897900403477251529693603515625	0.002034612203310093465902230747133216937072575092315673828125	0.060739158422345430887734352154438965953886508941650390625	-3.471899176754995	23.513473410653233	PDGFRB;VTN
type B pancreatic cell development (GO:0003323)	2/7	0.00044244455970930489895065473859858684591017663478851318359375	0.0280675767565590310315126743034852552227675914764404296875	0.00095189312871886313897895615099287169869057834148406982421875	0.05367619586942477816204899454533006064593791961669921875	-2.9441139299381143	22.737967131798346	CDK6;BMP5
negative regulation of coagulation (GO:0050819)	3/16	0.0000521683377838673095045450567308620293260901235044002532958984375	0.008825143808437553583079449026627116836607456207275390625	0.0001260000792351042360646407036739446994033642113208770751953125	0.0213150134039384632489433357704911031760275363922119140625	-2.2946963288026594	22.628080360569875	PROCR;VTN;SERPINE2
smooth muscle contraction (GO:0006939)	3/15	0.0000425300126335196180724605719003506010267301462590694427490234375	0.008825143808437553583079449026627116836607456207275390625	0.000106506113459876517097525694399706708281883038580417633056640625	0.0213150134039384632489433357704911031760275363922119140625	-2.2445094635337517	22.59166234148806	EDNRA;MYH11;MYLK
positive regulation of calcium ion transport (GO:0051928)	4/34	0.0000182581539289605070987276835836610189289785921573638916015625	0.006177342079298305498047394479499416775070130825042724609375	0.0000448288967157517472266088642829373611675691790878772735595703125	0.0151671100554960081030486662712064571678638458251953125	-2.0292947604610214	22.14142974056025	PDGFRB;CXCL12;CAV1;MYLK
regulation of muscle system process (GO:0090257)	2/10	0.000939510787035901574239249445241739522316493093967437744140625	0.034176156032321637623372367897900403477251529693603515625	0.0017274472698850010764226592385739422752521932125091552734375	0.060739158422345430887734352154438965953886508941650390625	-2.9220227527757605	20.366940564701487	TPM1;MYL9
regulation of blood coagulation (GO:0030193)	3/31	0.000398111709270339004899941226511828062939457595348358154296875	0.0280675767565590310315126743034852552227675914764404296875	0.00073539155302550902014446787546830819337628781795501708984375	0.053315887594349402334170662243195693008601665496826171875	-2.4274723202906516	19.004141691587474	VTN;SERPINE2;CAV1
positive regulation of calcium ion import (GO:0090280)	2/11	0.00114481704935855718545389958507030314649455249309539794921875	0.034176156032321637623372367897900403477251529693603515625	0.002034612203310093465902230747133216937072575092315673828125	0.060739158422345430887734352154438965953886508941650390625	-2.804568300541693	18.9939680865916	PDGFRB;CXCL12
regulation of vascular associated smooth muscle cell migration (GO:1904752)	2/9	0.000753890154552070584394185548404720975668169558048248291015625	0.033323550980066833637760481678924406878650188446044921875	0.00144443477561052662470897356428167768171988427639007568359375	0.060739158422345430887734352154438965953886508941650390625	-2.630867864394881	18.91663418942709	MEF2C;TPM1
regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	2/9	0.000753890154552070584394185548404720975668169558048248291015625	0.033323550980066833637760481678924406878650188446044921875	0.00144443477561052662470897356428167768171988427639007568359375	0.060739158422345430887734352154438965953886508941650390625	-2.6288295824279326	18.901978404214354	CAV1;ATP2A2
muscle contraction (GO:0006936)	8/138	0.0000002605227686511133680335419900153670624831647728569805622100830078125	0.000264430610180880066965858343763784432667307555675506591796875	0.000000917878800358898128930701214300835744097639690153300762176513671875	0.000931646982364281559148289080241056581144221127033233642578125	-1.175992866477108	17.828728728970592	ACTA2;EDNRA;TPM2;ITGA1;TPM1;MYH11;MYL9;MYLK
regulation of cardiac conduction (GO:1903779)	4/68	0.0002841800224394229663384126016723030261346139013767242431640625	0.02403689356466785775889860587994917295873165130615234375	0.00054616571538125481717618203703068502363748848438262939453125	0.046196516759331139601041371633982635103166103363037109375	-2.180985004071168	17.809711199911273	CAV1;ATP2A2;ABCC9;ATP1B2
type B pancreatic cell differentiation (GO:0003309)	2/10	0.000939510787035901574239249445241739522316493093967437744140625	0.034176156032321637623372367897900403477251529693603515625	0.0017274472698850010764226592385739422752521932125091552734375	0.060739158422345430887734352154438965953886508941650390625	-2.5300569843086262	17.63487987072362	CDK6;BMP5
positive regulation of phosphatase activity (GO:0010922)	3/23	0.00016113478706500722272172698712466853976366110146045684814453125	0.0204439761088727918469931665867989067919552326202392578125	0.000329282268019297371351716829934730412787757813930511474609375	0.041777687754948354681427957757477997802197933197021484375	-1.9869303494813872	17.352397934597793	PDGFRB;MEF2C;ITGA1
regulation of coagulation (GO:0050818)	2/11	0.00114481704935855718545389958507030314649455249309539794921875	0.034176156032321637623372367897900403477251529693603515625	0.002034612203310093465902230747133216937072575092315673828125	0.060739158422345430887734352154438965953886508941650390625	-2.518086936910469	17.05377006140401	PROCR;CAV1
striated muscle tissue development (GO:0014706)	3/30	0.000360796438977801516533039372092162011540494859218597412109375	0.0280675767565590310315126743034852552227675914764404296875	0.000673028920461978224891452793343660232494585216045379638671875	0.052548027251454458574908557011440279893577098846435546875	-2.093127046479919	16.59262968915327	MEF2C;CAV1;BMP5
cardiac ventricle morphogenesis (GO:0003208)	4/44	0.0000515791000750021947350056061853962319219135679304599761962890625	0.008825143808437553583079449026627116836607456207275390625	0.00011358110238953320818115766410727474067243747413158416748046875	0.0213150134039384632489433357704911031760275363922119140625	-1.6401535305771378	16.192241882274892	HEYL;MEF2C;TPM1;CPE
negative regulation of hemostasis (GO:1900047)	2/14	0.0018770245670004736225633390489520024857483804225921630859375	0.047629498387637018985696357731285388581454753875732421875	0.00309849067901889207998777919783606193959712982177734375	0.07765654664516384586558928049271344207227230072021484375	-2.4564061850973316	15.421483672938693	VTN;SERPINE2
positive regulation of response to wounding (GO:1903036)	2/16	0.002460266806878449487305804410652854130603373050689697265625	0.05096266957105359540758371394986170344054698944091796875	0.00392389879000873235959101492653644527308642864227294921875	0.08297410983039298082442059012464596889913082122802734375	-2.5372167098481686	15.242292536004449	VTN;MYLK
positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	1/7	0.0321041791145429689091628233654773794114589691162109375	0.17777783512866596193902068989700637757778167724609375	0.041154504086614751567907433127402327954769134521484375	0.2173090748074476830087320422535412944853305816650390625	-4.349678917368087	14.957541311714115	CAV1
regulation of muscle contraction (GO:0006937)	3/27	0.0002625709212791551790990018933058536276803351938724517822265625	0.02403689356466785775889860587994917295873165130615234375	0.000506505730865358769383910431116646577720530331134796142578125	0.046196516759331139601041371633982635103166103363037109375	-1.812925694521424	14.947553018510886	CAV1;TPM1;MYL9
regulation of protein modification process (GO:0031399)	3/43	0.0010498233589575447534392171888839584426023066043853759765625	0.034176156032321637623372367897900403477251529693603515625	0.00178335423191887973252967025672433010186068713665008544921875	0.060739158422345430887734352154438965953886508941650390625	-2.118866185657033	14.533585736299528	PPP1R14A;SOCS1;HSPB1
negative regulation of vascular smooth muscle cell proliferation (GO:1904706)	2/13	0.00161375520156062791758688756971196198719553649425506591796875	0.045498931377334371484177921729497029446065425872802734375	0.00272038507106152176173718970630943658761680126190185546875	0.0766997457535401327977098162591573782265186309814453125	-2.2162371850490055	14.248613033929178	MEF2C;TPM1
positive regulation of cell migration (GO:0030335)	6/222	0.000596661532428932280848477009982389063225127756595611572265625	0.0302805727707683158822504765339544974267482757568359375	0.00123276898396868840081241902595365900197066366672515869140625	0.060739158422345430887734352154438965953886508941650390625	-1.8912756014265537	14.041133714399368	PDGFRB;VTN;CXCL12;MYADM;ACTN4;MYLK
regulation of wound healing (GO:0061041)	3/35	0.000571931362502271279681098636871183771290816366672515869140625	0.0302805727707683158822504765339544974267482757568359375	0.00102126338984902427509116051851378870196640491485595703125	0.0545569652998294518653210616321302950382232666015625	-1.8557306678573395	13.855797386652279	VTN;CAV1;MYLK
inactivation of MAPK activity (GO:0000188)	2/21	0.004240912123545639324240230649820659891702234745025634765625	0.0683258064349019644811988882793230004608631134033203125	0.006379700878830853010004187098047623294405639171600341796875	0.1044418772905373604675816068265703506767749786376953125	-2.497384786908555	13.643155424758941	RGS4;CAV1
regulation of glial cell differentiation (GO:0045685)	1/7	0.0321041791145429689091628233654773794114589691162109375	0.17777783512866596193902068989700637757778167724609375	0.041154504086614751567907433127402327954769134521484375	0.2173090748074476830087320422535412944853305816650390625	-3.922019960452688	13.486920919518088	TNFRSF21
septin ring organization (GO:0031106)	2/18	0.0031179318738171727005970002011281394516117870807647705078125	0.0583027995591304526445952660651528276503086090087890625	0.00483993626012008647252482518297256319783627986907958984375	0.090972876000405322738373570246039889752864837646484375	-2.3364869500708254	13.482897383017704	SEPT11;SEPT4
