Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
extracellular matrix organization (GO:0030198)	20/230	0.000000000000051391740863309380156403692683586603682263475867397772844924475066363811492919921875	0.000000000062697923853237445254938345164173567336529657723076525144279003143310546875	0.0000000000004536021703863126891078079909162932916474701705578098653859342448413372039794921875	0.0000000005533946478713014849524419753860372817033663750407868064939975738525390625	-1.6465105679027403	50.38206904047227	FBN2;POSTN;COL16A1;COL11A1;COL12A1;FN1;HTRA1;LOXL3;TNC;THBS1;LOXL2;COL1A1;ADAM15;LOX;CTSK;COL8A2;TIMP2;TGFBI;TIMP1;GAS6
keratan sulfate catabolic process (GO:0042340)	4/13	0.000004954147433673287154328422621230032518724328838288784027099609375	0.0027974163806817162365725426553808574681170284748077392578125	0.00001914229733965952724196457612748645260580815374851226806640625	0.006619214482487922879272446152754127979278564453125	-2.2179473387355575	27.09285989300281	HEXA;OGN;KERA;FMOD
collagen metabolic process (GO:0032963)	3/13	0.0002147091476554123588675604406006414137664251029491424560546875	0.02014962770304638828289256480275071226060390472412109375	0.0004715047659627442174119782425378843981889076530933380126953125	0.044248908805734461779923805124781210906803607940673828125	-2.897302989895751	24.47127655964264	COL1A1;P3H2;P3H3
regulated exocytosis (GO:0045055)	8/149	0.000081467347570126472685973773035783551677013747394084930419921875	0.01242377050444428733533275277522989199496805667877197265625	0.0001576126633118202463416934744344644059310667216777801513671875	0.0240359311550525887868356988974483101628720760345458984375	-2.2928168776471067	21.587577689776673	TGFB3;ACTN1;CD109;FN1;SDF4;TIMP1;GAS6;THBS1
collagen biosynthetic process (GO:0032964)	2/7	0.00177060604905553337952428538670801572152413427829742431640625	0.0636191219733301671634961849122191779315471649169921875	0.0032889226827306100066350413868576652021147310733795166015625	0.09760990827876557529574341742772958241403102874755859375	-3.0574794063684188	19.37351460099083	COL1A1;P3H3
regulation of glomerular filtration (GO:0003093)	2/7	0.00177060604905553337952428538670801572152413427829742431640625	0.0636191219733301671634961849122191779315471649169921875	0.0032889226827306100066350413868576652021147310733795166015625	0.09760990827876557529574341742772958241403102874755859375	-2.987592241444585	18.930679235606654	F2R;GAS6
collagen fibril organization (GO:0030199)	5/30	0.000007983691807562863485513149353067774427472613751888275146484375	0.0027974163806817162365725426553808574681170284748077392578125	0.00002170234256553417356351044775752967552762129344046115875244140625	0.006619214482487922879272446152754127979278564453125	-1.5809233447625153	18.5570515231529	COL1A1;LOX;COL11A1;COL12A1;LOXL2
dermatan sulfate biosynthetic process (GO:0030208)	3/13	0.0002147091476554123588675604406006414137664251029491424560546875	0.02014962770304638828289256480275071226060390472412109375	0.0004715047659627442174119782425378843981889076530933380126953125	0.044248908805734461779923805124781210906803607940673828125	-2.1754955817607122	18.3747278835558	CHST12;DSEL;DSE
dermatan sulfate metabolic process (GO:0030205)	3/14	0.0002713884201263304374318607870009145699441432952880859375	0.0236495623252945090519983040167062426917254924774169921875	0.0005684395806720226283770269759543225518427789211273193359375	0.04623308589465784101957268603655393235385417938232421875	-2.1717068826043247	17.83396891946837	CHST12;DSEL;DSE
peptidyl-lysine hydroxylation (GO:0017185)	2/9	0.0029981522912811936314170235817755383322946727275848388671875	0.0636191219733301671634961849122191779315471649169921875	0.004960503535478250937418298605052768834866583347320556640625	0.09760990827876557529574341742772958241403102874755859375	-2.9943251016022847	17.396307456388175	P3H3;PLOD1
