Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of extracellular matrix organization (GO:1903053)	3/8	0.0000140071182380756514666841905381033939193002879619598388671875	0.00191897519861636430514584272799538666731677949428558349609375	0.000050112593976693470547607855980487556735170073807239532470703125	0.00551774691071825300336950448354400577954947948455810546875	-2.6956238986149414	30.126144194355778	DDR1;NOTCH1;FGFR4
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	8/113	0.0000006584521411972563519816891743074993570417063892818987369537353515625	0.00040593574504810855767267252502961127902381122112274169921875	0.00000179663196730726702817089977803899358832495636306703090667724609375	0.001107623607844930059551646905902089201845228672027587890625	-2.0023218483911065	28.499795730355213	RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21;PNRC1
positive regulation of skeletal muscle tissue development (GO:0048643)	3/13	0.00006987828995842925339405937723569195441086776554584503173828125	0.004307996575937163112601790970757065224461257457733154296875	0.00016587549515112526786995983396622023064992390573024749755859375	0.0096592683317794671149503216156517737545073032379150390625	-2.8255557489351295	27.037052237825137	ACTN3;GPC1;MYF5
protein targeting to ER (GO:0045047)	7/98	0.00000318237608709535217891141260782017496921980637125670909881591796875	0.00078477394307771390635775077271318878047168254852294921875	0.000007750962729178997328194529459199912935218890197575092315673828125	0.0019113874090155406892943545926755177788436412811279296875	-2.083857585891229	26.377224350134203	RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7/90	0.000001792950475040451593859822283782978757926684920676052570343017578125	0.0007369026452416255375255094151043522288091480731964111328125	0.00000457511982759169620496413066756957732650334946811199188232421875	0.001846371128652044175944002546430056099779903888702392578125	-1.8392920405166504	24.336864821738363	RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21
muscle cell migration (GO:0014812)	3/11	0.0000406941793366215421386307415918537344623473472893238067626953125	0.0029662350184212087945978542080638362676836550235748291015625	0.000108903343721412467957031233733999897594912908971309661865234375	0.00745987904491675346552170822178595699369907379150390625	-2.298324233583621	23.23473759032209	DDR1;MEGF10;SIX1
positive regulation of phosphorylation (GO:0042327)	9/209	0.00000815024420152467513208359439769168375278241001069545745849609375	0.0013405050983571133345340076203910939511843025684356689453125	0.00001902197939720500215556898970792332193013862706720829010009765625	0.0030300825081436646470101070605096538201905786991119384765625	-1.9391756037143937	22.72221774279923	DDR1;CCND3;MUSK;IGF2;RACK1;MIF;SOX9;TNIK;FGFR4
regulation of myoblast differentiation (GO:0045661)	4/30	0.000038556314723329091560984072106776920918491668999195098876953125	0.0029662350184212087945978542080638362676836550235748291015625	0.000083521713564667601661754836595008555377717129886150360107421875	0.006436392051577197355449744264888067846186459064483642578125	-2.1345666537664156	21.694434803386635	BTG1;NOTCH1;SOX9;MYF5
peptide biosynthetic process (GO:0043043)	8/175	0.00001714970221949585393243602193802388455878826789557933807373046875	0.0019223257124216714709918907288965783664025366306304931640625	0.000037614188577946209668216581700761480533401481807231903076171875	0.004637829451660767376974803255507140420377254486083984375	-1.9115736157747953	20.976709937810064	DARS;RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21
viral transcription (GO:0019083)	7/114	0.000008697518886339745185719805886659372617941698990762233734130859375	0.0013405050983571133345340076203910939511843025684356689453125	0.00001965990272923707823525714399881536564862472005188465118408203125	0.0030300825081436646470101070605096538201905786991119384765625	-1.7837682699906252	20.785311173462233	RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21
