Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of dendritic spine maintenance (GO:1902950)	3/8	0.00001755034738216782735508066093377266270181280560791492462158203125	0.005129089022438547418314414017004310153424739837646484375	0.00005314600277015599423015290714289449169882573187351226806640625	0.0127289879894809561389212859694453072734177112579345703125	-3.2887855878041323	36.01363877533411	PRNP;APOE;FCGR2B
positive regulation of extracellular matrix assembly (GO:1901203)	3/9	0.00002619242821957461965650358626245264304088777862489223480224609375	0.005617293073544191335522146601988424663431942462921142578125	0.0000705001144819953685406732635243542972602881491184234619140625	0.013735772304908765162334560727686039172112941741943359375	-3.2771896933622178	34.57448296938664	RGCC;DAG1;CLASP2
regulation of focal adhesion assembly (GO:0051893)	6/45	0.0000006316704376293985662933001996866000382624406483955681324005126953125	0.000738422741588766928973186498552649936755187809467315673828125	0.000001436029165581217825826596500016218982409554882906377315521240234375	0.0016787180945644435657582160814627059153281152248382568359375	-1.9469389987439278	27.792355693769842	SFRP1;APOD;PTPRJ;GPM6B;PTK2;CLASP2
glial cell differentiation (GO:0010001)	4/26	0.00002883127326027814314908515047619630422559566795825958251953125	0.005617293073544191335522146601988424663431942462921142578125	0.000054443917833537017604388086322586559617775492370128631591796875	0.0127289879894809561389212859694453072734177112579345703125	-1.8621204301910694	19.46669986512406	ERBB3;PTPRZ1;PLP1;SOX10
myelination (GO:0042552)	4/38	0.0001335048976897219830638208204476313767372630536556243896484375	0.0172708003503648614695986651668135891668498516082763671875	0.00020846184772530361862911962855804404171067290008068084716796875	0.0261674050920308841339245731205664924345910549163818359375	-2.1797858930689564	19.446681691217915	PLP1;ACSBG1;MBP;SOX10
negative regulation of amyloid-beta formation (GO:1902430)	2/10	0.0020512359140343913548043541794640987063758075237274169921875	0.06480796712178928109526765410919324494898319244384765625	0.0030742886026865309974376305746091020409949123859405517578125	0.0921498301677065312365044746911735273897647857666015625	-3.09632917717921	19.164149755449785	PRNP;APOE
central nervous system myelination (GO:0022010)	2/9	0.00164843445935991040653123551606995533802546560764312744140625	0.058394541908840462418606165329038049094378948211669921875	0.0025736571880166331065253881860144247184507548809051513671875	0.08357236813309566747509649076164350844919681549072265625	-2.951843894194003	18.91520684280661	PLP1;SOX10
cellular response to prostaglandin E stimulus (GO:0071380)	2/9	0.00164843445935991040653123551606995533802546560764312744140625	0.058394541908840462418606165329038049094378948211669921875	0.0025736571880166331065253881860144247184507548809051513671875	0.08357236813309566747509649076164350844919681549072265625	-2.851078818157332	18.26951136429107	SFRP1;GNG2
peptidyl-tyrosine dephosphorylation (GO:0035335)	3/26	0.00074396408845929669871599454467059331363998353481292724609375	0.048316334411606549903428486913981032557785511016845703125	0.00107375228341123770368914502881807493395172059535980224609375	0.06645647013114440448955377860329463146626949310302734375	-2.403887800420447	17.31644854149276	PTPRZ1;PTPRJ;DUSP6
phosphatidylcholine acyl-chain remodeling (GO:0036151)	3/28	0.000927993793344666765589290324811599930399097502231597900390625	0.0497000616070108758304257889903965406119823455810546875	0.0013075267861559635058921191586023269337601959705352783203125	0.06645647013114440448955377860329463146626949310302734375	-2.3668915941034436	16.52678626763119	LPCAT2;MBOAT2;DBI
response to axon injury (GO:0048678)	2/12	0.002981384880064863983351042264757779776118695735931396484375	0.07702555390800132351092344151766155846416950225830078125	0.004200206665801355619682677655646330094896256923675537109375	0.101686263235925056225283924504765309393405914306640625	-2.783961639723558	16.189759655488988	FLRT3;APOD
negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	3/16	0.00016853679241611105462349262662513638133532367646694183349609375	0.0172708003503648614695986651668135891668498516082763671875	0.000299621190432215159411832861025004604016430675983428955078125	0.02918809763460496198295146541568101383745670318603515625	-1.8507444474170327	16.079927511409824	PDGFA;APOD;PTPRJ
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	2/12	0.002981384880064863983351042264757779776118695735931396484375	0.07702555390800132351092344151766155846416950225830078125	0.004200206665801355619682677655646330094896256923675537109375	0.101686263235925056225283924504765309393405914306640625	-2.745741034671767	15.967492796331653	PRNP;APOE
substantia nigra development (GO:0021762)	5/44	0.000012721676163830750993784073077375040838887798599898815155029296875	0.005129089022438547418314414017004310153424739837646484375	0.00002301261972526692548240805080705939644758473150432109832763671875	0.00926247807794721746132982076460393727757036685943603515625	-1.4149915706648486	15.950072560130462	CNP;PLP1;MBP;CKB;NDRG2
regulation of cytokine secretion (GO:0050707)	3/32	0.001377007149592414381178429039209731854498386383056640625	0.055507633030121801553935512174575706012547016143798828125	0.00186556025229610354491949220090418748441152274608612060546875	0.07520137706669464960906879014146397821605205535888671875	-2.375484981120364	15.649321788771612	RGCC;CADM1;FCGR2B
regulation of amyloid-beta formation (GO:1902003)	3/19	0.00028724001203495074831251177016611109138466417789459228515625	0.023984541004918390194600164022631361149251461029052734375	0.0004689521849358263831837601021135242262971587479114532470703125	0.039157507442141505082933150561075308360159397125244140625	-1.8374450043439174	14.984717558406084	PRNP;GSAP;APOE
negative regulation of cell activation (GO:0050866)	2/11	0.0024957481747166130291171182165044228895567357540130615234375	0.0711592589327736668725066238039289601147174835205078125	0.0036166714233320522604853142212277816724963486194610595703125	0.101686263235925056225283924504765309393405914306640625	-2.4352009337094414	14.594565204851243	PDGFA;APOE
nervous system development (GO:0007399)	13/456	0.00001686850368192045000856511827169725847852532751858234405517578125	0.005129089022438547418314414017004310153424739837646484375	0.00002377026025136155261744362598985702561549260281026363372802734375	0.00926247807794721746132982076460393727757036685943603515625	-1.3246280840669047	14.557745250778133	NRXN1;PTN;L1CAM;S100B;ZEB2;ERBB3;PTPRZ1;FLRT3;SLITRK1;FABP7;ADAM23;MBP;GPM6B
cellular response to prostaglandin stimulus (GO:0071379)	2/12	0.002981384880064863983351042264757779776118695735931396484375	0.07702555390800132351092344151766155846416950225830078125	0.004200206665801355619682677655646330094896256923675537109375	0.101686263235925056225283924504765309393405914306640625	-2.4902664709480775	14.48181435674362	SFRP1;GNG2
