Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cadherin binding (GO:0045296)	9/314	0.00019225289461760687093928867685832528877654112875461578369140625	0.039796349185844619167351510213848087005317211151123046875	0.00097915778306926874730020671222519013099372386932373046875	0.1853096791890801176005965089643723331391811370849609375	-2.0474075578906623	17.519049984457318	EEF1G;SH3GLB1;PKM;FSCN1;RACK1;CDH13;ANK3;CCT8;CDH15
translation elongation factor activity (GO:0003746)	2/14	0.003516733926044130452426283994782352237962186336517333984375	0.1353101716264177023507642161348485387861728668212890625	0.0068570603113698551378529799649186315946280956268310546875	0.259719552321626745428062577047967351973056793212890625	-2.7224577257277875	15.3824921205067	EEF1B2;EEF1G
acetylcholine-gated cation-selective channel activity (GO:0022848)	2/16	0.004598813696522361695040448381632813834585249423980712890625	0.1353101716264177023507642161348485387861728668212890625	0.008653902769669798156204620909193181432783603668212890625	0.259719552321626745428062577047967351973056793212890625	-2.470631923929745	13.296834532348559	CHRNA1;CHRNB1
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	4/62	0.00067012617143430951160976150049464195035398006439208984375	0.0462387058289673580357970195109373889863491058349609375	0.00179043168298628134309236070720317002269439399242401123046875	0.1853096791890801176005965089643723331391811370849609375	-1.673422174233958	12.22944379646902	DDR1;MUSK;FGFR4;IGF2R
spectrin binding (GO:0030507)	2/20	0.007160807531028567408937224314513514400459825992584228515625	0.1353101716264177023507642161348485387861728668212890625	0.012801954030528465977578633783195982687175273895263671875	0.2719682003984524865103367119445465505123138427734375	-2.355722472003595	11.635225471230825	ANK3;ANK1
transcriptional activator activity, RNA polymerase II transcription factor binding (GO:0001190)	3/51	0.00426216100239744377642381323312292806804180145263671875	0.1353101716264177023507642161348485387861728668212890625	0.0087827867934849625231041869710679748095571994781494140625	0.259719552321626745428062577047967351973056793212890625	-2.079398555994653	11.34931358837756	NCOA1;NPM1;NOTCH1
primary amine oxidase activity (GO:0008131)	1/7	0.04395542397401504264298210955530521459877490997314453125	0.260234705189002102354578482845681719481945037841796875	0.061337393958156009865501090416728402487933635711669921875	0.355052036349786381830284653915441595017910003662109375	-3.377311509756773	10.552677464467996	VCAM1
RNA binding (GO:0003723)	20/1388	0.000517053246489217015191552917485751095227897167205810546875	0.0462387058289673580357970195109373889863491058349609375	0.00592214749516092701930869424131742562167346477508544921875	0.259719552321626745428062577047967351973056793212890625	-1.3673322655099502	10.347101915750818	BTF3;DARS;NPM1;RPS8;RPL35A;RPSA;RPL10A;RPS25;RPS28;LSM6;PKM;FSCN1;RACK1;SPATS2L;RPL22L1;SNRPF;SOX9;HMGN2;SLC25A5;RPS21
aryl hydrocarbon receptor binding (GO:0017162)	1/9	0.056158196317284726772900427249624044634401798248291015625	0.260234705189002102354578482845681719481945037841796875	0.07608098069344833291882679304762859828770160675048828125	0.355052036349786381830284653915441595017910003662109375	-3.5625721116919857	10.258720794598318	NCOA1
acetylcholine receptor activity (GO:0015464)	2/24	0.01023000704328039765778068925783372833393514156341552734375	0.1353101716264177023507642161348485387861728668212890625	0.01764870179147286222143264922124217264354228973388671875	0.2719682003984524865103367119445465505123138427734375	-2.1247281205722057	9.736417903918861	CHRNA1;CHRNB1
