Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
metallopeptidase activity (GO:0008237)	14/103	0.00000000074754017295064601101023583177586882830834014157517231069505214691162109375	0.000000243698096381910605999986628444897718281936249695718288421630859375	0.000000002495992700656727860258161924762211614226004030570038594305515289306640625	0.00000081369362041409331635856590214661565596543368883430957794189453125	-1.4007017609826635	29.43467326549048	MME;MMP2;MMP3;ADAMTS4;ADAMTS2;MMP14;BMP1;FAP;ADAMTS1;ANPEP;ADAM12;ADAM9;DPEP1;MMP19
metalloendopeptidase activity (GO:0004222)	10/66	0.0000000720348964421991644548425959108939320429954022984020411968231201171875	0.000011741688120078463898783571739414810508606024086475372314453125	0.000000206255885308640777267127279330505285059871312114410102367401123046875	0.00003361970930530844910329169028528895069030113518238067626953125	-1.606227592894642	26.41620396999142	ADAMTS4;ADAMTS2;MMP14;BMP1;FAP;MME;MMP2;MMP3;ADAM9;MMP19
peptidase activity, acting on L-amino acid peptides (GO:0070011)	13/186	0.000007540300708677357069821371726714431815707939676940441131591796875	0.000614534507757204576626486325352516359998844563961029052734375	0.00001062258789750591603446606969729515412836917676031589508056640625	0.000865740913646732205936895621078974727424792945384979248046875	-2.1620037589748824	25.501371584129522	MME;MMP2;MMP3;PRSS12;ADAMTS4;ADAMTS2;BMP1;FAP;ADAMTS1;ANPEP;ADAM12;ADAM9;CTSH
hexosaminidase activity (GO:0015929)	3/12	0.00074515843598139800720014935819790480309166014194488525390625	0.026160474699245046814599646722854231484234333038330078125	0.00137615829622321906959558912575403155642561614513397216796875	0.04289939164344853950172620216108043678104877471923828125	-2.7298032986877803	19.659807765428525	TMEM2;HEXB;NAGA
collagen binding (GO:0005518)	8/53	0.00000154428402153698641978527179852154205264014308340847492218017578125	0.00016781219700701921720802090032265141417155973613262176513671875	0.0000036240734786282624316721377721872698884908459149301052093505859375	0.0003938159846776045328216320218217560977791436016559600830078125	-1.3283200429303625	17.774184306264	MRC2;COL14A1;LUM;COL5A3;ADAM9;P3H1;NID1;NID2
GPI anchor binding (GO:0034235)	2/8	0.00638340194231199441199375854694153531454503536224365234375	0.1150687912714660476876105121846194379031658172607421875	0.00955564799108995187315596098187597817741334438323974609375	0.163954802373438124352134082073462195694446563720703125	-2.994081265692734	15.132248708399686	DPEP1;THY1
serine-type peptidase activity (GO:0008236)	12/221	0.00019344240802231891661507046098478213025373406708240509033203125	0.00900888928789656505402572150842388509772717952728271484375	0.00022989739126376784283771470551727134079555980861186981201171875	0.01070664993599833129944709497749499860219657421112060546875	-1.7400540099461506	14.87838527129848	C3;MMP14;BMP1;FAP;PLAU;MMP2;MMP3;CTSH;MMP19;PLAT;PRSS12;CFB
insulin-like growth factor II binding (GO:0031995)	2/8	0.00638340194231199441199375854694153531454503536224365234375	0.1150687912714660476876105121846194379031658172607421875	0.00955564799108995187315596098187597817741334438323974609375	0.163954802373438124352134082073462195694446563720703125	-2.742689668482868	13.861701974825513	IGFBP4;IGFBP3
GABA receptor binding (GO:0050811)	2/10	0.0100498337583199669198474879294735728763043880462646484375	0.1560117050101099689385364399640820920467376708984375	0.01373814286521641593596942954036421724595129489898681640625	0.1947232423504587639495611028905841521918773651123046875	-2.8616713716735553	13.16425831478557	TRAK1;GABARAP
endopeptidase activity (GO:0004175)	17/355	0.0000465520244730143717653940427236847199310432188212871551513671875	0.0030351919956405370472352078792255269945599138736724853515625	0.0000518138489655351941920620462145308238177676685154438018798828125	0.003378262952552895000135624314907545340247452259063720703125	-1.3143239731233627	13.110302857762251	MME;MMP2;MMP3;PLAT;PRSS12;ADAMTS4;C3;ADAMTS2;MMP14;BMP1;FAP;PLAU;CASP4;ADAM9;CTSH;MMP19;CFB
