Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
actin filament binding (GO:0051015)	6/128	0.00002953407726162411616670049052668645117591950111091136932373046875	0.00564100875697020644194967786688721389509737491607666015625	0.000095329448286206788635600839487693747287266887724399566650390625	0.018207924622665495884010766758365207351744174957275390625	-1.7801101403044866	18.566487883418677	MACF1;MYO1B;TPM2;TPM1;MYH9;ACTN4
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	1/12	0.054409388693200722020293369496357627213001251220703125	0.203768494909830177874709988827817142009735107421875	0.06988078345191632567701134348681080155074596405029296875	0.26009200167596890906906992313452064990997314453125	-5.902694610862432	17.184034068200667	ATP5A1
actin binding (GO:0003779)	6/255	0.001223735852197140212826997895945169148035347461700439453125	0.05843338694241344277724437006327207200229167938232421875	0.003185178059598443682520763076126968371681869029998779296875	0.1520922523458256847561642643995583057403564453125	-2.4092986418806874	16.15638788956865	MACF1;MYO1B;TPM2;TPM1;MYH9;ACTN4
cadherin binding (GO:0045296)	7/314	0.000657450650740625517666482213741119267069734632968902587890625	0.05843338694241344277724437006327207200229167938232421875	0.00194132305965445911381805910167486217687837779521942138671875	0.1397690698814497423096980810441891662776470184326171875	-2.039093887699853	14.940728126927963	CNN2;MACF1;NOTCH3;MYO1B;MPRIP;EPB41L1;MYH9
cAMP-dependent protein kinase regulator activity (GO:0008603)	1/8	0.03660647048462185859651896180366748012602329254150390625	0.203768494909830177874709988827817142009735107421875	0.048907326665721846670198402762252953834831714630126953125	0.26009200167596890906906992313452064990997314453125	-4.493919740080224	14.863775548809157	PRKAR1A
microfilament motor activity (GO:0000146)	2/19	0.0034742343064251691824029233401915917056612670421600341796875	0.11571631651388815387182518179542967118322849273681640625	0.005957896591221971405172297409080783836543560028076171875	0.2268706137938367728423827429651282727718353271484375	-2.342535699992394	13.264330032347182	MYO1B;MYH9
protein serine/threonine kinase inhibitor activity (GO:0030291)	2/31	0.00911182826772012621763252582240966148674488067626953125	0.143989620265108586583124861135729588568210601806640625	0.014353450857240705740291986103329691104590892791748046875	0.26009200167596890906906992313452064990997314453125	-2.728776733325437	12.820289457216845	PRKAR1A;HSPB1
patched binding (GO:0005113)	1/7	0.0321041791145429689091628233654773794114589691162109375	0.203768494909830177874709988827817142009735107421875	0.04359163973051237428446569310835911892354488372802734375	0.26009200167596890906906992313452064990997314453125	-3.5504522139705372	12.209185246681303	CAV1
transcription factor activity, RNA polymerase II core promoter sequence-specific (GO:0000983)	2/21	0.004240912123545639324240230649820659891702234745025634765625	0.11571631651388815387182518179542967118322849273681640625	0.00712682556420429595689380875001006643287837505340576171875	0.2268706137938367728423827429651282727718353271484375	-1.9794293471680722	10.813576817360497	HEYL;MEF2C
cation-transporting ATPase activity (GO:0019829)	2/30	0.00854965300611874000347167878999243839643895626068115234375	0.143989620265108586583124861135729588568210601806640625	0.013531520751861890461409387853564112447202205657958984375	0.26009200167596890906906992313452064990997314453125	-2.227594212450457	10.607501980967424	ATP5A1;ATP2A2
