Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
protein-lysine 6-oxidase activity (GO:0004720)	3/7	0.0000273871774483947440941879192255470343297929503023624420166015625	0.0015308430009604817416402067209446613560430705547332763671875	0.00006393140488242224817212744358840836866875179111957550048828125	0.0030687074343562679122621172922436016961000859737396240234375	-4.0414364421818005	42.45705039786064	LOX;LOXL3;LOXL2
integrin binding (GO:0005178)	10/95	0.000000020382557052234684534091705408222205964108297848724760115146636962890625	0.0000039134509540290596423038442519537483121894183568656444549560546875	0.0000000146409205236391175971873051587547609475592480521299876272678375244140625	0.000002811056740538710684539080997268456485471688210964202880859375	-1.4522705820027537	25.71765900251498	COL16A1;ECM2;ADAM15;ACTN1;FN1;EMILIN1;THBS1;THBS4;WISP1;CTGF
transforming growth factor beta binding (GO:0050431)	4/20	0.00003189256252001003628417097335301377825089730322360992431640625	0.0015308430009604817416402067209446613560430705547332763671875	0.000041850878310734757579980591657431432395242154598236083984375	0.002678456211887024485118757866075611673295497894287109375	-2.217185922900353	22.954831222162184	TGFB3;CD109;LTBP1;THBS1
FK506 binding (GO:0005528)	3/16	0.000411806021767259673727057389669425901956856250762939453125	0.01292762837170675742359815529880506801418960094451904296875	0.000488960522973786652738137359364145595463924109935760498046875	0.01341148863013814744593599215249923872761428356170654296875	-2.943622431004779	22.945413630939505	FKBP10;FKBP14;FKBP9
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	3/16	0.000411806021767259673727057389669425901956856250762939453125	0.01292762837170675742359815529880506801418960094451904296875	0.000488960522973786652738137359364145595463924109935760498046875	0.01341148863013814744593599215249923872761428356170654296875	-2.653762909233488	20.68597079212463	LOX;LOXL3;LOXL2
collagen binding (GO:0005518)	7/53	0.000000598433245666611181954740346367049852460695547051727771759033203125	0.0000574495915839946734676550732512367858362267725169658660888671875	0.000000590590797144108338182703736574108432932916912250220775604248046875	0.0000566967165258344004655395587111144095615600235760211944580078125	-1.330545463309381	19.065320553080753	ECM2;CTSK;FN1;PCOLCE;TGFBI;ANTXR1;THBS1
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	4/39	0.0004713197843851421706302950997979905878310091793537139892578125	0.01292762837170675742359815529880506801418960094451904296875	0.00043077409900855252906926029510259468224830925464630126953125	0.01341148863013814744593599215249923872761428356170654296875	-2.1164890224548047	16.212250346948565	FKBP10;FKBP14;FKBP9;PPIC
filamin binding (GO:0031005)	2/11	0.004524498476529721126271343933922253199853003025054931640625	0.08112915451252834808659741838710033334791660308837890625	0.0050197751969909380764800488350374507717788219451904296875	0.07395212684713205197883922892287955619394779205322265625	-2.5757908886719205	13.904759408983814	DPYSL3;RFLNB
metalloendopeptidase inhibitor activity (GO:0008191)	2/13	0.006338215196291276977424988814391326741315424442291259765625	0.08112915451252834808659741838710033334791660308837890625	0.006684802082221730397393333333866394241340458393096923828125	0.0802176249866607682381669519600109197199344635009765625	-2.4010940780307988	12.152316657720334	TIMP2;TIMP1
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	2/13	0.006338215196291276977424988814391326741315424442291259765625	0.08112915451252834808659741838710033334791660308837890625	0.006684802082221730397393333333866394241340458393096923828125	0.0802176249866607682381669519600109197199344635009765625	-2.3903431916513003	12.097904722415414	DSEL;DSE
protein tyrosine kinase binding (GO:1990782)	3/49	0.01081187178896221741386529657802384463138878345489501953125	0.122110551969455638499084670911543071269989013671875	0.00915195675449909963605765739202979602850973606109619140625	0.10336327628610748885495951299162697978317737579345703125	-2.650326349996101	11.99832027096223	SHC1;GAS6;SOCS5
receptor tyrosine kinase binding (GO:0030971)	3/40	0.006163844958900253391542722880558358156122267246246337890625	0.08112915451252834808659741838710033334791660308837890625	0.00539234258260337835644282478142486070282757282257080078125	0.07395212684713205197883922892287955619394779205322265625	-2.326322571640228	11.838782385429415	SHC1;GAS6;SOCS5
aspartic-type peptidase activity (GO:0070001)	2/18	0.0120575963369622674026260256141540594398975372314453125	0.1286143609275975097094857346746721304953098297119140625	0.01177478278501786594645306394113504211418330669403076171875	0.1255976830401905608436408101624692790210247039794921875	-2.521895200483189	11.141885359204082	BACE2;CTSD
calcium ion binding (GO:0005509)	8/285	0.005489259737338146073748479381038123392499983310699462890625	0.08112915451252834808659741838710033334791660308837890625	0.00298925863576417379097183157909967121668159961700439453125	0.06377085089630236958146980441597406752407550811767578125	-2.0180672168757887	10.50396291680046	CDH2;TPM4;CDH11;SDF4;FKBP9;PKD2;THBS1;THBS4
carboxypeptidase activity (GO:0004180)	3/40	0.006163844958900253391542722880558358156122267246246337890625	0.08112915451252834808659741838710033334791660308837890625	0.00539234258260337835644282478142486070282757282257080078125	0.07395212684713205197883922892287955619394779205322265625	-1.9356141370464288	9.850445862499818	CPXM2;CTSZ;AEBP1
voltage-gated calcium channel activity (GO:0005245)	3/38	0.0053352231610049490051483900288076256401836872100830078125	0.08112915451252834808659741838710033334791660308837890625	0.00471382959507287042921763742242546868510544300079345703125	0.07395212684713205197883922892287955619394779205322265625	-1.8494291067175785	9.67884771922168	GAS6;PKD2;CACNA1G
aspartic-type endopeptidase activity (GO:0004190)	2/22	0.0177654173628157864561760703736581490375101566314697265625	0.170548006683031549979290275587118230760097503662109375	0.0167407684789580464557179340090442565269768238067626953125	0.1569234502070518122440745401036110706627368927001953125	-2.3253878643313115	9.372479406050688	BACE2;CTSD
adenylate kinase activity (GO:0004017)	1/8	0.0724096733339222031755610942127532325685024261474609375	0.329329294549869810992959173745475709438323974609375	0.07235974758761952452257304457816644571721553802490234375	0.29559726674091379994280259779770858585834503173828125	-3.5626134909326583	9.353340248281198	AK2
actin filament binding (GO:0051015)	5/128	0.007102856073675975316639163992249450529925525188446044921875	0.0852342728841117003302230159533792175352573394775390625	0.00496338672034202232907773577608168125152587890625	0.07395212684713205197883922892287955619394779205322265625	-1.6963455071690996	8.39225941023603	TPM4;ACTN1;PLS3;ANTXR1;EGFR
protein binding involved in cell-matrix adhesion (GO:0098634)	1/8	0.0724096733339222031755610942127532325685024261474609375	0.329329294549869810992959173745475709438323974609375	0.07235974758761952452257304457816644571721553802490234375	0.29559726674091379994280259779770858585834503173828125	-3.0595454334705017	8.032577633571172	EMILIN1
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)	2/24	0.0209691987161253513838321538287345902062952518463134765625	0.1830039160680030640993010138117824681103229522705078125	0.01950258628356417445193216053667129017412662506103515625	0.1569234502070518122440745401036110706627368927001953125	-2.069919968980983	7.999621040793231	PKD2;CACNA1G
transforming growth factor beta-activated receptor activity (GO:0005024)	1/7	0.0636517519439440959683196297191898338496685028076171875	0.329329294549869810992959173745475709438323974609375	0.0645828316659452783543571285918005742132663726806640625	0.29559726674091379994280259779770858585834503173828125	-2.897831451885319	7.98157955242964	LTBP1
voltage-gated sodium channel activity (GO:0005248)	2/24	0.0209691987161253513838321538287345902062952518463134765625	0.1830039160680030640993010138117824681103229522705078125	0.01950258628356417445193216053667129017412662506103515625	0.1569234502070518122440745401036110706627368927001953125	-2.0486362926575166	7.917366003161774	PKD2;CACNA1G
superoxide-generating NADPH oxidase activity (GO:0016175)	1/8	0.0724096733339222031755610942127532325685024261474609375	0.329329294549869810992959173745475709438323974609375	0.07235974758761952452257304457816644571721553802490234375	0.29559726674091379994280259779770858585834503173828125	-2.9772150782868714	7.816426252919229	CYBA
dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	1/10	0.0896818263772005408451803987190942279994487762451171875	0.330770725622913930319413111647008918225765228271484375	0.08772213601973537222544763380938093177974224090576171875	0.306230002105258025668632626548060216009616851806640625	-3.1330814444520905	7.555385595999679	STT3A
serine-type carboxypeptidase activity (GO:0004185)	1/10	0.0896818263772005408451803987190942279994487762451171875	0.330770725622913930319413111647008918225765228271484375	0.08772213601973537222544763380938093177974224090576171875	0.306230002105258025668632626548060216009616851806640625	-2.9778091994179423	7.180948574687362	AEBP1
chondroitin sulfotransferase activity (GO:0034481)	1/7	0.0636517519439440959683196297191898338496685028076171875	0.329329294549869810992959173745475709438323974609375	0.0645828316659452783543571285918005742132663726806640625	0.29559726674091379994280259779770858585834503173828125	-2.5869706619935586	7.12536684114929	CHST12
neurotrophin TRKA receptor binding (GO:0005168)	1/7	0.0636517519439440959683196297191898338496685028076171875	0.329329294549869810992959173745475709438323974609375	0.0645828316659452783543571285918005742132663726806640625	0.29559726674091379994280259779770858585834503173828125	-2.5794129562158448	7.104550437262365	SHC1
type II transforming growth factor beta receptor binding (GO:0005114)	1/8	0.0724096733339222031755610942127532325685024261474609375	0.329329294549869810992959173745475709438323974609375	0.07235974758761952452257304457816644571721553802490234375	0.29559726674091379994280259779770858585834503173828125	-2.7037056813154967	7.0983504758284734	TGFB3
