Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
2-acylglycerol-3-phosphate O-acyltransferase activity (GO:0047144)	2/10	0.0020512359140343913548043541794640987063758075237274169921875	0.10132737589349449791598090087063610553741455078125	0.00299493825314364227330177214980722055770456790924072265625	0.1430581463024427069097299636268871836364269256591796875	-3.511972750441367	21.73669783644641	LPCAT2;MBOAT2
amyloid-beta binding (GO:0001540)	6/50	0.00000119799727374307189673731909029807951583279646001756191253662109375	0.0002431934465698436047785546687549640409997664391994476318359375	0.00000226236363942514453272245207593460492034864728339016437530517578125	0.0004592598188033043490365037175848783590481616556644439697265625	-1.4311012318767107	19.51286398927746	BCHE;PRNP;GSAP;APOE;FCGR2B;CRYAB
tau protein binding (GO:0048156)	2/9	0.00164843445935991040653123551606995533802546560764312744140625	0.10132737589349449791598090087063610553741455078125	0.002507030424646477205496974960396983078680932521820068359375	0.1430581463024427069097299636268871836364269256591796875	-2.9679983030612465	19.018723151967876	APOE;S100B
vinculin binding (GO:0017166)	2/11	0.0024957481747166130291171182165044228895567357540130615234375	0.10132737589349449791598090087063610553741455078125	0.003523599662621741852863710420251663890667259693145751953125	0.1430581463024427069097299636268871836364269256591796875	-3.0584884510982855	18.33003121423916	DAG1;DMD
platelet-derived growth factor receptor binding (GO:0005161)	2/14	0.004073716144747733559905444877813351922668516635894775390625	0.11813776819768427583934311542179784737527370452880859375	0.005348392346027980130684920112571489880792796611785888671875	0.1469166416684835330119796026338008232414722442626953125	-2.9670385083408646	16.3282052463202	PDGFA;PTPRJ
phospholipid scramblase activity (GO:0017128)	1/7	0.04731856048059925046178619822967448271811008453369140625	0.231036843884519005332123242624220438301563262939453125	0.0541527442980001272321288752209511585533618927001953125	0.26173826410700062883307737138238735496997833251953125	-5.191921507529579	15.839787548432902	PLSCR4
cuprous ion binding (GO:1903136)	1/7	0.04731856048059925046178619822967448271811008453369140625	0.231036843884519005332123242624220438301563262939453125	0.0541527442980001272321288752209511585533618927001953125	0.26173826410700062883307737138238735496997833251953125	-4.504524602568208	13.742640871571972	PRNP
protein tyrosine kinase activator activity (GO:0030296)	2/13	0.0035075656726014617543818463474281088565476238727569580078125	0.11813776819768427583934311542179784737527370452880859375	0.004700892202642120883127052621830443968065083026885986328125	0.1469166416684835330119796026338008232414722442626953125	-2.359835172042615	13.339754188614293	AFAP1L2;ERBB3
Rac guanyl-nucleotide exchange factor activity (GO:0030676)	2/15	0.0046792677856391205748476380676947883330285549163818359375	0.1187364200605926789489075190431321971118450164794921875	0.006034383992956794846851398261833310243673622608184814453125	0.1469166416684835330119796026338008232414722442626953125	-2.426817859629319	13.018940185139565	PREX1;SPATA13
SH2 domain binding (GO:0042169)	3/27	0.0008327515116355612388721052496975971735082566738128662109375	0.08452427843100947246757215225443360395729541778564453125	0.001138426533422824682428853293458814732730388641357421875	0.11555029314241670179708165733245550654828548431396484375	-1.8300412894165015	12.976411510128859	AFAP1L2;DAG1;PTK2
