Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-T6MN-0226-SM-32PMD_adipose tissue_male_50-59_years	37/752	0.000000000000000000034473967780377056749551548932619612129000788196343647525922426755329297520802356302738189697265625	0.0000000000000000987334437229998921677560888721730442350395085915164272716282312103430740535259246826171875	0.000000000000000000174849837955875109908270531535005700229416345607420628371908577491922187618911266326904296875	0.0000000000000005007699359056262839624076921204826765614013324608155830475197944906540215015411376953125	-1.7464428685657793	78.26523474235944	COLEC12;NRP1;SNED1;COL15A1;LDB2;PEAR1;MEOX2;NR3C1;MEOX1;ADAMTS10;CYGB;CYTH3;ZMIZ1;EPB41L2;SLIT3;SPTBN1;DACT1;GDF10;TCF7L1;IGFBP5;PTCH2;ABCA9;EMP1;SAMD4B;FMO1;EBF2;PODN;HIC1;NFKB1;SKI;RBP4;PQLC3;RHOJ;TMEM119;TCF4;KCTD12;SNTB2
GTEX-RWSA-0926-SM-47JXW_blood vessel_male_40-49_years	39/904	0.00000000000000000027171743566613261391694769543536336323622234582492239278461720886070906999520957469940185546875	0.0000000000000003890993678739018931142333890498139002631850977796668100694432723685167729854583740234375	0.0000000000000000011842792040562236208291591042368028232058974007060749011888134418768458999693393707275390625	0.0000000000000016958878202085121387456943287189354259230332500063553879954270087182521820068359375	-1.700403019413136	72.69142014039754	SNED1;APP;PID1;CHPF;ELN;BHLHE41;FAM129A;LTBP4;NTN1;PKD1;ADAMTS10;FBLN5;CYTH3;C1QTNF2;ADAMTSL3;HCFC1R1;DACT3;HMCN1;SCARF2;GPC6;DLGAP4;DACT1;GDF10;SCARA3;GADD45B;LAMB2;OSR1;PRRX2;FMO2;SKI;EXT1;CPED1;SMOC2;B3GNT9;COL4A2;MGP;ESYT2;SLC29A1;RAMP1
GTEX-VUSG-0626-SM-4KL1Z_blood vessel_male_50-59_years	33/662	0.00000000000000000352332800180983158267969652669605521469611135825764254569936184680045698769390583038330078125	0.00000000000000201816227943667169079630154350952340123529740907593055254665159736759960651397705078125	0.00000000000000001542931962637352688404157552704762435989230894375391633932537160944775678217411041259765625	0.0000000000000088379142819867557455839939598110911216023895253801612170718726702034473419189453125	-1.8008719578485581	72.37186769623588	PID1;CFH;ELN;LTBP4;WFDC1;ADAMTS10;FBLN5;PTMS;C1QTNF2;SERTAD4;HCFC1R1;DACT3;HMCN1;SCARF2;GPC6;DLGAP4;DACT1;TCF7L1;UNC5B;LAMB2;SKI;EXT1;CPED1;SMOC2;B3GNT9;COL4A2;COL4A1;COL4A4;MGP;ESYT2;SLC29A1;RAMP1;EPHA3
GTEX-WRHU-1126-SM-4E3I1_blood vessel_female_50-59_years	36/826	0.0000000000000000061397157495766214501371633397398505975829049554942824784564692208732594735920429229736328125	0.00000000000000251202084382677804614786684411906327746367485233280891776530552306212484836578369140625	0.00000000000000002442158052420598791643132898804957073505849765343751756052625978554715402424335479736328125	0.000000000000009991915231617994080452478488005172642364586955976424320624573738314211368560791015625	-1.813980273873812	71.89121857401481	COL15A1;CFH;CHPF;ELN;NRK;LTBP4;WFDC1;ADAMTS10;FBLN5;CYTH3;C1QTNF2;SERTAD4;EPB41L2;ABI3BP;HCFC1R1;SLIT3;HMCN1;SCARF2;GPC6;DACT1;SCARA3;LAMB2;OSR1;PTCH2;PODN;SKI;CPED1;SMOC2;COL4A2;NFIB;PQLC3;COL4A4;MGP;COL4A3;RAMP1;EPHA3
GTEX-POMQ-0426-SM-3P61G_blood vessel_female_20-29_years	35/732	0.000000000000000001060578573164860304842759102179235382856815886188479002016915586636969237588346004486083984375	0.00000000000000101249901118138661920095989009631252282991865053263236262637292384169995784759521484375	0.00000000000000000471334304083286794212424418214177686121398311977948210327316047596468706615269184112548828125	0.000000000000004499671489648444665261671095661769914335749269429509666906596976332366466522216796875	-1.7256823725101504	71.42205382226535	SNED1;PID1;ELN;NRK;FAM129A;LTBP4;NTN1;PKD1;ADAMTS10;FBLN5;PTMS;CYTH3;C1QTNF2;ADAMTSL3;HCFC1R1;DACT3;HMCN1;DLGAP4;DACT1;SCARA3;LAMB2;OSR1;PRRX2;SMARCA2;SKI;EXT1;CPED1;SMOC2;B3GNT9;COL4A2;COL4A4;COL4A3;MGP;ESYT2;RAMP1
GTEX-WL46-0426-SM-3TW8J_nerve_male_50-59_years	34/698	0.000000000000000002040982903420799742319387750554265911793697522413882326774992037599076866172254085540771484375	0.000000000000001461343758849292650937792606121994089074281569611002407071964626084081828594207763671875	0.0000000000000000089766230621447919485386516678144262293121443717163442099771231141858152113854885101318359375	0.0000000000000064272621124956709796868921958027366121753306237029956804462926811538636684417724609375	-1.751867903502465	71.35901079214027	NRP1;COL15A1;ASAP3;LTBP4;PEAR1;MEOX2;NR3C1;TSPAN11;MEOX1;CYGB;CYTH3;C1QTNF2;ABI3BP;EPB41L2;ADAMTSL3;EPHB2;GPC6;SPTBN1;DACT1;GDF10;SCARA3;ENTPD2;FST;PTCH2;ABCA9;FMO1;EBF2;PODN;HIC1;PQLC3;RHOJ;TMEM119;KCTD12;SNTB2
GTEX-PX3G-0426-SM-48U1C_blood vessel_female_20-29_years	33/668	0.00000000000000000461392878484663933091937195614573333291020173626217036610963617704328498803079128265380859375	0.0000000000000022023820066334624641513494594594802691218970482067707195028560818172991275787353515625	0.000000000000000019909911896944181429140126375537623314374129429517486233880418922126409597694873809814453125	0.000000000000009503664612141356864064577510489271482116749832635971273475661291740834712982177734375	-1.7715684935506402	70.71650021538768	SNED1;PID1;ELN;NRK;FAM129A;LTBP4;NTN1;PKD1;ADAMTS10;FBLN5;CYTH3;C1QTNF2;SERTAD4;ADAMTSL3;HCFC1R1;DACT3;SLIT3;HMCN1;DLGAP4;DACT1;SCARA3;LAMB2;OSR1;PRRX2;SKI;EXT1;CPED1;SMOC2;B3GNT9;COL4A2;MGP;ESYT2;RAMP1
GTEX-XOTO-0226-SM-4B66H_adipose tissue_male_50-59_years	33/723	0.0000000000000000482547417999200813178539047481564373200380228356824729996077394389430992305278778076171875	0.00000000000001151679837624759377657440336913799764327615005043981000198982656002044677734375	0.00000000000000018402306606649869709370604914057052370645313032863910063241519310395233333110809326171875	0.0000000000000448706599333416859019759281319589319986696103470524832346200128085911273956298828125	-1.8577004415782246	69.79387539372775	NRP1;COL15A1;LTBP4;PEAR1;MEOX2;NR3C1;TSPAN11;MEOX1;CYGB;CYTH3;THBD;C1QTNF2;ZMIZ1;EPB41L2;SLIT3;SPTBN1;DACT1;GDF10;TCF7L1;ENTPD2;FST;PTCH2;ABCA9;EMP1;EBF2;PODN;F3;HIC1;FOSL2;RBP4;NFIB;PQLC3;SIK1
GTEX-PSDG-1026-SM-48TCV_blood vessel_male_50-59_years	31/637	0.0000000000000000837695872251704169263782000609678051234660217726039899144296896338346414268016815185546875	0.00000000000001690948925234727091859684916439278311986785761911189496231600060127675533294677734375	0.00000000000000032446363413326455765833246852813432085549760048280576452128798337071202695369720458984375	0.000000000000066375989154119262611956084301666341520274661203160349032259546220302581787109375	-1.835217647976587	67.93693412692878	SNED1;PID1;CFH;CHPF;ELN;LTBP4;ADAMTS10;FBLN5;AKAP12;THBD;C1QTNF2;ADAMTSL3;HCFC1R1;HMCN1;CCNL1;SCARA3;GADD45B;LAMB2;OSR1;PRRX2;FMO2;FOSL2;SKI;EXT1;SMOC2;IGSF10;B3GNT9;COL4A4;MGP;ESYT2;RAMP1
GTEX-U3ZH-0626-SM-4DXT3_blood vessel_male_30-39_years	33/679	0.000000000000000007509967154601283792076026192347121666562937073309373647855835542941349558532238006591796875	0.0000000000000026885682413472597886154678600740661797825433766695457649120726273395121097564697265625	0.0000000000000000315650220246449757449608135953731004613728193856046766452294605187489651143550872802734375	0.000000000000011300277884822901785082133742119329428385304976700798107458467711694538593292236328125	-1.7215774655648497	67.88231694187134	PID1;CHPF;ELN;NRK;FAM129A;LTBP4;NTN1;PKD1;ADAMTS10;FBLN5;PTMS;CYTH3;C1QTNF2;ADAMTSL3;HCFC1R1;DACT3;HMCN1;SCARF2;DLGAP4;DACT1;SCARA3;OSR1;SKI;EXT1;CPED1;SMOC2;B3GNT9;COL4A2;COL4A1;MGP;ESYT2;SLC29A1;RAMP1
