Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-U3ZH-0426-SM-4DXSE_blood vessel_male_30-39_years	29/431	0.000000000000000000000000053337874711955434331468642211047309331795848758865280985465859983824833678855981133892782963812351226806640625	0.00000000000000000000007483303822087347530836434064150929348309938100618941091333687944120445223461501882411539554595947265625	0.0000000000000000000000000975406325019864328192220158077735519201684214114743417984728772010300131001248047368790139444172382354736328125	0.00000000000000000000013684950740028697499141051794512362015510293685833151392652949455974731307605907204560935497283935546875	-1.8347049172244472	106.76725998951864	NOTCH3;RASL12;TAGLN;TINAGL1;EPAS1;NDUFA4L2;HSPB1;PRSS23;RGS4;RGS5;FOXS1;PDLIM3;MPRIP;IGFBP7;S1PR3;RSU1;FILIP1L;PDLIM7;TNS1;PPP1R14A;ITGA1;ACTN4;ACTA2;HEYL;MYADM;SPARCL1;MYH9;MFGE8;MYL9
GTEX-V1D1-2626-SM-4JBJH_blood vessel_male_50-59_years	34/759	0.000000000000000000000000812775095333762725929873023290464031740259519589096707720415692951902719709522671109880320727825164794921875	0.00000000000000000000028508086468831726211498979882547049622412087599646427434649069432293089221275295130908489227294921875	0.0000000000000000000000007338896384098697618116448456532478029121590512700541614389709130943963144577679713620455004274845123291015625	0.000000000000000000000257411790672261815121302465016743584239037409965099852677118501265152161749938386492431163787841796875	-1.830387312410762	101.53038179236407	NOTCH3;RASL12;TAGLN;TINAGL1;EPAS1;RASL11A;FRY;TSPAN12;RGS5;FOXS1;PDLIM2;MPRIP;MUSTN1;STK38L;IGFBP7;S1PR3;MYH11;RSU1;TMEM38B;FILIP1L;PDLIM7;TNS1;PDGFRB;PPP1R14A;RBPMS;TSC22D1;EBF1;NR2F2;ACTN4;ACTA2;PDE3A;MYH9;MFGE8;MYL9
GTEX-UJHI-1926-SM-3DB8Z_blood vessel_female_50-59_years	33/661	0.000000000000000000000000153968732397460747648554298068649242369615375050348303840385351639783416410889316239263280294835567474365234375	0.000000000000000000000108009065776818705096760794960304962951408711861738097079091262819883212387139792554080486297607421875	0.000000000000000000000000165819008966597091404326658870142906395767444904081963093201273272783193013513169944417313672602176666259765625	0.0000000000000000000001489456501124713052155845974505177367057128467011435535524732122480973117717439890839159488677978515625	-1.773501216594784	101.32553007444123	NOTCH3;RASL12;TAGLN;TINAGL1;KCNE4;EPAS1;FRY;TSPAN12;RGS5;FOXS1;MPRIP;MUSTN1;STK38L;IGFBP7;MYH11;RSU1;PDLIM7;TNS1;PDGFRB;PPP1R14A;RBPMS;TSC22D1;TPM2;EBF1;NR2F2;ACTN4;ACTA2;HEYL;PDE3A;SPARCL1;MYH9;MFGE8;MYL9
GTEX-XGQ4-2426-SM-4AT55_blood vessel_male_50-59_years	29/446	0.000000000000000000000000141808510207156172666000917591732084284275061778180703855862968164520433733688520305804559029638767242431640625	0.000000000000000000000108009065776818705096760794960304962951408711861738097079091262819883212387139792554080486297607421875	0.00000000000000000000000024355798657375081318653081054312560883997651674723144479725328259115020579361754471392487175762653350830078125	0.0000000000000000000001489456501124713052155845974505177367057128467011435535524732122480973117717439890839159488677978515625	-1.7622475773718917	100.82755885233368	NOTCH3;RASL12;TAGLN;TINAGL1;EPAS1;HSPB1;RGS5;FOXS1;MPRIP;MUSTN1;STK38L;IGFBP7;S1PR3;MYH11;RSU1;PDLIM7;TNS1;PDGFRB;PPP1R14A;RBPMS;TPM2;ITGA1;ACTN4;ACTA2;HEYL;MYADM;MYH9;MFGE8;MYL9
GTEX-XYKS-2626-SM-4BRUT_blood vessel_female_60-69_years	31/519	0.0000000000000000000000000285840725901013212233175985472289954709901825018225012456894341887994083484247909154873923398554325103759765625	0.00000000000000000000007483303822087347530836434064150929348309938100618941091333687944120445223461501882411539554595947265625	0.00000000000000000000000004215836639963547765113618309359015236179664882112481710497728201300009047425287889154787990264594554901123046875	0.0000000000000000000001182963761173771465582710983422209978998637540410035288759968592764426631447349791415035724639892578125	-1.690424726772284	99.42562299990517	NOTCH3;RASL12;TAGLN;TINAGL1;NDUFA4L2;FRY;MYLK;RGS5;FOXS1;EDNRA;MPRIP;MUSTN1;STK38L;IGFBP7;S1PR3;MYH11;RSU1;TNS1;PDGFRB;PPP1R14A;TSC22D1;NR2F2;ACTN4;ACTA2;HEYL;PDE3A;SPARCL1;MYH9;ESYT1;MFGE8;MYL9
GTEX-PWCY-0426-SM-48TCW_blood vessel_female_20-29_years	32/617	0.000000000000000000000000305702115457326845474050439332461835813362060421555600238879854091238186253320918694953434169292449951171875	0.00000000000000000000013839821651438017548395465354654535969861078317909988276676104025642022321562762954272329807281494140625	0.0000000000000000000000003542837178185469902724713722648728353318540907359485511651029561734811690332236366884899325668811798095703125	0.0000000000000000000001489456501124713052155845974505177367057128467011435535524732122480973117717439890839159488677978515625	-1.754441011267426	99.03325872401268	NOTCH3;MACF1;RASL12;TAGLN;TINAGL1;EPAS1;RASL11A;FRY;RGS5;FOXS1;MUSTN1;TIMP3;STK38L;IGFBP7;S1PR3;MYH11;RSU1;FILIP1L;PDLIM7;TNS1;PPP1R14A;TPM2;ITGA1;ACTN4;ACTA2;HEYL;MYADM;PDE3A;SPARCL1;MYH9;MFGE8;MYL9
GTEX-WHPG-2326-SM-3NMBP_blood vessel_male_50-59_years	32/618	0.0000000000000000000000003214145039849428182395559875138389193395204071181105562220992034015709659655612995265983045101165771484375	0.00000000000000000000013839821651438017548395465354654535969861078317909988276676104025642022321562762954272329807281494140625	0.0000000000000000000000003715679083347467017315212547752089169379916379275674219296899479362573937013536351514630950987339019775390625	0.0000000000000000000001489456501124713052155845974505177367057128467011435535524732122480973117717439890839159488677978515625	-1.755084479104887	98.98161508261276	NOTCH3;MACF1;RASL12;TAGLN;TINAGL1;KCNE4;EPAS1;FRY;TSPAN12;PRSS23;RGS5;FOXS1;MPRIP;MUSTN1;STK38L;IGFBP7;MYH11;RSU1;PDLIM7;TNS1;PDGFRB;PPP1R14A;RBPMS;TPM2;ITGA1;EBF1;ACTN4;ACTA2;HEYL;PDE3A;MYH9;MYL9
GTEX-XOT4-0426-SM-4B66T_blood vessel_female_60-69_years	33/678	0.00000000000000000000000034525570762675024200713511688686276198837328727785940026055732193191634415985191708386992104351520538330078125	0.00000000000000000000013839821651438017548395465354654535969861078317909988276676104025642022321562762954272329807281494140625	0.00000000000000000000000035800092534484009346066637230823334262862062554240801370410442173129739185100106624304316937923431396484375	0.0000000000000000000001489456501124713052155845974505177367057128467011435535524732122480973117717439890839159488677978515625	-1.7572922060876466	98.98038356979431	NOTCH3;MACF1;RASL12;TAGLN;TINAGL1;KCNE4;NDUFA4L2;FRY;PRSS23;RGS5;FOXS1;EDNRA;PDLIM3;MPRIP;MUSTN1;STK38L;IGFBP7;MYH11;RSU1;FILIP1L;PDLIM7;PPP1R14A;RBPMS;NR2F2;ACTN4;ACTA2;MYADM;PDE3A;SPARCL1;CPE;MYH9;MFGE8;MYL9
GTEX-WZTO-1126-SM-3NM93_blood vessel_male_40-49_years	35/833	0.000000000000000000000001158455761258127371597757870716333398942490612573784865917739443186111614192412844204227440059185028076171875	0.000000000000000000000361180762898922852744407476636021500444644672457399384193324660963231309551701997406780719757080078125	0.000000000000000000000000936530582883304336472701923132269630844226467165899800329959215701956798394434144938713870942592620849609375	0.00000000000000000000029198942395228357075026361582011255649050516940926436131563403986177718252292834222316741943359375	-1.7708968015700073	97.60289638403582	NOTCH3;MACF1;RASL12;TAGLN;TINAGL1;FRY;PRSS23;MYLK;RGS5;FOXS1;EDNRA;MPRIP;MUSTN1;STK38L;IGFBP7;MYH11;RSU1;FILIP1L;TMEM38B;PDLIM7;TNS1;PDGFRB;PPP1R14A;RBPMS;TSC22D1;ITGA1;ACTN4;ACTA2;HEYL;CDK6;PDE3A;CPE;MYH9;MFGE8;MYL9
GTEX-T6MN-0426-SM-32PMF_blood vessel_male_50-59_years	33/709	0.000000000000000000000001424295338693178532988857376790420999997390523768354987980177595897901543509078692295588552951812744140625	0.0000000000000000000003914866536699061352559725648082074261241223441722721406910612436391705415417163749225437641143798828125	0.0000000000000000000000013853103346997554347017618626091014183817205674670265832843464776959196971262144870706833899021148681640625	0.0000000000000000000003887180799167513745365039970897560425096345897729055300875880378519422464478338952176272869110107421875	-1.7727654245450652	97.33965106050935	NOTCH3;MACF1;RASL12;TAGLN;TINAGL1;NDUFA4L2;PRSS23;MYLK;RGS5;FOXS1;MPRIP;MUSTN1;STK38L;IGFBP7;MYH11;RSU1;FILIP1L;PDLIM7;TNS1;PDGFRB;PPP1R14A;RBPMS;TSC22D1;TPM2;NR2F2;ACTN4;ACTA2;HEYL;MYADM;PDE3A;MYH9;MFGE8;MYL9
