Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-XV7Q-0008-SM-4BRWL_skin_female_40-49_years	65/829	0.00000000000000000000000000000000000000000185058080615736746543828609555194709908577518971917216000316729723581511640432601963576358175010696636246239170364713544358892249874770641326904296875	0.0000000000000000000000000000000000000046746116563171869652833634365649481809948352621546486900575262837844070378220591081080249697796862896892466920917286188341677188873291015625	0.0000000000000000000000000000000000000000026760231178843707774849758339626857999867067122646743703702995859427787286187567663239506220656869224557429347288728394005374866537749767303466796875	0.000000000000000000000000000000000000005506106010099339768985591632446469346822015961606423310986687310021158415056763475246375507499046780997276062663559059728868305683135986328125	-1.7433590620457151	167.52473199694464	FKBP10;TRAM1;COL16A1;KDELR1;FKBP14;COL12A1;LOXL3;TNC;PLOD1;ANTXR1;WISP1;LOXL2;EVA1B;CTSK;DSE;TMED2;PAMR1;FADS1;IKBIP;POSTN;TPM4;SPHK1;SERPINF1;CLEC11A;PCOLCE;RCN3;LOX;CD109;CDH11;GAS1;GARS;FKBP9;GAS6;TMEM45A;FBN2;LEPROT;NNMT;SAR1A;FAM114A1;SHC1;MAGED1;COL11A1;HTRA1;ASAP1;THBS2;ADCY7;THBS1;TCEAL8;PRRC1;OLFML3;DSEL;TXNDC5;CTHRC1;OST4;SURF4;YIPF5;FN1;PYCR1;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;ALDH18A1
GTEX-XUZC-0008-SM-4BOQG_skin_female_30-39_years	67/910	0.0000000000000000000000000000000000000000039683326309099353966620485809050910843786101049453650308919635339087663455751249758012511618578042424200827929803292448696083738468587398529052734375	0.0000000000000000000000000000000000000046746116563171869652833634365649481809948352621546486900575262837844070378220591081080249697796862896892466920917286188341677188873291015625	0.000000000000000000000000000000000000000004149792952034120073337806271861592600382939568122341356337505149481348929040320774367040924238683747353700730087222581232708762399852275848388671875	0.000000000000000000000000000000000000005506106010099339768985591632446469346822015961606423310986687310021158415056763475246375507499046780997276062663559059728868305683135986328125	-1.7323293846191496	165.14335501886188	SPON2;FKBP10;TRAM1;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;TNC;PLOD1;WISP1;LOXL2;EVA1B;CTSK;DSE;TIMP2;TMED2;IKBIP;POSTN;TPM4;SPHK1;CLEC11A;GPX7;PCOLCE;RCN3;LOX;CD109;CDH11;GAS1;ANGPTL2;GARS;FKBP9;GAS6;RHOQ;TMEM45A;FBN2;LEPROT;NNMT;SAR1A;FAM114A1;SHC1;MAGED1;COL11A1;GBA;HTRA1;THBS2;THBS1;TCEAL8;SRPX2;PRRC1;OLFML3;DSEL;TXNDC5;CTHRC1;SOCS5;OST4;SURF4;YIPF5;FN1;PYCR1;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;ALDH18A1
GTEX-O5YW-0008-SM-4E3IE_skin_male_50-59_years	67/937	0.0000000000000000000000000000000000000000256199570402786583866359683152625472712971551174171714291754054603753466370517984570396732360371073574582638510133136833246680907905101776123046875	0.00000000000000000000000000000000000001819968378898076309016633841755284114666350261811635297176583200857716919789782281186338662624869984274500467336110887117683887481689453125	0.00000000000000000000000000000000000000002360770547988336697121069489281984123959900423183765140620780730220546502410608177589299827903112800604572274476566917655873112380504608154296875	0.0000000000000000000000000000000000000165445327984451800643296323815595785451692834135244548813204903897883894350678034770177603570792831087776786347376400954090058803558349609375	-1.7470651905782995	163.28980144438162	FKBP10;TRAM1;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;PLOD1;ANTXR1;WISP1;CTGF;LOXL2;POFUT2;EVA1B;DSE;TIMP2;SDF4;TMED2;TIMP1;PAMR1;IKBIP;POSTN;TPM4;F2R;CLEC11A;SLC39A13;PCOLCE;RCN3;RER1;LOX;CD109;CDH11;GARS;FKBP9;GAS6;TMEM45A;FBN2;LEPROT;SAR1A;FAM114A1;SHC1;MAGED1;COL11A1;HTRA1;ASAP1;THBS2;THBS1;TCEAL8;SRPX2;PRRC1;OLFML3;DSEL;TXNDC5;CTHRC1;SOCS5;OST4;SURF4;YIPF5;FN1;PYCR1;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;ALDH18A1
GTEX-OHPN-0008-SM-4E3HW_skin_female_60-69_years	66/877	0.000000000000000000000000000000000000000004839142501363547627966318239511024964990043562563571223742826278492378901689186666885772143824915390622454745839231549098258255980908870697021484375	0.0000000000000000000000000000000000000046746116563171869652833634365649481809948352621546486900575262837844070378220591081080249697796862896892466920917286188341677188873291015625	0.0000000000000000000000000000000000000000056999027019661903359949340583784740875308900907547946650651766268926351754553982178221010334187747801062821385864598511261647217907011508941650390625	0.000000000000000000000000000000000000005506106010099339768985591632446469346822015961606423310986687310021158415056763475246375507499046780997276062663559059728868305683135986328125	-1.694331654569968	161.18488171882004	FKBP10;TRAM1;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;PLOD1;ANTXR1;WISP1;CTGF;LOXL2;EVA1B;DSE;TMED2;TIMP1;PAMR1;IKBIP;POSTN;TPM4;CLEC11A;COPZ2;GPX7;PCOLCE;RCN3;LOX;CD109;CDH11;GARS;FKBP9;GAS6;PPIC;TMEM45A;FBN2;LEPROT;OAT;SAR1A;FAM114A1;SHC1;MAGED1;COL11A1;ARL1;HTRA1;THBS1;TCEAL8;SRPX2;PRRC1;OLFML3;DSEL;AGA;TXNDC5;CTHRC1;SOCS5;OST4;SURF4;YIPF5;FN1;PYCR1;SSC5D;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;ALDH18A1
GTEX-XLM4-0008-SM-4AT4W_skin_male_60-69_years	67/940	0.000000000000000000000000000000000000000031400420615908840192069198684261415547350559161583585783968390451723010201094980393692766233583080919856966861658520429045893251895904541015625	0.00000000000000000000000000000000000001819968378898076309016633841755284114666350261811635297176583200857716919789782281186338662624869984274500467336110887117683887481689453125	0.0000000000000000000000000000000000000000285447425784078334897793842568295342743833856596979782948665037811519436860688501140852060111362778046443892943084819080468150787055492401123046875	0.0000000000000000000000000000000000000165445327984451800643296323815595785451692834135244548813204903897883894350678034770177603570792831087776786347376400954090058803558349609375	-1.6923135542056678	157.8281280435954	SPON2;FKBP10;TRAM1;OLFML2B;ECM2;COL16A1;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;PLOD1;PCSK5;WISP1;CTGF;LOXL2;EVA1B;DSE;TIMP2;SDF4;TMED2;PAMR1;IKBIP;SERPINF1;CLEC11A;COPZ2;PCOLCE;RCN3;LOX;CD109;CDH11;GAS1;ANGPTL2;GARS;FKBP9;GAS6;PPIC;TMEM45A;FBN2;LEPROT;SAR1A;FAM114A1;COL11A1;ARL1;HTRA1;THBS2;ADCY7;THBS1;PRRC1;OLFML3;DSEL;AGA;TXNDC5;CTHRC1;SOCS5;OST4;YIPF5;FN1;PYCR1;KAZALD1;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;FMOD
GTEX-RNOR-0008-SM-48FEY_skin_female_50-59_years	63/905	0.000000000000000000000000000000000000059716414676406613144592015275435012760352034793810971656121275101116722961424382502022396599435268005340304853234556503593921661376953125	0.0000000000000000000000000000000000192286855258029296831303204898334159345086489990585590121957580924079002275102910556885842975616274230787894339300692081451416015625	0.00000000000000000000000000000000000005427785313032468578593130871118760459487519492920159334131095894968791754373131376563105637744126134858202448185693356208503246307373046875	0.000000000000000000000000000000000017477468707964548927474752892978801106914518515307673947120756910902974213219666320048772067095865789809749912819825112819671630859375	-1.8087838145927795	155.03305243664494	SPON2;FKBP10;TRAM1;KDELR1;FKBP14;HEXA;COL12A1;PLOD1;ANTXR1;WISP1;LOXL2;EVA1B;CTSK;TIMP2;TMED2;TIMP1;PAMR1;FADS1;IKBIP;TPM4;SERPINF1;CLEC11A;COPZ2;PCOLCE;RCN3;LOX;CD109;CDH11;GARS;FKBP9;GAS6;RHOQ;FBN2;SAR1A;FAM114A1;SHC1;MAGED1;COL11A1;GBA;ARL1;HTRA1;TCEAL8;SRPX2;PRRC1;OLFML3;DSEL;TXNDC5;CTHRC1;SOCS5;OST4;CRTAP;SURF4;YIPF5;FN1;PYCR1;SSC5D;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;ALDH18A1
GTEX-X88G-0008-SM-47JWN_skin_male_30-39_years	61/789	0.0000000000000000000000000000000000000027135601431951736743860399004271492253007034597662052280369360780320106421356719100982814155121380429204480666527388166286982595920562744140625	0.0000000000000000000000000000000000011234138992828019618811520711631178776802264484291012324281191363466412999994872066491146807786470629419994793352088890969753265380859375	0.000000000000000000000000000000000000003920763910062580158649795265677655511600316881058461783922320416884136072670377535319170982106839746898774290428946187603287398815155029296875	0.000000000000000000000000000000000001623196258765908325322530855158974253402825126848320870548755775265916456120356446674214220978436917786069670910364948213100433349609375	-1.7198743663937817	152.72924170916176	FKBP10;TRAM1;OLFML2B;ECM2;COL16A1;KDELR1;FKBP14;COL12A1;LOXL3;PLOD1;WISP1;CTGF;LOXL2;EVA1B;CTSK;DSE;TMED2;PAMR1;IKBIP;POSTN;TPM4;SERPINF1;CLEC11A;GPX7;RCN3;LOX;CD109;CDH11;GARS;FKBP9;GAS6;PPIC;TMEM45A;FBN2;LEPROT;NNMT;SAR1A;FAM114A1;MAGED1;COL11A1;HTRA1;THBS2;THBS1;SRPX2;PRRC1;OLFML3;DSEL;SKIL;TXNDC5;CTHRC1;SURF4;YIPF5;FN1;PYCR1;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI;ALDH18A1
GTEX-XMD3-0008-SM-4AT4V_skin_female_50-59_years	69/1079	0.0000000000000000000000000000000000000016371202518940429112714661937628602851820484542866346300996484443791667924761771685827361119108312010293759808376989894895814359188079833984375	0.0000000000000000000000000000000000007907290816648226579546864810028802136203559616895225692609637018144371366882426127668536360092003956179240731216850690543651580810546875	0.00000000000000000000000000000000000000090904159279328131879324898815948619966651946670984319478769956174207266179991042623604087111431005445265352005179693151148967444896697998046875	0.00000000000000000000000000000000000043906708931915492249113792557074040824323031448527346409807958835246276626584601277332737181567819118033213499074918217957019805908203125	-1.6792319652772303	149.9686466328318	VIT;SPON2;FKBP10;TRAM1;OLFML2B;ECM2;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;PLOD1;WISP1;LOXL2;EVA1B;CTSK;DSE;TIMP2;SDF4;TMED2;TIMP1;PAMR1;IKBIP;PTGIS;SERPINF1;CLEC11A;COPZ2;PCOLCE;RCN3;LOX;CD109;CDH11;FIBIN;GAS1;ANGPTL2;FKBP9;GAS6;RHOQ;TMEM45A;FBN2;LEPROT;SAR1A;FAM114A1;ARL1;HTRA1;ADD3;THBS2;ADCY7;THBS1;TCEAL8;PRRC1;OLFML3;DSEL;MGAT2;TXNDC5;CTHRC1;SOCS5;OST4;CRTAP;YIPF5;FN1;SSC5D;KAZALD1;COL1A1;P4HA1;ITGBL1;FAT4;TGFBI;FMOD
GTEX-XOT4-0008-SM-4B664_skin_female_60-69_years	63/919	0.0000000000000000000000000000000000001486473342841124466950933479735085027716248222655512341819975398461306169189625135953908440750539411701058867265601293183863162994384765625	0.00000000000000000000000000000000003589833122961315463444707282868323353370739617468396844945073113650931329268506591185158307276414912934114909148775041103363037109375	0.0000000000000000000000000000000000001273978719714024943142082076491335034591995322700474034540540615287709528040115429851168106132296153898408874738379381597042083740234375	0.00000000000000000000000000000000003076658608109370463202650628755581751647433120227928318447642344783302400755354664124206309598619224487947576562874019145965576171875	-1.7431289709199305	147.8160154602379	VIT;FKBP10;TRAM1;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;PLOD1;WISP1;CTGF;LOXL2;EVA1B;DSE;SDF4;TMED2;TIMP1;PAMR1;IKBIP;POSTN;TPM4;F2R;CLEC11A;PCOLCE;RCN3;LOX;CD109;CDH11;FIBIN;FKBP9;GAS6;RHOQ;TMEM45A;FBN2;LEPROT;NNMT;SAR1A;FAM114A1;SHC1;MAGED1;COL11A1;HTRA1;ASAP1;THBS2;THBS1;TCEAL8;SRPX2;PRRC1;OLFML3;DSEL;TXNDC5;CTHRC1;SOCS5;OST4;SURF4;YIPF5;FN1;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI
GTEX-W5X1-0008-SM-4LMKA_skin_female_40-49_years	64/955	0.000000000000000000000000000000000000131610741513203843505760815501806725888691763156276605346414670218870068479035500639701520384926454465546186156643670983612537384033203125	0.00000000000000000000000000000000003467344808229679400481166293036698660956047326429524913693089832911805022298053722392679608550747349937637409311719238758087158203125	0.0000000000000000000000000000000000001010448569905483706252558689039612500539969854348110689373823432361919587787555905472892460008672334270674042500104405917227268218994140625	0.00000000000000000000000000000000002662072686896447159563216719926692136919986779254497879119867862009808155678006762840528769652193030736953005543909966945648193359375	-1.7393144691726663	147.70427183763977	VIT;SPON2;FKBP10;TRAM1;ECM2;COL16A1;KDELR1;FKBP14;HEXA;COL12A1;LOXL3;PLOD1;WISP1;LOXL2;EVA1B;CTSK;DSE;TIMP2;SDF4;IKBIP;TPM4;SERPINF1;CLEC11A;PCOLCE;RCN3;LOX;CD109;CDH11;GAS1;ANGPTL2;GARS;FKBP9;GAS6;RHOQ;TMEM45A;FBN2;NNMT;SAR1A;FAM114A1;SHC1;COL11A1;HTRA1;THBS2;ADCY7;THBS1;TCEAL8;PRRC1;OLFML3;DSEL;MGAT2;TXNDC5;CTHRC1;SOCS5;CRTAP;SURF4;YIPF5;FN1;SSC5D;COL1A1;P4HA1;STT3A;ITGBL1;FAT4;TGFBI
