Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-OHPL-1626-SM-2HMIR_muscle_female_60-69_years	24/804	0.000000000259320400777703489998442413103714627997664621261719730682671070098876953125	0.0000007502139194498961708711961236806242681041112518869340419769287109375	0.000000000039737341765920223607115462355405979648359515721267598564736545085906982421875	0.0000001149601297288072084269616355244048033767967353924177587032318115234375	-1.7389260421008574	38.383239318963795	SH3GLB1;NCOA1;RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;SLC43A2;ABHD2;PDE4D;ATP2A1;ANK1;PNRC1;DES;PKM;NACA;CFL2;PDK4;ANKRD10;FLNC;ASB5;CDH15;GAPDH;RAPSN
GTEX-Q2AH-1826-SM-2S1Q2_muscle_male_40-49_years	22/823	0.000000011957453664863991230860878361465238217675732812494970858097076416015625	0.00001729645672622576334687312382687451872698147781193256378173828125	0.000000002180914291127050492036580531143678818306597122500534169375896453857421875	0.00000315469252211527846166427314911206991610015393234789371490478515625	-1.75539279594221	32.021719180593806	SH3GLB1;RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;SLC43A2;PDE4D;ATP2A1;ANK1;PNRC1;DES;PKM;NACA;CFL2;PDK4;ANKRD10;FLNC;ASB5;CDH15;GAPDH;RAPSN
GTEX-OHPN-2726-SM-2I5H4_muscle_female_60-69_years	25/1154	0.0000000674556658208057973384242267562982409145888595958240330219268798828125	0.00002772533212493746935319201274428024817098048515617847442626953125	0.000000009543236372340517035845014969484834121971061904332600533962249755859375	0.0000050737284765183974797665179823358272415134706534445285797119140625	-1.8553038913587914	30.634397994581676	RTN2;CHRNA1;SIX1;ATP2A1;UQCRH;ANKRD10;CCT8;SH3GLB1;NCOA1;CHRNB1;DARS;PPP1R14B;ACTN3;MUSK;DMPK;PDE4D;ANK1;IFFO1;RPS25;PKM;NACA;ASB5;CDH15;GAPDH;RAPSN
GTEX-REY6-0826-SM-2TF4S_muscle_male_60-69_years	21/811	0.000000046179187630298255726299556933600598540579085238277912139892578125	0.00002772533212493746935319201274428024817098048515617847442626953125	0.0000000092113631996749450171722636165373698791114520645351149141788482666015625	0.0000050737284765183974797665179823358272415134706534445285797119140625	-1.8015001620061162	30.428664765529255	RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;SLC43A2;PDE4D;SIX1;ATP2A1;FOXN3;PNRC1;PKM;NACA;CFL2;PDK4;FLNC;ASB5;TNIK;CDH15;GAPDH;RAPSN
GTEX-U8XE-0726-SM-3DB8O_muscle_male_30-39_years	24/1025	0.00000003019791613881273531288127408810095797520034466288052499294281005859375	0.00002772533212493746935319201274428024817098048515617847442626953125	0.00000000461688962143081166361496236994442499135260504772304557263851165771484375	0.0000044522205582664458063516833841166686625001602806150913238525390625	-1.7479742553652817	30.267035837827653	SH3GLB1;RTN2;CHRNA1;CHRNB1;PPP1R14B;ACTN3;SLC43A2;DMPK;ABHD2;PDE4D;ATP2A1;ANK1;PNRC1;DES;PKM;NACA;CFL2;ANKRD10;FLNC;ASB5;CDH15;MSC;GAPDH;RAPSN
GTEX-QEG5-0426-SM-2I5GJ_muscle_male_20-29_years	22/910	0.0000000710152286242206368487898623421961108448385857627727091312408447265625	0.00002772533212493746935319201274428024817098048515617847442626953125	0.00000001299066107356112700035689964776774996124686367693357169628143310546875	0.0000050737284765183974797665179823358272415134706534445285797119140625	-1.8193928324415165	29.947881917762864	SH3GLB1;RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;SLC43A2;PDE4D;SIX1;ATP2A1;ANK1;PNRC1;DES;NACA;CFL2;PDK4;ANKRD10;FLNC;ASB5;CDH15;GAPDH;RAPSN
GTEX-WHPG-2226-SM-3NMBO_muscle_male_50-59_years	21/820	0.00000005568712981019111592239601515007263454748454023501835763454437255859375	0.00002772533212493746935319201274428024817098048515617847442626953125	0.0000000111091612444843676488844498779530456378239477999159134924411773681640625	0.0000050737284765183974797665179823358272415134706534445285797119140625	-1.7471053754178831	29.182803953613007	SH3GLB1;RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;DMPK;PDE4D;SIX1;ATP2A1;ANK1;IGF2R;DES;PKM;NACA;CFL2;FLNC;ASB5;CDH15;GAPDH;RAPSN
GTEX-SUCS-1626-SM-32PLS_muscle_male_70-79_years	22/914	0.000000076668737296750696057003895099446477701121693826280534267425537109375	0.00002772533212493746935319201274428024817098048515617847442626953125	0.0000000140303587321628691194485489862793514692640428620507009327411651611328125	0.0000050737284765183974797665179823358272415134706534445285797119140625	-1.7366409334353428	28.452728767291305	SH3GLB1;RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;SLC43A2;PDE4D;SIX1;ATP2A1;ANK1;IGF2R;PNRC1;DES;NACA;CFL2;PDK4;FLNC;ASB5;CDH15;GAPDH;RAPSN
GTEX-QLQ7-1726-SM-2S1QQ_muscle_male_60-69_years	21/875	0.000000165547375922682892887961673966668030288929003290832042694091796875	0.0000428166683825842895000195198473846858178148977458477020263671875	0.0000000331363421912052432939544007427234983964581260806880891323089599609375	0.000007606113069861609307848772376647872306421049870550632476806640625	-1.8138836279615547	28.321994246679644	RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;MEGF10;PDE4D;SIX1;ATP2A1;ANK1;IGF2R;PNRC1;PKM;NACA;CFL2;PDK4;FLNC;ASB5;CDH15;GAPDH;RAPSN
GTEX-S4Z8-1826-SM-3K2BH_muscle_male_60-69_years	22/945	0.000000136825660147893853050939170883093520814099974813871085643768310546875	0.0000428166683825842895000195198473846858178148977458477020263671875	0.00000002513224204793016734434127150941973294351328149787150323390960693359375	0.000007377999903988704809049310739954563587161828763782978057861328125	-1.7774509050324885	28.091826409834802	RTN2;CHRNA1;CHRNB1;ACTN3;MUSK;SLC43A2;PDE4D;SIX1;ATP2A1;ANK1;IGF2R;PNRC1;DES;PKM;NACA;CFL2;PDK4;FLNC;ASB5;CDH15;GAPDH;RAPSN
