Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-WYBS-0326-SM-3NM8S_nerve_female_60-69_years	46/1142	0.00000000000000000000001672889569306949483531425251591256127556352413416685900523033750549040110655596436117775738239288330078125	0.00000000000000000004868108646683223258623940540089525854232865054992219285175114595887180257705040276050567626953125	0.0000000000000000000000055651243454917369602403125283746994065423334716948531431316888359699113220102617560769431293010711669921875	0.0000000000000000000161945118453809533244383449097520700607475883338574822287343757398758725685183890163898468017578125	-1.7853200193811294	93.63093832297777	NRN1;CNP;PROS1;NRXN1;LPAR1;SLC35F1;GJC3;ERBB3;SLITRK1;CHL1;RASGEF1C;DAG1;DMD;MBP;APOD;RXRG;TNS3;GPM6B;TRPM3;TSC22D4;AFAP1L2;GAS2L3;LGI4;CMTM5;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;GULP1;IGSF11;TSPAN15;DEPDC7;ZEB2;RGCC;SFRP5;PLSCR4;FXYD1;PLP1;ASPA;KANK4;GAS7;MEGF9;MATN2;CDH19
GTEX-XUJ4-2726-SM-4BOQ1_nerve_female_60-69_years	45/1143	0.000000000000000000000147278894477808118975588947768339037929504782117801073358480390407265758767607621848583221435546875	0.00000000000000000021429079146521082138496214879183735628733468002601013357999448771806783042848110198974609375	0.00000000000000000000004966771355008720081440735749939557134993866506827907059929100123951695167079378734342753887176513671875	0.00000000000000000007226652321537687960648106785553282272975802435217214402841945375399745898903347551822662353515625	-1.7051068527084277	85.71523416819768	NRN1;TTYH2;CNP;PROS1;NRXN1;LPAR1;SLC35F1;NDRG2;GJC3;ERBB3;CHL1;RASGEF1C;ADAM23;DAG1;DMD;APOD;NCAM1;RXRG;TNS3;GPM6B;TSC22D4;AFAP1L2;GAS2L3;LGI4;CMTM5;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;GULP1;IGSF11;TSPAN15;DEPDC7;ZEB2;RGCC;SFRP5;PLSCR4;FXYD1;ASPA;KANK4;GAS7;MEGF9;CDH19
GTEX-X585-0426-SM-4E3JZ_nerve_male_50-59_years	50/1576	0.000000000000000000004160989730493950447940696582496667122774196270792999545885641754505712697209673933684825897216796875	0.00000000000000000403616003857913204434066782585631185368971242071584569488518212665439932607114315032958984375	0.00000000000000000000086227790355953053534800576388391178217651113472951457608758028816620111456359154544770717620849609375	0.00000000000000000083640956645274470843705715732967903306019478362274134457254870511633271235041320323944091796875	-1.7146866854145544	80.4677324002466	PROS1;SLC35F1;CHL1;RASGEF1C;DAG1;TNS3;TSC22D4;GAS2L3;GPR37L1;POU3F1;SOX10;DEPDC7;ZEB2;SFRP5;PLSCR4;SPATA13;ASPA;KANK4;GAS7;MATN2;CDH19;NRN1;CNP;NRXN1;KCNA2;LPAR1;NDRG2;GJC3;ERBB3;FLRT3;APOD;DMD;RXRG;TRPM3;GPM6B;AFAP1L2;CADM1;LGI4;CMTM5;MBOAT2;L1CAM;HSPA12A;S100B;GULP1;IGSF11;TSPAN15;RGCC;FXYD1;PLP1;MEGF9
GTEX-QLQW-1426-SM-2S1QU_nerve_male_30-39_years	39/949	0.00000000000000000004459906743839288763316942349839245770878089136271584251754174221815674172830767929553985595703125	0.000000000000000012978328624572329350324392196834502746866130235242446644416958179135690443217754364013671875	0.0000000000000000000201630748424519892162006449966938666329007895391542949073589163777597832449828274548053741455078125	0.00000000000000000586745477915352872047890740310028223137574959731329986289960487511052633635699748992919921875	-1.7706019700065705	78.89195770737716	NRN1;TTYH2;CNP;PROS1;NRXN1;SLC35F1;C4B;GJC3;ERBB3;CHL1;RASGEF1C;GPC3;DAG1;DMD;APOD;RXRG;TNS3;AFAP1L2;GAS2L3;LGI4;CMTM5;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;TSPAN15;ZEB2;RGCC;SFRP5;PLSCR4;FXYD1;ASPA;KANK4;GAS7;MEGF9;MATN2;CDH19
GTEX-WZTO-1026-SM-3NM9P_nerve_male_40-49_years	47/1401	0.00000000000000000000990631302071110657588143264500029256428031368890990845076094384324960628873668611049652099609375	0.0000000000000000072068427225673307983071889279219420221051741720749879427376782814462785609066486358642578125	0.000000000000000000002532580358135042496976146531069062816053452847705890408464522722820078115546493791043758392333984375	0.0000000000000000018424522105432434914056268617160117061280296370186400356505629360981401987373828887939453125	-1.6958110575782799	78.11094766673655	NRN1;TTYH2;CNP;PROS1;NRXN1;KCNA2;SLC35F1;GJC3;ERBB3;SLITRK1;CHL1;RASGEF1C;GPC3;DAG1;DMD;MBP;APOD;SOX6;RXRG;TNS3;TRPM3;PRNP;AFAP1L2;GAS2L3;LGI4;CMTM5;MBOAT2;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;GULP1;TSPAN15;DEPDC7;ZEB2;MMP15;SFRP5;PLSCR4;FXYD1;ASPA;KANK4;GAS7;MEGF9;MATN2;CDH19
GTEX-VJYA-1726-SM-3NMDQ_nerve_male_60-69_years	43/1168	0.0000000000000000000219005882171933977980916754011610139412940690880965142529369915624926079544820822775363922119140625	0.000000000000000008193290367874978295913077682711584402832934493385134977483374996154452674090862274169921875	0.000000000000000000007434828660874194853050539632177372893783187206055991622273559915612395343487150967121124267578125	0.000000000000000002565963801481759128102304181209043684970687519998340346549792201358286547474563121795654296875	-1.7090476464057245	77.36478168502208	NRN1;CNP;PROS1;NRXN1;LPAR1;SLC35F1;C4B;GJC3;ERBB3;FLRT3;CHL1;RASGEF1C;GPC3;DAG1;DMD;APOD;RXRG;TNS3;AFAP1L2;GAS2L3;LGI4;CMTM5;ETV1;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;GULP1;TSPAN15;DEPDC7;ZEB2;SFRP5;PLSCR4;SPATA13;LPCAT2;ASPA;KANK4;GAS7;MEGF9;MATN2;CDH19
GTEX-SSA3-0526-SM-32QPL_nerve_male_60-69_years	54/1941	0.0000000000000000000253400733027061187077691436341954339823668448608299106814510659457795327398343943059444427490234375	0.000000000000000008193290367874978295913077682711584402832934493385134977483374996154452674090862274169921875	0.00000000000000000000375272387344246798316187229344692882539349190168501930000601041204078001101152040064334869384765625	0.000000000000000002184085294343516296987102298369824107179804975134855722640470077067220699973404407501220703125	-1.7105083515607384	77.18138659195554	ATP8A1;PROS1;SLC35F1;CHL1;RASGEF1C;DAG1;SOX6;TNS3;GAS2L3;POU3F1;SOX10;DUSP6;DEPDC7;ZEB2;MMP15;SFRP5;PLSCR4;SPATA13;ASPA;KANK4;GAS7;MATN2;CDH19;NRN1;CNP;TTYH2;NRXN1;KCNA2;GJC3;GNG2;ERBB3;FLRT3;ADAM23;GPC3;APOD;DMD;RXRG;TRPM3;GPM6B;PRNP;AFAP1L2;CADM1;LGI4;CMTM5;MBOAT2;L1CAM;HSPA12A;S100B;GULP1;TSPAN15;FXYD1;LPCAT2;PLP1;MEGF9
GTEX-T6MN-0326-SM-32PMK_nerve_male_50-59_years	48/1501	0.0000000000000000000245992839653676625683126819856444017284377934143796176863321079064661489610443823039531707763671875	0.000000000000000008193290367874978295913077682711584402832934493385134977483374996154452674090862274169921875	0.000000000000000000005712608109915941259458624009250176432363448374383618210705336470933701775720692239701747894287109375	0.00000000000000000245340214259848021005474187433338550128164817602793856821108420263044536113739013671875	-1.701515365906503	76.82608949890393	NRN1;TTYH2;CNP;PROS1;NRXN1;KCNA2;SLC35F1;GJC3;ERBB3;SLITRK1;CHL1;RASGEF1C;GPC3;DAG1;DMD;APOD;SOX6;RXRG;TNS3;TRPM3;AFAP1L2;GAS2L3;LGI4;CMTM5;MBOAT2;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;GULP1;IGSF11;TSPAN15;DEPDC7;ZEB2;MMP15;SFRP5;PLSCR4;FXYD1;SPATA13;ASPA;KANK4;MGLL;GAS7;MEGF9;MATN2;CDH19
GTEX-O5YV-1826-SM-2YUNI_nerve_female_60-69_years	42/1106	0.0000000000000000000216423194956937420667057685914278452420382107477068238626620455544724563878844492137432098388671875	0.000000000000000008193290367874978295913077682711584402832934493385134977483374996154452674090862274169921875	0.00000000000000000000793597052004667774990601387915747142197080767852933951239484400286272602897952310740947723388671875	0.000000000000000002565963801481759128102304181209043684970687519998340346549792201358286547474563121795654296875	-1.6768858093776737	75.92877959723467	NRN1;TTYH2;CNP;PROS1;NRXN1;LPAR1;SLC35F1;NDRG2;GJC3;ERBB3;CHL1;RASGEF1C;DAG1;DMD;APOD;RXRG;TNS3;GPM6B;TSC22D4;AFAP1L2;GAS2L3;LGI4;CMTM5;GPR37L1;L1CAM;HSPA12A;POU3F1;S100B;SOX10;IGSF11;TSPAN15;DEPDC7;ZEB2;RGCC;SFRP5;PLSCR4;FXYD1;ASPA;KANK4;GAS7;MEGF9;CDH19
GTEX-WOFM-1626-SM-3MJFX_nerve_male_20-29_years	44/1305	0.0000000000000000002077257445078067332798401320550250119470685812721018272293538320383277095970697700977325439453125	0.00000000000000005495290150161068583668095160901078838619437285230133471980451531635480932891368865966796875	0.00000000000000000006163247426081614890028709610105455709343740690549882520372915184481144024175591766834259033203125	0.0000000000000000163045909180886356604225549587208627385740645414184679662383814502391032874584197998046875	-1.7506270353623135	75.30859333867724	TTYH2;CNP;PROS1;KCNA2;PLEKHB1;GJC3;GNG2;SLITRK1;CHL1;STMN1;GPC3;DAG1;DMD;MBP;APOD;TNS3;GPM6B;TSC22D4;AFAP1L2;GAS2L3;LGI4;CMTM5;MBOAT2;SHISA4;GPR37L1;HSPA12A;POU3F1;S100B;SOX10;PTK2;GULP1;IGSF11;TSPAN15;DEPDC7;RGCC;SFRP5;FXYD1;SPATA13;CRYAB;ASPA;KANK4;GAS7;MEGF9;CDH19
