Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
miRNA targets in ECM and membrane receptors_Homo sapiens_WP2911	8/41	0.000000195844261324783411951438939942182759779143452760763466358184814453125	0.0000440649587980762699919445868346201677923090755939483642578125	0.0000049737491434041587929672234569267175174900330603122711181640625	0.00111909355726593569453630738763649787870235741138458251953125	-1.937484814714159	29.92628597626564	COL5A1;ITGB5;COL5A3;COL6A2;LAMA4;COL5A2;COL6A1;COL6A3
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	17/303	0.0000060980478676531284636130360310435349902036250568926334381103515625	0.000343015192555488489419002196001429183525033295154571533203125	0.00021261856026191439301455121668738001972087658941745758056640625	0.01195979401473268484423773116986922104842960834503173828125	-2.293057431369995	27.53398309386928	LAMA2;ITGB5;LAMA4;IRS2;LAMB1;IGF1;OSMR;THBS3;GHR;FGF7;COL5A1;CREB3L1;COL5A3;COL6A2;COL5A2;JAK1;FGFR1
Endochondral Ossification_Homo sapiens_WP474	9/64	0.000000632585163828656943279843578864518605087141622789204120635986328125	0.0000711658309307238996603561798082182576763443648815155029296875	0.000013655123465701803029954779222787664139104890637099742889404296875	0.00153620138989145273329672836126746915397234261035919189453125	-1.9203479026708086	27.40999165147277	GHR;CDKN1C;ADAMTS4;PLAU;ADAMTS1;PLAT;IGF1;GLI3;FGFR1
Endochondral Ossification_Mus musculus_WP1270	8/59	0.00000356256959171430829372609859484466454659923329018056392669677734375	0.0002671927193785731216059409209861996714607812464237213134765625	0.0000530842974023250453101223367280425691205891780555248260498046875	0.003981322305174378635428400485807287623174488544464111328125	-1.8876051187034122	23.68005996943594	GHR;ADAMTS4;PLAU;ADAMTS1;PLAT;IGF1;GLI3;FGFR1
Senescence and Autophagy in Cancer_Homo sapiens_WP615	9/105	0.000039482879389830796896566911247106190785416401922702789306640625	0.0017767295725423857925828752257757514598779380321502685546875	0.0004550750521063961183398927090593133470974862575531005859375	0.0204783773447878257589760409018708742223680019378662109375	-1.817853058167313	18.43238178738503	MMP14;IL6;PLAU;IGFBP3;PLAT;CXCL1;IGF1;CXCL14;GABARAP
Selenium Micronutrient Network_Homo sapiens_WP15	8/90	0.000081995859647878411549833110871787766882334835827350616455078125	0.0030748447367954403856848966114512222702614963054656982421875	0.00076006499410430036246799634369608611450530588626861572265625	0.021376827959183448968349949836920131929218769073486328125	-1.8802822345167398	17.69127809157846	IL6;PRDX5;PRDX4;GPX3;TXNRD1;PLAT;PTGS2;ICAM1
Oxidative Stress_Homo sapiens_WP408	5/31	0.000108963651645864161433656380761902937592822127044200897216796875	0.0033122011556278381678997124737406920758076012134552001953125	0.000707732309530794312553425573497634104569442570209503173828125	0.021376827959183448968349949836920131929218769073486328125	-1.8440138795593601	16.82569764137428	NFIX;GPX3;TXNRD1;MGST1;NOX4
Focal Adhesion_Mus musculus_WP85	11/185	0.00016209946667276200582379075409988899991731159389019012451171875	0.004052486666819049739018954170433062245137989521026611328125	0.00191748093488953584746792291326755730551667511463165283203125	0.039717688208157291007704969842961872927844524383544921875	-1.9035018954704424	16.612432890554757	COL5A1;LAMA2;ITGB5;COL5A3;COL6A2;LAMA4;COL5A2;LAMB1;IGF1;BIRC3;THBS3
Focal Adhesion_Homo sapiens_WP306	11/191	0.00021414970590634125995055381252996085095219314098358154296875	0.004818368382892678457307678030474562547169625759124755859375	0.002433324151613259871129724132288174587301909923553466796875	0.045624827842748620632118417006495292298495769500732421875	-1.9375981424768947	16.37044744233675	COL5A1;LAMA2;ITGB5;COL5A3;COL6A2;LAMA4;COL5A2;LAMB1;IGF1;BIRC3;THBS3
Glutathione metabolism_Mus musculus_WP164	4/17	0.000117767152200100910287329514236631666790344752371311187744140625	0.0033122011556278381678997124737406920758076012134552001953125	0.00072715276188486271426170137743838495225645601749420166015625	0.021376827959183448968349949836920131929218769073486328125	-1.5229483112273159	13.777810562997521	GGT5;GSTM2;GPX3;ANPEP
