Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	15/808	0.0000045285757753676970452654144960735749236846459098160266876220703125	0.000319237299203778933376352000550468801520764827728271484375	0.001649323472760671170644908301028408459387719631195068359375	0.042332635800857228158822209707068395800888538360595703125	-2.202536981003297	27.10244455853092	PDGFRB;NOTCH3;TAGLN;EPAS1;CAV1;ITGA1;NR2F2;ACTN4;VTN;EDNRA;CXCL12;CDK6;PDE3A;MYH9;IGFBP7
Striated Muscle Contraction_Homo sapiens_WP383	5/38	0.0000008670806196807344672336016234981403982828851439990103244781494140625	0.0001335304154308331026600187296793365021585486829280853271484375	0.00002221108486584562463346352589876886440833914093673229217529296875	0.00342050706934022598348921206934392102994024753570556640625	-1.9000427365254147	26.521050889477856	ACTA2;TPM2;TPM1;ACTN4;MYL9
Myometrial Relaxation and Contraction Pathways_Mus musculus_WP385	7/151	0.0000066956447972488130474292243599077067983671440742909908294677734375	0.000319237299203778933376352000550468801520764827728271484375	0.000256609631609019408181315835548730319715104997158050537109375	0.0159515887955274347775880272592985420487821102142333984375	-2.0182071500522536	24.0450275020555	CNN2;RGS4;ACTA2;RGS5;PRKAR1A;ATP2A2;GNG11
Myometrial Relaxation and Contraction Pathways_Homo sapiens_WP289	7/156	0.0000082918779013968547963488175955859560417593456804752349853515625	0.000319237299203778933376352000550468801520764827728271484375	0.0003107452362765084703973006430288705814746208488941192626953125	0.0159515887955274347775880272592985420487821102142333984375	-2.0132372039519653	23.555346561647198	CNN2;RGS4;ACTA2;RGS5;PRKAR1A;ATP2A2;GNG11
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	8/305	0.00008841907501305521052854807795284841631655581295490264892578125	0.00194521965028721468583816633923788685933686792850494384765625	0.003417776457964555140989215686886382172815501689910888671875	0.0657921968158176884156063124464708380401134490966796875	-2.004577664981016	18.70957094466068	NOTCH3;TAGLN;CXCL12;EPAS1;MYH9;IGFBP7;ACTN4;NR2F2
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	6/149	0.000069126951981719463057908525716044323417008854448795318603515625	0.00184133147004887230864522695839013977092690765857696533203125	0.00148743999576369709779422034756635184749029576778411865234375	0.042332635800857228158822209707068395800888538360595703125	-1.9070545577015403	18.268754734280833	RGS4;RGS5;PRKAR1A;ATP2A2;ATP1B2;GNG11
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	6/150	0.0000717401871447612637065771590272333924076519906520843505859375	0.00184133147004887230864522695839013977092690765857696533203125	0.00153744893861065237868068766857732043717987835407257080078125	0.042332635800857228158822209707068395800888538360595703125	-1.9102750155726294	18.22872192642968	RGS4;RGS5;PRKAR1A;ATP2A2;ATP1B2;GNG11
Endothelin Pathways_Homo sapiens_WP2197	3/34	0.00052466932152844315308259925956235747435130178928375244140625	0.01009988443942253129315123061360282008536159992218017578125	0.00324976389559056104416878696383719216100871562957763671875	0.0657921968158176884156063124464708380401134490966796875	-1.6198077776426758	12.233990813332085	EDNRA;ATP2A2;MYLK
Striated Muscle Contraction_Mus musculus_WP216	3/41	0.000912932089143075387906167694751502494909800589084625244140625	0.01562128241422595757714741893096288549713790416717529296875	0.00532262969648825308432993352880657766945660114288330078125	0.09107610813991011411427933808226953260600566864013671875	-1.725413831487843	12.075910976476646	ACTA2;ACTN4;MYL9
Adipogenesis genes_Mus musculus_WP447	4/128	0.0030122549657052625181330451908934264793060719966888427734375	0.04458809219989701144726268466911278665065765380859375	0.02192056711931732182474519277093349955976009368896484375	0.2954567667654199869531339572858996689319610595703125	-1.6582558275373716	9.62628505878948	MEF2C;SOCS1;EPAS1;EBF1
