Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Focal Adhesion_Mus musculus_WP85	11/185	0.000001394598426292338984449638815410477121758958674035966396331787109375	0.00014675078867016903730151333729025964203174225986003875732421875	0.00000232678987017710844537629437389636422039984609000384807586669921875	0.00024074999225165479173858817940612198071903549134731292724609375	-2.1119600523800193	28.475354744917883	COL1A1;CCND2;SHC1;ACTN1;COL11A1;TNC;FN1;THBS2;THBS1;EGFR;THBS4
Focal Adhesion_Homo sapiens_WP306	11/191	0.000001905854398313883730573382695172579559539371985010802745819091796875	0.00014675078867016903730151333729025964203174225986003875732421875	0.0000031266232759955166548211137611534837787985452450811862945556640625	0.00024074999225165479173858817940612198071903549134731292724609375	-2.1491666954735162	28.305772211741626	COL1A1;CCND2;SHC1;ACTN1;COL11A1;TNC;FN1;THBS2;THBS1;EGFR;THBS4
Urea cycle and metabolism of amino groups_Homo sapiens_WP497	3/20	0.00081555769656062424184661541204377499525435268878936767578125	0.041865295090112046583197269455922651104629039764404296875	0.00137443826369602916694090399829519810737110674381256103515625	0.07055449753639615739775337033279356546700000762939453125	-1.9447244551314704	13.830177090138157	OAT;PYCR1;ALDH18A1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	9/303	0.0022612617155538896653033109629404862062074244022369384765625	0.0522049915456248292411345346408779732882976531982421875	0.0030314759940194197819496313428544453927315771579742431640625	0.07604592500032854307523422221493092365562915802001953125	-2.236763372459751	13.625987449860206	COL1A1;COL11A1;F2R;FN1;TNC;THBS2;THBS1;EGFR;THBS4
IL1 and megakaryotyces in obesity_Homo sapiens_WP2865	3/24	0.00140872617264200627844317192938206062535755336284637451171875	0.0522049915456248292411345346408779732882976531982421875	0.00220782705907168926018346866158026386983692646026611328125	0.07604592500032854307523422221493092365562915802001953125	-1.8000947796977893	11.817747167144288	F2R;TIMP2;TIMP1
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	16/808	0.00388813240688699705838171638561107101850211620330810546875	0.0665302656289552818424937186136958189308643341064453125	0.00457957022221539174211546452397669781930744647979736328125	0.078361534913463370966013599172583781182765960693359375	-2.0136386176266075	11.175344634702936	SHC1;TGFB3;SH3KBP1;FN1;HTRA1;LTBP3;PKD2;LTBP1;CTGF;CCND2;CDH2;P4HA1;PALLD;ID2;ANGPTL2;TMED2
Nanoparticle-mediated activation of receptor signaling_Homo sapiens_WP2643	3/28	0.0022184386484761331286008623209227152983658015727996826171875	0.0522049915456248292411345346408779732882976531982421875	0.003300037708428532438886815469913926790468394756317138671875	0.07604592500032854307523422221493092365562915802001953125	-1.824245424872738	11.147875574600423	COL1A1;FN1;EGFR
Inflammatory Response Pathway_Homo sapiens_WP453	3/30	0.0027119476127597315524841992129267964628525078296661376953125	0.0522049915456248292411345346408779732882976531982421875	0.00395043766235472944281514884323769365437328815460205078125	0.07604592500032854307523422221493092365562915802001953125	-1.7313526347937627	10.232446821809438	COL1A1;FN1;THBS1
Inflammatory Response Pathway_Mus musculus_WP458	3/30	0.0027119476127597315524841992129267964628525078296661376953125	0.0522049915456248292411345346408779732882976531982421875	0.00395043766235472944281514884323769365437328815460205078125	0.07604592500032854307523422221493092365562915802001953125	-1.6778164083863223	9.91604300045866	COL1A1;FN1;THBS1
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	8/305	0.00813195444362760540280010701508217607624828815460205078125	0.10436008202655426557736717541047255508601665496826171875	0.01061867128214337256675303677866395446471869945526123046875	0.136272948120839954011529471245012246072292327880859375	-1.8726717398185122	9.011210241659715	P4HA1;TGFB3;SH3KBP1;SHC1;PALLD;ANGPTL2;PKD2;CTGF
TGF-beta Signaling Pathway_Homo sapiens_WP366	5/132	0.00806138080152851536908098495359809021465480327606201171875	0.10436008202655426557736717541047255508601665496826171875	0.0105808994958929598884100897748794523067772388458251953125	0.136272948120839954011529471245012246072292327880859375	-1.7452585031287007	8.413316044445406	SHC1;TNC;FN1;SKIL;THBS1
miRNA targets in ECM and membrane receptors_Homo sapiens_WP2911	3/41	0.006605312732521199416135804227678818278945982456207275390625	0.10172181608082646320223574321062187664210796356201171875	0.0088872906140772568728269931170871132053434848785400390625	0.136272948120839954011529471245012246072292327880859375	-1.5255273095218778	7.657965547328507	FN1;THBS2;THBS1
TGF Beta Signaling Pathway_Mus musculus_WP113	3/52	0.0127079310454700535049088472305811592377722263336181640625	0.15054010623095293031070696088136173784732818603515625	0.0163211067743693934162241276908389409072697162628173828125	0.19334234178868359155245570946135558187961578369140625	-1.7301179441276953	7.552880038893994	SKIL;THBS1;LTBP1
