Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cytoplasmic Ribosomal Proteins_Mus musculus_WP163	7/70	0.0000003198001041590155581827267967931494041522455518133938312530517578125	0.00003645721187412777342107261802084394730627536773681640625	0.0000052650064848102791337756956036031397161423228681087493896484375	0.000600210739268371780592847830604341652360744774341583251953125	-2.034709976807649	30.430246899500894	RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21
Cytoplasmic Ribosomal Proteins_Homo sapiens_WP477	7/89	0.0000016622697448609569968801073780451105221800389699637889862060546875	0.000094749375457074553057330856820072995105874724686145782470703125	0.00002283523360106378977877998603940312705162796191871166229248046875	0.00130160831526063606143617246146959587349556386470794677734375	-1.9822243421187993	26.37810666219905	RPS25;RPS28;RPS8;RPL35A;RPSA;RPL10A;RPS21
Translation Factors_Mus musculus_WP307	3/46	0.00317973380226288689087699168567269225604832172393798828125	0.12082988448598970532277263600917649455368518829345703125	0.0098778877496172624861348054992049583233892917633056640625	0.367069533674688475155534206351148895919322967529296875	-1.9185849811297155	11.033701253891284	EEF1G;EEF1B2;EIF3F
Translation Factors_Homo sapiens_WP107	3/51	0.00426216100239744377642381323312292806804180145263671875	0.1214715885683271545669725810512318275868892669677734375	0.0128796327605153852757791099747919361107051372528076171875	0.367069533674688475155534206351148895919322967529296875	-1.967020969921843	10.73595908691926	EEF1G;EEF1B2;EIF3F
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	11/808	0.0147068815635043419198790815016764099709689617156982421875	0.279430749706582493008255596578237600624561309814453125	0.1191167295206880527569381911234813742339611053466796875	0.5327368601570314776694203828810714185237884521484375	-2.09459505907376	8.83801767579779	NCOA1;DDR1;NOTCH2;DRP2;CCND3;NOTCH1;MAP2;ITGA7;TLN2;ARHGAP24;SYTL2
Arrhythmogenic Right Ventricular Cardiomyopathy_Homo sapiens_WP2118	3/75	0.012369821677305770091237491214997135102748870849609375	0.279430749706582493008255596578237600624561309814453125	0.033905110946090555312792957920464687049388885498046875	0.5327368601570314776694203828810714185237884521484375	-1.6676903517733652	7.325322379601335	DES;ACTN3;ITGA7
Electron Transport Chain_Homo sapiens_WP111	3/103	0.028496159840820912967362943390980944968760013580322265625	0.311933095912852842435114553154562599956989288330078125	0.0720666527159841419081232061216724105179309844970703125	0.5327368601570314776694203828810714185237884521484375	-1.824823423804098	6.492696090741611	NDUFA10;SLC25A5;UQCRH
Neural Crest Differentiation_Homo sapiens_WP2064	3/101	0.027098653192321180138701919304367038421332836151123046875	0.311933095912852842435114553154562599956989288330078125	0.068884874726659328647571101100766099989414215087890625	0.5327368601570314776694203828810714185237884521484375	-1.7382291499702247	6.27200226780474	NOTCH2;NOTCH1;SOX9
Striated Muscle Contraction_Homo sapiens_WP383	2/38	0.0245862771265736544668012442116378224454820156097412109375	0.311933095912852842435114553154562599956989288330078125	0.051233707665655957297357048219055286608636379241943359375	0.5327368601570314776694203828810714185237884521484375	-1.623995319490376	6.017823191353192	DES;ACTN3
Notch Signaling Pathway_Homo sapiens_WP268	2/46	0.035022145153302874920342446785070933401584625244140625	0.311933095912852842435114553154562599956989288330078125	0.0707716041901337022945739363422035239636898040771484375	0.5327368601570314776694203828810714185237884521484375	-1.7218752183434012	5.771337791521804	NOTCH2;NOTCH1
