Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
NOTCH1 regulation of human endothelial cell calcification_Homo sapiens_WP3413	3/17	0.0002036196824516450982513193768141945838578976690769195556640625	0.00977374475767896384870159209867779281921684741973876953125	0.0007366549703823293930582405408813428948633372783660888671875	0.035359438578351810866795545962304458953440189361572265625	-2.0290027909366573	17.24501537405705	LPAR1;SOX6;SAT1
PPAR signaling pathway_Mus musculus_WP2316	5/68	0.000106947866254129291441361815362398601791937835514545440673828125	0.00770024637029730930903870245174402953125536441802978515625	0.000495299217378132356111308798318759727408178150653839111328125	0.035359438578351810866795545962304458953440189361572265625	-1.8787238292627741	17.17748961337776	FABP7;DBI;ACSBG1;SORBS1;RXRG
Glial Cell Differentiation_Homo sapiens_WP2276	3/7	0.000011024721153261706556541858759157292979580233804881572723388671875	0.0015875598460696857712470819734562610392458736896514892578125	0.000082732616141128860476339212937091360799968242645263671875	0.01191349672432255590859284666294115595519542694091796875	-1.247220777707253	14.237487184488753	CNP;PLP1;MBP
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	13/808	0.00394093568680865639908272868296990054659545421600341796875	0.079762176083624181099906991221359930932521820068359375	0.0305722541857873057746797229583535226993262767791748046875	0.327516866141647489119037572891102172434329986572265625	-2.09459505907376	11.596384334828935	PRNP;NRN1;ARPC1B;NRXN1;KCNA2;SORBS1;L1CAM;PTK2;ZEB2;TSPAN7;STMN1;DAG1;AGRN
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	3/42	0.003030945662761386737160673732205395936034619808197021484375	0.079762176083624181099906991221359930932521820068359375	0.00780546477847161336571790712923757382668554782867431640625	0.226760461347782993346555713287671096622943878173828125	-1.9727236375414146	11.439588847141101	CADM1;CHL1;AGRN
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	3/47	0.004175132374245763521025676112685687257908284664154052734375	0.079762176083624181099906991221359930932521820068359375	0.010441300632238907641902159184610354714095592498779296875	0.226760461347782993346555713287671096622943878173828125	-1.8981167273723996	10.399039793302485	MAP3K1;MBP;IL1RAP
Mecp2 and Associated Rett Syndrome_Mus musculus_WP2910	3/46	0.003928260288595074312123500703819445334374904632568359375	0.079762176083624181099906991221359930932521820068359375	0.0098778877496172624861348054992049583233892917633056640625	0.226760461347782993346555713287671096622943878173828125	-1.7218123705537742	9.538080569255312	CNP;CSRP1;MBP
Mecp2 and Associated Rett Syndrome_Homo sapiens_WP3584	3/48	0.0044312320046457874533896159618961974047124385833740234375	0.079762176083624181099906991221359930932521820068359375	0.01102307798218389589539611961299669928848743438720703125	0.226760461347782993346555713287671096622943878173828125	-1.7011409343372872	9.218614780537953	CNP;CSRP1;MBP
Apoptosis-related network due to altered Notch3 in ovarian cancer_Homo sapiens_WP2864	3/53	0.0058534933546277902183252450640793540515005588531494140625	0.093655893674044643493203921025269664824008941650390625	0.01421092963881526692604406747477696626447141170501708984375	0.255796733498674822016027974314056336879730224609375	-1.7581247660198698	9.038021242207526	ERBB3;APOE;PTK2
Primary Focal Segmental Glomerulosclerosis FSGS_Mus musculus_WP2573	3/68	0.011620236725962206081330663209882914088666439056396484375	0.1673314088538557786733917964738793671131134033203125	0.0266297637720576026165719696336964261718094348907470703125	0.327516866141647489119037572891102172434329986572265625	-1.6131075452328671	7.186405656571169	DAG1;AGRN;PTK2
Primary Focal Segmental Glomerulosclerosis FSGS_Homo sapiens_WP2572	3/72	0.013556348428469318367906026878699776716530323028564453125	0.1737404442990775621513677151597221381962299346923828125	0.030672233532355208662778522921144030988216400146484375	0.327516866141647489119037572891102172434329986572265625	-1.6322180328192877	7.020007064021612	DAG1;AGRN;PTK2
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	6/305	0.0193044938110086168603363176998755079694092273712158203125	0.1737404442990775621513677151597221381962299346923828125	0.06269548946708879133549174866857356391847133636474609375	0.50156391573671033068393398934858851134777069091796875	-1.7671469996885092	6.975666762312612	NRN1;ARPC1B;NRXN1;DAG1;AGRN;PTK2
MAPK Cascade_Homo sapiens_WP422	2/29	0.0169893343482008761513579742086221813224256038665771484375	0.1737404442990775621513677151597221381962299346923828125	0.032169454565380943555918946685778792016208171844482421875	0.327516866141647489119037572891102172434329986572265625	-1.3384418090088217	5.454377268516237	MAP3K1;MBP
MAPK Cascade_Mus musculus_WP251	2/29	0.0169893343482008761513579742086221813224256038665771484375	0.1737404442990775621513677151597221381962299346923828125	0.032169454565380943555918946685778792016208171844482421875	0.327516866141647489119037572891102172434329986572265625	-1.2849803670358606	5.236512829527021	MAP3K1;MBP
Spinal Cord Injury_Mus musculus_WP2432	3/96	0.028841837278277458744835115567184402607381343841552734375	0.2372252809055582500885606123119941912591457366943359375	0.06122430211476338757226045572679140605032444000244140625	0.50156391573671033068393398934858851134777069091796875	-1.453437687207204	5.153785773127266	PTPRZ1;MBP;FCGR2B
PDGF Pathway_Homo sapiens_WP2526	2/39	0.0296531601131947812610700765389992739073932170867919921875	0.2372252809055582500885606123119941912591457366943359375	0.053552552161875328906592841349265654571354389190673828125	0.4819729694568779532204416682361625134944915771484375	-1.459234108445175	5.133857855471497	MAP3K1;PDGFA
