"","feature_symbol","ensembl_gene_id","sc3_4_markers_auroc","sc3_4_markers_clusts","sc3_4_de_padj"
"1","Cmtm5","ENSMUSG00000040759",0.930838178294574,2,2.04388487030388e-54
"2","Plp1","ENSMUSG00000031425",0.99140019379845,2,3.6457760112907e-53
"3","Serpinf1","ENSMUSG00000000753",0.998494239590993,1,1.58648157143316e-52
"4","Col1a1","ENSMUSG00000001506",0.998003992015968,1,1.18202251739298e-50
"5","Dcn","ENSMUSG00000019929",0.998669328010645,1,1.30489391951494e-50
"6","Pcolce","ENSMUSG00000029718",0.979164478061421,1,2.65477550955839e-50
"7","Olfr558","ENSMUSG00000070423",0.894994087504927,4,3.99213753284465e-50
"8","Fgfr4","ENSMUSG00000005320",0.935344827586207,3,5.55817044163275e-50
"9","Rnase4","ENSMUSG00000021876",0.975242497461218,1,4.63212861312761e-49
"10","Lum","ENSMUSG00000036446",0.974402073046889,1,1.15899967369539e-48
"11","Col6a3","ENSMUSG00000048126",0.954547046258361,1,2.69876118936426e-48
"12","Col6a2","ENSMUSG00000020241",0.984942395909935,1,3.48109562808717e-48
"13","Cdh19","ENSMUSG00000047216",0.937863372093023,2,8.23443953648161e-48
"14","Col6a1","ENSMUSG00000001119",0.98182582204013,1,2.29554540022445e-47
"15","Mfap5","ENSMUSG00000030116",0.960622614420282,1,6.796728989795e-47
"16","Igfbp6","ENSMUSG00000023046",0.976608187134503,1,3.73708152392005e-46
"17","Aspa","ENSMUSG00000020774",0.895978682170543,2,6.08114372081824e-46
"18","Sox10","ENSMUSG00000033006",0.908478682170543,2,8.59259392053827e-46
"19","Fbn1","ENSMUSG00000027204",0.962285954406976,1,9.53110731824779e-46
"20","Gjc3","ENSMUSG00000056966",0.884496124031008,2,2.54677314137639e-45
"21","Cd82","ENSMUSG00000027215",0.989942528735632,3,8.30705146057959e-45
"22","Col14a1","ENSMUSG00000022371",0.936635500927969,1,9.45286901434441e-45
"23","Loxl1","ENSMUSG00000032334",0.927951115313233,1,2.164458154966e-44
"24","Fcgr2b","ENSMUSG00000026656",0.885077519379845,2,2.48327019083923e-44
"25","Cd34","ENSMUSG00000016494",0.941870644675561,1,2.51693615301859e-44
"26","Esam","ENSMUSG00000001946",0.881828931809224,4,3.33880075624534e-44
"27","Igf1","ENSMUSG00000020053",0.941415414784466,1,4.56725579066335e-44
"28","Col5a1","ENSMUSG00000026837",0.952988759323458,1,5.28679467035945e-44
"29","Col5a2","ENSMUSG00000026042",0.961690653780159,1,3.87103833528495e-43
"30","Mfap2","ENSMUSG00000060572",0.946948208845467,1,1.32042673699078e-42
"31","Ly6a","ENSMUSG00000075602",0.919669433063697,1,2.73605498620293e-42
"32","Asb5","ENSMUSG00000031519",0.899425287356322,3,7.05836564476997e-42
"33","Nupr1","ENSMUSG00000030717",0.933186259060826,1,1.0659887739381e-41
"34","Chrna1","ENSMUSG00000027107",0.8625,3,1.53684004148601e-41
"35","Col20a1","ENSMUSG00000016356",0.917248062015504,2,2.22604230320134e-41
"36","Nfix","ENSMUSG00000001911",0.923136183772805,1,2.58169452305826e-41
"37","Aspn","ENSMUSG00000021388",0.747812376823019,4,2.65603561214587e-41
"38","Gpr37l1","ENSMUSG00000026424",0.935949612403101,2,2.7186091019678e-41
"39","Adamts2","ENSMUSG00000036545",0.926112686906888,1,2.74788052587133e-41
"40","Pdpn","ENSMUSG00000028583",0.733800287356322,3,3.01740398261104e-41
"41","Sfrp5","ENSMUSG00000018822",0.87156007751938,2,3.96929969321505e-41
"42","Fn1","ENSMUSG00000026193",0.938193787862871,1,5.14055130861388e-41
"43","Serping1","ENSMUSG00000023224",0.889204048044263,1,8.17618339020981e-41
"44","Pdgfra","ENSMUSG00000029231",0.905872465595125,1,2.28866959437195e-40
"45","Lsp1","ENSMUSG00000018819",0.911930524915082,1,1.22284086247363e-39
"46","Fabp7","ENSMUSG00000019874",0.842538759689922,2,1.58071850509591e-39
"47","Emp1","ENSMUSG00000030208",0.929631964141892,1,2.70724559392849e-39
"48","Pou3f1","ENSMUSG00000090125",0.841424418604651,2,2.9526068523226e-39
"49","C1ra","ENSMUSG00000055172",0.908936512939034,1,3.57113180341055e-39
"50","Ccdc80","ENSMUSG00000022665",0.914801974997373,1,4.11825108972877e-39
"51","Clec3b","ENSMUSG00000025784",0.894981965892776,1,5.58046411658011e-39
"52","Dpt","ENSMUSG00000026574",0.908393738838113,1,5.7025747872617e-39
"53","Ano1","ENSMUSG00000031075",0.846787544343713,4,7.52874484915028e-39
"54","Cd59a","ENSMUSG00000032679",0.894428294573643,2,1.4216025381645e-38
"55","C1s1","ENSMUSG00000038521",0.837377875827293,1,1.64492847375675e-38
"56","Svep1","ENSMUSG00000028369",0.894981965892776,1,1.79187804771186e-38
"57","Gucy1a3","ENSMUSG00000033910",0.910800157666535,4,3.40695733100486e-38
