"","feature_symbol","ensembl_gene_id","sc3_7_markers_auroc","sc3_7_markers_clusts","sc3_7_markers_padj","sc3_7_de_padj"
"1","Lum","ENSMUSG00000036446",0.921058201058201,1,3.19334981631874e-24,2.82592958733545e-35
"2","Col5a2","ENSMUSG00000026042",0.900176366843033,1,5.90093740878637e-21,2.57976265602638e-32
"3","Mfap2","ENSMUSG00000060572",0.891287477954144,1,2.3716251207794e-20,1.54317060349706e-31
"4","Cpxm1","ENSMUSG00000027408",0.891146384479718,1,8.17477501632171e-23,2.95242143920174e-28
"5","Ly6e","ENSMUSG00000022587",0.883774250440917,1,4.20204540079415e-20,2.09289899057657e-26
"6","Mmp2","ENSMUSG00000031740",0.871463844797178,1,8.95325765424905e-18,1.59277820367483e-28
"7","Dpt","ENSMUSG00000026574",0.865996472663139,1,5.95520000488338e-18,4.04150426863556e-30
"8","Col5a1","ENSMUSG00000026837",0.865044091710758,1,3.28018153434617e-17,1.13194614242484e-28
"9","C1s1","ENSMUSG00000038521",0.86363315696649,1,9.4712224775448e-18,7.00577382744888e-33
"10","Angptl1","ENSMUSG00000033544",0.855167548500882,1,7.1374570558253e-18,6.34995406206496e-30
"11","Col6a1","ENSMUSG00000001119",0.853544973544973,1,7.3119634768712e-16,5.15086584933804e-32
"12","C1ra","ENSMUSG00000055172",0.852345679012346,1,5.83916425092751e-17,1.55384562468749e-29
"13","Lgals3bp","ENSMUSG00000033880",0.852134038800705,1,2.14468217584376e-18,9.50232342762602e-19
"14","Fbln7","ENSMUSG00000027386",0.848395061728395,1,1.38856372474028e-20,1.64309306771015e-22
"15","Mgst1","ENSMUSG00000008540",0.843809523809524,1,7.22507122318942e-17,1.20168600728811e-22
"16","Plat","ENSMUSG00000031538",0.841375661375661,1,1.53403241276541e-15,1.90042753498667e-16
"17","Has1","ENSMUSG00000003665",0.840776014109347,1,1.00004960443112e-14,4.80893683800207e-16
"18","Col6a2","ENSMUSG00000020241",0.840705467372134,1,1.49059063194768e-14,1.98338102215541e-32
