Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	6/27	0.00000000001965090673181254042535923376062447463785698431593118584714829921722412109375	0.000000003212923250651350456481462753420032252282823037603520788252353668212890625	0.0000000001615071712999933036790871296249877224482371929070723126642405986785888671875	0.0000000264064225075489055521963548990582726361253662616945803165435791015625	-1.913093511363685	47.16329850099999	DHFR;CDT1;POLA1;CDC45;RRM2;TYMS
DNA metabolic process (GO:0006259)	14/315	0.00000000000000225197075670391238879971204043126164888273727827938675005725599476136267185211181640625	0.000000000000736394437442179340487883616737363186126319458679745366680435836315155029296875	0.0000000000000181394417520403856279068643980952657814779797884607859259631368331611156463623046875	0.0000000000059315974529172063464501470871328351990026117590559806558303534984588623046875	-1.3636463323056345	45.99165985419165	BARD1;TOP2A;DNMT1;RFC3;RFC4;UHRF1;PRIM1;TYMS;POLA1;CDC45;RAD51;PCLAF;CLSPN;TK1
chromosome condensation (GO:0030261)	5/24	0.0000000014895148640309827466825366192103123619272508904032292775809764862060546875	0.000000121767840134532850863332002940009335389959232998080551624298095703125	0.0000000081215419443806893972736841102143257042911272947094403207302093505859375	0.000000554349914037643139985418565263142198773493873886764049530029296875	-1.8125376184390924	36.839492436196366	TOP2A;NUSAP1;NCAPD3;NCAPH;SMC2
DNA biosynthetic process (GO:0071897)	5/40	0.000000022481920666598021970841153453248006943709924598806537687778472900390625	0.000000816843117553061459426024491781159753145402646623551845550537109375	0.000000081198372055263827230898250782165082028996039298363029956817626953125	0.00000295020751800791901193967044225718865391172585077583789825439453125	-1.9732075427823415	34.74927872861397	BARD1;POLA1;RFC3;RAD51;TYMS
mitotic chromosome condensation (GO:0007076)	4/16	0.00000003307549718239820177402145764435081876086996999219991266727447509765625	0.000000983244325331292083014977055410721362704862258397042751312255859375	0.0000001519763808274895272769160724235515402824603370390832424163818359375	0.0000045178433209626434028413459464967871781482244841754436492919921875	-1.8785548728589927	32.357117865207414	NUSAP1;NCAPD3;NCAPH;SMC2
DNA-dependent DNA replication (GO:0006261)	6/57	0.00000000229695241398390303834987823876183365978675965379807166755199432373046875	0.00000014429550541486825552945608315547065814143934403546154499053955078125	0.000000009392366417127644769495019359643872558507382564130239188671112060546875	0.000000554349914037643139985418565263142198773493873886764049530029296875	-1.55367337938263	30.905177773433287	POLA1;RFC3;CDC45;RAD51;RFC4;PRIM1
DNA strand elongation (GO:0022616)	3/14	0.0000033144234724577649776346664756143667318610823713243007659912109375	0.00006470607622229015780911109967377115026465617120265960693359375	0.000009391294257991630794004701832111692283433512784540653228759765625	0.00018064430719783901237336654066467644952354021370410919189453125	-2.4164011726489587	30.48828179034057	POLA1;RFC3;RFC4
DNA synthesis involved in DNA repair (GO:0000731)	7/66	0.0000000000901264630912635964812908209370444050090309673350930097512900829315185546875	0.000000009823784476947731938912517055291495626789810557966120541095733642578125	0.000000000460446923902423763741169513859208782535770154709098278544843196868896484375	0.00000005018871470536419381500386864558560517934893141500651836395263671875	-1.3131346923390306	30.372552374931086	BARD1;POLA1;RFC3;RAD51;RFC4;PCLAF;DTL
DNA strand elongation involved in DNA replication (GO:0006271)	3/17	0.000006163974864837713110265852989311241572067956440150737762451171875	0.000111978876711218465283236012108858403735212050378322601318359375	0.00001566362782956959523602245842877067616427666507661342620849609375	0.00028455590557051432983037830837247383897192776203155517578125	-2.4680346756181866	29.608490552706865	POLA1;RFC3;RFC4
DNA replication (GO:0006260)	7/121	0.000000006699058677275019050509837783245747910854106521583162248134613037109375	0.00000031294174106699020542374733121204766206346903345547616481781005859375	0.000000024245955981795475314392946850593213437008444088860414922237396240234375	0.000001132632515149588628289713081176426356933006900362670421600341796875	-1.550516101791219	29.182726871373244	BARD1;POLA1;RFC3;CDC45;RFC4;PCLAF;CLSPN
nucleobase-containing small molecule interconversion (GO:0015949)	4/32	0.0000006373956327386781242104528237557570236049286904744803905487060546875	0.00001736903099212898092290786877800456977638532407581806182861328125	0.000001796100725266673744139945580189365870182882645167410373687744140625	0.00004894374476351685799256630016174085540114901959896087646484375	-1.8425511428764663	26.285604813582182	RRM1;RRM2;GSR;TYMS
translesion synthesis (GO:0019985)	4/43	0.00000215023464120753191809363134845423104479777975939214229583740234375	0.00004687511517832419522151810031829199942876584827899932861328125	0.00000533373358323930101920588853214866276175598613917827606201171875	0.0001162753921146167574753038653767589494236744940280914306640625	-1.9705766326270564	25.715894182565133	RFC3;RFC4;PCLAF;DTL
DNA replication checkpoint (GO:0000076)	3/18	0.0000073856824176938228225324477305147041761301807127892971038818359375	0.00012711148160978315117819459345582799869589507579803466796875	0.00001824299857265823944746201135114205271747778169810771942138671875	0.000313971607013644447327360698096754276775754988193511962890625	-2.1648836539020446	25.580194333640115	CDT1;CDC45;CLSPN
regulation of methylation-dependent chromatin silencing (GO:0090308)	2/10	0.00020097507542936931331130356870318109940853901207447052001953125	0.0025276480640539912385367227187771277385763823986053466796875	0.0003910768478797678276114024864540397175005637109279632568359375	0.00491854343294938732567000982953686616383492946624755859375	-2.8686157994754895	24.418603354262345	DNMT1;UHRF1
cellular macromolecule biosynthetic process (GO:0034645)	8/368	0.00000100622633212260422069773101172440732398172258399426937103271484375	0.0000253104623541608911405260962101948507552151568233966827392578125	0.0000030890630832088747395277640583888256742284283973276615142822265625	0.000077701817554561694915103708947157201691879890859127044677734375	-1.7463682734745394	24.116129562458134	BARD1;POLA1;RFC3;CDC45;RFC4;PCLAF;CLSPN;TYMS
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	2/7	0.000094173682548425799985515605161623398089432157576084136962890625	0.0013389040953624017048217975656143607920967042446136474609375	0.00021431928030575360323746469948247295178589411079883575439453125	0.0030470610721731058133376901508881928748451173305511474609375	-2.5559389421911245	23.694499164695845	RFC3;RFC4
G1/S transition of mitotic cell cycle (GO:0000082)	7/106	0.00000000264762395256638991106022204698698663261069441432482562959194183349609375	0.00000014429550541486825552945608315547065814143934403546154499053955078125	0.0000000101715580557365709357280880958777913303237028230796568095684051513671875	0.000000554349914037643139985418565263142198773493873886764049530029296875	-1.1915660960211967	23.532957607808466	DHFR;CDT1;POLA1;CDC45;RRM2;PRIM1;TYMS
cellular response to DNA damage stimulus (GO:0006974)	9/330	0.000000027989777357049040113872641496149673567828131126589141786098480224609375	0.0000009152657195755035108076006454547179913561194553039968013763427734375	0.0000001031228405869382111332784902890669087582864449359476566314697265625	0.00000337211688719287938759117638498619129450162290595471858978271484375	-1.3415159924624998	23.330876765153825	BARD1;TOP2A;POLA1;RFC3;RAD51;RFC4;PCLAF;CLSPN;DTL
DNA replication initiation (GO:0006270)	3/25	0.00002060008863126262370420345437782572162177530117332935333251953125	0.0003368114491211438780819686922285427499446086585521697998046875	0.000044400645599682961469321929026676798457629047334194183349609375	0.000725950555554816397661743732072636703378520905971527099609375	-2.0148753309941636	21.740938381675168	POLA1;CDC45;PRIM1
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	2/15	0.0004657501041389023265469615520117940832278691232204437255859375	0.0043514366872406014252749884008153458125889301300048828125	0.00079957297839275604835196364916782840737141668796539306640625	0.007470296112412321172524531931458113831467926502227783203125	-2.7600822516137486	21.174968279666988	CDT1;MAD2L1
regulation of DNA-directed DNA polymerase activity (GO:1900262)	2/7	0.000094173682548425799985515605161623398089432157576084136962890625	0.0013389040953624017048217975656143607920967042446136474609375	0.00021431928030575360323746469948247295178589411079883575439453125	0.0030470610721731058133376901508881928748451173305511474609375	-2.275062477310042	21.09067046884984	RFC3;RFC4
mitotic cell cycle phase transition (GO:0044772)	8/222	0.000000021088817220505220822181384541897652962205711446586064994335174560546875	0.000000816843117553061459426024491781159753145402646623551845550537109375	0.000000074431080997532741183020355522914623946917345165275037288665771484375	0.00000295020751800791901193967044225718865391172585077583789825439453125	-1.1658435655477117	20.605728827994877	CCNA2;PLK4;CDT1;POLA1;CDC45;PRIM1;CCP110;PKMYT1
tetrahydrofolate metabolic process (GO:0046653)	2/14	0.00040420166597114615125718728450010530650615692138671875	0.004005271053714083880070706555898141232319176197052001953125	0.000706610427336124371534842314446223099366761744022369384765625	0.007220675304341021318033089215759900980629026889801025390625	-2.620882109634187	20.478515623010274	DHFR;TYMS
regulation of chromatin silencing (GO:0031935)	2/12	0.0002939591430272448825677944483913961448706686496734619140625	0.003433022848925324117808077772906472091563045978546142578125	0.000537526249293216146045437664469091032515279948711395263671875	0.006277538697102917099324148608729956322349607944488525390625	-2.376594122893644	19.326629221339683	CDC45;UHRF1
postreplication repair (GO:0006301)	4/48	0.0000033639244519233412603130377316329457926258328370749950408935546875	0.00006470607622229015780911109967377115026465617120265960693359375	0.000008024289288394534057900255030748581930311047472059726715087890625	0.0001639964123315632818674025816818584644352085888385772705078125	-1.5096781686872767	19.02557158594722	RFC3;RFC4;PCLAF;DTL
pyrimidine nucleoside salvage (GO:0043097)	2/13	0.000346932059909585096581230434509279803023673593997955322265625	0.0037815594530144773684210424136153960716910660266876220703125	0.00061925253036619891562619688585300536942668259143829345703125	0.006749852580991568852530892996810507611371576786041259765625	-2.2716373052130603	18.09672960730451	TK1;DCK
nucleoside salvage (GO:0043174)	2/15	0.0004657501041389023265469615520117940832278691232204437255859375	0.0043514366872406014252749884008153458125889301300048828125	0.00079957297839275604835196364916782840737141668796539306640625	0.007470296112412321172524531931458113831467926502227783203125	-2.2413135796442263	17.195046968620183	TK1;DCK
pyrimidine-containing compound salvage (GO:0008655)	2/13	0.000346932059909585096581230434509279803023673593997955322265625	0.0037815594530144773684210424136153960716910660266876220703125	0.00061925253036619891562619688585300536942668259143829345703125	0.006749852580991568852530892996810507611371576786041259765625	-2.1556166563811066	17.172464846394988	TK1;DCK
error-prone translesion synthesis (GO:0042276)	2/21	0.000923902973912146233299858000265203372691757977008819580078125	0.00719324458260170961076962470315265818499028682708740234375	0.00147354783047465537175468863750893433461897075176239013671875	0.01147262239440981733407109999234307906590402126312255859375	-2.4236071395487477	16.933509202120355	RFC3;RFC4
pyrimidine nucleoside biosynthetic process (GO:0046134)	2/16	0.000531559571038082404222102628210677721654064953327178955078125	0.00482833277026258229913668884591970709152519702911376953125	0.000898113314698435250861552336942850160994566977024078369140625	0.00815786260851078699751770528791894321329891681671142578125	-2.1902950693947174	16.514157408543223	TK1;DCK
nucleobase-containing compound biosynthetic process (GO:0034654)	2/18	0.00067589064654350987371156378458181279711425304412841796875	0.005816216879466519495966991826207959093153476715087890625	0.00111182033018041308454482152257014604401774704456329345703125	0.00956750652549987097572614658247402985580265522003173828125	-2.2548508307329422	16.45923687439979	TYMS;DCK
strand displacement (GO:0000732)	2/27	0.0015316533431652353848539949154883288429118692874908447265625	0.01022144169826595672123659142016549594700336456298828125	0.0023425984868637862550133643679828310268931090831756591796875	0.0156332592898868992514760378753635450266301631927490234375	-2.5217705674624304	16.344622695899485	BARD1;RAD51
response to organophosphorus (GO:0046683)	2/19	0.000754376916476923935032938839384542006882838904857635498046875	0.00616703129219885355649655167553646606393158435821533203125	0.0012269337334591995554433641046898628701455891132354736328125	0.01003018327102895602964682808533325442112982273101806640625	-2.269742406347639	16.318581826116716	RFC3;TYMS
cell cycle G1/S phase transition (GO:0044843)	5/93	0.00000163263878058458096153540868578080136330754612572491168975830078125	0.000038133777232225569389818808918590775647317059338092803955078125	0.000004105199908274298256486735392289944002186530269682407379150390625	0.000095885740714692538452963710415843934242730028927326202392578125	-1.1975783778475726	15.958106688925323	CCNA2;CDT1;POLA1;CDC45;PRIM1
double-strand break repair (GO:0006302)	4/142	0.00024242884382828401167338239208248751310748048126697540283203125	0.0029360826641425508652660791852895272313617169857025146484375	0.0004559315849698461855545039700388088022009469568729400634765625	0.0055218380846348037727100432903171167708933353424072265625	-1.9164311421613032	15.95391041485315	BARD1;MMS22L;POLA1;RAD51
mitotic DNA integrity checkpoint (GO:0044774)	2/14	0.00040420166597114615125718728450010530650615692138671875	0.004005271053714083880070706555898141232319176197052001953125	0.000706610427336124371534842314446223099366761744022369384765625	0.007220675304341021318033089215759900980629026889801025390625	-2.0360240169922164	15.9086704005236	TOP2A;CLSPN
cell cycle G2/M phase transition (GO:0044839)	4/128	0.000162813653974769561964819342136934210429899394512176513671875	0.002129602593989986074329845422425933065824210643768310546875	0.0003108857037794292136646812085842839223914779722690582275390625	0.00406638500543493423833307787162993918173015117645263671875	-1.7899004386202144	15.613130122155257	CCNA2;PLK4;CCP110;PKMYT1
error-free translesion synthesis (GO:0070987)	2/20	0.00083705353766227682567324652751494795666076242923736572265625	0.006676012361355232460624620216549374163150787353515625	0.00134751836979966834080546522756094418582506477832794189453125	0.0107472806566949151407808216163175529800355434417724609375	-2.152547224121284	15.252137099009229	RFC3;RFC4
double-strand break repair via homologous recombination (GO:0000724)	3/77	0.000606106809023106672673630868075633770786225795745849609375	0.005356673690555564283644063294786974438466131687164306640625	0.00101895191271412881295344021737037110142409801483154296875	0.00900533176912216536125210808449992327950894832611083984375	-1.9608455169264085	14.526834469966667	MMS22L;CDC45;RAD51
folic acid-containing compound biosynthetic process (GO:0009396)	1/7	0.01495550361200102991443561251116989296860992908477783203125	0.0509421841783785078749957619947963394224643707275390625	0.0197368818975684444383400517608606605790555477142333984375	0.067228753963592513542835149564780294895172119140625	-3.386668721543036	14.233071058997009	DHFR
mitotic sister chromatid segregation (GO:0000070)	4/83	0.0000300817734414824693623020934740708298704703338444232940673828125	0.000468416186445941296057071667746640741825103759765625	0.0000620138580526317993550644569467067412915639579296112060546875	0.000965644361105266551235926097973560899845324456691741943359375	-1.35565621819012	14.114538220203613	NUSAP1;NCAPD3;NCAPH;SMC2
nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	2/38	0.003022046204459757738625125256248793448321521282196044921875	0.01544076732591157484486554807290303870104253292083740234375	0.00442395474655781460737724586351760081015527248382568359375	0.0226036437831938323561598025435159797780215740203857421875	-2.4132313741353952	14.00113676810455	RFC3;RFC4
positive regulation of spindle checkpoint (GO:0090232)	1/9	0.0191882271437793898438695094910144689492881298065185546875	0.052316105681259487958367770943368668667972087860107421875	0.0246116158292398572171588710943979094736278057098388671875	0.0687863109073626743938945082845748402178287506103515625	-3.501373937675185	13.84253605701483	MAD2L1
chromatin remodeling at centromere (GO:0031055)	2/33	0.0022852645509126028218471748942874910426326096057891845703125	0.0131102018973407209723180955052157514728605747222900390625	0.0034011086623543349168052873920942147378809750080108642578125	0.0198600452248190624537915738301308010704815387725830078125	-2.2308847835264976	13.566620480215459	CENPK;CENPM
DNA repair (GO:0006281)	5/289	0.0003737045468046691827114502704176857150741852819919586181640625	0.003941980219520220020401612970317728468216955661773681640625	0.00075298296535978616328410595315290265716612339019775390625	0.0074613766567469715085270109966586460359394550323486328125	-1.6727673686382367	13.20155543908321	BARD1;POLA1;RFC3;RAD51;RFC4
replication fork processing (GO:0031297)	2/31	0.002018081926029380475384744642042278428561985492706298828125	0.0124511847134265545011810871756097185425460338592529296875	0.00302756277499816560394574338488382636569440364837646484375	0.0186794910834792472764664950091173523105680942535400390625	-2.1008198478314037	13.036863950566286	MMS22L;RAD51
carbohydrate derivative biosynthetic process (GO:1901137)	2/30	0.00189045723638761402861374616435341522446833550930023193359375	0.01236359032597499595096390834214616916142404079437255859375	0.0028485176042064145641996564251030576997436583042144775390625	0.0186293051315099510156780837633050396107137203216552734375	-2.0608054152660635	12.923180011653072	RRM1;RRM2
CENP-A containing nucleosome assembly (GO:0034080)	2/31	0.002018081926029380475384744642042278428561985492706298828125	0.0124511847134265545011810871756097185425460338592529296875	0.00302756277499816560394574338488382636569440364837646484375	0.0186794910834792472764664950091173523105680942535400390625	-2.061604524332814	12.793509034743161	CENPK;CENPM
CENP-A containing chromatin organization (GO:0061641)	2/31	0.002018081926029380475384744642042278428561985492706298828125	0.0124511847134265545011810871756097185425460338592529296875	0.00302756277499816560394574338488382636569440364837646484375	0.0186794910834792472764664950091173523105680942535400390625	-2.037933287880196	12.646614626118346	CENPK;CENPM
strand invasion (GO:0042148)	1/8	0.0170740907847975187383582351685618050396442413330078125	0.052316105681259487958367770943368668667972087860107421875	0.0221772022257316035742658044682684703730046749114990234375	0.0687863109073626743938945082845748402178287506103515625	-2.9727629928785713	12.099719490729282	RAD51
sister chromatid segregation (GO:0000819)	2/33	0.0022852645509126028218471748942874910426326096057891845703125	0.0131102018973407209723180955052157514728605747222900390625	0.0034011086623543349168052873920942147378809750080108642578125	0.0198600452248190624537915738301308010704815387725830078125	-1.9815166788482026	12.050144837446844	TOP2A;NUSAP1
axon regeneration (GO:0031103)	1/8	0.0170740907847975187383582351685618050396442413330078125	0.052316105681259487958367770943368668667972087860107421875	0.0221772022257316035742658044682684703730046749114990234375	0.0687863109073626743938945082845748402178287506103515625	-2.9454293187388467	11.988466158212042	DHFR
negative regulation of chromosome organization (GO:2001251)	1/7	0.01495550361200102991443561251116989296860992908477783203125	0.0509421841783785078749957619947963394224643707275390625	0.0197368818975684444383400517608606605790555477142333984375	0.067228753963592513542835149564780294895172119140625	-2.828020862976853	11.885255160338273	TOP2A
nucleotide biosynthetic process (GO:0009165)	2/27	0.0015316533431652353848539949154883288429118692874908447265625	0.01022144169826595672123659142016549594700336456298828125	0.0023425984868637862550133643679828310268931090831756591796875	0.0156332592898868992514760378753635450266301631927490234375	-1.8185374566310195	11.786682329671335	RRM1;RRM2
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	1/7	0.01495550361200102991443561251116989296860992908477783203125	0.0509421841783785078749957619947963394224643707275390625	0.0197368818975684444383400517608606605790555477142333984375	0.067228753963592513542835149564780294895172119140625	-2.7925741944239717	11.7362843002395	TYMS
regulation of cellular response to oxidative stress (GO:1900407)	1/7	0.01495550361200102991443561251116989296860992908477783203125	0.0509421841783785078749957619947963394224643707275390625	0.0197368818975684444383400517608606605790555477142333984375	0.067228753963592513542835149564780294895172119140625	-2.772326971956052	11.651191786082427	DHFR
nucleotide-excision repair, DNA gap filling (GO:0006297)	2/24	0.001209313605671512130423916886456936481408774852752685546875	0.00859664237075183530756294913999226992018520832061767578125	0.00188404243970145715385278162301574411685578525066375732421875	0.01400186085869037366791189924697391688823699951171875	-1.7295635036805277	11.618692810331366	RFC3;RFC4
negative regulation of cilium assembly (GO:1902018)	1/9	0.0191882271437793898438695094910144689492881298065185546875	0.052316105681259487958367770943368668667972087860107421875	0.0246116158292398572171588710943979094736278057098388671875	0.0687863109073626743938945082845748402178287506103515625	-2.932192639654733	11.592301497361372	CCP110
G2/M transition of mitotic cell cycle (GO:0000086)	4/127	0.00015797144032977795242121688001901702591567300260066986083984375	0.002129602593989986074329845422425933065824210643768310546875	0.0003019981034647779686609647686879043249064125120639801025390625	0.00406638500543493423833307787162993918173015117645263671875	-1.310719978848861	11.472858195470995	CCNA2;PLK4;CCP110;PKMYT1
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	2/36	0.002715618733849302877947362588884061551652848720550537109375	0.01505097162658850830363466144490303122438490390777587890625	0.003999687705576289269149281579984744894318282604217529296875	0.022549963443507702043344664843971258960664272308349609375	-1.910321948447521	11.287587030994045	MMS22L;RAD51
regulation of protein catabolic process (GO:0042176)	3/92	0.00101747605483411729561382674802416659076698124408721923828125	0.0077375504635059620672787872308617806993424892425537109375	0.00167332124994072259892285980953374746604822576045989990234375	0.0127250243890840997185165406335727311670780181884765625	-1.6368692204452342	11.278733067868375	BARD1;DTL;MAD2L1
histone exchange (GO:0043486)	2/37	0.0028668911206644852318614624664405710063874721527099609375	0.01536841633536535460524685703376235323958098888397216796875	0.00420931641628841633762103668914278387092053890228271484375	0.0225646961987920023628984012020737282000482082366943359375	-1.9131623929934976	11.200661018224892	CENPK;CENPM
RNA biosynthetic process (GO:0032774)	2/27	0.0015316533431652353848539949154883288429118692874908447265625	0.01022144169826595672123659142016549594700336456298828125	0.0023425984868637862550133643679828310268931090831756591796875	0.0156332592898868992514760378753635450266301631927490234375	-1.7089570787686272	11.076447245582314	POLA1;PRIM1
