Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of skeletal muscle fiber development (GO:0048742)	1/8	0.0023979007348702576461751956315993083990179002285003662109375	0.0210646311060152767458131251032682484947144985198974609375	0.00373469393587125102207391336150976712815463542938232421875	0.03046755535557610361507840934791602194309234619140625	-3.375696671121559	20.366123590896574	MYOG
tRNA 3'-end processing (GO:0042780)	1/8	0.0023979007348702576461751956315993083990179002285003662109375	0.0210646311060152767458131251032682484947144985198974609375	0.00373469393587125102207391336150976712815463542938232421875	0.03046755535557610361507840934791602194309234619140625	-3.257631507073513	19.653817374715402	ELAC2
muscle cell fate commitment (GO:0042693)	1/10	0.002996626630900937025836494598252102150581777095794677734375	0.0210646311060152767458131251032682484947144985198974609375	0.00456304544603232907495904413508469588123261928558349609375	0.03046755535557610361507840934791602194309234619140625	-3.0771576036495842	17.879110599632053	MYOG
plasma membrane fusion (GO:0045026)	1/7	0.0020984254462683969190417432315598489367403090000152587890625	0.0210646311060152767458131251032682484947144985198974609375	0.003320302820717889284718449260935813072137534618377685546875	0.03046755535557610361507840934791602194309234619140625	-2.8752302207334433	17.730302680362247	MYMK
positive regulation of skeletal muscle fiber development (GO:0048743)	1/7	0.0020984254462683969190417432315598489367403090000152587890625	0.0210646311060152767458131251032682484947144985198974609375	0.003320302820717889284718449260935813072137534618377685546875	0.03046755535557610361507840934791602194309234619140625	-2.842060967008843	17.52576222166156	MYOG
regulation of skeletal muscle satellite cell proliferation (GO:0014842)	1/7	0.0020984254462683969190417432315598489367403090000152587890625	0.0210646311060152767458131251032682484947144985198974609375	0.003320302820717889284718449260935813072137534618377685546875	0.03046755535557610361507840934791602194309234619140625	-2.7383138779955805	16.88599874215055	MYOG
positive regulation of myoblast fusion (GO:1901741)	1/12	0.0035950530518263040628823556943416406284086406230926513671875	0.0210646311060152767458131251032682484947144985198974609375	0.005390822927923759506907419591925645363517105579376220703125	0.03046755535557610361507840934791602194309234619140625	-2.9079845157581077	16.366708363220376	MYOG
myoblast fusion (GO:0007520)	1/8	0.0023979007348702576461751956315993083990179002285003662109375	0.0210646311060152767458131251032682484947144985198974609375	0.00373469393587125102207391336150976712815463542938232421875	0.03046755535557610361507840934791602194309234619140625	-2.64178823925543	15.938335408488394	MYMK
positive regulation of skeletal muscle tissue development (GO:0048643)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.0210646311060152767458131251032682484947144985198974609375	0.0058044965078290246263126306303092860616743564605712890625	0.03046755535557610361507840934791602194309234619140625	-2.837807156541512	15.744945357974172	MYOG
regulation of myoblast fusion (GO:1901739)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.0210646311060152767458131251032682484947144985198974609375	0.0058044965078290246263126306303092860616743564605712890625	0.03046755535557610361507840934791602194309234619140625	-2.6405561553248527	14.650541804581566	MYOG
