Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of skeletal muscle fiber development (GO:0048742)	1/8	0.00079985999301476783975017870176316137076355516910552978515625	0.0043899099121709785065181819163626641966402530670166015625	0.0012466236077470229347274877085283151245675981044769287109375	0.006438880046763469089388109978244756348431110382080078125	-3.383540402040966	24.128276496109912	MYF5
response to hydroperoxide (GO:0033194)	1/9	0.000899819991017392008421371674131705731269903481006622314453125	0.0043899099121709785065181819163626641966402530670166015625	0.00138508934691321011940801088968555632163770496845245361328125	0.006438880046763469089388109978244756348431110382080078125	-3.1162698578008956	21.855384707517864	GPX3
muscle cell fate commitment (GO:0042693)	1/10	0.00099977498874104231418868948821909725666046142578125	0.0043899099121709785065181819163626641966402530670166015625	0.0015235454870101560083395231259828506154008209705352783203125	0.006438880046763469089388109978244756348431110382080078125	-3.084670378872733	21.30884225724362	MYF5
positive regulation of skeletal muscle fiber development (GO:0048743)	1/7	0.0006998949947443892406762078195470166974700987339019775390625	0.0043899099121709785065181819163626641966402530670166015625	0.00110814826964378341893346924251773089054040610790252685546875	0.006438880046763469089388109978244756348431110382080078125	-2.8440372142827015	20.66073655348397	MYF5
positive regulation of myoblast fusion (GO:1901741)	1/12	0.0011996699835023112712395487733374466188251972198486328125	0.0043899099121709785065181819163626641966402530670166015625	0.00180042897025250937977081111540655911085195839405059814453125	0.006438880046763469089388109978244756348431110382080078125	-2.9137880507159766	19.59728985757595	MYF5
positive regulation of skeletal muscle tissue development (GO:0048643)	1/13	0.00129960998047984853387415427050655125640332698822021484375	0.0043899099121709785065181819163626641966402530670166015625	0.00193885631331795348260282896291073484462685883045196533203125	0.006438880046763469089388109978244756348431110382080078125	-2.8446134941006136	18.904422508270887	MYF5
regulation of myoblast fusion (GO:1901739)	1/13	0.00129960998047984853387415427050655125640332698822021484375	0.0043899099121709785065181819163626641966402530670166015625	0.00193885631331795348260282896291073484462685883045196533203125	0.006438880046763469089388109978244756348431110382080078125	-2.6451338737354098	17.578742575656495	MYF5
hydrogen peroxide catabolic process (GO:0042744)	1/15	0.00149947497376899468134181514500369303277693688869476318359375	0.0043899099121709785065181819163626641966402530670166015625	0.00221568220243835434235535331026767380535602569580078125	0.006438880046763469089388109978244756348431110382080078125	-2.5205819998536696	16.390437964745708	GPX3
positive regulation of myoblast differentiation (GO:0045663)	1/15	0.00149947497376899468134181514500369303277693688869476318359375	0.0043899099121709785065181819163626641966402530670166015625	0.00221568220243835434235535331026767380535602569580078125	0.006438880046763469089388109978244756348431110382080078125	-2.4787799438018903	16.118614232546044	MYF5
positive regulation of myotube differentiation (GO:0010831)	1/17	0.0016993199660016691972252989017988511477597057819366455078125	0.0043899099121709785065181819163626641966402530670166015625	0.0024924696955213429712394646031725642387755215167999267578125	0.006438880046763469089388109978244756348431110382080078125	-2.3214355169137866	14.805017984900422	MYF5
skeletal muscle organ development (GO:0060538)	1/30	0.0029978248912949194415755727050054701976478099822998046875	0.005729838242142368774645344586815554066561162471771240234375	0.004290652497181579594354161599767394363880157470703125	0.008150260908189384256861131916593876667320728302001953125	-2.307090051078289	13.403889328815152	MYF5
hydrogen peroxide metabolic process (GO:0042743)	1/21	0.0020989499475669126486720994506640636245720088481903076171875	0.00500518833650571461080236446150593110360205173492431640625	0.0030459294937509044827461668347723389160819351673126220703125	0.007263370331252156676671294377456433721818029880523681640625	-2.059205270363717	12.697714697878322	GPX3
regulation of myoblast differentiation (GO:0045661)	1/30	0.0029978248912949194415755727050054701976478099822998046875	0.005729838242142368774645344586815554066561162471771240234375	0.004290652497181579594354161599767394363880157470703125	0.008150260908189384256861131916593876667320728302001953125	-2.135802758033588	12.408732716557893	MYF5
striated muscle tissue development (GO:0014706)	1/30	0.0029978248912949194415755727050054701976478099822998046875	0.005729838242142368774645344586815554066561162471771240234375	0.004290652497181579594354161599767394363880157470703125	0.008150260908189384256861131916593876667320728302001953125	-2.089344275363476	12.13881505131383	MYF5
skeletal muscle cell differentiation (GO:0035914)	1/13	0.00129960998047984853387415427050655125640332698822021484375	0.0043899099121709785065181819163626641966402530670166015625	0.00193885631331795348260282896291073484462685883045196533203125	0.006438880046763469089388109978244756348431110382080078125	-1.7149316112894417	11.396905702599012	MYF5
regulation of muscle cell differentiation (GO:0051147)	1/37	0.00369666983364023808700249418279781821183860301971435546875	0.005729838242142368774645344586815554066561162471771240234375	0.0052582328439931512453764383963061845861375331878662109375	0.008150260908189384256861131916593876667320728302001953125	-1.9378994086292745	10.852862454603649	MYF5
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	1/16	0.00159939997004093802969448834261356751085259020328521728515625	0.0043899099121709785065181819163626641966402530670166015625	0.002354080748503520163772417816971938009373843669891357421875	0.006438880046763469089388109978244756348431110382080078125	-1.6047090471337297	10.331320224342601	MYF5
protein tetramerization (GO:0051262)	1/91	0.0090795239770168588433474354815189144574105739593505859375	0.01172771847031344426282029047570176771841943264007568359375	0.01270661452018683433562440399100523791275918483734130859375	0.0164127104219079951452631149777516839094460010528564453125	-2.0165303350583152	9.481188256691542	GPX3
positive regulation of muscle cell differentiation (GO:0051149)	1/35	0.003497024851289823842159787403716109110973775386810302734375	0.005729838242142368774645344586815554066561162471771240234375	0.004981829311400262465248101051429330254904925823211669921875	0.008150260908189384256861131916593876667320728302001953125	-1.6325300871397075	9.233333399496274	MYF5
cellular response to oxidative stress (GO:0034599)	1/116	0.01156664833245712488418721619609641493298113346099853515625	0.0143426439322468339543359405752198654226958751678466796875	0.0161454603472869114011434277244916302151978015899658203125	0.020020370830635771108862996925381594337522983551025390625	-2.002408167232734	8.92999846512735	GPX3
skeletal muscle tissue development (GO:0007519)	1/40	0.00399609980510529962105525925153415300883352756500244140625	0.005899004474203060725823188903405025484971702098846435546875	0.005672766150552693668884796096563150058500468730926513671875	0.0083740833651015957050933735672515467740595340728759765625	-1.5806350674251834	8.728956698255265	MYF5
muscle cell differentiation (GO:0042692)	1/37	0.00369666983364023808700249418279781821183860301971435546875	0.005729838242142368774645344586815554066561162471771240234375	0.0052582328439931512453764383963061845861375331878662109375	0.008150260908189384256861131916593876667320728302001953125	-1.5579949406490363	8.725274759122984	MYF5
protein homotetramerization (GO:0051289)	1/58	0.0057917345865302581608968779391943826340138912200927734375	0.008161080553747181165480384379407041706144809722900390625	0.0081581517757090098175165593374913441948592662811279296875	0.011495577502135423397788827060139738023281097412109375	-1.6356510029456228	8.425767366013568	GPX3
positive regulation of cell development (GO:0010720)	1/35	0.003497024851289823842159787403716109110973775386810302734375	0.005729838242142368774645344586815554066561162471771240234375	0.004981829311400262465248101051429330254904925823211669921875	0.008150260908189384256861131916593876667320728302001953125	-1.4130614861905635	7.992053511763928	MYF5
muscle organ development (GO:0007517)	1/61	0.006090849542490592120891346183952919091098010540008544921875	0.00820940590509601497704039729796932078897953033447265625	0.008572080344396000584072936590018798597157001495361328125	0.011553673507664175001963258182513527572154998779296875	-1.295695076995391	6.609298748519934	MYF5
protein homooligomerization (GO:0051260)	1/191	0.019009270463859480326807016581369680352509021759033203125	0.0222802973487343965175444537862858851440250873565673828125	0.026426001532462405074763722723218961618840694427490234375	0.0309687478885651672200207684682027320377528667449951171875	-1.4677825581870054	5.816570552885921	GPX3
positive regulation of cell differentiation (GO:0045597)	1/195	0.019405420271478346361249123219749890267848968505859375	0.0222802973487343965175444537862858851440250873565673828125	0.0269727804190728892574924202563124708831310272216796875	0.0309687478885651672200207684682027320377528667449951171875	-1.1976038233203599	4.7211972132482005	MYF5
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	1/849	0.08310003000135242345880470793417771346867084503173828125	0.09200360464435446139486174388366634957492351531982421875	0.1143057474229184633518485725289792753756046295166015625	0.12655279178965972430859210362541489303112030029296875	-1.853732722653095	4.611549832051284	MYF5
positive regulation of transcription, DNA-templated (GO:0045893)	1/1121	0.1089610430503743232488744752117781899869441986083984375	0.11647559774350359218519912474221200682222843170166015625	0.14941885425284240351828657367150299251079559326171875	0.1597236028220039572023125629129935987293720245361328125	-1.6706316043500755	3.703397440951108	MYF5
regulation of transcription, DNA-templated (GO:0006355)	1/1599	0.1535116755760838891387010107791866175830364227294921875	0.1535116755760838891387010107791866175830364227294921875	0.209404353025462952597735011295299045741558074951171875	0.209404353025462952597735011295299045741558074951171875	-1.7852364614211014	3.345495018300963	MYF5
regulation of transcription from RNA polymerase II promoter (GO:0006357)	1/1479	0.142434821740837935788448476159828715026378631591796875	0.147182649132199194763614968906040303409099578857421875	0.194551418759278893499953255741274915635585784912109375	0.201036466051254858466990071974578313529491424560546875	-1.3428380609709774	2.6170178528540533	MYF5
